,date,Total_Pedestrian_Count_per_day
0,2015-01-01,471563
1,2015-01-02,389048
2,2015-01-03,291761
3,2015-01-04,382364
4,2015-01-05,487220
5,2015-01-06,485340
6,2015-01-07,427142
7,2015-01-08,474146
8,2015-01-09,493430
9,2015-01-10,425481
10,2015-01-11,388144
11,2015-01-12,484633
12,2015-01-13,428901
13,2015-01-14,469651
14,2015-01-15,484780
15,2015-01-16,578750
16,2015-01-17,441219
17,2015-01-18,434167
18,2015-01-19,528505
19,2015-01-20,565802
20,2015-01-21,586215
21,2015-01-22,562570
22,2015-01-23,647374
23,2015-01-24,551271
24,2015-01-25,483016
25,2015-01-26,583404
26,2015-01-27,506995
27,2015-01-28,554508
28,2015-01-29,549153
29,2015-01-30,611914
30,2015-01-31,454552
31,2015-02-01,359600
32,2015-02-02,497991
33,2015-02-03,519223
34,2015-02-04,531553
35,2015-02-05,553957
36,2015-02-06,598130
37,2015-02-07,456256
38,2015-02-08,393458
39,2015-02-09,516238
40,2015-02-10,533244
41,2015-02-11,518877
42,2015-02-12,566425
43,2015-02-13,577716
44,2015-02-14,601566
45,2015-02-15,458469
46,2015-02-16,522039
47,2015-02-17,554552
48,2015-02-18,629421
49,2015-02-19,641733
50,2015-02-20,696494
51,2015-02-21,711394
52,2015-02-22,703631
53,2015-02-23,546358
54,2015-02-24,614174
55,2015-02-25,639207
56,2015-02-26,631904
57,2015-02-27,698009
58,2015-02-28,515919
59,2015-03-01,477727
60,2015-03-02,572045
61,2015-03-03,601851
62,2015-03-04,636763
63,2015-03-05,613915
64,2015-03-06,653812
65,2015-03-07,656325
66,2015-03-08,749645
67,2015-03-09,625386
68,2015-03-10,573615
69,2015-03-11,620929
70,2015-03-12,617938
71,2015-03-13,728920
72,2015-03-14,573160
73,2015-03-15,490759
74,2015-03-16,594026
75,2015-03-17,579477
76,2015-03-18,613218
77,2015-03-19,623515
78,2015-03-20,692880
79,2015-03-21,577248
80,2015-03-22,555312
81,2015-03-23,536966
82,2015-03-24,548713
83,2015-03-25,618004
84,2015-03-26,617469
85,2015-03-27,699092
86,2015-03-28,620811
87,2015-03-29,599990
88,2015-03-30,647490
89,2015-03-31,652023
90,2015-04-01,621352
91,2015-04-02,671795
92,2015-04-03,476397
93,2015-04-04,575694
94,2015-04-05,465305
95,2015-04-06,422131
96,2015-04-07,512383
97,2015-04-08,621442
98,2015-04-09,660311
99,2015-04-10,769697
100,2015-04-11,583589
101,2015-04-12,458808
102,2015-04-13,562914
103,2015-04-14,576960
104,2015-04-15,629175
105,2015-04-16,648782
106,2015-04-17,703342
107,2015-04-18,558398
108,2015-04-19,387304
109,2015-04-20,554574
110,2015-04-21,556354
111,2015-04-22,570779
112,2015-04-23,602834
