date,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
2015-04-26 00:00:00,nan,10.4,15.4,5.9,402903
2015-04-27 00:00:00,0.0,10.5,15.1,8.3,519381
2015-04-28 00:00:00,1.8,10.1,16.0,8.9,536691
2015-04-29 00:00:00,0.0,7.4,17.1,12.6,580872
2015-04-30 00:00:00,0.2,6.4,19.6,12.3,600746
2015-05-01 00:00:00,0.0,7.9,23.1,12.1,746219
2015-05-02 00:00:00,0.0,11.6,22.2,6.1,557177
2015-05-03 00:00:00,0.0,9.7,18.2,11.2,452820
2015-05-04 00:00:00,0.2,7.5,22.3,11.6,544844
2015-05-05 00:00:00,1.4,9.2,18.1,7.1,506962
2015-05-06 00:00:00,1.6,9.5,16.2,7.6,543673
2015-05-07 00:00:00,2.6,10.3,15.6,6.9,556631
2015-05-08 00:00:00,0.2,10.5,15.9,5.9,662573
2015-05-09 00:00:00,0.0,12.8,18.7,7.3,512580
2015-05-10 00:00:00,10.6,12.8,16.6,5.9,394815
2015-05-11 00:00:00,2.6,12.4,15.9,7.9,508168
2015-05-12 00:00:00,0.2,12.8,17.4,5.9,514329
2015-05-13 00:00:00,6.2,6.3,12.8,8.7,533158
2015-05-14 00:00:00,4.2,7.3,14.6,6.7,567567
2015-05-15 00:00:00,2.0,11.5,14.5,6.2,665396
2015-05-16 00:00:00,0.0,11.3,16.2,10.4,556646
2015-05-17 00:00:00,0.0,7.4,20.5,10.3,468310
2015-05-18 00:00:00,0.0,7.2,20.4,10.2,566187
2015-05-19 00:00:00,0.0,9.9,16.2,3.2,535738
2015-05-20 00:00:00,3.4,13.6,18.1,6.0,564353
2015-05-21 00:00:00,7.0,10.3,13.6,3.5,564108
2015-05-22 00:00:00,0.4,9.1,14.1,6.7,671844
2015-05-23 00:00:00,0.0,10.4,13.3,7.7,544407
2015-05-24 00:00:00,0.0,6.0,15.6,8.6,418867
2015-05-25 00:00:00,0.0,7.4,17.1,8.1,537110
2015-05-26 00:00:00,0.0,5.4,15.6,6.8,554730
