date,Public Holiday?,DayOfWeekNumeric,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),BourkeStMallSouth
2018-08-28,0,3,1.9,11.2,11.7,0.2,20338.0
2018-08-29,0,4,0.8,12.5,15.5,0.0,21981.0
2018-08-30,0,5,4.8,16.7,5.1,0.0,21498.0
2018-08-31,0,6,8.9,16.0,6.8,1.6,34069.0
2018-01-09,0,7,10.5,13.4,7.4,2.2,21907.0
2018-02-09,0,1,5.0,12.3,11.2,3.0,17248.0
2018-03-09,0,2,5.0,13.1,14.7,0.0,18504.0
2018-04-09,0,3,3.4,19.5,14.7,0.0,20296.0
2018-05-09,0,4,8.1,20.2,14.5,0.0,21816.0
2018-06-09,0,5,13.8,20.6,9.5,0.0,21727.0
2018-07-09,0,6,8.7,15.1,14.7,3.4,26877.0
2018-08-09,0,7,4.2,17.5,16.2,0.2,24622.0
2018-09-09,0,1,8.6,18.1,7.3,0.0,17827.0
2018-10-09,0,2,13.4,18.0,10.2,0.0,19870.0
2018-11-09,0,3,9.1,24.2,17.7,0.0,20855.0
2018-12-09,0,4,11.7,18.5,15.8,0.0,21185.0
2018-09-13,0,5,7.1,19.7,18.2,0.0,23673.0
2018-09-14,0,6,10.9,22.7,18.2,0.0,28064.0
2018-09-15,0,7,10.2,13.7,6.3,0.2,21209.0
2018-09-16,0,1,5.5,14.0,15.3,2.0,17731.0
2018-09-17,0,2,6.7,18.1,18.7,0.0,21839.0
2018-09-18,0,3,11.0,20.3,8.0,0.0,19430.0
2018-09-19,0,4,8.5,14.7,16.1,3.0,20549.0
2018-09-20,0,5,3.8,17.4,18.5,0.8,23714.0
2018-09-21,0,6,8.3,18.9,16.6,0.0,29081.0
2018-09-22,0,7,6.8,17.3,19.7,0.0,24972.0
2018-09-23,0,1,10.4,13.7,11.6,0.2,18996.0
2018-09-24,0,2,4.6,14.9,17.2,0.0,23761.0
2018-09-25,0,3,8.6,13.6,12.2,0.0,24190.0
2018-09-26,0,4,6.4,17.6,20.8,0.0,26569.0
2018-09-27,0,5,9.2,24.2,20.8,0.0,30029.0
2018-09-28,1,6,10.7,15.2,10.2,0.0,24212.0
2018-09-29,0,7,5.5,14.0,17.0,1.2,20795.0
2018-09-30,0,1,6.8,16.5,19.8,0.2,20155.0
2018-01-10,0,2,4.7,23.3,21.4,0.0,26226.0
2018-02-10,0,3,11.4,25.8,13.4,0.0,24816.0
2018-03-10,0,4,14.7,18.1,10.9,0.0,24682.0
2018-04-10,0,5,10.9,14.6,12.5,0.0,26847.0
2018-05-10,0,6,9.1,20.5,22.5,0.0,32228.0
2018-06-10,0,7,8.3,23.8,22.7,0.0,27044.0
2018-07-10,0,1,10.3,24.7,21.2,0.0,18599.0
2018-08-10,0,2,13.5,28.2,22.7,0.0,21825.0
2018-09-10,0,3,16.1,17.9,7.2,1.3322074879999999,19462.0
2018-10-10,0,4,10.1,16.5,20.0,1.3322074879999999,22410.0
2018-11-10,0,5,6.4,20.7,23.7,0.0,26267.0
2018-12-10,0,6,8.7,22.7,23.9,0.0,29516.0
2018-10-13,0,7,10.5,24.9,23.2,0.0,26786.0
2018-10-14,0,1,12.4,27.3,22.1,0.0,19585.0
2018-10-15,0,2,19.5,27.5,19.4,0.0,22143.0
2018-10-16,0,3,20.0,23.1,6.1,0.2,19983.0
2018-10-17,0,4,16.1,22.6,15.1,5.2,22165.0
2018-10-18,0,5,14.7,20.7,10.5,2.0,24142.0
2018-10-19,0,6,12.8,27.4,23.0,0.0,28139.0
2018-10-20,0,7,11.7,16.1,9.8,5.0,21578.0
2018-10-21,0,1,7.6,19.2,22.7,5.6,20332.0
2018-10-22,0,2,8.9,27.0,25.7,0.0,22041.0
2018-10-23,0,3,13.0,18.8,16.7,0.0,21736.0
2018-10-24,0,4,9.2,15.5,19.7,0.0,23553.0
2018-10-25,0,5,6.4,19.5,25.0,0.0,26382.0
2018-10-26,0,6,9.6,18.3,23.7,0.0,30902.0
2018-10-27,0,7,11.3,19.6,20.5,0.0,25296.0
2018-10-28,0,1,9.3,15.9,22.8,0.0,20894.0
2018-10-29,0,2,9.1,17.0,25.6,0.0,23492.0
2018-10-30,0,3,8.3,25.2,25.8,0.0,23300.0
2018-10-31,0,4,13.0,19.5,16.7,0.0,22885.0
2018-01-11,0,5,12.8,34.3,14.2,0.0,24793.0
2018-02-11,0,6,16.3,31.6,13.4,0.0,28009.0
2018-03-11,0,7,12.6,20.9,19.9,0.2,23790.0
2018-04-11,0,1,9.2,20.9,19.7,0.0,21806.0
2018-05-11,0,2,14.5,28.6,15.8,2.8,35032.0
2018-06-11,1,3,16.3,21.4,7.8,4.4,13302.0
2018-07-11,0,4,11.1,17.2,18.2,35.8,25167.0
2018-08-11,0,5,7.7,17.0,22.7,3.0,25179.0
2018-09-11,0,6,8.0,20.0,14.8,0.0,23161.0
2018-10-11,0,7,9.0,20.3,27.3,0.0,25467.0
2018-11-11,0,1,9.3,19.6,29.1,0.2,21560.0
2018-12-11,0,2,10.9,30.2,17.5,0.0,24378.0
2018-11-13,0,3,16.9,30.5,18.4,0.0,23650.0
2018-11-14,0,4,14.8,17.3,7.2,6.2,24113.0
2018-11-15,0,5,13.7,18.1,23.8,0.2,27473.0
2018-11-16,0,6,8.3,19.0,29.8,0.0,30716.0
2018-11-17,0,7,9.6,18.1,29.9,0.0,27863.0
2018-11-18,0,1,9.8,26.6,30.1,0.0,21727.0
2018-11-19,0,2,15.4,30.9,27.5,0.0,24354.0
2018-11-20,0,3,22.5,27.6,5.5,0.0,22215.0
2018-11-21,0,4,12.3,23.2,24.2,24.2,26616.0
2018-11-22,0,5,9.7,16.4,20.3,6.2,27593.0
2018-11-23,0,6,11.0,14.5,3.5,6.0,34892.0
2018-11-24,0,7,11.1,16.9,15.8,7.0,28539.0
2018-11-25,0,1,12.7,18.8,20.5,0.8,24028.0
2018-11-26,0,2,11.9,18.6,25.5,0.0,26336.0
2018-11-27,0,3,14.4,20.0,23.3,0.2,24327.0
2018-11-28,0,4,14.4,20.8,18.0,0.0,25492.0
2018-11-29,0,5,13.9,18.7,21.1,0.6,28001.0
2018-11-30,0,6,14.7,20.8,28.0,0.0,33929.0
2018-01-12,0,7,10.3,31.7,30.8,0.0,30659.0
2018-02-12,0,1,12.2,19.5,18.9,10.4,24266.0
2018-03-12,0,2,13.3,23.6,13.4,0.0,26053.0
2018-04-12,0,3,13.4,20.5,28.2,0.0,27510.0
2018-05-12,0,4,13.4,25.2,31.1,0.0,28910.0
2018-06-12,0,5,14.5,35.5,31.3,0.0,29348.0
2018-07-12,0,6,25.1,38.0,27.1,0.0,28289.0
2018-08-12,0,7,22.7,30.3,11.0,0.0,32854.0
2018-09-12,0,1,16.0,20.1,11.8,1.2,26886.0
2018-10-12,0,2,15.8,20.6,28.5,0.0,32101.0
2018-11-12,0,3,13.0,23.6,31.6,0.0,31633.0
2018-12-12,0,4,16.0,33.6,29.4,0.0,29799.0
2018-12-13,0,5,16.9,21.1,6.0,16.2,26702.0
2018-12-14,0,6,16.4,22.7,13.7,16.6,32058.0
2018-12-15,0,7,17.2,24.8,17.5,41.2,35576.0
2018-12-16,0,1,15.8,23.5,16.3,3.8,28578.0
2018-12-17,0,2,15.6,21.8,23.2,2.0,34052.0
2018-12-18,0,3,16.7,20.8,21.1,0.0,34166.0
2018-12-19,0,4,16.8,26.9,16.6,0.0,35361.0
2018-12-20,0,5,16.9,21.2,14.8,0.0,37463.0
2018-12-21,0,6,15.4,20.9,9.6,1.0,36168.0
2018-12-22,0,7,14.1,19.1,27.8,9.8,40384.0
2018-12-23,0,1,11.5,26.9,32.3,0.0,41337.0
2018-12-24,0,2,14.3,34.2,32.3,0.0,35015.0
2018-12-25,1,3,15.8,23.9,32.2,0.0,11652.0
2018-12-26,1,4,13.3,23.8,32.3,0.0,54724.0
2018-12-27,0,5,16.2,37.4,29.3,0.0,28003.0
2018-12-28,0,6,21.9,36.4,19.1,0.0,29065.0
2018-12-29,0,7,21.0,23.9,5.7,1.2,26771.0
2018-12-30,0,1,18.2,22.7,9.9,0.6,24861.0
2018-12-31,0,2,17.3,23.5,31.3,0.8,28553.0
2019-01-01,1,3,15.5,26.2,31.7,0.0,17957.0
2019-02-01,0,4,18.4,22.2,26.3,0.0,25945.0
2019-03-01,0,5,15.9,29.5,27.6,0.0,26152.0
2019-04-01,0,6,18.0,42.6,27.4,0.0,19218.0
2019-05-01,0,7,17.4,21.2,12.9,0.4,23454.0
2019-06-01,0,1,14.6,22.1,30.9,1.4,19735.0
2019-07-01,0,2,17.1,23.1,30.2,0.0,25087.0
2019-08-01,0,3,16.7,24.1,28.9,0.0,24486.0
2019-09-01,0,4,16.1,20.5,28.4,0.6,26116.0
2019-10-01,0,5,13.5,21.4,25.8,0.0,25915.0
2019-11-01,0,6,12.9,30.4,31.5,0.0,26140.0
2019-12-01,0,7,17.7,24.7,28.6,0.0,22763.0
2019-01-13,0,1,14.4,30.5,31.3,0.0,18512.0
2019-01-14,0,2,18.7,32.3,31.1,0.0,21309.0
2019-01-15,0,3,19.4,30.4,22.3,0.0,22177.0
2019-01-16,0,4,19.8,26.7,17.5,0.0,24519.0
2019-01-17,0,5,20.7,32.5,6.0,0.0,25170.0
2019-01-18,0,6,22.3,28.7,2.6,0.2,28005.0
2019-01-19,0,7,16.5,23.5,30.2,2.0,26003.0
2019-01-20,0,1,15.2,22.9,29.2,0.0,19639.0
2019-01-21,0,2,18.4,25.1,28.2,0.0,24043.0
2019-01-22,0,3,19.0,26.8,29.3,0.0,23565.0
2019-01-23,0,4,18.7,23.9,27.4,0.0,25241.0
2019-01-24,0,5,17.3,40.8,30.0,0.0,22929.0
2019-01-25,0,6,21.1,42.8,25.3,0.0,21123.0
2019-01-26,1,7,19.9,26.1,27.7,0.0,22285.0
2019-01-27,0,1,18.4,27.8,21.1,0.0,19788.0
2019-01-28,1,2,15.5,34.5,29.4,0.0,15549.0
2019-01-29,0,3,17.5,36.8,27.7,0.0,19566.0
2019-01-30,0,4,18.0,38.1,19.9,0.0,19013.0
2019-01-31,0,5,17.2,21.5,27.8,6.6,23454.0
2019-01-02,0,6,12.6,24.2,28.8,0.0,26624.0
2019-02-02,0,7,15.0,34.4,27.5,0.0,20880.0
2019-03-02,0,1,19.1,38.2,26.1,0.0,14311.0
2019-04-02,0,2,20.0,22.7,9.3,0.0,21304.0
2019-05-02,0,3,17.7,26.9,14.6,0.0,22073.0
2019-06-02,0,4,18.5,34.7,22.8,0.0,20765.0
2019-07-02,0,5,20.7,28.3,25.1,11.0,22503.0
2019-08-02,0,6,18.1,23.1,21.1,0.0,26229.0
2019-09-02,0,7,14.6,19.7,13.6,0.0,22073.0
2019-10-02,0,1,13.0,23.3,23.5,4.8,19231.0
2019-11-02,0,2,14.4,27.5,18.6,0.0,21344.0
2019-12-02,0,3,18.4,21.5,12.4,0.0,20345.0
2019-02-13,0,4,11.8,19.2,23.7,2.8,23375.0
2019-02-14,0,5,12.3,23.2,24.2,0.0,26376.0
2019-02-15,0,6,14.8,22.8,23.1,0.0,27459.0
2019-02-16,0,7,16.1,23.2,24.2,0.0,24218.0
2019-02-17,0,1,15.0,29.0,20.0,0.0,18982.0
2019-02-18,0,2,18.0,23.6,16.9,0.0,21760.0
2019-02-19,0,3,13.7,20.2,21.4,0.0,22059.0
2019-02-20,0,4,13.5,23.2,20.8,0.0,22851.0
2019-02-21,0,5,14.0,20.4,16.2,0.0,24738.0
2019-02-22,0,6,15.5,21.2,23.9,0.0,29537.0
2019-02-23,0,7,16.4,25.8,24.0,0.0,26105.0
2019-02-24,0,1,13.8,32.9,24.6,0.0,21216.0
2019-02-25,0,2,18.0,34.2,24.4,0.0,21982.0
2019-02-26,0,3,17.9,22.3,21.0,0.0,22752.0
2019-02-27,0,4,12.9,25.7,24.0,0.0,22842.0
2019-02-28,0,5,16.3,36.8,23.4,0.0,22068.0
2019-01-03,0,6,22.6,38.1,22.3,0.0,23652.0
2019-02-03,0,7,22.3,36.3,23.4,0.0,19308.0
2019-03-03,0,1,25.1,36.0,14.4,0.0,16283.0
2019-04-03,0,2,19.0,24.6,21.8,0.0,21762.0
2019-05-03,0,3,18.0,24.3,15.5,0.0,22973.0
2019-06-03,0,4,13.2,17.2,19.5,1.6,22447.0
2019-07-03,0,5,9.7,22.1,21.2,2.0,24932.0
2019-08-03,0,6,11.3,26.8,10.2,0.0,27380.0
2019-09-03,0,7,13.9,24.7,20.0,0.0,25243.0
2019-10-03,0,1,14.3,23.7,10.1,0.0,22408.0
2019-11-03,1,2,15.9,21.8,18.6,0.2,19283.0
2019-12-03,0,3,15.8,19.2,10.8,0.0,21265.0
2019-03-13,0,4,11.9,18.6,15.1,0.0,22168.0
2019-03-14,0,5,12.1,20.8,20.6,0.2,24884.0
2019-03-15,0,6,11.7,22.2,18.7,0.0,29205.0
2019-03-16,0,7,12.2,25.6,20.1,0.0,24991.0
2019-03-17,0,1,14.2,25.6,19.2,0.0,18331.0
2019-03-18,0,2,16.5,28.2,18.9,0.0,21826.0
2019-03-19,0,3,16.9,23.4,12.7,0.0,20996.0
2019-03-20,0,4,19.3,23.4,11.1,0.0,22166.0
2019-03-21,0,5,18.2,24.3,12.5,0.0,23629.0
2019-03-22,0,6,18.7,28.6,15.3,0.0,27763.0
2019-03-23,0,7,19.9,31.3,13.6,1.8,23202.0
2019-03-24,0,1,16.5,29.3,16.9,2.0,18038.0
2019-03-25,0,2,14.8,19.0,13.6,0.2,19949.0
2019-03-26,0,3,12.3,20.3,15.9,0.0,21971.0
2019-03-27,0,4,11.1,21.7,17.8,0.0,23456.0
2019-03-28,0,5,11.6,27.9,17.8,0.0,24811.0
2019-03-29,0,6,14.6,28.5,4.9,0.0,26747.0
2019-03-30,0,7,9.1,15.6,11.4,1.8,23168.0
2019-03-31,0,1,9.4,18.5,8.0,2.2,18412.0
2019-01-04,0,2,13.0,17.1,6.6,0.2,20473.0
2019-02-04,0,3,7.4,25.9,16.6,0.0,21270.0
2019-03-04,0,4,9.4,24.7,10.9,0.0,21501.0
2019-04-04,0,5,13.3,21.9,13.9,0.0,23752.0
2019-05-04,0,6,14.4,28.5,15.3,0.0,27143.0
2019-06-04,0,7,16.5,20.1,12.4,0.0,26334.0
2019-07-04,0,1,9.5,26.5,15.9,0.0,20471.0
2019-08-04,0,2,12.5,23.1,9.0,0.0,22378.0
2019-09-04,0,3,11.1,16.3,13.9,1.6,23400.0
2019-10-04,0,4,10.7,15.8,4.8,1.4,25356.0
2019-11-04,0,5,11.3,17.3,14.4,0.0,26853.0
2019-12-04,0,6,6.7,24.9,15.3,0.2,31232.0
2019-04-13,0,7,10.5,20.7,10.0,0.0,26628.0
2019-04-14,0,1,11.8,22.5,14.4,0.0,20668.0
2019-04-15,0,2,12.9,27.4,10.9,0.0,23940.0
2019-04-16,0,3,17.1,30.3,14.4,0.0,24432.0
2019-04-17,0,4,22.1,30.0,12.8,0.0,24856.0
2019-04-18,0,5,13.2,17.7,12.8,0.0,30402.0
2019-04-19,1,6,8.6,22.1,14.0,0.0,14571.0
2019-04-20,1,7,10.2,30.2,13.9,0.0,28738.0
2019-04-21,1,1,14.8,27.0,7.5,0.0,20891.0
2019-04-22,1,2,13.7,17.6,6.0,0.8,20211.0
2019-04-23,0,3,11.1,18.5,8.0,0.0,23088.0
2019-04-24,0,4,14.6,23.2,8.2,0.0,24729.0
2019-04-25,1,5,10.2,21.5,10.6,0.0,20191.0
2019-04-26,0,6,11.9,15.8,6.9,3.0,25992.0
2019-04-27,0,7,8.7,16.2,8.5,0.0,21556.0
2019-04-28,0,1,12.4,17.4,5.2,0.0,15577.0
2019-04-29,0,2,11.5,18.1,8.4,0.0,19107.0
2019-04-30,0,3,7.9,23.1,11.7,0.0,19369.0
2019-01-05,0,4,15.6,22.8,7.8,0.0,22577.0
2019-02-05,0,5,17.1,20.2,6.2,3.6,21710.0
2019-03-05,0,6,11.8,20.7,9.0,0.2,26620.0
2019-04-05,0,7,13.0,16.4,8.2,0.2,23216.0
2019-05-05,0,1,11.3,16.3,6.5,2.0,17911.0
2019-06-05,0,2,11.7,16.7,8.5,0.2,19358.0
2019-07-05,0,3,7.4,18.7,11.7,0.0,20542.0
2019-08-05,0,4,10.3,17.4,7.3,5.2,20158.0
2019-09-05,0,5,9.7,16.2,5.3,0.6,21787.0
2019-10-05,0,6,10.2,14.2,2.8,7.2,21557.0
2019-11-05,0,7,10.2,16.4,7.7,8.2,22393.0
2019-12-05,0,1,12.2,17.7,6.6,0.0,17423.0
2019-05-13,0,2,12.7,18.1,8.3,0.0,19379.0
2019-05-14,0,3,11.3,20.2,9.0,0.0,19267.0
2019-05-15,0,4,12.0,15.8,8.0,0.0,19945.0
2019-05-16,0,5,10.5,16.1,9.8,0.0,20930.0
2019-05-17,0,6,6.5,18.6,10.7,0.0,25616.0
2019-05-18,0,7,6.2,21.5,10.6,0.0,23199.0
2019-05-19,0,1,8.9,21.8,10.0,0.2,18301.0
2019-05-20,0,2,12.0,19.6,3.1,0.4,19501.0
2019-05-21,0,3,11.1,20.4,6.9,0.4,19493.0
2019-05-22,0,4,10.7,22.3,10.3,0.0,21100.0
2019-05-23,0,5,9.9,21.3,10.2,0.0,22274.0
2019-05-24,0,6,13.8,20.2,4.4,0.0,25392.0
2019-05-25,0,7,13.7,19.8,9.1,1.6,22460.0
2019-05-26,0,1,9.5,15.1,8.6,6.6,17495.0
2019-05-27,0,2,7.8,14.0,7.2,8.2,17751.0
2019-05-28,0,3,8.2,15.7,3.3,0.2,18848.0
2019-05-29,0,4,8.7,10.6,7.9,1.2,17955.0
2019-05-30,0,5,6.7,13.3,5.8,5.8,21273.0
2019-05-31,0,6,8.5,14.3,5.7,1.4,23775.0
2019-01-06,0,7,11.7,14.6,5.8,2.4,23048.0
2019-02-06,0,1,11.0,14.5,6.7,0.0,17258.0
2019-03-06,0,2,8.2,12.0,3.8,15.4,17524.0
2019-04-06,0,3,8.4,12.9,7.9,3.2,19757.0
2019-05-06,0,4,8.6,13.0,5.7,0.0,20503.0
2019-06-06,0,5,10.2,14.8,7.9,0.0,22511.0
2019-07-06,0,6,11.7,16.6,8.0,0.0,26530.0
2019-08-06,0,7,6.7,18.7,9.3,0.0,24488.0
2019-09-06,0,1,7.8,18.0,8.0,0.0,21433.0
2019-10-06,1,2,12.0,19.2,7.6,3.0,18106.0
2019-11-06,0,3,9.6,17.9,9.2,0.0,19686.0
2019-12-06,0,4,11.9,16.5,1.3,0.6,17648.0
2019-06-13,0,5,8.8,17.4,8.9,2.6,21576.0
2019-06-14,0,6,10.0,17.3,7.0,2.2,24061.0
2019-06-15,0,7,9.0,15.2,6.4,2.6,21924.0
2019-06-16,0,1,8.6,16.7,7.5,0.0,16701.0
2019-06-17,0,2,6.3,17.9,8.6,3.4,19608.0
2019-06-18,0,3,8.0,13.7,5.2,0.0,17343.0
2019-06-19,0,4,6.6,11.9,7.0,0.8,19496.0
2019-06-20,0,5,6.4,11.3,6.4,1.6,20553.0
2019-06-21,0,6,6.5,12.6,8.5,3.0,25452.0
2019-06-22,0,7,6.8,11.8,7.3,0.4,21666.0
2019-06-23,0,1,3.6,9.6,5.9,1.2,15751.0
2019-06-24,0,2,4.2,16.0,9.0,0.0,18923.0
2019-06-25,0,3,3.5,17.0,8.9,0.0,20142.0
2019-06-26,0,4,4.6,18.0,9.2,0.2,21155.0
2019-06-27,0,5,5.9,17.5,9.2,0.0,23278.0
2019-06-28,0,6,10.7,19.5,9.2,0.0,26054.0
2019-06-29,0,7,13.0,17.6,2.6,0.8,19702.0
2019-06-30,0,1,8.1,14.5,8.5,6.4,19292.0
2019-01-07,0,2,9.5,14.1,8.3,0.0,20787.0
2019-02-07,0,3,8.6,15.9,6.6,0.0,20841.0
2019-03-07,0,4,8.2,13.7,7.5,0.0,23038.0
2019-04-07,0,5,5.3,13.5,6.9,0.0,24173.0
2019-05-07,0,6,3.5,19.1,9.0,0.0,28850.0
2019-06-07,0,7,6.0,19.4,9.3,0.0,24719.0
2019-07-07,0,1,9.0,18.2,6.1,0.2,19027.0
2019-08-07,0,2,11.0,16.0,8.2,5.2,23842.0
2019-09-07,0,3,6.8,15.0,7.2,0.2,23634.0
2019-10-07,0,4,9.5,15.4,6.7,0.2,23975.0
2019-11-07,0,5,7.8,14.3,4.6,6.4,24961.0
2019-12-07,0,6,10.1,15.7,6.2,2.4,26236.0
2019-07-13,0,7,7.0,12.0,8.3,4.4,22522.0
2019-07-14,0,1,7.1,13.1,3.8,0.8,16811.0
2019-07-15,0,2,8.9,14.3,7.6,4.4,20836.0
2019-07-16,0,3,9.9,13.9,6.4,1.8,21227.0
2019-07-17,0,4,9.7,13.7,3.6,0.0,21725.0
2019-07-18,0,5,9.0,14.3,7.9,0.4,24379.0
2019-07-19,0,6,7.5,15.7,9.6,1.6,28707.0
2019-07-20,0,7,8.0,17.1,10.3,0.0,23873.0
2019-07-21,0,1,11.3,16.6,8.1,0.0,18798.0
2019-07-22,0,2,7.9,15.6,10.6,0.0,20315.0
2019-07-23,0,3,9.9,15.2,8.2,1.6,19413.0
2019-07-24,0,4,7.0,14.4,7.8,8.0,21591.0
2019-07-25,0,5,9.2,14.8,5.2,0.0,23108.0
2019-07-26,0,6,11.0,14.0,5.9,0.0,25098.0
2019-07-27,0,7,9.8,15.3,8.7,6.8,25189.0
2019-07-28,0,1,6.6,15.1,10.2,0.0,19540.0
2019-07-29,0,2,8.9,14.6,9.9,0.0,20070.0
2019-07-30,0,3,7.9,12.5,8.7,0.8,18386.0
2019-07-31,0,4,3.0,12.5,11.3,0.0,18659.0
2019-01-08,0,5,5.8,13.8,8.6,0.0,18174.0
2019-02-08,0,6,9.7,12.7,7.4,0.4,21184.0
2019-03-08,0,7,10.0,13.9,6.2,0.0,18434.0
2019-04-08,0,1,9.2,13.1,7.2,1.0,13884.0
2019-05-08,0,2,10.0,15.8,10.7,0.0,16231.0
2019-06-08,0,3,9.1,13.5,4.5,0.4,14728.0
2019-07-08,0,4,9.3,14.1,7.5,0.0,15839.0
2019-08-08,0,5,6.7,13.9,9.6,10.8,18577.0
2019-09-08,0,6,7.8,10.1,7.3,2.0,19640.0
2019-10-08,0,7,5.2,12.5,6.6,4.2,18891.0
2019-11-08,0,1,4.8,12.9,11.4,6.0,15814.0
2019-12-08,0,2,6.3,12.0,9.9,8.8,19383.0
2019-08-13,0,3,8.8,13.1,7.0,0.0,19857.0
2019-08-14,0,4,9.1,13.8,6.7,0.2,20806.0
2019-08-15,0,5,7.3,16.2,10.5,0.0,23073.0
2019-08-16,0,6,10.6,16.9,6.3,0.0,26002.0
2019-08-17,0,7,7.0,16.5,13.4,3.8,27017.0
2019-08-18,0,1,8.8,19.4,9.3,0.0,16933.0
2019-08-19,0,2,5.8,12.3,12.8,4.0,19817.0
2019-08-20,0,3,7.6,17.0,7.2,0.4,19958.0
2019-08-21,0,4,11.5,16.6,11.5,0.2,21044.0
2019-08-22,0,5,9.6,13.0,11.3,1.6,24477.0
2019-08-23,0,6,3.8,15.1,14.5,0.0,31162.0
2019-08-24,0,7,7.9,18.0,13.0,0.0,26634.0
2019-08-25,0,1,6.5,12.9,13.9,1.2,18544.0
2019-08-26,0,2,5.3,14.4,14.7,0.0,20634.0
2019-08-27,0,3,4.2,15.3,12.9,0.0,19915.0
2019-08-28,0,4,8.3,13.4,5.0,0.0,18424.0
2019-08-29,0,5,6.1,13.0,13.2,6.2,23813.0
2019-08-30,0,6,2.3,15.3,15.6,0.2,28247.0
2019-08-31,0,7,5.0,18.2,15.8,0.0,24655.0
2019-01-09,0,1,11.1,19.6,9.4,0.0,16386.0
2019-02-09,0,2,10.2,17.6,13.8,2.4,20161.0
2019-03-09,0,3,9.2,19.6,16.4,0.6,20409.0
2019-04-09,0,4,8.2,18.7,15.1,0.0,20952.0
2019-05-09,0,5,8.7,21.2,14.8,3.4,21671.0
2019-06-09,0,6,11.3,16.0,10.4,2.0,25163.0
2019-07-09,0,7,8.8,12.9,11.3,1.0,22040.0
2019-08-09,0,1,8.2,15.1,9.5,0.6,15343.0
2019-09-09,0,2,6.8,12.8,14.4,5.6,18293.0
2019-10-09,0,3,7.7,14.8,16.1,2.6,19947.0
2019-11-09,0,4,5.0,20.8,17.8,0.0,21668.0
2019-12-09,0,5,11.1,20.8,11.8,0.0,20950.0
2019-09-13,0,6,7.7,18.6,14.0,0.0,24856.0
2019-09-14,0,7,9.3,20.0,18.3,0.0,23546.0
2019-09-15,0,1,12.4,21.8,8.4,1.6,15128.0
2019-09-16,0,2,9.7,12.8,17.7,13.0,19289.0
2019-09-17,0,3,3.6,14.8,19.0,0.0,20730.0
2019-09-18,0,4,4.3,18.9,19.2,0.0,21551.0
2019-09-19,0,5,8.2,24.0,19.4,0.0,23457.0
2019-09-20,0,6,15.7,26.2,14.4,0.0,29439.0
2019-09-21,0,7,14.5,19.4,10.5,0.0,21917.0
2019-09-22,0,1,7.9,15.5,13.6,4.6,19094.0
2019-09-23,0,2,8.9,15.2,13.9,2.0,21041.0
2019-09-24,0,3,8.3,15.1,13.3,1.4,22134.0
2019-09-25,0,4,8.7,16.6,13.1,0.0,24128.0
2019-09-26,0,5,8.3,20.3,19.6,0.0,30160.0
2019-09-27,1,6,12.3,18.8,7.4,0.0,22503.0
2019-09-28,0,7,7.2,14.9,17.7,0.2,20635.0
2019-09-29,0,1,9.1,15.8,19.0,0.0,18703.0
2019-09-30,0,2,10.1,14.1,14.4,0.0,22486.0
2019-01-10,0,3,4.2,20.5,21.7,0.0,
2019-02-10,0,4,9.3,26.5,18.5,0.0,
2019-03-10,0,5,15.1,29.7,22.0,0.0,
2019-04-10,0,6,12.5,15.2,11.0,0.0,
2019-05-10,0,7,7.6,24.3,17.4,1.8,
2019-06-10,0,1,12.9,24.8,17.4,0.0,
2019-07-10,0,2,11.6,16.4,15.1,0.0,
2019-08-10,0,3,9.5,14.2,17.0,2.6,
2019-09-10,0,4,8.5,15.0,19.3,5.8,
2019-10-10,0,5,10.2,14.7,12.6,0.2,
2019-11-10,0,6,9.5,18.9,17.5,0.0,28063.0
2019-12-10,0,7,8.2,20.4,20.1,0.0,25974.0
2019-10-13,0,1,9.4,23.1,19.6,0.0,19378.0
2019-10-14,0,2,13.6,26.7,20.2,0.2,21285.0
2019-10-15,0,3,13.0,18.0,20.6,0.0,21138.0
2019-10-16,0,4,13.3,20.4,11.4,0.0,20147.0
2019-10-17,0,5,9.5,15.2,9.6,4.4,21141.0
2019-10-18,0,6,7.3,22.1,23.2,0.8,27276.0
2019-10-19,0,7,9.4,15.3,15.8,0.8,21958.0
2019-10-20,0,1,10.0,16.4,14.7,0.8,17713.0
2019-10-21,0,2,11.5,17.0,19.6,0.0,20429.0
2019-10-22,0,3,11.9,19.6,23.7,0.0,22427.0
2019-10-23,0,4,8.2,27.9,26.0,0.0,29426.0
2019-10-24,0,5,13.0,33.8,26.1,0.2,22594.0
2019-10-25,0,6,16.8,21.6,10.0,0.0,25992.0
2019-10-26,0,7,9.6,15.5,17.2,3.8,21326.0
2019-10-27,0,1,10.3,17.0,10.1,1.2,18334.0
2019-10-28,0,2,8.7,21.6,26.3,1.4,23097.0
2019-10-29,0,3,9.7,30.5,27.0,0.0,21841.0
2019-10-30,0,4,13.8,25.1,27.2,0.0,24141.0
2019-10-31,0,5,14.2,33.7,25.5,0.0,23330.0
2019-01-11,0,6,20.0,34.3,22.8,0.0,26613.0
2019-02-11,0,7,15.8,18.9,2.2,4.2,18136.0
2019-03-11,0,1,12.8,20.7,7.8,12.4,19179.0
2019-04-11,0,2,9.5,16.2,11.2,1.2,29196.0
2019-05-11,1,3,7.7,19.6,27.4,10.2,16848.0
2019-06-11,0,4,10.5,24.1,19.9,0.0,23756.0
