route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"3-109-mjp-1","T0+WD6F","1.T0.3-109-mjp-1.1.H","3-109-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","1.T2.3-109-mjp-1.2.H","3-109-mjp-1.2.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T3","1.T3.3-109-mjp-1.1.H","3-109-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T0+WD10","10.T0.3-109-mjp-1.1.H","3-109-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","10.T2.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T3","10.T3.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T0+WD10","100.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","100.T2.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T3","100.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD6F","101.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","101.T2.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T3","101.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD10","102.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","102.T2.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T3","102.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD6F","103.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","103.T2.3-109-mjp-1.4.R","3-109-mjp-1.4.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T3","103.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD10","104.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","104.T2.3-109-mjp-1.4.R","3-109-mjp-1.4.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T3","104.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD6F","105.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","105.T2.3-109-mjp-1.6.R","3-109-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T3","105.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD10","106.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","106.T2.3-109-mjp-1.6.R","3-109-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T3","106.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD6F","107.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","107.T2.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T3","107.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD10","108.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","108.T2.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T3","108.T3.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-mjp-1","T0+WD6F","109.T0.3-109-mjp-1.3.H","3-109-mjp-1.3.H","Port Melbourne to Box Hill","0"
"3-109-mjp-1","T2","109.T2.3-109-mjp-1.7.R","3-109-mjp-1.7.R","Box Hill to Port Melbourne","1"
