stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id
"10031","Bell St/Cumberland Rd","-37.73761144","144.93729826","","","0","Level 0"
"10032","Balmoral Ave/Bell St","-37.73879226","144.94195215","","","0","Level 0"
"10033","Royal Pde/Bell St","-37.73940394","144.94705314","","","0","Level 0"
"10034","Davis St/Bell St","-37.73979317","144.95077590","","","0","Level 0"
"10035","Linsey St/Bell St","-37.74008605","144.95362754","","","0","Level 0"
"10036","Kelson St/Bell St","-37.74032576","144.95601539","","","0","Level 0"
"10037","Nelson St/Bell St","-37.74071785","144.95991974","","","0","Level 0"
"10038","Coburg Cemetery/Bell St","-37.74310506","144.98236979","","","0","Level 0"
"10039","Tasman St/Bell St","-37.74354790","144.98560348","","","0","Level 0"
"1004","Wood St/Dalton Rd","-37.69200770","145.02548993","","","0","Level 0"
"10040","Gilbert Rd/Bell St","-37.74397544","144.98952991","","","0","Level 0"
"10041","Erin St/Bell St","-37.74427667","144.99292640","","","0","Level 0"
"10042","Penola St/Bell St","-37.74455323","144.99593772","","","0","Level 0"
"10043","High St/Bell St","-37.74516150","145.00203840","","","0","Level 0"
"10044","Plenty Rd/Bell St","-37.74548267","145.00503725","","","0","Level 0"
"10045","Panch Health Service/Bell St","-37.74582045","145.00848964","","","0","Level 0"
"10047","O'Keefe St/Bell St","-37.74650014","145.01458863","","","0","Level 0"
"10048","Liberty Pde/Bell St","-37.74941940","145.03714180","","","0","Level 0"
"10049","Oriel Rd/Bell St","-37.74972949","145.03952840","","","0","Level 0"
"1005","Settlement Rd/Dalton Rd","-37.68827471","145.02806113","","","0","Level 0"
"10050","Plunkett St/Bell St","-37.75031340","145.04266824","","","0","Level 0"
"10051","Melbourne Polytechnic/Bell St ","-37.75103120","145.04519170","","","0","Level 0"
"10052","Gotha St/Bell St","-37.75189457","145.04780220","","","0","Level 0"
"10053","Austin Repat MC/Bell St","-37.75267606","145.04982469","","","0","Level 0"
"10054","Myrtle St/Bell St","-37.75384072","145.05267710","","","0","Level 0"
"10055","Warringal SC/Cape St","-37.75559602","145.06733017","","","0","Level 0"
"10056","Heidelberg Primary School/Darebin St ","-37.75455865","145.06946836","","","0","Level 0"
"10057","Brown St/Rosanna Rd","-37.75210398","145.07036072","","","0","Level 0"
"10058","Reid St/Rosanna Rd","-37.75001084","145.07076694","","","0","Level 0"
"10059","St James Rd/Rosanna Rd","-37.74857343","145.07104262","","","0","Level 0"
"1006","Alison St/Dalton Rd","-37.68400281","145.02912680","","","0","Level 0"
"10060","Station Rd/Rosanna Rd","-37.74569732","145.07151451","","","0","Level 0"
"10061","Millicent St/Lower Plenty Rd","-37.74048948","145.06938001","","","0","Level 0"
"10062","Arden Cres/Lower Plenty Rd","-37.73967420","145.07077433","","","0","Level 0"
"10063","Milford Gr/Lower Plenty Rd","-37.73803532","145.07360848","","","0","Level 0"
"10064","Lyons St/Hyde St","-37.80879504","144.89955079","","","0","Level 0"
"10065","Harris St/Hyde St","-37.81115367","144.89840485","","","0","Level 0"
"10066","Yarraville Gardens/Hyde St","-37.81426950","144.89727143","","","0","Level 0"
"10067","Lennox St/Hyde St","-37.81669533","144.89686180","","","0","Level 0"
"10068","Earsdon St/Hyde St","-37.81822106","144.89651177","","","0","Level 0"
"10069","Little Hyde St/Hyde St","-37.81988291","144.89621467","","","0","Level 0"
"1007","Buckingham Ct/Dalton Rd","-37.68055186","145.02970572","","","0","Level 0"
"10070","Hyde St/Francis St","-37.82178620","144.89530858","","","0","Level 0"
"10071","Stephen St/Francis St","-37.82146439","144.89243217","","","0","Level 0"
"10072","Hughes St/Francis St","-37.82125253","144.89066597","","","0","Level 0"
"10073","Evans St/Bridge St","-37.83418498","144.94058784","","","0","Level 0"
"10074","Princes St/Bridge St","-37.83588410","144.94241544","","","0","Level 0"
"10075","Bay Street Shops/Bay St","-37.83850980","144.94260383","","","0","Level 0"
"10076","Cruikshank St/Liardet St","-37.84002104","144.94502769","","","0","Level 0"
"10077","Bridport St/Richardson St","-37.84235279","144.94903119","","","0","Level 0"
"10078","Albert Park Shops/Richardson St","-37.84357915","144.95114500","","","0","Level 0"
"10079","Kerferd Rd/Richardson St","-37.84557519","144.95451040","","","0","Level 0"
"1008","Wattle St/Dalton Rd","-37.67855662","145.03003064","","","0","Level 0"
"10080","Middle Park PS/Richardson St","-37.84718593","144.95748885","","","0","Level 0"
"10081","Wright St/Richardson St","-37.84800597","144.95904590","","","0","Level 0"
"10082","Nimmo St/Richardson St","-37.84974881","144.96237323","","","0","Level 0"
"10084","Armstrong St/Danks St","-37.85308237","144.96284971","","","0","Level 0"
