route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"14-200-aus-1","","200","Bulleen - City (Queen St)","3","FF8200","FFFFFF"
"14-207-aus-1","","207","Doncaster SC - City (Queen St)","3","FF8200","FFFFFF"
"14-270-aus-1","","270","Mitcham - Box Hill","3","FF8200","FFFFFF"
"14-271-aus-1","","271","Ringwood - Box Hill Station","3","FF8200","FFFFFF"
"14-273-aus-1","","273","The Pines SC - Nunawading Station","3","FF8200","FFFFFF"
"14-279-aus-1","","279","Doncaster SC/Templestowe - Box Hill Station","3","FF8200","FFFFFF"
"14-280-aus-1","","280","The Pines SC","3","FF8200","FFFFFF"
"14-281-aus-1","","281","Box Hill Station - Templestowe","3","FF8200","FFFFFF"
"14-282-aus-1","","282","The Pines SC","3","FF8200","FFFFFF"
"14-284-aus-1","","284","Doncaster Park & Ride - Box Hill Station","3","FF8200","FFFFFF"
"14-285-aus-1","","285","Camberwell SC - Doncaster Park & Ride","3","FF8200","FFFFFF"
"14-293-aus-1","","293","Greensborough - Box Hill Station","3","FF8200","FFFFFF"
"14-295-aus-1","","295","The Pines SC - Doncaster SC","3","FF8200","FFFFFF"
"14-302-aus-1","","302","Box Hill Station - City (King/Lonsdale St)","3","FF8200","FFFFFF"
"14-303-aus-1","","303","Ringwood North - City (Queen St)","3","FF8200","FFFFFF"
"14-304-aus-1","","304","Doncaster SC - City (King/Lonsdale St)","3","FF8200","FFFFFF"
"14-305-aus-1","","305","The Pines SC - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"14-309-aus-1","","309","The Pines SC - City (Queen St)","3","FF8200","FFFFFF"
"14-318-aus-1","","318","Deep Creek - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"14-364-aus-1","","364","Warrandyte - Ringwood Station","3","FF8200","FFFFFF"
"14-370-aus-1","","370","Ringwood Station - Mitcham Station","3","FF8200","FFFFFF"
"14-668-aus-1","","668","Croydon Station - Ringwood Station","3","FF8200","FFFFFF"
"14-669-aus-1","","669","Croydon Station - Ringwood Station","3","FF8200","FFFFFF"
"14-901-aus-1","","901","Frankston - Melbourne Airport","3","FF8200","FFFFFF"
"14-903-aus-1","","903","Mordialloc - Altona","3","FF8200","FFFFFF"
"14-905-aus-1","","905","The Pines SC - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"14-906-aus-1","","906","Warrandyte - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"14-907-aus-1","","907","Mitcham - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"14-908-aus-1","","908","The Pines SC - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"16-501-aus-1","","501","Craigieburn Station - Donnybrook Station","3","FF8200","FFFFFF"
"16-511-aus-1","","511","Mandalay - Donnybrook Station","3","FF8200","FFFFFF"
"16-524-aus-1","","524","Donnybrook Station","3","FF8200","FFFFFF"
"16-528-aus-1","","528","Craigieburn Central SC - Craigieburn Station","3","FF8200","FFFFFF"
"16-529-aus-1","","529","Craigieburn North - Craigieburn Station","3","FF8200","FFFFFF"
"16-530-aus-1","","530","Coburg - Campbellfield","3","FF8200","FFFFFF"
"16-531-aus-1","","531","North Coburg - Upfield Station","3","FF8200","FFFFFF"
"16-532-aus-1","","532","Broadmeadows - Craigieburn","3","FF8200","FFFFFF"
"16-533-aus-1","","533","Craigieburn North - Craigieburn","3","FF8200","FFFFFF"
"16-537-aus-1","","537","Craigieburn Central SC - Craigieburn Station","3","FF8200","FFFFFF"
"16-544-aus-1","","544","Roxburgh Park Station - Craigieburn Station","3","FF8200","FFFFFF"
"17-200-aus-1","","200","Bulleen - City (Queen St)","3","FF8200","FFFFFF"
"17-202-aus-1","","202","Yarra Bend - Melbourne University","3","FF8200","FFFFFF"
"17-207-aus-1","","207","Doncaster SC - City (Queen St)","3","FF8200","FFFFFF"
"17-234-aus-1","","234","Garden City - City (Queen Victoria Market)","3","FF8200","FFFFFF"
"17-235-aus-1","","235","Fishermans Bend - City (Southern Cross Station)","3","FF8200","FFFFFF"
"17-236-aus-1","","236","Garden City - City (Queen Victoria Market)","3","FF8200","FFFFFF"
"17-237-aus-1","","237","Fishermans Bend - City (Southern Cross Station)","3","FF8200","FFFFFF"
"17-246-aus-1","","246","Elsternwick - Clifton Hill","3","FF8200","FFFFFF"
"17-250-aus-1","","250","La Trobe University - City (Queen St)","3","FF8200","FFFFFF"
"17-251-aus-1","","251","Northland SC - City (Queen St)","3","FF8200","FFFFFF"
"17-270-aus-1","","270","Mitcham - Box Hill","3","FF8200","FFFFFF"
"17-279-aus-1","","279","Doncaster SC/Templestowe - Box Hill Station","3","FF8200","FFFFFF"
"17-284-aus-1","","284","Doncaster Park & Ride - Box Hill Station","3","FF8200","FFFFFF"
"17-285-aus-1","","285","Camberwell SC - Doncaster Park & Ride","3","FF8200","FFFFFF"
"17-293-aus-1","","293","Greensborough - Box Hill Station","3","FF8200","FFFFFF"
"17-302-aus-1","","302","Box Hill Station - City (King/Lonsdale St)","3","FF8200","FFFFFF"
"17-304-aus-1","","304","Doncaster SC - City (King/Lonsdale St)","3","FF8200","FFFFFF"
"17-305-aus-1","","305","The Pines SC - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"17-309-aus-1","","309","The Pines SC - City (Queen St)","3","FF8200","FFFFFF"
"17-350-aus-1","","350","La Trobe University - City (Queen St)","3","FF8200","FFFFFF"
"17-510-aus-1","","510","Ivanhoe Station - Essendon Station","3","FF8200","FFFFFF"
"17-512-aus-1","","512","East Coburg - Strathmore Station","3","FF8200","FFFFFF"
"17-903-aus-1","","903","Mordialloc - Altona","3","FF8200","FFFFFF"
"17-905-aus-1","","905","The Pines SC - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"17-906-aus-1","","906","Warrandyte - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"17-907-aus-1","","907","Mitcham - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"17-908-aus-1","","908","The Pines SC - City (King/Lonsdale Sts)","3","FF8200","FFFFFF"
"18-901-aus-1","","901","Frankston - Melbourne Airport","3","FF8200","FFFFFF"
"18-902-aus-1","","902","Chelsea Railway Station - Airport West SC","3","FF8200","FFFFFF"
"18-903-aus-1","","903","Mordialloc - Altona","3","FF8200","FFFFFF"
"19-663-aus-1","","663","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-664-aus-1","","664","Chirnside Park SC - Knox City SC","3","FF8200","FFFFFF"
"19-670-aus-1","","670","Lilydale - Ringwood","3","FF8200","FFFFFF"
"19-671-aus-1","","671","Chirnside Park SC - Croydon","3","FF8200","FFFFFF"
"19-672-aus-1","","672","Chirnside Park SC - Croydon","3","FF8200","FFFFFF"
"19-675-aus-1","","675","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-677-aus-1","","677","Chirnside Park SC - Lilydale","3","FF8200","FFFFFF"
"19-679-aus-1","","679","Chirnside Park SC - Ringwood","3","FF8200","FFFFFF"
"19-680-aus-1","","680","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-681-aus-1","","681","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-688-aus-1","","688","Upper Ferntree Gully - Croydon","3","FF8200","FFFFFF"
"19-689-aus-1","","689","Montrose - Croydon Station","3","FF8200","FFFFFF"
"19-690-aus-1","","690","Boronia - Croydon","3","FF8200","FFFFFF"
"19-691-aus-1","","691","Boronia - Croydon","3","FF8200","FFFFFF"
"19-693-aus-1","","693","Belgrave - Oakleigh","3","FF8200","FFFFFF"
"19-695-aus-1","","695","Gembrook - Belgrave","3","FF8200","FFFFFF"
"19-696-aus-1","","696","Olinda - Monbulk","3","FF8200","FFFFFF"
"19-697-aus-1","","697","Gembrook - Belgrave","3","FF8200","FFFFFF"
"19-699-aus-1","","699","Gembrook - Belgrave","3","FF8200","FFFFFF"
"19-732-aus-1","","732","Upper Ferntree Gully - Box Hill Station","3","FF8200","FFFFFF"
"19-734-aus-1","","734","Glen Waverley - Glen Iris","3","FF8200","FFFFFF"
"19-735-aus-1","","735","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-736-aus-1","","736","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-737-aus-1","","737","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-738-aus-1","","738","Noble Park Station - Mordialloc","3","FF8200","FFFFFF"
"19-740-aus-1","","740","Vermont East - Mitcham","3","FF8200","FFFFFF"
"19-742-aus-1","","742","Gembrook - Belgrave","3","FF8200","FFFFFF"
"19-753-aus-1","","753","Box Hill - Oakleigh","3","FF8200","FFFFFF"
"19-754-aus-1","","754","Chirnside Park SC - Knox City SC","3","FF8200","FFFFFF"
"19-755-aus-1","","755","Belgrave - Lilydale","3","FF8200","FFFFFF"
"19-765-aus-1","","765","Chirnside Park SC - Lilydale","3","FF8200","FFFFFF"
"20-701-aus-1","","701","Bentleigh - Oakleigh","3","FF8200","FFFFFF"
"20-703-aus-1","","703","Blackburn - Middle Brighton","3","FF8200","FFFFFF"
"20-704-aus-1","","704","Westall Station - Oakleigh Station","3","FF8200","FFFFFF"
"20-706-aus-1","","706","Chelsea Railway Station - Mordialloc Shopping Centre","3","FF8200","FFFFFF"
"20-733-aus-1","","733","Box Hill - Oakleigh","3","FF8200","FFFFFF"
"20-766-aus-1","","766","Box Hill Station - Burwood","3","FF8200","FFFFFF"
"20-767-aus-1","","767","Box Hill Station - Southland SC","3","FF8200","FFFFFF"
"20-900-aus-1","","900","Stud Park SC (Rowville) - Caulfield","3","FF8200","FFFFFF"
"21-201-aus-1","","201","Box Hill Station - Deakin University","3","FF8200","FFFFFF"
"21-663-aus-1","","663","Belgrave - Lilydale","3","FF8200","FFFFFF"
"21-664-aus-1","","664","Chirnside Park SC - Knox City SC","3","FF8200","FFFFFF"
"21-670-aus-1","","670","Lilydale - Ringwood","3","FF8200","FFFFFF"
"21-671-aus-1","","671","Chirnside Park SC - Croydon","3","FF8200","FFFFFF"
"21-672-aus-1","","672","Chirnside Park SC - Croydon","3","FF8200","FFFFFF"
"21-675-aus-1","","675","Belgrave - Lilydale","3","FF8200","FFFFFF"
"21-677-aus-1","","677","Chirnside Park SC - Lilydale","3","FF8200","FFFFFF"
"21-679-aus-1","","679","Chirnside Park SC - Ringwood","3","FF8200","FFFFFF"
"21-680-aus-1","","680","Belgrave - Lilydale","3","FF8200","FFFFFF"
"21-681-aus-1","","681","Belgrave - Lilydale","3","FF8200","FFFFFF"
"21-682-aus-1","","682","Carrum Station - Hampton Station","3","FF8200","FFFFFF"
"21-688-aus-1","","688","Upper Ferntree Gully - Croydon","3","FF8200","FFFFFF"
"21-689-aus-1","","689","Montrose - Croydon Station","3","FF8200","FFFFFF"
"21-690-aus-1","","690","Boronia - Croydon","3","FF8200","FFFFFF"
"21-691-aus-1","","691","Boronia - Croydon","3","FF8200","FFFFFF"
"21-693-aus-1","","693","Belgrave - Oakleigh","3","FF8200","FFFFFF"
"21-694-aus-1","","694","Mount Dandenong - Belgrave","3","FF8200","FFFFFF"
"21-695-aus-1","","695","Gembrook - Belgrave","3","FF8200","FFFFFF"
