hour,traffic_level,pedestrian_level,streetlight_count,avg_lux,demand_score,efficiency,recommendation
0,30.529716792979656,92.5371100309324,106037,15.044991738732708,55.33267408816076,over-lit,Reduce lighting during low activity hours
1,20.44515357000399,56.66650614013966,106037,15.044991738732708,34.93369459805826,over-lit,Reduce lighting during low activity hours
2,15.305145592341445,36.24596057209123,106037,15.044991738732708,23.681471584241358,over-lit,Reduce lighting during low activity hours
3,13.698843238930992,27.7673049772316,106037,15.044991738732708,19.326227934251236,over-lit,Reduce lighting during low activity hours
4,15.617072197846031,20.6304538687636,106037,15.044991738732708,17.62242486621306,over-lit,Reduce lighting during low activity hours
5,30.50857598723574,31.19085610137726,106037,15.044991738732708,30.781488032892348,over-lit,Reduce lighting during low activity hours
6,74.43238930993219,85.59285191432481,106037,15.044991738732708,78.89657435168924,over-lit,Reduce lighting during low activity hours
7,123.7499002792182,197.3378359495086,106037,15.044991738732708,153.18507454733435,efficient,Lighting is optimal for current activity
8,150.99002792181892,421.06516527199886,106037,15.044991738732708,259.0200828618909,efficient,Lighting is optimal for current activity
9,135.50937375349022,389.9256752570933,106037,15.044991738732708,237.27589435493147,efficient,Lighting is optimal for current activity
10,124.67371360191464,414.69517733564015,106037,15.044991738732708,240.68229909540486,efficient,Lighting is optimal for current activity
11,125.83805345033905,509.52945904173106,106037,15.044991738732708,279.3146156868959,under-lit,Increase lighting during peak activity hours
12,130.1204627044276,699.7987493421664,106037,15.044991738732708,357.9917773595231,under-lit,Increase lighting during peak activity hours
13,127.61308336657359,711.5536309127249,106037,15.044991738732708,361.1893023850341,under-lit,Increase lighting during peak activity hours
14,129.30155564419624,642.6151039483286,106037,15.044991738732708,334.62697496584923,under-lit,Increase lighting during peak activity hours
15,141.6258476266454,645.9619491723013,106037,15.044991738732708,343.3602882449078,under-lit,Increase lighting during peak activity hours
16,149.1878739529318,692.0141244257572,106037,15.044991738732708,366.318374142062,under-lit,Increase lighting during peak activity hours
17,158.03151176705225,772.994020532095,106037,15.044991738732708,404.0165152730694,under-lit,Increase lighting during peak activity hours
18,140.42800159553252,627.5744254956971,106037,15.044991738732708,335.2865711555984,under-lit,Increase lighting during peak activity hours
19,104.12285600319106,500.11434703123757,106037,15.044991738732708,262.51945241440967,efficient,Lighting is optimal for current activity
20,79.54846429996012,422.2779313504036,106037,15.044991738732708,216.64025112013752,efficient,Lighting is optimal for current activity
21,72.00438771439968,357.15055555555557,106037,15.044991738732708,186.06285485086204,efficient,Lighting is optimal for current activity
22,63.151575588352614,279.2639987168177,106037,15.044991738732708,149.59654483973864,efficient,Lighting is optimal for current activity
23,46.53330674112485,173.95449671843525,106037,15.044991738732708,97.50178273204901,over-lit,Reduce lighting during low activity hours
