fullDate,location,leakClass,month,date,weekday,year,week,lon,lat,ObjectId
1294963200000,1205 W FAYETTE ST,0,1.0,14.0,,2011.0,2.0,-76.1755746057759,43.046733230433105,1
1294963200000,1003 JAMESVILLE AVE,0,1.0,14.0,,2011.0,2.0,-76.12891836828341,43.0168952398567,2
1294963200000,PALMER AVE & CHENEY ST,0,1.0,14.0,,2011.0,2.0,-76.162257176012,43.0300222543868,3
1295136000000,2100 E FAYETTE ST,0,1.0,16.0,,2011.0,3.0,-76.11368295094621,43.0481581239255,4
1295222400000,206 BUTTERNUT ST,0,1.0,17.0,,2011.0,3.0,-76.15193611820071,43.0577131761086,5
1295740800000,104 CROLY ST,0,1.0,23.0,,2011.0,4.0,-76.1129337964234,43.0503665597289,6
1295568000000,169 MARSHALL ST,0,1.0,21.0,,2011.0,3.0,-76.1351535135851,43.0416673820757,7
1295481600000,356 NICHOLS AVE,0,1.0,20.0,,2011.0,3.0,-76.1034576580358,43.0627852023022,8
1296000000000,634 RICHMOND AVE,0,1.0,26.0,,2011.0,4.0,-76.17680541000459,43.0503435066048,9
1296000000000,1559 LEMOYNE AVE,0,1.0,26.0,,2011.0,4.0,-76.14912006238,43.083098621823,10
1296000000000,313 SEELEY RD,0,1.0,26.0,,2011.0,4.0,-76.10381653589009,43.0512061436391,11
1296086400000,543 CUMBERLAND AVE,0,1.0,27.0,,2011.0,4.0,-76.1126517038646,43.0361600036413,12
1296086400000,LOCKWOOD RD & KIMBER RD,0,1.0,27.0,,2011.0,4.0,-76.09344634472441,43.038227848591006,13
1296172800000,543 CUMBERLAND AVE,0,1.0,28.0,,2011.0,4.0,-76.1126517038646,43.0361600036413,14
1296345600000,1225 W FAYETTE ST,0,1.0,30.0,,2011.0,5.0,-76.1759312549101,43.0468643214129,15
1296432000000,HIGHRIDGE PL & HIGHRIDGE DR,0,1.0,31.0,,2011.0,5.0,-76.1996898652051,43.0268318678504,16
1296432000000,400 BROOKFORD RD,0,1.0,31.0,,2011.0,5.0,-76.1008283907088,43.03721169488271,17
1296432000000,425 RICH ST,0,1.0,31.0,,2011.0,5.0,-76.1610865975349,43.031281459834204,18
1296432000000,425 RICH ST,0,1.0,31.0,,2011.0,5.0,-76.1610865975349,43.031281459834204,19
1296777600000,312 ARNOLD AVE,0,2.0,4.0,,2011.0,5.0,-76.12563526127859,43.016952856780605,20
1296950400000,718 SUMMIT AVE,0,2.0,6.0,,2011.0,6.0,-76.1655913207997,43.0205766617243,21
1296691200000,S MCBRIDE ST & MONROE ST,0,2.0,3.0,,2011.0,5.0,-76.1439983950428,43.0416164824396,22
1297036800000,819 HIAWATHA BLVD E,0,2.0,7.0,,2011.0,6.0,-76.1603079055073,43.079280080165795,23
1297123200000,305 MAPLEWOOD AVE,0,2.0,8.0,,2011.0,6.0,-76.1366035777099,42.9889747617576,24
