Geo Point,Geo Shape,seg_id,str_type,dtupdate,status_id,seg_descr,poly_area,gisid,street_id,seg_part
"-37.79551429844069, 144.93901136065963","{""coordinates"": [[[[144.938934515819, -37.795648473172], [144.938735618804, -37.795498497948], [144.938760281897, -37.795323178888], [144.93898621831, -37.795348082803], [144.939298876607, -37.795568421332], [144.939410554142, -37.795670618539], [144.938934515819, -37.795648473172]]]], ""type"": ""MultiPolygon""}",20904,Arterial,20210923,1,Intersection of Macaulay Road and Canning Street,1267,2815,847,1
"-37.81118005053101, 144.9594880124575","{""coordinates"": [[[[144.959655108511, -37.81123308858], [144.959488025773, -37.811282217283], [144.959374551048, -37.811045718034], [144.959414703466, -37.811033851479], [144.959510780828, -37.811242914814], [144.959641185635, -37.811205325421], [144.959655108511, -37.81123308858]]]], ""type"": ""MultiPolygon""}",23362,Council Minor,20210923,3,PT5112 between La Trobe Street and Flanigan Lane,142,95,2853,1
"-37.81233589940466, 144.95010852685388","{""coordinates"": [[[[144.950314812515, -37.81218267661], [144.950350672561, -37.812172599383], [144.950743322364, -37.812062262844], [144.950822856309, -37.812231203242], [144.94952186968, -37.812599326787], [144.949354797574, -37.812452439391], [144.950314812515, -37.81218267661]]]], ""type"": ""MultiPolygon""}",21501,Council Major,20210923,2,Jeffcott Street between Adderley Street and Spencer Street,2532,1154,740,1
"-37.82136124243669, 144.94433065955738","{""coordinates"": [[[[144.944244047721, -37.821199306102], [144.94451579452, -37.821264409252], [144.944417271697, -37.821523179355], [144.944389871554, -37.821516614463], [144.944145524081, -37.821458075055], [144.944244047721, -37.821199306102]]]], ""type"": ""MultiPolygon""}",23310,Council Major,20210923,2,Intersection of Collins Street and Merchant Street,750,4031,526,1
"-37.80186271563948, 144.95089386250734","{""coordinates"": [[[[144.950916789277, -37.801779192574], [144.950884931744, -37.801949221794], [144.950869169553, -37.80194758404], [144.950871267541, -37.801934630999], [144.95087412715, -37.80193492678], [144.950901817176, -37.801777570375], [144.950916789277, -37.801779192574]]]], ""type"": ""MultiPolygon""}",30405,Private,20210923,4,Pl5162,24,320,2912,1
"-37.80336470638323, 144.96746033677428","{""coordinates"": [[[[144.9675764716, -37.803062252412], [144.967484340122, -37.803603238053], [144.967432637715, -37.803597327002], [144.967449550919, -37.803498018949], [144.967211142878, -37.803472060984], [144.967218300687, -37.803431007926], [144.967456545545, -37.803456947738], [144.967524758551, -37.803056411513], [144.9675764716, -37.803062252412]]]], ""type"": ""MultiPolygon""}",20726,Council Minor,20210923,3,Rodney Place from Pelham Street,376,1546,1036,1
"-37.79970868030296, 144.96710585321085","{""coordinates"": [[[[144.967129051784, -37.800625999761], [144.966777961277, -37.800587466383], [144.967085475862, -37.798790140245], [144.967433564869, -37.798830104154], [144.967345719343, -37.79934296798], [144.967336414869, -37.799397428705], [144.967335209947, -37.799404510094], [144.967221458776, -37.800073520767], [144.967215943208, -37.800105931962], [144.967167947955, -37.800378847186], [144.967162981926, -37.80040604283], [144.967131282386, -37.800611542815], [144.967129051784, -37.800625999761]]]], ""type"": ""MultiPolygon""}",20532,Council Major,20210923,2,Lygon Street between Grattan Street and Faraday Street,6236,1576,840,1
"-37.795271354535835, 144.9437645072016","{""coordinates"": [[[[144.943762067254, -37.79534778244], [144.943744991497, -37.795345818918], [144.943766520059, -37.795225571554], [144.943741409523, -37.795199036872], [144.94376559417, -37.795201787781], [144.943784611074, -37.795221882601], [144.943762067254, -37.79534778244]]]], ""type"": ""MultiPolygon""}",30309,Private,20210923,4,Shands Lane,26,233,1068,1
"-37.825810942173085, 144.91159980794356","{""coordinates"": [[[[144.911492389654, -37.826211799255], [144.911511710637, -37.826095034579], [144.911516602648, -37.825977180236], [144.91151065365, -37.825859227173], [144.911379313107, -37.825417771178], [144.911602554595, -37.825376447675], [144.911823183313, -37.826126344406], [144.911825657805, -37.826134814694], [144.911828100108, -37.826143290857], [144.9118305102, -37.82615177282], [144.911492389654, -37.826211799255]]]], ""type"": ""MultiPolygon""}",22791,Arterial,20210923,1,Todd Road between Wirraway Drive and Wharf Road,1942,3602,1385,2
"-37.8255554101819, 144.9312070210639","{""coordinates"": [[[[144.930812990657, -37.825989161447], [144.930742008518, -37.825308971729], [144.930736483268, -37.824977964167], [144.930757812671, -37.824576327171], [144.930767886889, -37.824475933669], [144.930792057408, -37.824599007691], [144.930942963063, -37.824972131607], [144.931198795314, -37.825304795498], [144.93139330669, -37.825475380244], [144.93158923356, -37.82560751049], [144.931720048914, -37.825679018485], [144.932036338578, -37.825809477476], [144.932376521176, -37.825895925752], [144.932179313992, -37.825918369109], [144.932127390227, -37.825954210449], [144.931153555207, -37.825926980125], [144.930812990657, -37.825989161447]]]], ""type"": ""MultiPolygon""}",22859,Citylink,20210923,12,Western Link Road between Westgate Freeway and Tullamarine Freeway,7258,1998,117739,1
