Geo Point,Geo Shape,seg_id,str_type,dtupdate,status_id,seg_descr,poly_area,gisid,street_id,seg_part
"-37.80720537262632, 144.9507747769122","{""coordinates"": [[[[144.950533760383, -37.807178263533], [144.950806375759, -37.807017292689], [144.950876481431, -37.807088819544], [144.950945899739, -37.807160767217], [144.951014626671, -37.807233131547], [144.950744007839, -37.807393646469], [144.950533760383, -37.807178263533]]]], ""type"": ""MultiPolygon""}",21428,Arterial,20210923,1,Intersection of King Street and Stanley Street,901,1136,0,1
"-37.81848742506031, 144.961640259708","{""coordinates"": [[[[144.961816007658, -37.818937297076], [144.961440487574, -37.81812007738], [144.961503369449, -37.81810172502], [144.961510617506, -37.818117362432], [144.961664512977, -37.818449390885], [144.961644941257, -37.818454943045], [144.961861684516, -37.818922560509], [144.961816007658, -37.818937297076]]]], ""type"": ""MultiPolygon""}",20395,Council Minor,20210923,3,Tavistock Place between Flinders Street and Flinders Lane,481,3329,1116,1
"-37.80657450478691, 144.96670351393675","{""coordinates"": [[[[144.966610935183, -37.806920345774], [144.966740530321, -37.80620120097], [144.966786012994, -37.806205352193], [144.966794597645, -37.806206135748], [144.966733990055, -37.806570537425], [144.966730800006, -37.806598636025], [144.966674687301, -37.80692717991], [144.966610935183, -37.806920345774]]]], ""type"": ""MultiPolygon""}",20734,Council Minor,20210923,3,Trades Hall Place from Victoria Street,424,1538,1128,1
"-37.795869576097964, 144.96572748078592","{""coordinates"": [[[[144.965728922625, -37.795758081828], [144.965764905788, -37.795761199649], [144.9657254787, -37.795982152679], [144.965690322675, -37.795978272318], [144.965728922625, -37.795758081828]]]], ""type"": ""MultiPolygon""}",30258,Private,20210923,4,PL5061,78,192,1555,1
"-37.80783881923757, 144.94972958068007","{""coordinates"": [[[[144.950314513372, -37.807311429631], [144.950533760383, -37.807178263533], [144.950744007839, -37.807393646469], [144.950403172173, -37.807600544065], [144.950348973984, -37.807635100677], [144.949118944318, -37.808382278884], [144.949087260117, -37.808400940086], [144.948924830721, -37.808498258469], [144.948715914197, -37.808282355722], [144.950279472588, -37.807332712834], [144.950314513372, -37.807311429631]]]], ""type"": ""MultiPolygon""}",21429,Council Major,20210923,2,Stanley Street between King Street and Spencer Street,6118,1137,1089,1
"-37.8010973153712, 144.96639464458323","{""coordinates"": [[[[144.966693861705, -37.801089042949], [144.966338153871, -37.80105343935], [144.966322957324, -37.80106297272], [144.966284236414, -37.801282706937], [144.966227426862, -37.801276888311], [144.966275031458, -37.801004869787], [144.96670212563, -37.801048614598], [144.966693861705, -37.801089042949]]]], ""type"": ""MultiPolygon""}",30257,Private,20210923,4,Lygon Terrace,306,191,1273,1
"-37.79924527057775, 144.96191238132226","{""coordinates"": [[[[144.961353711903, -37.79928383939], [144.961379491994, -37.799149120753], [144.961381761069, -37.799151051906], [144.961384138041, -37.799152888604], [144.961386714838, -37.799154546475], [144.961389469881, -37.799156011635], [144.961392380098, -37.799157271814], [144.961395421116, -37.799158316458], [144.961398567468, -37.79915913682], [144.961401785464, -37.799159759374], [144.962214348758, -37.799240599183], [144.96232140515, -37.799251249843], [144.962324712484, -37.799253451669], [144.962328108832, -37.799255548656], [144.962331713684, -37.799257412089], [144.962335501325, -37.799259028676], [144.962339444736, -37.799260386884], [144.962343515788, -37.799261477026], [144.962347672647, -37.799262343655], [144.962382023456, -37.799265942546], [144.962368542843, -37.79934321148], [144.962098776636, -37.799313424042], [144.962059785395, -37.799309118446], [144.962060730476, -37.799303038334], [144.962061366869, -37.799301372178], [144.962061759902, -37.799299656434], [144.962061960266, -37.799297918621], [144.962061966395, -37.799296172314], [144.962061778243, -37.799294431154], [144.962061397277, -37.799292708742], [144.962060826476, -37.799291018531], [144.962060070296, -37.799289373725], [144.962059134645, -37.799287787172], [144.962058026831, -37.799286271264], [144.962056755508, -37.799284837843], [144.962055330607, -37.799283498105], [144.962053763257, -37.799282262516], [144.962052065702, -37.799281140727], [144.962050251202, -37.799280141501], [144.96204833393, -37.799279272643], [144.962046328863, -37.799278540939], [144.962044251662, -37.799277952106], [144.962042125666, -37.799277483394], [144.961479114902, -37.79921685926], [144.961466865514, -37.799217588325], [144.961454756479, -37.799219200915], [144.96144286993, -37.79922161882], [144.961431290414, -37.799224824841], [144.961420100294, -37.799228796176], [144.961409379165, -37.799233504575], [144.961399203283, -37.79923891655], [144.961389645028, -37.799244993605], [144.961380772386, -37.799251692516], [144.961372648469, -37.799258965633], [144.961365331058, -37.799266761226], [144.961358872203, -37.799275023843], [144.961353711903, -37.79928383939]]]], ""type"": ""MultiPolygon""}",30211,Private,20210923,4,Engineering Lane,633,150,3212,1
"-37.807775899574665, 144.95404504959276","{""coordinates"": [[[[144.954059687197, -37.807794600153], [144.95404965236, -37.807799319183], [144.954029888137, -37.807757034177], [144.954041660608, -37.807753762889], [144.954056378674, -37.807787103465], [144.954059687197, -37.807794600153]]]], ""type"": ""MultiPolygon""}",30532,Private,20210923,4,Pl5130,5,2464,2874,1
"-37.79974997155407, 144.94870341557552","{""coordinates"": [[[[144.948912708408, -37.799536039325], [144.948834164426, -37.799981961762], [144.948493450521, -37.799947426138], [144.948564266857, -37.79953479214], [144.948912708408, -37.799536039325]]]], ""type"": ""MultiPolygon""}",21169,Arterial,20210923,1,Curzon Street between O'Shanassy Street and Harris Street,1459,2804,552,1
"-37.80897888428527, 144.9532978706926","{""coordinates"": [[[[144.952530956285, -37.809054213175], [144.953951711955, -37.808647177075], [144.954067915218, -37.808902340778], [144.952641098074, -37.809311333813], [144.952530956285, -37.809054213175]]]], ""type"": ""MultiPolygon""}",21411,Arterial,20210923,1,Dudley Street between Milton Street and King Street,4016,1121,586,1
"-37.79422679499566, 144.92823354722663","{""coordinates"": [[[[144.927817963434, -37.794091197682], [144.928758610956, -37.79419271684], [144.928628697109, -37.794364198894], [144.927716829344, -37.794259339794], [144.927817963434, -37.794091197682]]]], ""type"": ""MultiPolygon""}",21688,Council Major,20210923,2,Macaulay Road between Henry Street and Kensington Road,1654,2263,847,1
"-37.805678609004985, 144.96703917653574","{""coordinates"": [[[[144.967402713939, -37.805736215391], [144.966871922151, -37.805676102347], [144.96685260561, -37.805779084329], [144.96681784961, -37.805775356252], [144.966858101355, -37.805534519439], [144.966894691346, -37.805538753186], [144.96688517009, -37.805592704509], [144.966879727569, -37.805632532705], [144.966911026683, -37.805650899285], [144.967407893929, -37.805705537699], [144.967402713939, -37.805736215391]]]], ""type"": ""MultiPolygon""}",20736,Council Minor,20210923,3,McDonald Lane from Drummond Street,247,1536,2868,1
"-37.81412336595381, 144.92975601805696","{""coordinates"": [[[[144.927655858838, -37.814893019218], [144.927544404993, -37.814710281806], [144.929718544403, -37.813875701563], [144.930999925425, -37.81338379532], [144.931113395678, -37.813303878038], [144.93119946846, -37.813232052121], [144.93126905483, -37.813149747841], [144.931320168277, -37.813059318431], [144.931350578045, -37.812966822051], [144.93138083109, -37.81282980143], [144.931271205409, -37.812650073406], [144.931114326172, -37.812392873088], [144.931174297137, -37.81237547141], [144.931236416476, -37.812363443041], [144.931299659112, -37.812355895614], [144.93132915009, -37.812351266603], [144.931357853981, -37.812344185733], [144.931385652198, -37.812335144385], [144.931412333877, -37.81232421114], [144.931437696624, -37.812311468935], [144.931461548049, -37.812297014424], [144.931483707226, -37.812280957253], [144.931504006068, -37.812263419224], [144.931522290597, -37.812244533372], [144.931538422115, -37.812224442955], [144.931552278257, -37.81220330037], [144.931563753916, -37.812181265994], [144.931572762044, -37.81215850697], [144.931578797409, -37.812135132523], [144.93166425308, -37.811737071236], [144.931730015023, -37.811724396033], [144.931795055596, -37.811709561982], [144.931859262251, -37.811692594753], [144.931893138073, -37.811682679873], [144.931926728189, -37.811672170984], [144.931960016054, -37.81166107326], [144.931897984393, -37.811950453957], [144.931663765654, -37.813010360521], [144.931646649546, -37.813079669383], [144.931620964208, -37.813147275709], [144.931588167607, -37.813212874989], [144.931548493471, -37.813275999728], [144.931502224538, -37.813336200063], [144.931449690546, -37.813393046974], [144.931391265883, -37.813446135339], [144.931324473374, -37.813492500678], [144.931285998358, -37.813518319767], [144.931246015212, -37.813542653998], [144.9312046149, -37.813565448007], [144.928567841529, -37.814577654872], [144.928367163857, -37.814708628555], [144.928385975944, -37.814892266698], [144.928679162877, -37.81549376275], [144.928749158176, -37.815599845281], [144.928952557886, -37.815848058546], [144.929179463989, -37.816220061473], [144.929056267831, -37.81626733473], [144.929114282792, -37.816386318364], [144.929068021813, -37.8165979467], [144.928919901771, -37.816567951219], [144.928933528408, -37.816515215588], [144.928897204632, -37.816501187068], [144.928857410327, -37.816496917546], [144.928787875263, -37.81635917694], [144.92879802397, -37.816331300218], [144.928767170479, -37.816238209951], [144.928718290844, -37.816121774957], [144.92864090702, -37.815965374431], [144.92857134169, -37.815826024575], [144.928047692683, -37.81496748561], [144.927766995029, -37.815075232763], [144.927655858838, -37.814893019218]]]], ""type"": ""MultiPolygon""}",30812,Port Roads,20210923,5,Enterprize Road,22288,3866,117770,1
"-37.81359089279005, 144.9499865243506","{""coordinates"": [[[[144.950054266405, -37.81341504667], [144.950303400756, -37.813634012769], [144.950331120038, -37.813626202686], [144.95033820022, -37.813641895517], [144.950305231687, -37.813651433697], [144.950293186918, -37.813640401827], [144.949894866932, -37.813755649438], [144.949666805792, -37.813543510852], [144.950062423644, -37.813429046038], [144.950047158387, -37.813415064407], [144.950017581757, -37.813414133142], [144.95003722376, -37.813400067134], [144.950054266405, -37.81341504667]]]], ""type"": ""MultiPolygon""}",22551,Council Major,20210923,2,La Trobe Street between Adderley Street and Wurundjeri Way,1114,3590,780,1
"-37.81739187634568, 144.9656028034266","{""coordinates"": [[[[144.965742635273, -37.817333413399], [144.965757104354, -37.817364326785], [144.96546300354, -37.817450365901], [144.965448620444, -37.817419427832], [144.965465421769, -37.817414506648], [144.96546558666, -37.817414459031], [144.965497598059, -37.817405019922], [144.965742635273, -37.817333413399]]]], ""type"": ""MultiPolygon""}",30186,Private,20210923,4,Pl5363,101,128,117842,1
"-37.798108066922566, 144.9591058188526","{""coordinates"": [[[[144.958971172779, -37.798024163153], [144.958976521524, -37.798024296626], [144.958981861881, -37.798024087382], [144.95898715684, -37.798023518431], [144.958992368081, -37.798022593889], [144.958997457887, -37.798021320448], [144.959002389422, -37.798019707323], [144.959007126995, -37.798017766191], [144.959011636319, -37.798015511099], [144.959015884757, -37.798012958368], [144.959019841562, -37.798010126473], [144.959023478098, -37.798007035911], [144.959026768045, -37.798003709047], [144.959029687594, -37.79800016996], [144.959032215614, -37.797996444264], [144.959034333809, -37.797992558923], [144.959036026849, -37.797988542055], [144.959037282481, -37.797984422734], [144.959038043627, -37.797980226283], [144.959052342106, -37.797783820947], [144.959080137451, -37.7975306239], [144.959106784682, -37.797384740786], [144.95910786116, -37.797379417567], [144.959109578376, -37.797374203114], [144.959111852359, -37.797369127968], [144.959114666442, -37.797364229324], [144.959118, -37.797359543085], [144.959121828601, -37.797355103598], [144.959126124184, -37.7973509434], [144.959130855267, -37.797347092982], [144.959135987176, -37.797343580564], [144.959141482297, -37.797340431888], [144.959147300356, -37.797337670033], [144.959153398712, -37.797335315239], [144.95915973267, -37.797333384766], [144.959166255806, -37.797331892762], [144.959172920312, -37.797330850162], [144.959179677343, -37.797330264608], [144.959186477376, -37.797330140391], [144.959193275128, -37.79733044144], [144.959787750688, -37.797376541151], [144.959778108145, -37.797423987819], [144.959301487656, -37.797387028044], [144.959290687179, -37.797387397555], [144.959279979485, -37.79738854131], [144.959269445807, -37.797390422856], [144.959259166423, -37.797393027853], [144.959249219675, -37.797396336448], [144.959239681368, -37.797400323426], [144.959230624196, -37.797404958401], [144.959222117185, -37.797410206049], [144.959214225169, -37.797416026377], [144.959207008293, -37.797422375027], [144.95920052156, -37.797429203616], [144.959194814405, -37.7974364601], [144.959189930324, -37.797444089177], [144.95918590654, -37.797452032705], [144.959182773718, -37.797460230145], [144.959180555734, -37.797468619021], [144.95917933106, -37.797477139496], [144.959173130223, -37.797479312644], [144.959167316952, -37.79748208362], [144.959161843503, -37.79748525834], [144.959156753771, -37.797488811345], [144.959152088576, -37.797492714138], [144.959147885332, -37.797496935421], [144.959144177751, -37.797501441338], [144.959140995565, -37.797506195752], [144.959138364296, -37.797511160533], [144.959136305047, -37.797516295865], [144.959134834333, -37.79752156056], [144.959134006492, -37.797526915496], [144.959108536297, -37.797747177869], [144.959137340488, -37.797749379373], [144.959110704987, -37.797968815891], [144.959122655642, -37.798224364412], [144.959052414144, -37.798802161658], [144.959051793039, -37.798806076419], [144.95905070837, -37.798809925234], [144.959049202352, -37.798813681106], [144.959047286564, -37.798817315157], [144.959044975737, -37.798820799448], [144.959042287635, -37.798824107191], [144.959039242927, -37.798827212956], [144.95903586502, -37.798830092864], [144.959032179884, -37.798832724774], [144.959028215853, -37.79883508845], [144.959024003403, -37.798837165721], [144.95901957492, -37.798838940615], [144.959014964452, -37.798840399486], [144.959010207445, -37.79884153112], [144.959005340473, -37.798842326814], [144.959000400954, -37.798842780452], [144.958995426864, -37.798842888545], [144.958990453289, -37.798842676238], [144.958883959561, -37.798834524066], [144.958879078953, -37.79883392214], [144.958874273176, -37.798833012261], [144.958869581665, -37.798831775323], [144.958865039833, -37.798830220661], [144.958860681963, -37.798828360012], [144.958856540952, -37.79882620742], [144.958852648056, -37.798823779134], [144.958849032662, -37.798821093485], [144.95884572206, -37.798818170743], [144.958842741239, -37.798815032973], [144.958840112702, -37.798811703858], [144.958837856288, -37.798808208528], [144.95883598903, -37.798804573369], [144.958834525024, -37.798800825819], [144.95883347532, -37.798796994167], [144.958832847842, -37.798793107336], [144.958832647326, -37.798789194666], [144.958832909875, -37.798785288381], [144.958843379851, -37.798700552818], [144.95896421554, -37.798574103222], [144.959016757691, -37.798141909804], [144.959017011784, -37.798138010319], [144.959016805106, -37.798134105037], [144.959016173088, -37.798130225921], [144.959015120484, -37.798126402145], [144.959013655209, -37.798122662465], [144.959011788284, -37.798119035008], [144.959009533749, -37.798115547052], [144.959006908559, -37.79811222483], [144.959003932458, -37.798109093327], [144.959000627827, -37.798106176094], [144.95899701952, -37.79810349507], [144.958993134673, -37.798101070418], [144.958989002503, -37.798098920374], [144.958984654086, -37.798097061106], [144.958980122124, -37.798095506597], [144.958975440702, -37.798094268539], [144.958970645026, -37.798093356242], [144.958965774422, -37.798092750125], [144.958971172779, -37.798024163153]]]], ""type"": ""MultiPolygon""}",30209,Private,20210923,4,Medical Road,1907,148,888,1
"-37.809236500140656, 144.96505956089925","{""coordinates"": [[[[144.966074491312, -37.808790555529], [144.966195174954, -37.809047735264], [144.964044110869, -37.809682350524], [144.963923215886, -37.809425743581], [144.964286573915, -37.809318461401], [144.964351484893, -37.809299296274], [144.966074491312, -37.808790555529]]]], ""type"": ""MultiPolygon""}",20020,Council Major,20210923,2,La Trobe Street between Russell Street and Swanston Street,6151,3097,780,1
"-37.79297193423217, 144.9743310994195","{""coordinates"": [[[[144.974870637839, -37.792961661183], [144.974847789224, -37.793094738498], [144.974814401006, -37.793093480361], [144.973790286297, -37.792981432321], [144.973813162861, -37.792847316651], [144.973815025453, -37.792847518118], [144.974870637839, -37.792961661183]]]], ""type"": ""MultiPolygon""}",20628,Arterial,20210923,1,Princes Street between Station Street and Canning Street,1419,1744,999,1
"-37.810396012807125, 144.98887370524758","{""coordinates"": [[[[144.988962556932, -37.810875566797], [144.988632118859, -37.810834765219], [144.988665334738, -37.810631719109], [144.988668802486, -37.810604391485], [144.988739141089, -37.810169456085], [144.98874600738, -37.810126974587], [144.98877843093, -37.809922166593], [144.989119439069, -37.809960453697], [144.988962556932, -37.810875566797]]]], ""type"": ""MultiPolygon""}",21578,Council Major,20210923,2,Simpson Street between Albert Street and Victoria Parade,3056,1450,1073,1
"-37.79970283333079, 144.9450567744572","{""coordinates"": [[[[144.944917964966, -37.799824656667], [144.944963565687, -37.799556987841], [144.945197299546, -37.799582453125], [144.945148349731, -37.799848629842], [144.944917964966, -37.799824656667]]]], ""type"": ""MultiPolygon""}",21158,Council Major,20210923,2,Intersection of O'Shanassy Street and Lothian Street,617,2904,949,1
"-37.79502068494166, 144.94323582969176","{""coordinates"": [[[[144.943121093721, -37.795022659201], [144.943126233267, -37.79499376716], [144.943352258964, -37.795019569035], [144.943347224331, -37.795047138191], [144.943121093721, -37.795022659201]]]], ""type"": ""MultiPolygon""}",21224,Council Minor,20210923,3,Drakes Lane from Peckville Street,64,2930,1238,1
"-37.81989640350309, 144.96228600471258","{""coordinates"": [[[[144.961824280175, -37.819970965378], [144.962813616815, -37.819751028582], [144.962827451219, -37.819790245568], [144.962760088948, -37.819819501013], [144.96190995061, -37.820009587568], [144.96183998612, -37.820014730658], [144.961838369667, -37.820010224739], [144.961704894957, -37.820039860807], [144.961694071075, -37.820011275606], [144.961827900393, -37.819981053616], [144.961824280175, -37.819970965378]]]], ""type"": ""MultiPolygon""}",10716,Parks Victoria,20210923,7,Banana Alley Wharf from Banana Alley,585,3021,117954,1
"-37.80463481073531, 144.95575809928962","{""coordinates"": [[[[144.955759025793, -37.80452709654], [144.955793916394, -37.804530801372], [144.955764381953, -37.80470837638], [144.955753135627, -37.804707127672], [144.955748178411, -37.804736598388], [144.955752372529, -37.804737024458], [144.955749333376, -37.804755097053], [144.955735848296, -37.804753645464], [144.955736903366, -37.804747264529], [144.955722260773, -37.804745776623], [144.955759025793, -37.80452709654]]]], ""type"": ""MultiPolygon""}",30406,Private,20210923,4,Pl5153,73,321,2911,1
"-37.8158975149084, 144.98086005300985","{""coordinates"": [[[[144.979333670198, -37.815594097296], [144.982436964981, -37.815934543838], [144.982390938234, -37.816200326407], [144.979286964937, -37.815861993675], [144.979333670198, -37.815594097296]]]], ""type"": ""MultiPolygon""}",21963,Arterial,20210923,1,Wellington Parade between Clarendon Street and Jolimont Road,8247,802,1169,1
"-37.80254477045916, 144.945019629156","{""coordinates"": [[[[144.945381149275, -37.802446925209], [144.945338707227, -37.802719890425], [144.944668836622, -37.802643024036], [144.944654227192, -37.802641346992], [144.944703337388, -37.802371007301], [144.944873523469, -37.802388907262], [144.944914405184, -37.802393579581], [144.945381149275, -37.802446925209]]]], ""type"": ""MultiPolygon""}",21032,Council Major,20210923,2,Queensberry Street between Abbotsford Street and Lothian Street,1847,2858,1008,1
"-37.79277542015146, 144.97252928677517","{""coordinates"": [[[[144.971844969285, -37.7927683118], [144.971803306341, -37.792763803042], [144.971494449831, -37.792730375839], [144.971517011368, -37.792598999324], [144.973563749778, -37.792820346256], [144.973541166088, -37.792951873316], [144.971844969285, -37.7927683118]]]], ""type"": ""MultiPolygon""}",20634,Arterial,20210923,1,Princes Street between Canning Street and Rathdowne Street,2679,1738,999,1
"-37.80712992539978, 144.95007964090834","{""coordinates"": [[[[144.950314513372, -37.807311429631], [144.950279472588, -37.807332712834], [144.950102123182, -37.807153498194], [144.949963342103, -37.807021504039], [144.949947300727, -37.807020312779], [144.949843595953, -37.807088063568], [144.949819114586, -37.807065708145], [144.949935826447, -37.806987542752], [144.949963589385, -37.806969480811], [144.950045717369, -37.807047418531], [144.950135148929, -37.807132216012], [144.950314513372, -37.807311429631]]]], ""type"": ""MultiPolygon""}",21431,Council Minor,20210923,3,Cl1091 from Stanley Street,228,1139,304,1
"-37.79980858140686, 144.9460281058224","{""coordinates"": [[[[144.946174721271, -37.799960385833], [144.945837020269, -37.79992418825], [144.945879747874, -37.799656803254], [144.946221000693, -37.799693926873], [144.946174721271, -37.799960385833]]]], ""type"": ""MultiPolygon""}",21155,Council Major,20210923,2,Intersection of Abbotsford Street and O'Shanassy Street,902,2901,0,1
"-37.82818283429264, 144.95835950827814","{""coordinates"": [[[[144.958409632298, -37.827912318974], [144.958456541237, -37.828016591607], [144.958626603812, -37.828384469674], [144.958715524666, -37.828577400824], [144.958717068413, -37.828580751117], [144.958596401703, -37.828586880953], [144.958475486733, -37.828588131569], [144.95835455045, -37.828586817503], [144.958303816206, -37.828476391073], [144.95803682747, -37.827895263966], [144.958299540726, -37.827673348092], [144.958409632298, -37.827912318974]]]], ""type"": ""MultiPolygon""}",22015,Arterial,20210923,1,Clarendon Street between City Road and Westgate Freeway,2852,3130,1366,1
"-37.81345885172707, 144.9521075691852","{""coordinates"": [[[[144.952075269019, -37.813438451116], [144.952115175779, -37.813426560284], [144.952140102836, -37.813479213266], [144.952099554287, -37.813490979396], [144.952075269019, -37.813438451116]]]], ""type"": ""MultiPolygon""}",20450,Council Minor,20210923,3,Cl1683 from Cl1603,24,3282,104,1
"-37.797754046613065, 144.96593687929345","{""coordinates"": [[[[144.965876601354, -37.797117226394], [144.966215646625, -37.797152085634], [144.966155012503, -37.797480140767], [144.966145524342, -37.797533327571], [144.966090905903, -37.797837884676], [144.966082051072, -37.797889135864], [144.965993700931, -37.798394561529], [144.965662688841, -37.798362302381], [144.965876601354, -37.797117226394]]]], ""type"": ""MultiPolygon""}",20516,Council Major,20210923,2,Cardigan Street between Faraday Street and Elgin Street,4128,1591,483,1
"-37.79170328793527, 144.93474765725182","{""coordinates"": [[[[144.934671319841, -37.79178734613], [144.934703502533, -37.791607430428], [144.934824223224, -37.791619864057], [144.934791761512, -37.791798758377], [144.934671319841, -37.79178734613]]]], ""type"": ""MultiPolygon""}",23092,Council Major,20210923,2,Intersection of Smith Street and Thompson Street,215,452,119639,1
"-37.81577074351584, 144.96290788697908","{""coordinates"": [[[[144.962998905986, -37.815917652506], [144.962958397449, -37.815929461823], [144.96281686396, -37.81562382436], [144.962857380912, -37.81561203416], [144.962998905986, -37.815917652506]]]], ""type"": ""MultiPolygon""}",30110,Private,20210923,4,Fleming Place,137,72,631,1
"-37.789785027479546, 144.92854329631118","{""coordinates"": [[[[144.928195050642, -37.789842655885], [144.928153433302, -37.789837979317], [144.927913938999, -37.789811067097], [144.927925991197, -37.789609558525], [144.929130928728, -37.789750385595], [144.929183045499, -37.789966114005], [144.928874985739, -37.789928308677], [144.928824709298, -37.789922138219], [144.928574818747, -37.789891470449], [144.928432231329, -37.789869307854], [144.928195050642, -37.789842655885]]]], ""type"": ""MultiPolygon""}",22959,Council Major,20210923,2,Anthony Street between Bellair Street and McCracken Street,2476,550,119657,1
"-37.784482791072385, 144.95631583998144","{""coordinates"": [[[[144.955837555843, -37.784419760997], [144.955913994716, -37.784311087054], [144.956045683625, -37.784254966181], [144.956046287137, -37.784254863106], [144.956070263285, -37.784251367991], [144.956094616893, -37.784249990591], [144.956119045671, -37.784250349316], [144.956143353765, -37.78425244129], [144.956167346287, -37.784256249742], [144.956190830881, -37.784261744136], [144.956213619262, -37.784268880423], [144.956235528727, -37.784277601389], [144.95625638362, -37.784287837114], [144.956276016739, -37.784299505534], [144.956294270678, -37.7843125131], [144.956310999089, -37.784326755524], [144.956326923354, -37.784341639328], [144.956342307117, -37.784356018467], [144.956358444015, -37.784369795035], [144.956376042338, -37.784382393001], [144.956394963866, -37.784393713419], [144.956415059987, -37.784403667377], [144.956436172861, -37.784412176694], [144.956458136665, -37.784419174538], [144.956480778891, -37.784424605944], [144.956503921703, -37.784428428255], [144.956527377777, -37.784430679835], [144.956816599105, -37.784452866765], [144.956812577101, -37.784498120969], [144.956808682195, -37.784543382175], [144.956804914405, -37.784588650158], [144.956481022047, -37.784563804247], [144.956461047398, -37.784562967781], [144.956441074617, -37.784563465787], [144.956421254891, -37.784565395539], [144.956401750495, -37.784568741238], [144.956382721123, -37.784573475488], [144.956364322579, -37.78457955953], [144.956346705504, -37.784586943548], [144.956330014137, -37.784595567087], [144.956314385142, -37.784605359539], [144.956300593505, -37.784616735012], [144.956284358542, -37.78463023303], [144.956265972177, -37.78464189329], [144.956246371333, -37.784652238812], [144.956225702975, -37.784661192026], [144.956204122069, -37.784668685803], [144.956181790426, -37.784674663956], [144.956158875483, -37.784679081662], [144.956135549053, -37.784681905798], [144.956111986032, -37.784683115188], [144.956088363093, -37.784682700766], [144.956064857355, -37.784680665638], [144.95604164506, -37.784677025063], [144.95601890025, -37.784671806338], [144.95599679346, -37.784665048592], [144.955975490444, -37.784656802492], [144.955954613346, -37.784647782094], [144.955851442179, -37.784548564173], [144.955837555843, -37.784419760997]], [[144.95610833765, -37.784308909415], [144.956091013207, -37.784309094667], [144.956073787479, -37.784310481204], [144.956056791646, -37.784313055445], [144.956040155058, -37.784316797798], [144.956024004328, -37.784321679783], [144.956008462374, -37.784327664244], [144.955993647479, -37.784334705635], [144.955979672394, -37.784342750369], [144.955966643477, -37.784351737218], [144.955954659887, -37.784361597789], [144.955943812825, -37.784372257036], [144.955934184844, -37.784383633836], [144.955925849219, -37.784395641604], [144.95591886939, -37.784408188955], [144.955913298476, -37.784421180395], [144.955909178877, -37.784434517051], [144.955906541943, -37.784448097424], [144.955905407745, -37.784461818159], [144.955905784914, -37.784475574832], [144.95590767058, -37.784489262748], [144.955911050391, -37.784502777732], [144.955915898626, -37.784516016928], [144.955922178385, -37.784528879578], [144.955929841877, -37.784541267788], [144.955938830778, -37.784553087277], [144.955949076676, -37.784564248092], [144.955960501595, -37.784574665293], [144.955973018583, -37.784584259597], [144.955986532379, -37.784592957987], [144.956000940135, -37.784600694262], [144.956016132199, -37.784607409545], [144.95603199295, -37.784613052728], [144.956048401678, -37.784617580864], [144.956065233504, -37.784620959491], [144.956082360326, -37.784623162895], [144.956099651883, -37.784624171274], [144.956116976328, -37.784623986029], [144.956134202058, -37.784622599494], [144.956151197893, -37.784620025255], [144.956167834484, -37.784616282903], [144.956183985216, -37.784611400919], [144.956199527173, -37.784605416459], [144.95621434207, -37.784598375068], [144.956228317158, -37.784590330335], [144.956241346077, -37.784581343485], [144.95625332967, -37.784571482914], [144.956264176734, -37.784560823667], [144.956273804717, -37.784549446866], [144.956282140343, -37.784537439097], [144.956289120174, -37.784524891745], [144.956294691089, -37.784511900304], [144.95629881069, -37.784498563646], [144.956301447623, -37.784484983272], [144.956302581822, -37.784471262536], [144.956302204652, -37.784457505861], [144.956300318986, -37.784443817944], [144.956296939174, -37.784430302958], [144.956292090939, -37.784417063761], [144.956285811178, -37.78440420111], [144.956278147684, -37.784391812899], [144.956269158781, -37.784379993408], [144.956258912881, -37.784368832593], [144.95624748796, -37.784358415392], [144.956234970969, -37.784348821088], [144.956221457171, -37.784340122698], [144.956207049412, -37.784332386423], [144.956191857346, -37.784325671141], [144.956175996592, -37.784320027958], [144.956159587861, -37.784315499824], [144.956142756033, -37.784312121199], [144.956125629209, -37.784309917797], [144.95610833765, -37.784308909415]]]], ""type"": ""MultiPolygon""}",22406,Council Major,20210923,2,Kendall Avenue between The Avenue and Elliott Avenue,1445,2103,752,1
"-37.805835020497426, 144.94793454360288","{""coordinates"": [[[[144.948083309782, -37.805833743865], [144.948038373608, -37.805884497221], [144.948028213145, -37.805863058751], [144.947793032194, -37.805836475123], [144.947795607209, -37.805800982171], [144.948083309782, -37.805833743865]]]], ""type"": ""MultiPolygon""}",21353,Council Major,20210923,2,Miller Street between Hawke Street and Curzon Street,98,1272,899,1
"-37.79238124677003, 144.93391559990508","{""coordinates"": [[[[144.933780039752, -37.79271704997], [144.933912419226, -37.792020681856], [144.933917585786, -37.791993507455], [144.933971016923, -37.791712431197], [144.934107368025, -37.791727106128], [144.93386728044, -37.793035581316], [144.933721780818, -37.793023512175], [144.93377495933, -37.792743777988], [144.933780039752, -37.79271704997]]]], ""type"": ""MultiPolygon""}",23014,Council Major,20210923,2,Lambeth Street between Smith Street and Robertson Street,1837,624,119629,1
