Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,086338,2025,06,21,0.0,1,N
IDCJAC0009,086338,2025,06,22,0.0,1,N
IDCJAC0009,086338,2025,06,23,0.0,1,N
IDCJAC0009,086338,2025,06,24,4.0,1,N
IDCJAC0009,086338,2025,06,25,1.6,1,N
IDCJAC0009,086338,2025,06,26,13.4,1,N
IDCJAC0009,086338,2025,06,27,0.0,1,N
IDCJAC0009,086338,2025,06,28,0.0,1,N
IDCJAC0009,086338,2025,06,29,0.0,1,N
IDCJAC0009,086338,2025,06,30,0.8,1,N
IDCJAC0009,086338,2025,07,01,1.8,1,N
IDCJAC0009,086338,2025,07,02,0.4,1,N
IDCJAC0009,086338,2025,07,03,15.0,1,N
IDCJAC0009,086338,2025,07,04,0.2,1,N
IDCJAC0009,086338,2025,07,05,0.0,1,N
IDCJAC0009,086338,2025,07,06,0.0,1,N
IDCJAC0009,086338,2025,07,07,0.0,1,N
IDCJAC0009,086338,2025,07,08,0.0,1,N
IDCJAC0009,086338,2025,07,09,0.0,1,N
IDCJAC0009,086338,2025,07,10,2.0,1,N
IDCJAC0009,086338,2025,07,11,0.6,1,N
IDCJAC0009,086338,2025,07,12,0.8,1,N
IDCJAC0009,086338,2025,07,13,0.0,1,N
IDCJAC0009,086338,2025,07,14,3.0,1,N
IDCJAC0009,086338,2025,07,15,0.4,1,Y
IDCJAC0009,086338,2025,07,16,0.0,1,N
IDCJAC0009,086338,2025,07,17,0.0,1,N
IDCJAC0009,086338,2025,07,18,0.4,1,N
IDCJAC0009,086338,2025,07,19,0.0,1,N
IDCJAC0009,086338,2025,07,20,0.6,1,N
IDCJAC0009,086338,2025,07,21,0.0,1,N
IDCJAC0009,086338,2025,07,22,0.0,1,N
IDCJAC0009,086338,2025,07,23,4.4,1,N
IDCJAC0009,086338,2025,07,24,0.0,1,N
IDCJAC0009,086338,2025,07,25,0.0,1,N
IDCJAC0009,086338,2025,07,26,0.4,1,N
IDCJAC0009,086338,2025,07,27,0.4,1,N
IDCJAC0009,086338,2025,07,28,5.8,1,N
IDCJAC0009,086338,2025,07,29,1.2,1,N
IDCJAC0009,086338,2025,07,30,0.2,1,N
IDCJAC0009,086338,2025,07,31,0.0,1,N
IDCJAC0009,086338,2025,08,01,0.0,1,N
IDCJAC0009,086338,2025,08,02,0.0,1,N
IDCJAC0009,086338,2025,08,03,0.2,1,N
IDCJAC0009,086338,2025,08,04,0.0,1,N
IDCJAC0009,086338,2025,08,05,2.6,1,N
IDCJAC0009,086338,2025,08,06,0.0,1,N
IDCJAC0009,086338,2025,08,07,0.2,1,N
IDCJAC0009,086338,2025,08,08,0.0,1,N
IDCJAC0009,086338,2025,08,09,0.2,1,N
IDCJAC0009,086338,2025,08,10,0.0,1,N
IDCJAC0009,086338,2025,08,11,0.0,1,N
IDCJAC0009,086338,2025,08,12,0.0,1,N
IDCJAC0009,086338,2025,08,13,10.2,1,N
IDCJAC0009,086338,2025,08,14,0.0,1,N
IDCJAC0009,086338,2025,08,15,0.0,1,N
IDCJAC0009,086338,2025,08,16,4.4,1,N
IDCJAC0009,086338,2025,08,17,0.6,1,N
IDCJAC0009,086338,2025,08,18,0.0,1,N
IDCJAC0009,086338,2025,08,19,0.0,1,Y
IDCJAC0009,086338,2025,08,20,0.0,1,N
IDCJAC0009,086338,2025,08,21,0.0,1,N
IDCJAC0009,086338,2025,08,22,0.0,1,N
IDCJAC0009,086338,2025,08,23,0.0,1,N
IDCJAC0009,086338,2025,08,24,0.0,1,N
IDCJAC0009,086338,2025,08,25,0.0,1,N
IDCJAC0009,086338,2025,08,26,0.0,1,N
IDCJAC0009,086338,2025,08,27,5.6,1,N
IDCJAC0009,086338,2025,08,28,0.6,1,N
IDCJAC0009,086338,2025,08,29,0.4,1,N
IDCJAC0009,086338,2025,08,30,10.8,1,N
IDCJAC0009,086338,2025,08,31,1.6,1,N
IDCJAC0009,086338,2025,09,01,0.2,1,N
IDCJAC0009,086338,2025,09,02,0.0,1,N
IDCJAC0009,086338,2025,09,03,0.2,1,N
IDCJAC0009,086338,2025,09,04,0.4,1,N
IDCJAC0009,086338,2025,09,05,1.2,1,N
IDCJAC0009,086338,2025,09,06,0.0,1,N
IDCJAC0009,086338,2025,09,07,0.0,1,N
IDCJAC0009,086338,2025,09,08,0.6,1,N
IDCJAC0009,086338,2025,09,09,1.2,1,N
IDCJAC0009,086338,2025,09,10,0.2,1,N
IDCJAC0009,086338,2025,09,11,1.0,1,N
IDCJAC0009,086338,2025,09,12,0.4,1,N
IDCJAC0009,086338,2025,09,13,0.0,1,N
IDCJAC0009,086338,2025,09,14,0.0,1,N
IDCJAC0009,086338,2025,09,15,0.0,1,N
IDCJAC0009,086338,2025,09,16,0.0,1,N
IDCJAC0009,086338,2025,09,17,7.2,1,N
IDCJAC0009,086338,2025,09,18,0.0,1,N
IDCJAC0009,086338,2025,09,19,0.0,1,N
IDCJAC0009,086338,2025,09,20,0.2,1,N
IDCJAC0009,086338,2025,09,21,0.0,1,N
IDCJAC0009,086338,2025,09,22,2.2,1,N
IDCJAC0009,086338,2025,09,23,0.6,1,N
IDCJAC0009,086338,2025,09,24,0.0,1,N
IDCJAC0009,086338,2025,09,25,1.0,1,N
IDCJAC0009,086338,2025,09,26,0.0,1,N
IDCJAC0009,086338,2025,09,27,0.2,1,N
IDCJAC0009,086338,2025,09,28,0.0,1,N
IDCJAC0009,086338,2025,09,29,0.0,1,N
IDCJAC0009,086338,2025,09,30,0.8,1,N
IDCJAC0009,086338,2025,10,01,1.2,1,N
IDCJAC0009,086338,2025,10,02,3.6,1,N
IDCJAC0009,086338,2025,10,03,0.6,1,N
IDCJAC0009,086338,2025,10,04,0.0,1,N
IDCJAC0009,086338,2025,10,05,0.0,1,N
IDCJAC0009,086338,2025,10,06,2.6,1,N
IDCJAC0009,086338,2025,10,07,0.0,1,N
IDCJAC0009,086338,2025,10,08,0.0,1,N
IDCJAC0009,086338,2025,10,09,0.0,1,N
IDCJAC0009,086338,2025,10,10,0.0,1,N
IDCJAC0009,086338,2025,10,11,0.0,1,N
IDCJAC0009,086338,2025,10,12,2.0,1,N
IDCJAC0009,086338,2025,10,13,4.0,1,N
IDCJAC0009,086338,2025,10,14,0.0,1,N
IDCJAC0009,086338,2025,10,15,0.0,1,N
IDCJAC0009,086338,2025,10,16,0.0,1,N
IDCJAC0009,086338,2025,10,17,0.0,1,N
IDCJAC0009,086338,2025,10,18,0.0,1,N
IDCJAC0009,086338,2025,10,19,0.0,1,N
IDCJAC0009,086338,2025,10,20,8.4,1,N
IDCJAC0009,086338,2025,10,21,1.2,1,N
IDCJAC0009,086338,2025,10,22,1.4,1,N
IDCJAC0009,086338,2025,10,23,11.6,1,N
IDCJAC0009,086338,2025,10,24,0.2,1,N
IDCJAC0009,086338,2025,10,25,0.0,1,N
IDCJAC0009,086338,2025,10,26,6.2,1,N
IDCJAC0009,086338,2025,10,27,35.4,1,N
IDCJAC0009,086338,2025,10,28,0.2,1,N
IDCJAC0009,086338,2025,10,29,0.0,1,N
IDCJAC0009,086338,2025,10,30,0.0,1,N
IDCJAC0009,086338,2025,10,31,0.0,1,N
IDCJAC0009,086338,2025,11,01,1.0,1,N
IDCJAC0009,086338,2025,11,02,0.0,1,N
IDCJAC0009,086338,2025,11,03,14.6,1,N
IDCJAC0009,086338,2025,11,04,22.4,1,N
IDCJAC0009,086338,2025,11,05,1.0,1,N
IDCJAC0009,086338,2025,11,06,0.0,1,N
IDCJAC0009,086338,2025,11,07,1.6,1,N
IDCJAC0009,086338,2025,11,08,3.0,1,N
IDCJAC0009,086338,2025,11,09,15.6,1,N
IDCJAC0009,086338,2025,11,10,0.6,1,N
IDCJAC0009,086338,2025,11,11,15.6,1,N
IDCJAC0009,086338,2025,11,12,0.6,1,N
IDCJAC0009,086338,2025,11,13,0.0,1,N
IDCJAC0009,086338,2025,11,14,0.0,1,N
IDCJAC0009,086338,2025,11,15,2.6,1,N
IDCJAC0009,086338,2025,11,16,0.0,1,N
IDCJAC0009,086338,2025,11,17,3.6,1,N
IDCJAC0009,086338,2025,11,18,0.8,1,N
IDCJAC0009,086338,2025,11,19,0.4,1,N
IDCJAC0009,086338,2025,11,20,0.0,1,N
IDCJAC0009,086338,2025,11,21,0.0,1,N
IDCJAC0009,086338,2025,11,22,0.0,1,N
IDCJAC0009,086338,2025,11,23,22.8,1,N
IDCJAC0009,086338,2025,11,24,0.0,1,N
IDCJAC0009,086338,2025,11,25,0.0,1,N
IDCJAC0009,086338,2025,11,26,0.0,1,N
IDCJAC0009,086338,2025,11,27,3.6,1,N
IDCJAC0009,086338,2025,11,28,0.0,1,N
IDCJAC0009,086338,2025,11,29,15.6,1,N
IDCJAC0009,086338,2025,11,30,2.4,1,N
IDCJAC0009,086338,2025,12,01,8.0,1,N
IDCJAC0009,086338,2025,12,02,2.6,1,N
IDCJAC0009,086338,2025,12,03,0.0,1,Y
IDCJAC0009,086338,2025,12,04,0.0,1,N
IDCJAC0009,086338,2025,12,05,0.0,1,N
IDCJAC0009,086338,2025,12,06,0.0,1,N
IDCJAC0009,086338,2025,12,07,2.8,1,N
IDCJAC0009,086338,2025,12,08,0.0,1,N
IDCJAC0009,086338,2025,12,09,0.0,1,N
IDCJAC0009,086338,2025,12,10,0.0,1,N
IDCJAC0009,086338,2025,12,11,0.0,1,N
IDCJAC0009,086338,2025,12,12,0.0,1,N
IDCJAC0009,086338,2025,12,13,0.0,1,N
IDCJAC0009,086338,2025,12,14,0.0,1,N
IDCJAC0009,086338,2025,12,15,0.0,1,N
IDCJAC0009,086338,2025,12,16,0.0,1,N
IDCJAC0009,086338,2025,12,17,0.2,1,N
IDCJAC0009,086338,2025,12,18,0.0,1,N
IDCJAC0009,086338,2025,12,19,0.0,1,N
IDCJAC0009,086338,2025,12,20,0.0,1,N
IDCJAC0009,086338,2025,12,21,0.0,1,N
IDCJAC0009,086338,2025,12,22,14.2,1,N
IDCJAC0009,086338,2025,12,23,0.0,1,N
IDCJAC0009,086338,2025,12,24,0.0,1,N
IDCJAC0009,086338,2025,12,25,0.0,1,N
IDCJAC0009,086338,2025,12,26,0.0,1,N
IDCJAC0009,086338,2025,12,27,0.0,1,N
IDCJAC0009,086338,2025,12,28,0.0,1,Y
IDCJAC0009,086338,2025,12,29,0.0,1,N
IDCJAC0009,086338,2025,12,30,0.0,1,N
IDCJAC0009,086338,2025,12,31,0.0,1,N
