stop_id,stop_name,stop_lat,stop_lon
"19908","Richmond Railway Station (Richmond)","-37.8240744554307","144.990164256273"
"19909","Heyington Railway Station (Toorak)","-37.8346724432645","145.022635270015"
"19910","Kooyong Railway Station (Kooyong)","-37.8399289425958","145.033551606384"
"19911","Tooronga Railway Station (Malvern)","-37.8493655341806","145.041733743833"
"19912","Gardiner Railway Station (Glen Iris)","-37.8532790774277","145.051654659477"
"19913","Springvale Railway Station (Springvale)","-37.9495087816674","145.153451830727"
"19914","Westall Railway Station (Clayton South)","-37.9384912139036","145.13883262698"
"19915","Clayton Railway Station (Clayton)","-37.92468255202","145.120534360257"
"19916","Huntingdale Railway Station (Oakleigh)","-37.9110173407265","145.102364317185"
"19917","Oakleigh Railway Station (Oakleigh)","-37.9003721411489","145.08830786927"
"19918","Hughesdale Railway Station (Hughesdale)","-37.8942488758997","145.076434737963"
"19919","Murrumbeena Railway Station (Murrumbeena)","-37.8901983179745","145.067374870414"
"19920","Carnegie Railway Station (Carnegie)","-37.8862414786376","145.058575063543"
"19921","Werribee Railway Station (Werribee)","-37.8993780465718","144.661118011171"
"19922","Hoppers Crossing Railway Station (Hoppers Crossing)","-37.8832761791276","144.700954931478"
"19923","Laverton Railway Station (Laverton)","-37.8636940413943","144.772616667957"
"19924","Aircraft Railway Station (Laverton)","-37.8666059463047","144.760809437357"
"19925","Westona Railway Station (Altona)","-37.865163483666","144.813493563456"
"19926","Altona Railway Station (Altona)","-37.8671475960129","144.829644740664"
"19927","Seaholme Railway Station (Seaholme)","-37.8678423061995","144.840957728628"
"19928","Westgarth Railway Station (Northcote)","-37.7806206974617","144.999233186635"
"19929","Dennis Railway Station (Northcote)","-37.7791872874867","145.008241630012"
"19930","Fairfield Railway Station (Fairfield)","-37.7791712565692","145.016905299916"
"19931","Alphington Railway Station (Alphington)","-37.778393631707","145.031254932307"
"19932","Darebin Railway Station (Ivanhoe)","-37.7749634109467","145.038475977422"
"19933","Ivanhoe Railway Station (Ivanhoe)","-37.7688967438347","145.045425188311"
"19934","Eaglemont Railway Station (Eaglemont)","-37.7635855335988","145.053942691014"
"19935","Heidelberg Railway Station (Heidelberg)","-37.7570729333213","145.060685522992"
"19936","Rosanna Railway Station (Rosanna)","-37.7428786002769","145.066140290226"
"19937","Moorabbin Railway Station (Moorabbin)","-37.9343532865939","145.036738286425"
"19938","Patterson Railway Station (Bentleigh)","-37.9251491883035","145.035470026499"
"19939","Bentleigh Railway Station (Bentleigh)","-37.9174245729313","145.036995134208"
"19940","McKinnon Railway Station (Mckinnon)","-37.9103090339042","145.038298971505"
"19941","Ormond Railway Station (Ormond)","-37.9032116703101","145.039613418163"
"19942","Glen Huntly Railway Station (Glen Huntly)","-37.8897194619726","145.042222854186"
"19943","Caulfield Railway Station (Caulfield East)","-37.8774594614967","145.042524781037"
"19944","Malvern Railway Station (Malvern)","-37.8662532993132","145.029293938791"
"19945","Armadale Railway Station (Armadale)","-37.8564523828081","145.019325537875"
"19946","Toorak Railway Station (Armadale)","-37.8507738052765","145.013908582451"
"19947","Hawksburn Railway Station (South Yarra)","-37.8445908738099","145.002142057363"
"19948","Sandringham Railway Station (Sandringham)","-37.9503301772321","145.004561358882"
"19949","Hampton Railway Station (Hampton)","-37.9379768129191","145.00147057003"
"19950","Brighton Beach Railway Station (Brighton)","-37.9264843202788","144.989153550273"
"19951","Middle Brighton Railway Station (Brighton)","-37.915134406205","144.996299088376"
"19952","North Brighton Railway Station (Brighton)","-37.9048872134206","145.00260503336"
"19953","Gardenvale Railway Station (Brighton)","-37.8966950752432","145.004168434304"
"19954","Elsternwick Railway Station (Elsternwick)","-37.8847531121265","145.000897873416"
"19955","Ripponlea Railway Station (Ripponlea)","-37.875906426838","144.995236558908"
"19956","Balaclava Railway Station (Balaclava)","-37.8694877274508","144.993512099452"
"19957","Windsor Railway Station (Windsor)","-37.8560530797027","144.992035170295"
"19958","Prahran Railway Station (Prahran)","-37.8495184845913","144.989859924303"
"19959","South Yarra Railway Station (South Yarra)","-37.838449349083","144.992342213835"
"19960","Upfield Railway Station (Coolaroo)","-37.6660777887342","144.946739938663"
