date,station name,Year,Month,day of week,Day,Rainfall amount (millimetres)
2015-08-17,Olympic Park,2015,8,Monday,17,2.4
2015-08-18,Olympic Park,2015,8,Tuesday,18,0.6
2015-08-19,Olympic Park,2015,8,Wednesday,19,0.0
2015-08-20,Olympic Park,2015,8,Thursday,20,0.0
2015-08-21,Olympic Park,2015,8,Friday,21,0.0
2015-08-22,Olympic Park,2015,8,Saturday,22,0.0
2015-08-23,Olympic Park,2015,8,Sunday,23,0.0
2015-08-24,Olympic Park,2015,8,Monday,24,0.0
2015-08-25,Olympic Park,2015,8,Tuesday,25,0.0
2015-08-26,Olympic Park,2015,8,Wednesday,26,0.2
2015-08-27,Olympic Park,2015,8,Thursday,27,0.8
2015-08-28,Olympic Park,2015,8,Friday,28,17.4
2015-08-29,Olympic Park,2015,8,Saturday,29,1.8
2015-08-30,Olympic Park,2015,8,Sunday,30,2.2
2015-08-31,Olympic Park,2015,8,Monday,31,0.0
2015-09-01,Olympic Park,2015,9,Tuesday,1,0.0
2015-09-02,Olympic Park,2015,9,Wednesday,2,0.0
2015-09-03,Olympic Park,2015,9,Thursday,3,4.4
2015-09-04,Olympic Park,2015,9,Friday,4,0.0
2015-09-05,Olympic Park,2015,9,Saturday,5,0.0
2015-09-06,Olympic Park,2015,9,Sunday,6,0.0
2015-09-07,Olympic Park,2015,9,Monday,7,3.6
2015-09-08,Olympic Park,2015,9,Tuesday,8,2.0
2015-09-09,Olympic Park,2015,9,Wednesday,9,0.0
2015-09-10,Olympic Park,2015,9,Thursday,10,0.0
2015-09-11,Olympic Park,2015,9,Friday,11,0.0
2015-09-12,Olympic Park,2015,9,Saturday,12,0.0
2015-09-13,Olympic Park,2015,9,Sunday,13,0.0
2015-09-14,Olympic Park,2015,9,Monday,14,0.0
2015-09-15,Olympic Park,2015,9,Tuesday,15,15.8
2015-09-16,Olympic Park,2015,9,Wednesday,16,0.0
2015-09-17,Olympic Park,2015,9,Thursday,17,0.4
2015-09-18,Olympic Park,2015,9,Friday,18,0.0
2015-09-19,Olympic Park,2015,9,Saturday,19,0.0
2015-09-20,Olympic Park,2015,9,Sunday,20,0.0
2015-09-21,Olympic Park,2015,9,Monday,21,0.0
2015-09-22,Olympic Park,2015,9,Tuesday,22,4.4
2015-09-23,Olympic Park,2015,9,Wednesday,23,0.0
2015-09-24,Olympic Park,2015,9,Thursday,24,0.0
2015-09-25,Olympic Park,2015,9,Friday,25,0.0
2015-09-26,Olympic Park,2015,9,Saturday,26,0.0
2015-09-27,Olympic Park,2015,9,Sunday,27,0.0
2015-09-28,Olympic Park,2015,9,Monday,28,0.0
2015-09-29,Olympic Park,2015,9,Tuesday,29,0.0
2015-09-30,Olympic Park,2015,9,Wednesday,30,0.0
2015-10-01,Olympic Park,2015,10,Thursday,1,0.0
2015-10-02,Olympic Park,2015,10,Friday,2,0.0
2015-10-03,Olympic Park,2015,10,Saturday,3,0.0
2015-10-04,Olympic Park,2015,10,Sunday,4,0.0
2015-10-05,Olympic Park,2015,10,Monday,5,0.0
2015-10-06,Olympic Park,2015,10,Tuesday,6,0.0
2015-10-07,Olympic Park,2015,10,Wednesday,7,0.0
2015-10-08,Olympic Park,2015,10,Thursday,8,0.0
2015-10-09,Olympic Park,2015,10,Friday,9,0.0
2015-10-10,Olympic Park,2015,10,Saturday,10,0.0
2015-10-11,Olympic Park,2015,10,Sunday,11,0.4
2015-10-12,Olympic Park,2015,10,Monday,12,0.6
2015-10-13,Olympic Park,2015,10,Tuesday,13,0.4
2015-10-14,Olympic Park,2015,10,Wednesday,14,0.0
2015-10-15,Olympic Park,2015,10,Thursday,15,0.0
2015-10-16,Olympic Park,2015,10,Friday,16,0.0
2015-10-17,Olympic Park,2015,10,Saturday,17,0.0
2015-10-18,Olympic Park,2015,10,Sunday,18,0.0
2015-10-19,Olympic Park,2015,10,Monday,19,0.0
2015-10-20,Olympic Park,2015,10,Tuesday,20,0.0
2015-10-21,Olympic Park,2015,10,Wednesday,21,2.4
2015-10-22,Olympic Park,2015,10,Thursday,22,7.0
2015-10-23,Olympic Park,2015,10,Friday,23,0.0
2015-10-24,Olympic Park,2015,10,Saturday,24,0.0
2015-10-25,Olympic Park,2015,10,Sunday,25,0.0
2015-10-26,Olympic Park,2015,10,Monday,26,0.2
2015-10-27,Olympic Park,2015,10,Tuesday,27,0.2
2015-10-28,Olympic Park,2015,10,Wednesday,28,0.0
2015-10-29,Olympic Park,2015,10,Thursday,29,0.0
2015-10-30,Olympic Park,2015,10,Friday,30,0.0
2015-10-31,Olympic Park,2015,10,Saturday,31,1.0
2015-11-01,Olympic Park,2015,11,Sunday,1,4.4
2015-11-02,Olympic Park,2015,11,Monday,2,0.0
2015-11-03,Olympic Park,2015,11,Tuesday,3,0.2
2015-11-04,Olympic Park,2015,11,Wednesday,4,0.0
2015-11-05,Olympic Park,2015,11,Thursday,5,12.2
2015-11-06,Olympic Park,2015,11,Friday,6,17.6
2015-11-07,Olympic Park,2015,11,Saturday,7,1.2
2015-11-08,Olympic Park,2015,11,Sunday,8,0.0
2015-11-09,Olympic Park,2015,11,Monday,9,0.0
2015-11-10,Olympic Park,2015,11,Tuesday,10,0.0
2015-11-11,Olympic Park,2015,11,Wednesday,11,2.0
2015-11-12,Olympic Park,2015,11,Thursday,12,0.0
2015-11-13,Olympic Park,2015,11,Friday,13,0.4
2015-11-14,Olympic Park,2015,11,Saturday,14,0.2
2015-11-15,Olympic Park,2015,11,Sunday,15,0.2
2015-11-16,Olympic Park,2015,11,Monday,16,0.2
2015-11-17,Olympic Park,2015,11,Tuesday,17,0.0
2015-11-18,Olympic Park,2015,11,Wednesday,18,0.0
2015-11-19,Olympic Park,2015,11,Thursday,19,0.0
2015-11-20,Olympic Park,2015,11,Friday,20,0.4
2015-11-21,Olympic Park,2015,11,Saturday,21,3.6
2015-11-22,Olympic Park,2015,11,Sunday,22,0.0
2015-11-23,Olympic Park,2015,11,Monday,23,0.0
2015-11-24,Olympic Park,2015,11,Tuesday,24,0.0
2015-11-25,Olympic Park,2015,11,Wednesday,25,0.0
2015-11-26,Olympic Park,2015,11,Thursday,26,0.0
2015-11-27,Olympic Park,2015,11,Friday,27,0.4
2015-11-28,Olympic Park,2015,11,Saturday,28,0.0
2015-11-29,Olympic Park,2015,11,Sunday,29,0.0
2015-11-30,Olympic Park,2015,11,Monday,30,0.0
2015-12-01,Olympic Park,2015,12,Tuesday,1,1.8
2015-12-02,Olympic Park,2015,12,Wednesday,2,0.0
2015-12-03,Olympic Park,2015,12,Thursday,3,0.0
2015-12-04,Olympic Park,2015,12,Friday,4,0.0
2015-12-05,Olympic Park,2015,12,Saturday,5,0.0
2015-12-06,Olympic Park,2015,12,Sunday,6,0.0
2015-12-07,Olympic Park,2015,12,Monday,7,0.0
2015-12-08,Olympic Park,2015,12,Tuesday,8,0.8
2015-12-09,Olympic Park,2015,12,Wednesday,9,0.0
2015-12-10,Olympic Park,2015,12,Thursday,10,0.0
2015-12-11,Olympic Park,2015,12,Friday,11,0.0
2015-12-12,Olympic Park,2015,12,Saturday,12,2.0
2015-12-13,Olympic Park,2015,12,Sunday,13,0.0
2015-12-14,Olympic Park,2015,12,Monday,14,0.0
2015-12-15,Olympic Park,2015,12,Tuesday,15,0.0
2015-12-16,Olympic Park,2015,12,Wednesday,16,0.0
2015-12-17,Olympic Park,2015,12,Thursday,17,0.0
2015-12-18,Olympic Park,2015,12,Friday,18,0.0
2015-12-19,Olympic Park,2015,12,Saturday,19,0.0
2015-12-20,Olympic Park,2015,12,Sunday,20,0.0
2015-12-21,Olympic Park,2015,12,Monday,21,6.0
2015-12-22,Olympic Park,2015,12,Tuesday,22,0.0
2015-12-23,Olympic Park,2015,12,Wednesday,23,0.0
2015-12-24,Olympic Park,2015,12,Thursday,24,0.4
2015-12-25,Olympic Park,2015,12,Friday,25,0.0
2015-12-26,Olympic Park,2015,12,Saturday,26,30.6
2015-12-27,Olympic Park,2015,12,Sunday,27,5.2
2015-12-28,Olympic Park,2015,12,Monday,28,0.0
2015-12-29,Olympic Park,2015,12,Tuesday,29,0.0
2015-12-30,Olympic Park,2015,12,Wednesday,30,0.0
2015-12-31,Olympic Park,2015,12,Thursday,31,0.0
2016-01-01,Olympic Park,2016,1,Friday,1,0.0
2016-01-02,Olympic Park,2016,1,Saturday,2,0.0
2016-01-03,Olympic Park,2016,1,Sunday,3,0.0
2016-01-04,Olympic Park,2016,1,Monday,4,0.0
2016-01-05,Olympic Park,2016,1,Tuesday,5,0.0
2016-01-06,Olympic Park,2016,1,Wednesday,6,0.0
2016-01-07,Olympic Park,2016,1,Thursday,7,0.0
2016-01-08,Olympic Park,2016,1,Friday,8,0.0
2016-01-09,Olympic Park,2016,1,Saturday,9,0.0
2016-01-10,Olympic Park,2016,1,Sunday,10,0.0
2016-01-11,Olympic Park,2016,1,Monday,11,0.0
2016-01-12,Olympic Park,2016,1,Tuesday,12,0.8
2016-01-13,Olympic Park,2016,1,Wednesday,13,0.2
2016-01-14,Olympic Park,2016,1,Thursday,14,0.4
2016-01-15,Olympic Park,2016,1,Friday,15,1.0
2016-01-16,Olympic Park,2016,1,Saturday,16,0.0
2016-01-17,Olympic Park,2016,1,Sunday,17,0.0
2016-01-18,Olympic Park,2016,1,Monday,18,0.0
2016-01-19,Olympic Park,2016,1,Tuesday,19,0.0
2016-01-20,Olympic Park,2016,1,Wednesday,20,1.0
2016-01-21,Olympic Park,2016,1,Thursday,21,0.8
2016-01-22,Olympic Park,2016,1,Friday,22,1.6
2016-01-23,Olympic Park,2016,1,Saturday,23,7.0
2016-01-24,Olympic Park,2016,1,Sunday,24,5.2
2016-01-25,Olympic Park,2016,1,Monday,25,0.4
2016-01-26,Olympic Park,2016,1,Tuesday,26,0.0
2016-01-27,Olympic Park,2016,1,Wednesday,27,0.0
2016-01-28,Olympic Park,2016,1,Thursday,28,3.6
2016-01-29,Olympic Park,2016,1,Friday,29,14.2
2016-01-30,Olympic Park,2016,1,Saturday,30,1.2
2016-01-31,Olympic Park,2016,1,Sunday,31,10.6
2016-02-01,Olympic Park,2016,2,Monday,1,0.0
2016-02-02,Olympic Park,2016,2,Tuesday,2,0.0
2016-02-03,Olympic Park,2016,2,Wednesday,3,0.6
2016-02-04,Olympic Park,2016,2,Thursday,4,2.4
2016-02-05,Olympic Park,2016,2,Friday,5,0.0
2016-02-06,Olympic Park,2016,2,Saturday,6,0.0
2016-02-07,Olympic Park,2016,2,Sunday,7,0.0
2016-02-08,Olympic Park,2016,2,Monday,8,0.0
2016-02-09,Olympic Park,2016,2,Tuesday,9,0.0
2016-02-10,Olympic Park,2016,2,Wednesday,10,0.0
2016-02-11,Olympic Park,2016,2,Thursday,11,0.0
2016-02-12,Olympic Park,2016,2,Friday,12,0.0
2016-02-13,Olympic Park,2016,2,Saturday,13,0.0
2016-02-14,Olympic Park,2016,2,Sunday,14,0.0
2016-02-15,Olympic Park,2016,2,Monday,15,0.0
2016-02-16,Olympic Park,2016,2,Tuesday,16,3.6
2016-02-17,Olympic Park,2016,2,Wednesday,17,0.6
2016-02-18,Olympic Park,2016,2,Thursday,18,1.2
2016-02-19,Olympic Park,2016,2,Friday,19,0.2
2016-02-20,Olympic Park,2016,2,Saturday,20,0.0
2016-02-21,Olympic Park,2016,2,Sunday,21,0.0
2016-02-22,Olympic Park,2016,2,Monday,22,0.0
2016-02-23,Olympic Park,2016,2,Tuesday,23,0.0
2016-02-24,Olympic Park,2016,2,Wednesday,24,0.0
2016-02-25,Olympic Park,2016,2,Thursday,25,0.4
2016-02-26,Olympic Park,2016,2,Friday,26,0.0
2016-02-27,Olympic Park,2016,2,Saturday,27,0.0
2016-02-28,Olympic Park,2016,2,Sunday,28,0.0
2016-02-29,Olympic Park,2016,2,Monday,29,0.0
2016-03-01,Olympic Park,2016,3,Tuesday,1,0.0
2016-03-02,Olympic Park,2016,3,Wednesday,2,0.0
2016-03-03,Olympic Park,2016,3,Thursday,3,0.2
2016-03-04,Olympic Park,2016,3,Friday,4,0.2
2016-03-05,Olympic Park,2016,3,Saturday,5,1.2
2016-03-06,Olympic Park,2016,3,Sunday,6,0.0
2016-03-07,Olympic Park,2016,3,Monday,7,3.2
2016-03-08,Olympic Park,2016,3,Tuesday,8,0.6
2016-03-09,Olympic Park,2016,3,Wednesday,9,0.0
2016-03-10,Olympic Park,2016,3,Thursday,10,0.6
2016-03-11,Olympic Park,2016,3,Friday,11,8.4
2016-03-12,Olympic Park,2016,3,Saturday,12,0.2
2016-03-13,Olympic Park,2016,3,Sunday,13,0.0
2016-03-14,Olympic Park,2016,3,Monday,14,0.0
2016-03-15,Olympic Park,2016,3,Tuesday,15,0.0
2016-03-16,Olympic Park,2016,3,Wednesday,16,0.0
2016-03-17,Olympic Park,2016,3,Thursday,17,0.0
2016-03-18,Olympic Park,2016,3,Friday,18,13.4
2016-03-19,Olympic Park,2016,3,Saturday,19,5.8
2016-03-20,Olympic Park,2016,3,Sunday,20,0.2
2016-03-21,Olympic Park,2016,3,Monday,21,0.0
2016-03-22,Olympic Park,2016,3,Tuesday,22,0.0
2016-03-23,Olympic Park,2016,3,Wednesday,23,0.0
2016-03-24,Olympic Park,2016,3,Thursday,24,0.0
2016-03-25,Olympic Park,2016,3,Friday,25,0.0
2016-03-26,Olympic Park,2016,3,Saturday,26,0.4
2016-03-27,Olympic Park,2016,3,Sunday,27,1.0
2016-03-28,Olympic Park,2016,3,Monday,28,0.2
2016-03-29,Olympic Park,2016,3,Tuesday,29,0.0
2016-03-30,Olympic Park,2016,3,Wednesday,30,0.0
2016-03-31,Olympic Park,2016,3,Thursday,31,0.0
2016-04-01,Olympic Park,2016,4,Friday,1,0.0
2016-04-02,Olympic Park,2016,4,Saturday,2,0.0
2016-04-03,Olympic Park,2016,4,Sunday,3,0.0
2016-04-04,Olympic Park,2016,4,Monday,4,0.0
2016-04-05,Olympic Park,2016,4,Tuesday,5,0.0
2016-04-06,Olympic Park,2016,4,Wednesday,6,12.8
2016-04-07,Olympic Park,2016,4,Thursday,7,6.8
2016-04-08,Olympic Park,2016,4,Friday,8,0.0
