date,station name,Year,Month,day of week,Day,Rainfall amount (millimetres)
2015-01-01,Olympic Park,2015,1,Thursday,1,0.0
2015-01-02,Olympic Park,2015,1,Friday,2,0.0
2015-01-03,Olympic Park,2015,1,Saturday,3,0.0
2015-01-04,Olympic Park,2015,1,Sunday,4,4.2
2015-01-05,Olympic Park,2015,1,Monday,5,0.0
2015-01-06,Olympic Park,2015,1,Tuesday,6,0.0
2015-01-07,Olympic Park,2015,1,Wednesday,7,0.0
2015-01-08,Olympic Park,2015,1,Thursday,8,19.4
2015-01-09,Olympic Park,2015,1,Friday,9,1.2
2015-01-10,Olympic Park,2015,1,Saturday,10,5.2
2015-01-11,Olympic Park,2015,1,Sunday,11,0.0
2015-01-12,Olympic Park,2015,1,Monday,12,0.0
2015-01-13,Olympic Park,2015,1,Tuesday,13,0.0
2015-01-14,Olympic Park,2015,1,Wednesday,14,15.8
2015-01-15,Olympic Park,2015,1,Thursday,15,0.0
2015-01-16,Olympic Park,2015,1,Friday,16,0.0
2015-01-17,Olympic Park,2015,1,Saturday,17,0.0
2015-01-18,Olympic Park,2015,1,Sunday,18,0.0
2015-01-19,Olympic Park,2015,1,Monday,19,0.0
2015-01-20,Olympic Park,2015,1,Tuesday,20,0.0
2015-01-21,Olympic Park,2015,1,Wednesday,21,0.0
2015-01-22,Olympic Park,2015,1,Thursday,22,0.0
2015-01-23,Olympic Park,2015,1,Friday,23,0.0
2015-01-24,Olympic Park,2015,1,Saturday,24,0.0
2015-01-25,Olympic Park,2015,1,Sunday,25,0.0
2015-01-26,Olympic Park,2015,1,Monday,26,1.0
2015-01-27,Olympic Park,2015,1,Tuesday,27,0.6
2015-01-28,Olympic Park,2015,1,Wednesday,28,0.0
2015-01-29,Olympic Park,2015,1,Thursday,29,0.0
2015-01-30,Olympic Park,2015,1,Friday,30,0.0
2015-01-31,Olympic Park,2015,1,Saturday,31,0.0
2015-02-01,Olympic Park,2015,2,Sunday,1,9.2
2015-02-02,Olympic Park,2015,2,Monday,2,3.8
2015-02-03,Olympic Park,2015,2,Tuesday,3,0.0
2015-02-04,Olympic Park,2015,2,Wednesday,4,0.0
2015-02-05,Olympic Park,2015,2,Thursday,5,0.0
2015-02-06,Olympic Park,2015,2,Friday,6,0.0
2015-02-07,Olympic Park,2015,2,Saturday,7,0.0
2015-02-08,Olympic Park,2015,2,Sunday,8,0.0
2015-02-09,Olympic Park,2015,2,Monday,9,0.0
2015-02-10,Olympic Park,2015,2,Tuesday,10,0.0
2015-02-11,Olympic Park,2015,2,Wednesday,11,0.0
2015-02-12,Olympic Park,2015,2,Thursday,12,0.0
2015-02-13,Olympic Park,2015,2,Friday,13,0.0
2015-02-14,Olympic Park,2015,2,Saturday,14,19.6
2015-02-15,Olympic Park,2015,2,Sunday,15,0.4
2015-02-16,Olympic Park,2015,2,Monday,16,0.0
2015-02-17,Olympic Park,2015,2,Tuesday,17,0.0
2015-02-18,Olympic Park,2015,2,Wednesday,18,0.0
2015-02-19,Olympic Park,2015,2,Thursday,19,0.0
2015-02-20,Olympic Park,2015,2,Friday,20,0.0
2015-02-21,Olympic Park,2015,2,Saturday,21,0.0
2015-02-22,Olympic Park,2015,2,Sunday,22,1.6
2015-02-23,Olympic Park,2015,2,Monday,23,0.0
2015-02-24,Olympic Park,2015,2,Tuesday,24,3.2
2015-02-25,Olympic Park,2015,2,Wednesday,25,0.0
2015-02-26,Olympic Park,2015,2,Thursday,26,0.0
2015-02-27,Olympic Park,2015,2,Friday,27,0.0
2015-02-28,Olympic Park,2015,2,Saturday,28,0.0
2015-03-01,Olympic Park,2015,3,Sunday,1,15.8
2015-03-02,Olympic Park,2015,3,Monday,2,0.0
2015-03-03,Olympic Park,2015,3,Tuesday,3,0.0
2015-03-04,Olympic Park,2015,3,Wednesday,4,0.0
2015-03-05,Olympic Park,2015,3,Thursday,5,0.8
2015-03-06,Olympic Park,2015,3,Friday,6,0.2
2015-03-07,Olympic Park,2015,3,Saturday,7,0.2
2015-03-08,Olympic Park,2015,3,Sunday,8,0.0
2015-03-09,Olympic Park,2015,3,Monday,9,0.0
2015-03-10,Olympic Park,2015,3,Tuesday,10,0.0
2015-03-11,Olympic Park,2015,3,Wednesday,11,0.0
2015-03-12,Olympic Park,2015,3,Thursday,12,0.0
2015-03-13,Olympic Park,2015,3,Friday,13,0.0
2015-03-14,Olympic Park,2015,3,Saturday,14,0.0
2015-03-15,Olympic Park,2015,3,Sunday,15,2.2
2015-03-16,Olympic Park,2015,3,Monday,16,0.0
2015-03-17,Olympic Park,2015,3,Tuesday,17,0.0
2015-03-18,Olympic Park,2015,3,Wednesday,18,1.4
2015-03-19,Olympic Park,2015,3,Thursday,19,0.0
2015-03-20,Olympic Park,2015,3,Friday,20,0.0
2015-03-21,Olympic Park,2015,3,Saturday,21,0.0
2015-03-22,Olympic Park,2015,3,Sunday,22,0.0
2015-03-23,Olympic Park,2015,3,Monday,23,0.0
2015-03-24,Olympic Park,2015,3,Tuesday,24,1.4
2015-03-25,Olympic Park,2015,3,Wednesday,25,0.4
2015-03-26,Olympic Park,2015,3,Thursday,26,0.4
2015-03-27,Olympic Park,2015,3,Friday,27,0.2
2015-03-28,Olympic Park,2015,3,Saturday,28,0.0
2015-03-29,Olympic Park,2015,3,Sunday,29,0.0
2015-03-30,Olympic Park,2015,3,Monday,30,0.0
2015-03-31,Olympic Park,2015,3,Tuesday,31,0.0
2015-04-01,Olympic Park,2015,4,Wednesday,1,0.0
2015-04-02,Olympic Park,2015,4,Thursday,2,0.2
2015-04-03,Olympic Park,2015,4,Friday,3,0.0
2015-04-04,Olympic Park,2015,4,Saturday,4,0.0
2015-04-05,Olympic Park,2015,4,Sunday,5,0.0
2015-04-06,Olympic Park,2015,4,Monday,6,0.0
2015-04-07,Olympic Park,2015,4,Tuesday,7,0.0
2015-04-08,Olympic Park,2015,4,Wednesday,8,5.6
2015-04-09,Olympic Park,2015,4,Thursday,9,0.0
2015-04-10,Olympic Park,2015,4,Friday,10,0.0
2015-04-11,Olympic Park,2015,4,Saturday,11,0.0
2015-04-12,Olympic Park,2015,4,Sunday,12,0.0
2015-04-13,Olympic Park,2015,4,Monday,13,0.0
2015-04-14,Olympic Park,2015,4,Tuesday,14,1.6
2015-04-15,Olympic Park,2015,4,Wednesday,15,2.4
2015-04-16,Olympic Park,2015,4,Thursday,16,0.0
2015-04-17,Olympic Park,2015,4,Friday,17,0.0
2015-04-18,Olympic Park,2015,4,Saturday,18,3.6
2015-04-19,Olympic Park,2015,4,Sunday,19,6.4
2015-04-20,Olympic Park,2015,4,Monday,20,1.4
2015-04-21,Olympic Park,2015,4,Tuesday,21,0.0
2015-04-22,Olympic Park,2015,4,Wednesday,22,0.0
2015-04-23,Olympic Park,2015,4,Thursday,23,0.0
2015-04-24,Olympic Park,2015,4,Friday,24,0.0
2015-04-25,Olympic Park,2015,4,Saturday,25,3.0
2015-04-26,Olympic Park,2015,4,Sunday,26,7.0
2015-04-27,Olympic Park,2015,4,Monday,27,4.0
2015-04-28,Olympic Park,2015,4,Tuesday,28,1.6
2015-04-29,Olympic Park,2015,4,Wednesday,29,0.0
2015-04-30,Olympic Park,2015,4,Thursday,30,0.0
2015-05-01,Olympic Park,2015,5,Friday,1,0.0
2015-05-02,Olympic Park,2015,5,Saturday,2,0.0
2015-05-03,Olympic Park,2015,5,Sunday,3,0.0
2015-05-04,Olympic Park,2015,5,Monday,4,0.0
2015-05-05,Olympic Park,2015,5,Tuesday,5,0.6
2015-05-06,Olympic Park,2015,5,Wednesday,6,1.4
2015-05-07,Olympic Park,2015,5,Thursday,7,2.2
2015-05-08,Olympic Park,2015,5,Friday,8,0.2
2015-05-09,Olympic Park,2015,5,Saturday,9,0.0
2015-05-10,Olympic Park,2015,5,Sunday,10,8.6
2015-05-11,Olympic Park,2015,5,Monday,11,2.6
2015-05-12,Olympic Park,2015,5,Tuesday,12,0.0
2015-05-13,Olympic Park,2015,5,Wednesday,13,6.8
2015-05-14,Olympic Park,2015,5,Thursday,14,4.4
2015-05-15,Olympic Park,2015,5,Friday,15,1.8
2015-05-16,Olympic Park,2015,5,Saturday,16,0.0
2015-05-17,Olympic Park,2015,5,Sunday,17,0.0
2015-05-18,Olympic Park,2015,5,Monday,18,0.0
2015-05-19,Olympic Park,2015,5,Tuesday,19,0.0
2015-05-20,Olympic Park,2015,5,Wednesday,20,2.4
2015-05-21,Olympic Park,2015,5,Thursday,21,6.2
2015-05-22,Olympic Park,2015,5,Friday,22,0.4
2015-05-23,Olympic Park,2015,5,Saturday,23,0.0
2015-05-24,Olympic Park,2015,5,Sunday,24,0.0
2015-05-25,Olympic Park,2015,5,Monday,25,0.0
2015-05-26,Olympic Park,2015,5,Tuesday,26,0.0
2015-05-27,Olympic Park,2015,5,Wednesday,27,0.0
2015-05-28,Olympic Park,2015,5,Thursday,28,0.0
2015-05-29,Olympic Park,2015,5,Friday,29,0.0
2015-05-30,Olympic Park,2015,5,Saturday,30,0.0
2015-05-31,Olympic Park,2015,5,Sunday,31,0.0
2015-06-01,Olympic Park,2015,6,Monday,1,8.2
2015-06-02,Olympic Park,2015,6,Tuesday,2,4.2
2015-06-03,Olympic Park,2015,6,Wednesday,3,0.8
2015-06-04,Olympic Park,2015,6,Thursday,4,0.0
2015-06-05,Olympic Park,2015,6,Friday,5,4.2
2015-06-06,Olympic Park,2015,6,Saturday,6,0.2
2015-06-07,Olympic Park,2015,6,Sunday,7,0.0
2015-06-08,Olympic Park,2015,6,Monday,8,0.0
2015-06-09,Olympic Park,2015,6,Tuesday,9,4.0
2015-06-10,Olympic Park,2015,6,Wednesday,10,0.0
2015-06-11,Olympic Park,2015,6,Thursday,11,1.3322074877280636
2015-06-12,Olympic Park,2015,6,Friday,12,0.0
2015-06-13,Olympic Park,2015,6,Saturday,13,0.0
2015-06-14,Olympic Park,2015,6,Sunday,14,0.0
2015-06-15,Olympic Park,2015,6,Monday,15,0.0
2015-06-16,Olympic Park,2015,6,Tuesday,16,5.0
2015-06-17,Olympic Park,2015,6,Wednesday,17,0.0
2015-06-18,Olympic Park,2015,6,Thursday,18,1.0
2015-06-19,Olympic Park,2015,6,Friday,19,0.2
2015-06-20,Olympic Park,2015,6,Saturday,20,0.0
2015-06-21,Olympic Park,2015,6,Sunday,21,0.0
2015-06-22,Olympic Park,2015,6,Monday,22,0.0
2015-06-23,Olympic Park,2015,6,Tuesday,23,0.0
2015-06-24,Olympic Park,2015,6,Wednesday,24,0.0
2015-06-25,Olympic Park,2015,6,Thursday,25,0.0
2015-06-26,Olympic Park,2015,6,Friday,26,0.0
2015-06-27,Olympic Park,2015,6,Saturday,27,0.0
2015-06-28,Olympic Park,2015,6,Sunday,28,0.0
2015-06-29,Olympic Park,2015,6,Monday,29,0.0
2015-06-30,Olympic Park,2015,6,Tuesday,30,0.0
2015-07-01,Olympic Park,2015,7,Wednesday,1,0.0
2015-07-02,Olympic Park,2015,7,Thursday,2,0.6
2015-07-03,Olympic Park,2015,7,Friday,3,2.6
2015-07-04,Olympic Park,2015,7,Saturday,4,0.0
2015-07-05,Olympic Park,2015,7,Sunday,5,2.0
2015-07-06,Olympic Park,2015,7,Monday,6,1.6
2015-07-07,Olympic Park,2015,7,Tuesday,7,2.2
2015-07-08,Olympic Park,2015,7,Wednesday,8,0.2
2015-07-09,Olympic Park,2015,7,Thursday,9,0.0
2015-07-10,Olympic Park,2015,7,Friday,10,0.0
2015-07-11,Olympic Park,2015,7,Saturday,11,0.2
2015-07-12,Olympic Park,2015,7,Sunday,12,1.6
2015-07-13,Olympic Park,2015,7,Monday,13,28.4
2015-07-14,Olympic Park,2015,7,Tuesday,14,3.8
2015-07-15,Olympic Park,2015,7,Wednesday,15,3.6
2015-07-16,Olympic Park,2015,7,Thursday,16,0.2
2015-07-17,Olympic Park,2015,7,Friday,17,2.4
2015-07-18,Olympic Park,2015,7,Saturday,18,0.4
2015-07-19,Olympic Park,2015,7,Sunday,19,0.0
2015-07-20,Olympic Park,2015,7,Monday,20,0.0
2015-07-21,Olympic Park,2015,7,Tuesday,21,0.0
2015-07-22,Olympic Park,2015,7,Wednesday,22,1.6
2015-07-23,Olympic Park,2015,7,Thursday,23,0.0
2015-07-24,Olympic Park,2015,7,Friday,24,1.2
2015-07-25,Olympic Park,2015,7,Saturday,25,0.8
2015-07-26,Olympic Park,2015,7,Sunday,26,3.2
2015-07-27,Olympic Park,2015,7,Monday,27,0.8
2015-07-28,Olympic Park,2015,7,Tuesday,28,0.0
2015-07-29,Olympic Park,2015,7,Wednesday,29,0.0
2015-07-30,Olympic Park,2015,7,Thursday,30,0.0
2015-07-31,Olympic Park,2015,7,Friday,31,0.6
2015-08-01,Olympic Park,2015,8,Saturday,1,0.2
2015-08-02,Olympic Park,2015,8,Sunday,2,0.0
2015-08-03,Olympic Park,2015,8,Monday,3,6.4
2015-08-04,Olympic Park,2015,8,Tuesday,4,0.0
2015-08-05,Olympic Park,2015,8,Wednesday,5,1.0
2015-08-06,Olympic Park,2015,8,Thursday,6,1.6
2015-08-07,Olympic Park,2015,8,Friday,7,1.4
2015-08-08,Olympic Park,2015,8,Saturday,8,0.4
2015-08-09,Olympic Park,2015,8,Sunday,9,0.0
2015-08-10,Olympic Park,2015,8,Monday,10,0.2
2015-08-11,Olympic Park,2015,8,Tuesday,11,0.8
2015-08-12,Olympic Park,2015,8,Wednesday,12,0.0
2015-08-13,Olympic Park,2015,8,Thursday,13,0.2
2015-08-14,Olympic Park,2015,8,Friday,14,0.0
2015-08-15,Olympic Park,2015,8,Saturday,15,0.4
2015-08-16,Olympic Park,2015,8,Sunday,16,0.2
