Asset Type,Name,Xorg,Xsource,Address Point,Artist,Alternate Name,Art Date,Mel way Ref,Respective Author,Structure,Co-ordinates,Easting,Northing
Art,Port Phillip Monument,City of Melbourne,MCC - Ortho Image March 2005 - Final,"178 Sims Street, WEST MELBOURNE",unknown,,1941,2S_K11,City Of Melbourne,Basalt monument,"-37.8056957854241, 144.907291041632",315771.745,5813680.208
Art,Bird Panels,City of Melbourne,MCC - Ortho Image March 2005 - Final,76 Canning Street,Di Christensen and Bernice McPherson,,1995,2A_E5,City Of Melbourne,Stainless-steel panels,"-37.7953526839703, 144.940687314302",318686.757,5814893.278
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8219107218802, 144.946765134735",319286.709,5811958.006
Art,Threaded Field,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"687 La Trobe Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,"-37.8155239604994, 144.946828976445",319276.75,5812666.846
Art,Threaded Field,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"157 Wurundjeri Way, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,"-37.8152979137773, 144.947771877035",319359.203,5812693.754
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8219308131053, 144.946798545611",319289.699,5811955.841
Art,Cow Up A Tree,AAMHatch,AAM Hatch Photogrammetry - March 2005,"135 Harbour Esplanade, DOCKLANDS",John Kelly,,2000,"2E,_G5",City Of Melbourne,Bronze sculpture,"-37.8171223164672, 144.945279753599",319144.272,5812486.484
Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"100 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,"-37.8151225543656, 144.966479473485",321005.63,5812749.23
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187207058813, 144.974110660022",321686.07115,5812364.55406
Monument,Thomas Ferguson Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"179 Leicester Street, CARLTON",unknown,,1912,2B_C9,City Of Melbourne,Stone drinking fountain,"-37.8015394618203, 144.960227228018",320422.328,5814244.492
Art,The Water Nymph,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Paul Montford,,1925,2F_H8,City Of Melbourne,Bronze sculpture,"-37.8222098236425, 144.971335339413",321450.178,5811972.078
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8219524131263, 144.946745954515",319285.122,5811953.343
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187508719706, 144.974172398306",321691.57837,5812361.32452
Monument,Separation Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"401 King Street, WEST MELBOURNE",unknown,,1950,2E_K2,City Of Melbourne,Mixed stone sculpture,"-37.810695135969, 144.953685908935",319868.634,5813215.929
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8219554500409, 144.947041997573",319311.189,5811953.579
Monument,Tilly Aston Bell,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Kings Domain, Alexandra Avenue, MELBOURNE",Anton Hasell,,1999,2F_K10,City Of Melbourne,Bronze sculpture,"-37.8253717117323, 144.975900201821",321859.594,5811629.933
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.815142895306, 144.941571658474",318813.011,5812698.946
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187745168339, 144.974175613725",321691.91832,5812358.70689
Art,The Pathfinder,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",John Edward Robinson,The Hammer Thrower,1974,2F_H8,City Of Melbourne,Bronze sculpture,"-37.8220280738117, 144.970355228248",321363.468,5811990.372
Art,Sundial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"392 William Street, MELBOURNE",unknown,,unknown,2F_A1,City Of Melbourne,Bronze sundial on sandstone plinth,"-37.8103161768399, 144.954937553695",319977.904,5813260.393
Art,Threaded Field,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"689 La Trobe Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,"-37.8154836225539, 144.946712125445",319266.365,5812671.096
Fountain,Clayton Reserve Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"241 Macaulay Road, NORTH MELBOURNE",unknown,,1935,2A_D5,City Of Melbourne,Granite drinking fountain,"-37.7956635739188, 144.938934811008",318533.201,5814855.378
Art,Farnex Hercules,City of Melbourne,MCC - Ortho Image March 2005 - Final,"90 St Kilda Road, SOUTHBANK",unknown,,1780,2F_H7,City Of Melbourne,Marble bust with granite pedestal,"-37.8211093204271, 144.969673137809",321301.212,5812091.017
Fountain,Mockridge Fountain,City of Melbourne,MCC - Ortho Image March 2008 - Final,"City Square, Collins St, MELBOURNE","Ron Jones, Simon Perry and Darryl Cowie",,c. 2000,2F_4F,City Of Melbourne,Concrete fountain,"-37.8155224156707, 144.966994359113",321051.9211875,5812705.8450625
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.820111630197, 144.959404150284",320394.87491,5812182.02759
Art,Horse Hitching Post,City of Melbourne,MCC - Ortho Image March 2005 - Final,"2 Spring Street, EAST MELBOURNE",unknown,,c. 1900,2F_K4,City Of Melbourne,Stone post,"-37.8150299769363, 144.974931527616",321749.451,5812775.666
Art,Signature Work,Beveridge Williams Surveyors,Field Survey,"22 Waterview Walk, DOCKLANDS",Emily Floyd,Rabbit,2004,2E_H6,VicUrban,Painted aluminium sculpture,"-37.8192431329106, 144.947246784778",319322.6,5812254.951
Art,Lynch's Bridge Mosaic Mural,City of Melbourne,MCC - Ground Ortho Image March 2008,"Epsom Road Underpass, KENSINGTON",Elizabeth MacKinnon,The Black Gate,1998,"42,_J2",City of Melbourne,Ceramic tile mural,"-37.7902053576258, 144.92393918587",317199.30985,5815431.82841
Fountain,Bali Memorial,City of Melbourne,MCC - Ground Ortho Image March 2008,"Lincoln Square, Swanston Street, CARLTON",Unknown,,2003,2B_E9,City of Melbourne,"Granite, concrete and stainless steel","-37.8024246248361, 144.963256124373",320691.15562,5814152.08636
Art,Reed Vessel,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"67 Harbour Esplanade, DOCKLANDS",Virginia King,,2002,2E_G7,VicUrban,Sculpture,"-37.8202323424168, 144.946325127609",319243.883,5812143.399
