timestamp,temperature,top_p,freq_penalty,pres_penalty,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_F1
2025-04-09 17:46:37,0.3,1.0,0.0,0.0,0.0913,0.4332,0.1353,0.2202,0.8777
2025-04-09 17:56:28,0.5,0.95,0.5,0.0,0.0926,0.4343,0.1368,0.2196,0.8769
2025-04-09 18:05:19,0.7,0.9,0.0,0.5,0.0902,0.433,0.1353,0.2198,0.8777
2025-04-09 18:14:47,0.9,0.85,0.5,0.5,0.0872,0.4356,0.1298,0.2108,0.8772
