year,yoy_growth
2024,28439.0
2025,9209.0
2026,14334.0
2027,13827.0
2028,13400.0
2029,12774.0
2030,12234.0
2031,11777.0
2032,11336.0
2033,10964.0
2034,10584.0
2035,10226.0
2036,9882.0
2037,9478.0
2038,9089.0
2039,8862.0
2040,8577.0
2041,8389.0
2042,8163.0
2043,7917.0
