date,road_name,location,suburb,speed_limit,direction,time,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,motorcycle,bike,average_speed,85th_percentile_speed,maximum_speed,road_segment
2015-12-17,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 07:00:00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,29.0,22936
2016-03-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 22:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,39.0,23067
2015-12-17,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 09:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,23.0,30.0,22936
2016-03-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 23:00:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,33.0,35.0,23067
2015-12-17,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 11:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,28.0,22936
2016-04-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 05:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,23067
2015-12-17,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 14:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,23.0,26.0,22936
2015-12-17,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 18:00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,23.0,31.0,22936
2016-04-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 07:00:00,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,36.0,41.0,23067
2015-12-17,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 21:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,29.0,22936
2016-04-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 15:00:00,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,28.0,32.0,23067
2015-12-18,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,22936
2016-04-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 18:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,32.0,23067
2016-05-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 00:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,29.0,23067
2016-05-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,26.0,23067
2015-12-18,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 06:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,26.0,22936
2016-05-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 06:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,23067
2015-12-18,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 08:00:00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,31.0,22936
2016-05-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 08:00:00,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,35.0,23067
2015-12-18,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 12:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,22936
2016-05-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 09:00:00,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,32.0,36.0,23067
2015-12-18,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 14:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,28.0,22936
2016-05-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 11:00:00,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,34.0,38.0,23067
2015-12-18,Kirrip Crescent,North of Cade Way,Parkville,25,N,1900-01-01 15:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,23.0,25.0,22936
2016-05-11,Rankins Road,Between Smith Street and Parsons Street,Kensington,40,S,1900-01-01 12:00:00,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,37.0,23067
