,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
Little Collins St-Swanston St (East),17.0,3.0,5.0,12.0,2.0,17.0,23.0,92.0,99.0,156.0,181.0,181.0,247.0,311.0,248.0,352.0,272.0,258.0,191.0,92.0,71.0,62.0,25.0,22.0,"(-37.81414074, 144.9660938)",144.9660938,-37.81414074
Lonsdale St (South),14.0,3.0,5.0,16.0,9.0,21.0,42.0,30.0,39.0,34.0,43.0,54.0,78.0,34.0,52.0,135.0,136.0,129.0,127.0,93.0,65.0,43.0,40.0,26.0,"(-37.81121849, 144.96656807)",144.96656807,-37.81121849
Lonsdale St - Elizabeth St (North),7.0,0.0,7.0,3.0,3.0,14.0,48.0,44.0,105.0,90.0,117.0,106.0,169.0,168.0,195.0,200.0,159.0,147.0,136.0,84.0,52.0,48.0,36.0,8.0,"(-37.81234775, 144.96153311)",144.96153311,-37.81234775
Lonsdale St-Spring St (West),3.0,3.0,0.0,0.0,1.0,8.0,21.0,48.0,116.0,99.0,118.0,118.0,143.0,112.0,82.0,98.0,81.0,75.0,45.0,38.0,29.0,18.0,6.0,4.0,"(-37.80999341, 144.97227588)",144.97227588,-37.80999341
Lygon St (East),2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,97.0,87.0,75.0,56.0,40.0,22.0,16.0,17.0,7.0,"(-37.80310271, 144.96671452)",144.96671452,-37.80310271
Lygon St (West),32.0,16.0,4.0,8.0,0.0,35.0,35.0,27.0,45.0,95.0,102.0,112.0,152.0,195.0,106.0,108.0,148.0,152.0,116.0,76.0,116.0,87.0,48.0,52.0,"(-37.8016968, 144.96658911)",144.96658911,-37.8016968
Melbourne Central,42.0,37.0,27.0,19.0,22.0,15.0,50.0,70.0,141.0,159.0,203.0,256.0,395.0,390.0,384.0,400.0,527.0,539.0,474.0,282.0,229.0,166.0,133.0,109.0,"(-37.81101523, 144.96429485)",144.96429485,-37.81101523
Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),33.0,20.0,50.0,17.0,23.0,55.0,88.0,109.0,226.0,274.0,298.0,401.0,477.0,574.0,559.0,627.0,644.0,560.0,468.0,256.0,156.0,131.0,82.0,47.0,"(-37.81160331, 144.96220077)",144.96220077,-37.81160331
Melbourne Convention Exhibition Centre,20.0,31.0,10.0,14.0,12.0,31.0,161.0,269.0,285.0,241.0,264.0,285.0,422.0,461.0,507.0,543.0,503.0,466.0,388.0,223.0,104.0,87.0,52.0,53.0,"(-37.82401776, 144.95604426)",144.95604426,-37.82401776
Monash Rd-Swanston St (West),4.0,3.0,0.0,0.0,0.0,0.0,16.0,27.0,40.0,39.0,34.0,37.0,58.0,48.0,45.0,69.0,62.0,56.0,51.0,27.0,14.0,10.0,15.0,7.0,"(-37.79844525, 144.96411782)",144.96411782,-37.79844525
New Quay,14.0,9.0,6.0,1.0,9.0,9.0,47.0,73.0,137.0,128.0,136.0,168.0,193.0,185.0,241.0,205.0,274.0,293.0,245.0,167.0,128.0,98.0,77.0,44.0,"(-37.81457987, 144.94292398)",144.94292398,-37.81457987
Pelham St (South),7.0,3.0,0.0,0.0,1.0,3.0,6.0,18.0,21.0,34.0,29.0,34.0,33.0,50.0,50.0,70.0,39.0,56.0,29.0,31.0,13.0,6.0,5.0,3.0,"(-37.80240719, 144.96156731)",144.96156731,-37.80240719
Princes Bridge,26.0,15.0,10.0,38.0,43.0,76.0,134.0,188.0,243.0,221.0,309.0,295.0,359.0,378.0,376.0,370.0,369.0,371.0,246.0,196.0,146.0,113.0,68.0,35.0,"(-37.81874249, 144.96787656)",144.96787656,-37.81874249
