,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
333,2015-11-30,1,11,Not a public holiday,0.0,10.0,32.2,26.6,615659
334,2015-12-01,2,12,Not a public holiday,1.8,14.5,24.6,24.4,625150
335,2015-12-02,3,12,Not a public holiday,0.0,9.2,17.5,32.4,649315
336,2015-12-03,4,12,Not a public holiday,0.0,12.2,21.3,30.1,668547
337,2015-12-04,5,12,Not a public holiday,0.0,11.3,30.8,32.2,776975
338,2015-12-05,6,12,Not a public holiday,0.0,15.5,25.3,27.9,665767
339,2015-12-06,7,12,Not a public holiday,0.0,15.3,29.8,13.5,619551
340,2015-12-07,1,12,Not a public holiday,0.0,18.1,27.3,8.7,639904
341,2015-12-08,2,12,Not a public holiday,1.0,20.3,35.4,19.8,659590
342,2015-12-09,3,12,Not a public holiday,0.0,15.4,24.6,27.0,706915
343,2015-12-10,4,12,Not a public holiday,0.0,13.1,26.0,32.0,739517
344,2015-12-11,5,12,Not a public holiday,0.0,14.2,19.2,13.0,744363
345,2015-12-12,6,12,Not a public holiday,2.4,10.1,18.3,27.9,643844
346,2015-12-13,7,12,Not a public holiday,0.0,10.3,28.3,28.6,554435
347,2015-12-14,1,12,Not a public holiday,0.0,11.9,22.7,31.6,673310
348,2015-12-15,2,12,Not a public holiday,0.0,14.4,24.6,30.3,690976
349,2015-12-16,3,12,Not a public holiday,0.0,15.6,27.5,32.5,734011
350,2015-12-17,4,12,Not a public holiday,0.0,16.9,37.2,33.1,687276
351,2015-12-18,5,12,Not a public holiday,0.0,19.4,35.4,31.2,729509
352,2015-12-19,6,12,Not a public holiday,0.0,19.2,41.2,20.5,483554
353,2015-12-20,7,12,Not a public holiday,0.0,25.9,37.8,10.4,432209
354,2015-12-21,1,12,Not a public holiday,,15.0,20.2,25.4,702929
355,2015-12-22,2,12,Not a public holiday,0.0,12.0,22.8,32.9,744859
356,2015-12-23,3,12,Not a public holiday,0.0,15.1,26.0,32.4,755818
357,2015-12-24,4,12,Not a public holiday,0.0,16.7,34.6,32.8,601562
358,2015-12-25,5,12,Public Holiday,0.0,21.7,34.1,33.3,354165
359,2015-12-26,6,12,Public Holiday,28.6,12.7,20.0,19.2,598849
360,2015-12-27,7,12,Public Holiday,4.0,11.9,19.4,27.6,577904
361,2015-12-28,1,12,Not a public holiday,0.0,12.8,20.8,33.2,578703
362,2015-12-29,2,12,Not a public holiday,0.0,12.4,23.9,33.0,564212
363,2015-12-30,3,12,Not a public holiday,0.0,13.9,34.7,32.8,490025
364,2015-12-31,4,12,Not a public holiday,0.0,19.7,39.7,29.6,540633
365,2016-01-01,5,1,Public Holiday,0.0,19.8,24.2,22.0,518947
366,2016-01-02,6,1,Not a public holiday,0.0,17.1,27.6,25.1,509571
367,2016-01-03,7,1,Not a public holiday,0.0,17.5,27.1,25.7,451123
368,2016-01-04,1,1,Not a public holiday,0.0,16.3,26.0,15.3,547916
369,2016-01-05,2,1,Not a public holiday,0.0,17.1,25.7,25.8,592005
370,2016-01-06,3,1,Not a public holiday,0.0,17.3,25.7,18.1,621087
371,2016-01-07,4,1,Not a public holiday,0.0,16.3,21.3,30.4,631680
372,2016-01-08,5,1,Not a public holiday,0.0,16.2,20.6,25.4,655083
373,2016-01-09,6,1,Not a public holiday,0.0,16.8,21.4,21.3,559456
374,2016-01-10,7,1,Not a public holiday,0.0,15.7,31.5,31.3,443611
375,2016-01-11,1,1,Not a public holiday,0.0,17.2,36.4,15.8,545443
376,2016-01-12,2,1,Not a public holiday,1.0,17.1,24.8,29.1,634227
377,2016-01-13,3,1,Not a public holiday,0.0,16.8,42.2,25.0,526676
378,2016-01-14,4,1,Not a public holiday,0.0,16.1,18.1,3.9,612574
379,2016-01-15,5,1,Not a public holiday,1.0,13.6,19.2,19.7,724970
380,2016-01-16,6,1,Not a public holiday,0.0,11.9,22.3,32.6,589346
381,2016-01-17,7,1,Not a public holiday,0.0,14.9,32.7,31.5,550697
382,2016-01-18,1,1,Not a public holiday,0.0,18.6,35.3,30.4,629602
383,2016-01-19,2,1,Not a public holiday,0.0,17.9,30.9,27.2,653133
384,2016-01-20,3,1,Not a public holiday,1.4,19.3,29.1,18.6,698114
385,2016-01-21,4,1,Not a public holiday,0.4,19.0,26.7,14.9,720653
386,2016-01-22,5,1,Not a public holiday,1.0,17.5,22.8,6.5,702372
387,2016-01-23,6,1,Not a public holiday,12.0,17.3,21.9,23.2,613211
388,2016-01-24,7,1,Not a public holiday,5.6,16.2,22.2,23.4,560510
389,2016-01-25,1,1,Not a public holiday,0.4,16.7,20.9,25.7,675173
390,2016-01-26,2,1,Public Holiday,0.0,16.5,29.4,28.7,705826
391,2016-01-27,3,1,Not a public holiday,0.0,19.3,29.5,22.2,627095
392,2016-01-28,4,1,Not a public holiday,5.6,20.3,27.5,19.0,632468
393,2016-01-29,5,1,Not a public holiday,13.0,14.4,18.3,14.3,680938
394,2016-01-30,6,1,Not a public holiday,1.2,12.3,22.4,24.0,594194
395,2016-01-31,7,1,Not a public holiday,10.8,13.9,21.8,26.3,494393
396,2016-02-01,1,2,Not a public holiday,0.0,12.5,23.6,29.4,625500
397,2016-02-02,2,2,Not a public holiday,0.0,15.4,31.5,25.5,605189
398,2016-02-03,3,2,Not a public holiday,1.2,18.1,21.0,11.0,601768
399,2016-02-04,4,2,Not a public holiday,2.8,17.3,20.9,21.7,662164
400,2016-02-05,5,2,Not a public holiday,0.0,15.3,29.4,29.0,735889
401,2016-02-06,6,2,Not a public holiday,0.0,16.5,32.6,28.8,648512
402,2016-02-07,7,2,Not a public holiday,0.0,19.1,27.7,28.5,543115
403,2016-02-08,1,2,Not a public holiday,0.0,19.2,22.9,23.3,665405
404,2016-02-09,2,2,Not a public holiday,0.0,17.4,22.7,27.7,664340
405,2016-02-10,3,2,Not a public holiday,0.0,17.4,23.3,25.3,686251
406,2016-02-11,4,2,Not a public holiday,0.0,18.0,23.8,27.6,698865
407,2016-02-12,5,2,Not a public holiday,0.0,16.7,24.9,27.9,790800
408,2016-02-13,6,2,Not a public holiday,0.0,17.7,30.3,23.4,669691
409,2016-02-14,7,2,Not a public holiday,0.0,16.4,24.5,22.9,682517
410,2016-02-15,1,2,Not a public holiday,0.0,14.0,26.1,25.4,659351
411,2016-02-16,2,2,Not a public holiday,2.6,13.7,18.4,14.5,640697
412,2016-02-17,3,2,Not a public holiday,2.2,12.7,21.1,16.2,682152
413,2016-02-18,4,2,Not a public holiday,2.2,15.5,22.6,20.6,707372
414,2016-02-19,5,2,Not a public holiday,2.2,15.8,22.0,11.2,736845
415,2016-02-20,6,2,Not a public holiday,0.0,15.8,20.8,23.8,885831
416,2016-02-21,7,2,Not a public holiday,0.0,12.6,24.7,26.5,721722
417,2016-02-22,1,2,Not a public holiday,0.0,15.6,29.5,8.4,633825
418,2016-02-23,2,2,Not a public holiday,0.0,18.1,39.4,19.4,625435
419,2016-02-24,3,2,Not a public holiday,0.0,22.4,25.6,15.8,670560
420,2016-02-25,4,2,Not a public holiday,0.4,19.6,26.4,13.8,691181
421,2016-02-26,5,2,Not a public holiday,0.0,15.5,23.5,19.3,770028
422,2016-02-27,6,2,Not a public holiday,0.0,17.7,22.2,17.7,641641
423,2016-02-28,7,2,Not a public holiday,0.0,17.7,22.7,21.5,591838
424,2016-02-29,1,2,Not a public holiday,0.0,15.0,23.7,18.2,676451
425,2016-03-01,2,3,Not a public holiday,0.0,17.3,33.7,23.4,679965
426,2016-03-02,3,3,Not a public holiday,0.0,17.6,34.7,22.6,693302
427,2016-03-03,4,3,Not a public holiday,0.0,17.4,23.9,21.8,708544
428,2016-03-04,5,3,Not a public holiday,0.0,16.5,33.0,21.2,764925
429,2016-03-05,6,3,Not a public holiday,1.6,20.4,23.7,11.4,610640
430,2016-03-06,7,3,Not a public holiday,0.0,17.4,25.2,21.3,518443
431,2016-03-07,1,3,Not a public holiday,2.8,18.6,24.9,7.9,672423
432,2016-03-08,2,3,Not a public holiday,0.2,19.9,38.9,20.8,651878
433,2016-03-09,3,3,Not a public holiday,9.6,20.8,28.5,10.8,659926
434,2016-03-10,4,3,Not a public holiday,9.6,18.1,22.1,3.9,669617
435,2016-03-11,5,3,Not a public holiday,9.6,18.8,26.1,19.6,827051
436,2016-03-12,6,3,Not a public holiday,0.0,18.7,22.3,7.0,730844
437,2016-03-13,7,3,Not a public holiday,0.0,17.7,23.2,13.8,746962
438,2016-03-14,1,3,Public Holiday,0.0,18.4,21.3,10.6,650464
439,2016-03-15,2,3,Not a public holiday,0.0,15.1,26.8,20.7,671662
440,2016-03-16,3,3,Not a public holiday,0.0,15.3,31.4,18.9,703152
441,2016-03-17,4,3,Not a public holiday,0.0,18.3,32.5,19.6,724483
442,2016-03-18,5,3,Not a public holiday,16.2,15.2,19.5,6.7,730517
443,2016-03-19,6,3,Not a public holiday,6.0,12.0,18.8,10.7,625400
444,2016-03-20,7,3,Not a public holiday,0.0,10.1,23.3,19.0,646783
445,2016-03-21,1,3,Not a public holiday,0.0,11.2,23.5,19.7,712722
446,2016-03-22,2,3,Not a public holiday,0.0,11.4,24.3,21.1,695215
447,2016-03-23,3,3,Not a public holiday,0.0,13.7,28.8,12.7,698421
448,2016-03-24,4,3,Not a public holiday,0.0,16.3,21.2,10.4,743790
449,2016-03-25,5,3,Public Holiday,0.0,15.9,20.4,14.4,579290
450,2016-03-26,6,3,Public Holiday,0.4,14.1,20.2,8.2,624207
451,2016-03-27,7,3,Public Holiday,1.4,14.3,19.9,14.0,558092
452,2016-03-28,1,3,Public Holiday,0.0,9.4,19.2,13.0,481791
453,2016-03-29,2,3,Not a public holiday,0.0,14.5,17.9,5.7,641119
454,2016-03-30,3,3,Not a public holiday,0.0,15.5,18.7,8.5,683511
455,2016-03-31,4,3,Not a public holiday,0.0,11.3,22.7,17.1,724658
456,2016-04-01,5,4,Not a public holiday,0.0,13.1,26.5,16.7,826348
457,2016-04-02,6,4,Not a public holiday,0.0,15.5,19.5,8.3,643351
458,2016-04-03,7,4,Not a public holiday,0.0,11.3,18.8,15.4,555798
459,2016-04-04,1,4,Not a public holiday,0.0,9.7,21.2,18.4,682296
460,2016-04-05,2,4,Not a public holiday,0.0,12.3,29.0,17.1,710886
461,2016-04-06,3,4,Not a public holiday,12.8,13.6,15.6,3.9,645838
462,2016-04-07,4,4,Not a public holiday,7.0,8.3,18.4,13.1,750392
463,2016-04-08,5,4,Not a public holiday,0.0,11.9,20.0,9.6,808149
464,2016-04-09,6,4,Not a public holiday,0.0,10.4,22.3,13.0,649474
465,2016-04-10,7,4,Not a public holiday,0.0,13.6,23.5,9.6,514709
466,2016-04-11,1,4,Not a public holiday,0.2,14.5,20.1,14.1,634527
467,2016-04-12,2,4,Not a public holiday,0.0,14.0,18.7,13.5,718101
468,2016-04-13,3,4,Not a public holiday,0.0,11.3,20.0,12.6,723817
469,2016-04-14,4,4,Not a public holiday,0.0,11.6,27.0,12.7,745662
470,2016-04-15,5,4,Not a public holiday,0.0,13.4,27.0,15.9,881389
471,2016-04-16,6,4,Not a public holiday,0.0,14.0,20.3,8.3,668218
472,2016-04-17,7,4,Not a public holiday,0.0,13.1,19.8,14.7,570963
473,2016-04-18,1,4,Not a public holiday,0.0,9.8,25.0,15.0,677515
474,2016-04-19,2,4,Not a public holiday,0.0,13.6,27.4,14.5,699771
475,2016-04-20,3,4,Not a public holiday,0.0,15.3,28.0,14.0,718849
476,2016-04-21,4,4,Not a public holiday,0.0,17.1,24.2,5.6,661643
477,2016-04-22,5,4,Not a public holiday,21.0,14.6,16.7,7.9,792029
478,2016-04-23,6,4,Not a public holiday,0.0,12.3,18.6,8.5,654288
479,2016-04-24,7,4,Not a public holiday,0.0,9.1,20.0,14.8,620641
480,2016-04-25,1,4,Public Holiday,0.0,9.9,25.0,14.8,593911
481,2016-04-26,2,4,Not a public holiday,0.0,11.3,25.6,14.6,655080
482,2016-04-27,3,4,Not a public holiday,0.0,13.0,25.4,13.5,672944
483,2016-04-28,4,4,Not a public holiday,0.0,19.8,24.9,5.3,706881
484,2016-04-29,5,4,Not a public holiday,0.2,16.9,20.6,3.7,742317
485,2016-04-30,6,4,Not a public holiday,8.5,16.4,24.1,12.7,641027
486,2016-05-01,7,5,Not a public holiday,9.8,14.4,17.0,9.0,426266
487,2016-05-02,1,5,Not a public holiday,0.4,9.0,18.4,12.3,639079
488,2016-05-03,2,5,Not a public holiday,0.6,12.3,20.1,8.8,615311
489,2016-05-04,3,5,Not a public holiday,0.6,9.8,18.2,11.8,691508
490,2016-05-05,4,5,Not a public holiday,0.6,12.6,20.5,12.3,725166
491,2016-05-06,5,5,Not a public holiday,0.6,15.9,24.7,13.2,837827
492,2016-05-07,6,5,Not a public holiday,0.6,11.4,25.7,12.6,667976
493,2016-05-08,7,5,Not a public holiday,6.8,15.5,20.4,3.5,468801
494,2016-05-09,1,5,Not a public holiday,0.8,15.4,22.2,6.7,577666
495,2016-05-10,2,5,Not a public holiday,12.2,13.7,17.2,7.6,641085
496,2016-05-11,3,5,Not a public holiday,0.6,12.2,17.4,6.3,652510
497,2016-05-12,4,5,Not a public holiday,0.4,14.1,21.4,6.1,688501
498,2016-05-13,5,5,Not a public holiday,0.6,15.9,21.6,9.9,793290
499,2016-05-14,6,5,Not a public holiday,0.2,14.5,21.7,12.6,674512
500,2016-05-15,7,5,Not a public holiday,0.0,15.0,22.0,6.7,527120
501,2016-05-16,1,5,Not a public holiday,0.0,7.7,19.6,8.9,644614
502,2016-05-17,2,5,Not a public holiday,0.0,11.4,17.1,5.4,661532
503,2016-05-18,3,5,Not a public holiday,0.0,13.0,19.3,7.2,694125
504,2016-05-19,4,5,Not a public holiday,0.0,14.6,18.4,2.2,667355
505,2016-05-20,5,5,Not a public holiday,1.2,11.6,17.4,8.3,821240
506,2016-05-21,6,5,Not a public holiday,0.0,8.1,18.5,8.9,676442
507,2016-05-22,7,5,Not a public holiday,0.0,9.2,22.2,8.5,472177
508,2016-05-23,1,5,Not a public holiday,3.6,12.8,17.2,7.1,611441
509,2016-05-24,2,5,Not a public holiday,3.6,10.7,15.8,7.3,662503
510,2016-05-25,3,5,Not a public holiday,0.0,7.6,15.6,4.9,618063
511,2016-05-26,4,5,Not a public holiday,13.6,10.3,12.5,3.1,615087
512,2016-05-27,5,5,Not a public holiday,5.2,9.2,14.4,8.0,764344
513,2016-05-28,6,5,Not a public holiday,0.6,5.7,13.2,6.2,565827
514,2016-05-29,7,5,Not a public holiday,3.4,8.7,13.9,6.5,498899
515,2016-05-30,1,5,Not a public holiday,0.0,7.2,15.4,9.5,609693
516,2016-05-31,2,5,Not a public holiday,0.2,3.6,17.4,9.5,626519
517,2016-06-01,3,6,Not a public holiday,0.0,4.8,17.0,8.2,646611
518,2016-06-02,4,6,Not a public holiday,0.0,4.8,12.8,9.2,650569
519,2016-06-03,5,6,Not a public holiday,0.0,6.8,14.1,8.5,713045
520,2016-06-04,6,6,Not a public holiday,7.0,9.8,13.4,3.7,524250
521,2016-06-05,7,6,Not a public holiday,4.4,10.5,14.1,3.3,433985
522,2016-06-06,1,6,Not a public holiday,1.6,8.9,14.5,7.1,622563
523,2016-06-07,2,6,Not a public holiday,0.0,10.5,15.3,4.7,607044
524,2016-06-08,3,6,Not a public holiday,1.8,9.7,14.7,4.7,619490
525,2016-06-09,4,6,Not a public holiday,1.8,10.8,17.5,6.0,627753
526,2016-06-10,5,6,Not a public holiday,0.4,10.4,15.8,6.6,695730
527,2016-06-11,6,6,Not a public holiday,2.6,9.0,13.5,6.5,568372
528,2016-06-12,7,6,Not a public holiday,0.8,5.0,13.8,7.3,585804
529,2016-06-13,1,6,Public Holiday,0.2,3.8,13.4,9.0,443408
530,2016-06-14,2,6,Not a public holiday,0.0,8.6,15.6,8.3,579709
531,2016-06-15,3,6,Not a public holiday,0.0,6.0,17.9,9.2,618458
532,2016-06-16,4,6,Not a public holiday,0.0,7.8,14.3,5.1,584295
533,2016-06-17,5,6,Not a public holiday,5.4,9.3,15.1,3.5,661837
534,2016-06-18,6,6,Not a public holiday,9.7,10.0,12.7,5.3,558896
535,2016-06-19,7,6,Not a public holiday,0.0,7.3,13.5,7.2,447823
536,2016-06-20,1,6,Not a public holiday,8.0,9.1,13.2,3.4,522406
537,2016-06-21,2,6,Not a public holiday,4.6,10.4,14.7,7.0,592111
538,2016-06-22,3,6,Not a public holiday,0.0,11.2,15.4,6.6,616462
539,2016-06-23,4,6,Not a public holiday,0.0,10.4,14.8,7.2,567242
540,2016-06-24,5,6,Not a public holiday,16.8,6.9,10.7,5.8,649802
541,2016-06-25,6,6,Not a public holiday,3.0,5.6,12.7,8.8,581475
542,2016-06-26,7,6,Not a public holiday,2.0,3.0,11.1,7.7,471132
543,2016-06-27,1,6,Not a public holiday,0.4,4.8,10.6,4.7,569997
544,2016-06-28,2,6,Not a public holiday,0.0,5.0,17.0,7.8,647604
545,2016-06-29,3,6,Not a public holiday,0.8,8.9,15.8,8.9,684755
546,2016-06-30,4,6,Not a public holiday,0.0,10.3,11.7,5.6,596083
547,2016-07-01,5,7,Not a public holiday,7.8,7.3,14.1,7.1,740660
548,2016-07-02,6,7,Not a public holiday,0.8,9.9,16.5,6.7,607997
549,2016-07-03,7,7,Not a public holiday,0.0,10.9,16.7,7.8,529165
550,2016-07-04,1,7,Not a public holiday,0.0,10.4,12.7,3.6,627915
551,2016-07-05,2,7,Not a public holiday,28.0,8.2,12.8,1.8,540622
552,2016-07-06,3,7,Not a public holiday,28.0,9.8,13.0,4.6,637720
553,2016-07-07,4,7,Not a public holiday,28.0,10.5,13.7,4.1,671555
554,2016-07-08,5,7,Not a public holiday,1.2,9.7,15.3,7.4,826329
555,2016-07-09,6,7,Not a public holiday,0.2,5.3,15.2,9.5,659317
556,2016-07-10,7,7,Not a public holiday,0.2,6.5,14.2,3.6,445675
557,2016-07-11,1,7,Not a public holiday,4.6,8.3,16.0,7.6,611912
558,2016-07-12,2,7,Not a public holiday,0.0,10.7,13.7,8.1,593788
559,2016-07-13,3,7,Not a public holiday,0.6,4.5,12.0,9.0,616785
560,2016-07-14,4,7,Not a public holiday,0.0,6.6,14.0,7.8,675597
561,2016-07-15,5,7,Not a public holiday,0.0,8.8,14.1,7.2,786006
562,2016-07-16,6,7,Not a public holiday,0.0,7.8,13.7,10.2,694441
563,2016-07-17,7,7,Not a public holiday,0.0,3.1,16.1,10.3,555681
564,2016-07-18,1,7,Not a public holiday,0.0,9.6,17.7,8.8,635296
565,2016-07-19,2,7,Not a public holiday,0.0,12.6,16.0,5.7,625272
566,2016-07-20,3,7,Not a public holiday,1.8,9.8,16.1,9.2,683684
567,2016-07-21,4,7,Not a public holiday,0.0,6.9,18.1,7.4,678339
568,2016-07-22,5,7,Not a public holiday,8.2,9.2,18.3,5.1,726369
569,2016-07-23,6,7,Not a public holiday,4.0,7.5,11.6,9.0,589744
570,2016-07-24,7,7,Not a public holiday,1.2,4.7,11.4,10.3,571103
571,2016-07-25,1,7,Not a public holiday,0.2,6.3,14.3,7.5,601066
572,2016-07-26,2,7,Not a public holiday,5.4,6.5,11.0,7.2,630216
573,2016-07-27,3,7,Not a public holiday,0.0,7.5,12.9,6.9,662617
574,2016-07-28,4,7,Not a public holiday,0.0,6.9,15.2,6.3,689170
575,2016-07-29,5,7,Not a public holiday,0.0,10.2,15.3,5.0,780026
576,2016-07-30,6,7,Not a public holiday,2.2,9.1,13.8,8.5,705653
577,2016-07-31,7,7,Not a public holiday,2.2,10.3,17.0,11.3,572172
578,2016-08-01,1,8,Not a public holiday,2.8,11.2,14.4,5.2,565804
579,2016-08-02,2,8,Not a public holiday,16.0,8.5,13.4,11.2,641344
580,2016-08-03,3,8,Not a public holiday,2.8,8.7,12.8,8.4,623707
581,2016-08-04,4,8,Not a public holiday,1.0,4.9,14.6,11.1,697515
582,2016-08-05,5,8,Not a public holiday,0.0,3.4,14.6,8.7,826425
583,2016-08-06,6,8,Not a public holiday,0.0,5.8,14.4,7.0,638545
584,2016-08-07,7,8,Not a public holiday,0.0,7.6,16.6,10.4,539168
585,2016-08-08,1,8,Not a public holiday,0.0,5.0,14.2,8.0,624989
586,2016-08-09,2,8,Not a public holiday,0.0,9.7,18.9,7.8,641444
587,2016-08-10,3,8,Not a public holiday,0.0,9.6,15.3,11.3,632576
588,2016-08-11,4,8,Not a public holiday,8.4,6.8,15.7,10.3,668770
589,2016-08-12,5,8,Not a public holiday,0.0,7.7,14.1,11.7,744288
590,2016-08-13,6,8,Not a public holiday,2.2,7.9,15.1,9.5,629893
591,2016-08-14,7,8,Not a public holiday,0.6,8.5,18.7,11.6,568123
592,2016-08-15,1,8,Not a public holiday,0.0,10.2,18.1,13.4,632880
593,2016-08-16,2,8,Not a public holiday,0.0,10.0,18.2,13.5,646232
594,2016-08-17,3,8,Not a public holiday,0.0,12.5,15.6,9.6,633978
595,2016-08-18,4,8,Not a public holiday,0.0,7.1,21.6,13.1,685000
596,2016-08-19,5,8,Not a public holiday,0.0,15.3,16.4,2.7,637766
597,2016-08-20,6,8,Not a public holiday,13.0,6.9,13.6,9.7,582975
598,2016-08-21,7,8,Not a public holiday,2.0,9.5,14.8,7.0,462621
599,2016-08-22,1,8,Not a public holiday,6.4,7.8,16.0,8.7,542477
600,2016-08-23,2,8,Not a public holiday,10.8,7.0,13.4,14.2,654375
601,2016-08-24,3,8,Not a public holiday,0.0,3.7,12.7,14.0,626727
602,2016-08-25,4,8,Not a public holiday,1.2,6.5,13.0,13.5,638187
603,2016-08-26,5,8,Not a public holiday,0.6,7.2,14.4,8.8,766552
604,2016-08-27,6,8,Not a public holiday,0.2,9.3,16.3,11.7,627006
605,2016-08-28,7,8,Not a public holiday,0.0,10.5,19.0,12.2,511846
606,2016-08-29,1,8,Not a public holiday,0.0,8.7,20.4,14.2,610634
607,2016-08-30,2,8,Not a public holiday,0.0,10.2,16.8,5.2,564418
608,2016-08-31,3,8,Not a public holiday,1.4,12.8,20.2,10.1,645301
609,2016-09-01,4,9,Not a public holiday,0.0,11.6,15.5,8.8,617364
610,2016-09-02,5,9,Not a public holiday,0.4,9.6,15.0,9.6,724798
611,2016-09-03,6,9,Not a public holiday,0.2,10.0,15.7,12.9,597883
612,2016-09-04,7,9,Not a public holiday,0.2,10.1,16.9,10.0,471979
613,2016-09-05,1,9,Not a public holiday,0.0,12.8,18.4,11.7,604882
614,2016-09-06,2,9,Not a public holiday,0.0,9.2,21.5,15.8,635962
615,2016-09-07,3,9,Not a public holiday,0.0,9.6,21.0,16.7,673933
616,2016-09-08,4,9,Not a public holiday,0.0,13.1,23.3,16.0,668405
617,2016-09-09,5,9,Not a public holiday,0.6,16.0,16.7,5.9,707459
618,2016-09-10,6,9,Not a public holiday,12.6,11.5,14.3,7.9,559170
619,2016-09-11,7,9,Not a public holiday,2.6,7.3,17.0,11.8,486926
620,2016-09-12,1,9,Not a public holiday,2.6,9.9,13.6,7.0,590649
621,2016-09-13,2,9,Not a public holiday,10.2,9.6,14.6,2.8,578316
622,2016-09-14,3,9,Not a public holiday,22.0,10.5,16.1,13.2,622864
623,2016-09-15,4,9,Not a public holiday,2.8,8.7,14.6,6.9,611888
624,2016-09-16,5,9,Not a public holiday,15.2,9.0,15.7,12.5,785093
625,2016-09-17,6,9,Not a public holiday,0.2,11.1,19.8,18.8,627683
626,2016-09-18,7,9,Not a public holiday,0.8,10.8,12.5,5.5,446666
627,2016-09-19,1,9,Not a public holiday,0.2,8.5,16.3,16.2,655191
628,2016-09-20,2,9,Not a public holiday,0.2,9.1,18.8,18.5,683102
629,2016-09-21,3,9,Not a public holiday,2.0,10.9,15.2,8.8,643293
630,2016-09-22,4,9,Not a public holiday,1.8,9.6,13.4,9.9,660788
631,2016-09-23,5,9,Not a public holiday,0.6,9.8,16.5,16.5,816853
632,2016-09-24,6,9,Not a public holiday,0.2,10.0,20.1,18.4,607646
633,2016-09-25,7,9,Not a public holiday,7.2,9.5,14.7,17.1,499081
634,2016-09-26,1,9,Not a public holiday,1.2,8.1,16.9,13.6,618782
635,2016-09-27,2,9,Not a public holiday,15.6,7.4,14.8,13.4,658744
636,2016-09-28,3,9,Not a public holiday,1.2,7.5,19.3,19.6,731979
637,2016-09-29,4,9,Not a public holiday,2.2,12.5,16.7,16.2,719781
638,2016-09-30,5,9,Public Holiday,1.8,9.3,16.4,16.6,655850
639,2016-10-01,6,10,Not a public holiday,0.0,11.6,18.6,11.9,541152
640,2016-10-02,7,10,Not a public holiday,11.0,12.1,24.0,18.7,406619
641,2016-10-03,1,10,Not a public holiday,11.0,11.1,15.9,13.7,528461
642,2016-10-04,2,10,Not a public holiday,5.6,10.6,17.1,13.2,516578
643,2016-10-05,3,10,Not a public holiday,5.6,8.0,17.1,7.5,582804
644,2016-10-06,4,10,Not a public holiday,0.0,9.7,27.2,22.6,661015
645,2016-10-07,5,10,Not a public holiday,0.0,14.1,22.5,7.8,651828
646,2016-10-08,6,10,Not a public holiday,0.0,9.7,16.9,23.0,573688
647,2016-10-09,7,10,Not a public holiday,0.0,9.5,22.0,14.1,375432
648,2016-10-10,1,10,Not a public holiday,1.4,13.0,16.8,18.4,521080
649,2016-10-11,2,10,Not a public holiday,1.2,7.5,15.1,16.7,564163
650,2016-10-12,3,10,Not a public holiday,0.0,10.2,15.4,12.9,553275
651,2016-10-13,4,10,Not a public holiday,3.6,6.8,14.6,22.8,610406
652,2016-10-14,5,10,Not a public holiday,0.0,5.2,22.7,24.5,713823
653,2016-10-15,6,10,Not a public holiday,0.0,9.4,24.8,21.8,542013
654,2016-10-16,7,10,Not a public holiday,0.0,17.4,23.1,8.0,444736
655,2016-10-17,1,10,Not a public holiday,10.8,9.8,18.9,14.8,543250
656,2016-10-18,2,10,Not a public holiday,1.0,9.6,16.6,16.5,519380
657,2016-10-19,3,10,Not a public holiday,3.6,7.5,16.5,22.1,583126
658,2016-10-20,4,10,Not a public holiday,0.0,6.8,21.8,25.6,620526
659,2016-10-21,5,10,Not a public holiday,0.0,14.8,17.6,1.9,578488
660,2016-10-22,6,10,Not a public holiday,19.2,6.9,13.2,16.9,448476
661,2016-10-23,7,10,Not a public holiday,10.8,7.9,14.1,18.7,423038
662,2016-10-24,1,10,Not a public holiday,0.0,9.4,17.1,20.3,570076
663,2016-10-25,2,10,Not a public holiday,0.0,9.6,25.7,23.1,604235
664,2016-10-26,3,10,Not a public holiday,0.0,16.5,18.5,9.0,556234
665,2016-10-27,4,10,Not a public holiday,0.4,10.1,15.4,25.8,603235
666,2016-10-28,5,10,Not a public holiday,0.0,6.3,16.6,26.5,684156
667,2016-10-29,6,10,Not a public holiday,0.0,9.3,25.6,25.8,538461
668,2016-10-30,7,10,Not a public holiday,0.0,12.7,28.0,19.5,402352
669,2016-10-31,1,10,Not a public holiday,1.6,7.9,17.5,19.0,613210
670,2016-11-01,2,11,Public Holiday,0.8,9.4,18.4,17.7,350967
671,2016-11-02,3,11,Not a public holiday,0.8,9.7,18.5,13.3,576381
672,2016-11-03,4,11,Not a public holiday,0.0,10.0,19.1,28.0,624483
673,2016-11-04,5,11,Not a public holiday,0.0,10.2,29.2,24.9,686466
674,2016-11-05,6,11,Not a public holiday,0.0,10.0,16.8,10.8,470935
675,2016-11-06,7,11,Not a public holiday,0.0,11.5,21.4,25.2,436948
676,2016-11-07,1,11,Not a public holiday,0.0,14.6,25.9,15.9,542015
677,2016-11-08,2,11,Not a public holiday,0.2,11.0,18.2,28.9,592874
678,2016-11-09,3,11,Not a public holiday,0.0,9.2,17.4,22.0,576560
679,2016-11-10,4,11,Not a public holiday,0.0,11.9,17.5,20.3,632071
680,2016-11-11,5,11,Not a public holiday,0.0,8.4,23.8,29.1,730145
