,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
77,2015-03-19,4,3,Not a public holiday,2.4,16.5,33.5,15.1,623515
78,2015-03-20,5,3,Not a public holiday,2.4,14.2,19.6,19.9,692880
79,2015-03-21,6,3,Not a public holiday,2.4,11.9,22.7,20.8,577248
80,2015-03-22,7,3,Not a public holiday,0.0,11.3,28.8,19.9,555312
81,2015-03-23,1,3,Not a public holiday,0.0,13.6,27.0,3.9,536966
82,2015-03-24,2,3,Not a public holiday,2.8,12.6,15.3,3.8,548713
83,2015-03-25,3,3,Public Holiday,1.4,13.0,20.4,13.8,618004
84,2015-03-26,4,3,Public Holiday,1.4,9.8,18.0,9.9,617469
85,2015-03-27,5,3,Public Holiday,0.0,11.6,18.1,11.2,699092
86,2015-03-28,6,3,Public Holiday,0.0,12.7,19.1,14.4,620811
87,2015-03-29,7,3,Not a public holiday,0.0,8.5,22.7,18.6,599990
88,2015-03-30,1,3,Not a public holiday,0.0,10.6,23.1,18.1,647490
89,2015-03-31,2,3,Not a public holiday,0.0,11.2,25.3,18.1,652023
90,2015-04-01,3,4,Not a public holiday,0.0,13.3,29.0,10.7,621352
91,2015-04-02,4,4,Not a public holiday,0.4,12.8,17.2,17.5,671795
92,2015-04-03,5,4,Not a public holiday,0.0,8.0,20.9,17.4,476397
93,2015-04-04,6,4,Not a public holiday,0.0,8.5,23.5,16.2,575694
94,2015-04-05,7,4,Not a public holiday,0.0,10.2,18.5,9.8,465305
95,2015-04-06,1,4,Not a public holiday,0.0,11.2,18.4,13.0,422131
96,2015-04-07,2,4,Not a public holiday,0.0,12.4,17.3,3.9,512383
97,2015-04-08,3,4,Not a public holiday,6.2,13.3,17.7,12.6,621442
98,2015-04-09,4,4,Not a public holiday,0.0,8.7,19.1,10.9,660311
99,2015-04-10,5,4,Not a public holiday,0.0,8.6,18.7,15.9,769697
100,2015-04-11,6,4,Not a public holiday,0.0,11.6,23.7,14.9,583589
101,2015-04-12,7,4,Not a public holiday,0.0,12.1,18.3,13.4,458808
102,2015-04-13,1,4,Not a public holiday,0.0,7.3,19.1,14.9,562914
103,2015-04-14,2,4,Not a public holiday,1.8,10.5,24.7,8.4,576960
104,2015-04-15,3,4,Not a public holiday,7.0,13.9,27.6,12.8,629175
105,2015-04-16,4,4,Not a public holiday,7.0,15.6,17.8,10.9,648782
106,2015-04-17,5,4,Not a public holiday,7.0,10.1,17.1,7.5,703342
107,2015-04-18,6,4,Not a public holiday,7.0,13.5,21.9,9.9,558398
108,2015-04-19,7,4,Not a public holiday,7.4,9.7,14.7,11.0,387304
109,2015-04-20,1,4,Not a public holiday,2.2,7.0,16.2,12.7,554574
110,2015-04-21,2,4,Not a public holiday,0.0,6.5,17.7,13.8,556354
111,2015-04-22,3,4,Not a public holiday,0.0,9.1,19.5,7.1,570779
112,2015-04-23,4,4,Not a public holiday,0.0,12.2,19.2,7.5,602834
113,2015-04-24,5,4,Not a public holiday,0.0,14.4,21.1,7.8,687369
114,2015-04-25,6,4,Public Holiday,0.0,11.6,15.0,3.5,617257
115,2015-04-26,7,4,Not a public holiday,,10.4,15.4,5.9,402903
116,2015-04-27,1,4,Not a public holiday,0.0,10.5,15.1,8.3,519381
117,2015-04-28,2,4,Not a public holiday,1.8,10.1,16.0,8.9,536691
118,2015-04-29,3,4,Not a public holiday,0.0,7.4,17.1,12.6,580872
119,2015-04-30,4,4,Not a public holiday,0.2,6.4,19.6,12.3,600746
120,2015-05-01,5,5,Not a public holiday,0.0,7.9,23.1,12.1,746219
121,2015-05-02,6,5,Not a public holiday,0.0,11.6,22.2,6.1,557177
122,2015-05-03,7,5,Not a public holiday,0.0,9.7,18.2,11.2,452820
123,2015-05-04,1,5,Not a public holiday,0.2,7.5,22.3,11.6,544844
124,2015-05-05,2,5,Not a public holiday,1.4,9.2,18.1,7.1,506962
125,2015-05-06,3,5,Not a public holiday,1.6,9.5,16.2,7.6,543673
126,2015-05-07,4,5,Not a public holiday,2.6,10.3,15.6,6.9,556631
127,2015-05-08,5,5,Not a public holiday,0.2,10.5,15.9,5.9,662573
128,2015-05-09,6,5,Not a public holiday,0.0,12.8,18.7,7.3,512580
129,2015-05-10,7,5,Not a public holiday,10.6,12.8,16.6,5.9,394815
130,2015-05-11,1,5,Not a public holiday,2.6,12.4,15.9,7.9,508168
131,2015-05-12,2,5,Not a public holiday,0.2,12.8,17.4,5.9,514329
132,2015-05-13,3,5,Not a public holiday,6.2,6.3,12.8,8.7,533158
133,2015-05-14,4,5,Not a public holiday,4.2,7.3,14.6,6.7,567567
134,2015-05-15,5,5,Not a public holiday,2.0,11.5,14.5,6.2,665396
135,2015-05-16,6,5,Not a public holiday,0.0,11.3,16.2,10.4,556646
136,2015-05-17,7,5,Not a public holiday,0.0,7.4,20.5,10.3,468310
137,2015-05-18,1,5,Not a public holiday,0.0,7.2,20.4,10.2,566187
138,2015-05-19,2,5,Not a public holiday,0.0,9.9,16.2,3.2,535738
139,2015-05-20,3,5,Not a public holiday,3.4,13.6,18.1,6.0,564353
140,2015-05-21,4,5,Not a public holiday,7.0,10.3,13.6,3.5,564108
141,2015-05-22,5,5,Not a public holiday,0.4,9.1,14.1,6.7,671844
142,2015-05-23,6,5,Not a public holiday,0.0,10.4,13.3,7.7,544407
143,2015-05-24,7,5,Not a public holiday,0.0,6.0,15.6,8.6,418867
144,2015-05-25,1,5,Not a public holiday,0.0,7.4,17.1,8.1,537110
145,2015-05-26,2,5,Not a public holiday,0.0,5.4,15.6,6.8,554730
146,2015-05-27,3,5,Not a public holiday,0.2,7.9,18.7,7.4,577867
147,2015-05-28,4,5,Not a public holiday,0.0,13.1,19.7,8.4,598827
148,2015-05-29,5,5,Not a public holiday,0.0,9.5,15.8,6.6,658994
149,2015-05-30,6,5,Not a public holiday,0.0,11.0,17.3,8.0,528365
150,2015-05-31,7,5,Not a public holiday,0.0,12.3,16.8,4.9,356804
151,2015-06-01,1,6,Not a public holiday,7.4,5.2,12.2,8.1,524373
152,2015-06-02,2,6,Not a public holiday,4.2,7.1,11.4,4.6,528939
153,2015-06-03,3,6,Not a public holiday,0.8,8.1,13.6,8.2,579905
154,2015-06-04,4,6,Not a public holiday,0.0,4.4,11.3,5.5,540945
155,2015-06-05,5,6,Not a public holiday,4.2,7.0,15.0,7.0,682471
156,2015-06-06,6,6,Not a public holiday,0.4,9.2,16.6,6.4,637017
