Description,Category,Subcategory,Year,Percentage
neighbourhoodDay,Suburb,South Wharf / Southbank 3006,2022,92.6
neighbourhoodNight,Gender,Male,2022,71.0
neighbourhoodNight,Suburb,East Melbourne 3002,2022,76.5
neighbourhoodNight,Suburb,Kensington / Flemington 3031,2022,68.4
transportNight,AgeRange,18-24 years,2022,82.0
transportNight,AgeRange,25-34 years,2022,77.7
transportNight,AgeRange,35-44 years,2022,79.9
transportNight,AgeRange,45-54 years,2022,82.5
transportNight,AgeRange,65+ years,2022,72.0
transportNight,Gender,Female,2022,78.0
transportNight,Gender,Male,2022,83.3
transportNight,Suburb,City of Melbourne,2022,80.4
transportNight,Suburb,Kensington / Flemington 3031,2022,88.9
transportNight,Suburb,Parkville 3052,2022,79.6
transportDay,AgeRange,18-24 years,2022,42.3
transportDay,AgeRange,55-64 years,2022,62.2
transportDay,AgeRange,65+ years,2022,60.0
transportDay,Gender,Male,2022,63.7
transportDay,Suburb,Carlton 3053,2022,48.8
transportDay,Suburb,Kensington / Flemington 3031,2022,57.2
transportDay,Suburb,Parkville 3052,2022,44.3
neighbourhoodDay,AgeRange,25-34 years,2022,85.3
neighbourhoodDay,AgeRange,45-54 years,2022,79.8
neighbourhoodDay,AgeRange,65+ years,2022,93.7
neighbourhoodDay,Gender,Female,2022,87.3
neighbourhoodDay,Gender,Male,2022,86.2
neighbourhoodDay,Suburb,Carlton 3053,2022,80.2
neighbourhoodDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2022,86.8
neighbourhoodDay,Suburb,Parkville 3052,2022,87.5
neighbourhoodDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,93.5
neighbourhoodNight,AgeRange,18-24 years,2022,48.7
neighbourhoodNight,AgeRange,25-34 years,2022,59.9
neighbourhoodNight,AgeRange,35-44 years,2022,63.7
neighbourhoodNight,AgeRange,45-54 years,2022,57.9
neighbourhoodNight,AgeRange,55-64 years,2022,67.6
neighbourhoodNight,Suburb,Docklands 3008,2022,64.6
neighbourhoodNight,Suburb,Parkville 3052,2022,59.7
neighbourhoodNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,64.9
transportNight,AgeRange,55-64 years,2022,97.2
transportNight,Suburb,Carlton 3053,2022,74.5
transportNight,Suburb,East Melbourne 3002,2022,72.4
transportNight,Suburb,Melbourne 3000,2022,81.6
transportNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2022,79.6
transportNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,81.0
transportDay,AgeRange,45-54 years,2022,60.6
transportDay,Suburb,East Melbourne 3002,2022,57.7
transportDay,Suburb,Melbourne 3000,2022,48.0
transportDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2022,47.2
transportDay,Suburb,South Wharf / Southbank 3006,2022,55.2
neighbourhoodDay,Gender,Female,2021,84.0
neighbourhoodDay,Suburb,Carlton 3053,2021,86.1
neighbourhoodDay,Suburb,Kensington / Flemington 3031,2021,90.1
neighbourhoodDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2021,87.4
neighbourhoodDay,Suburb,South Wharf / Southbank 3006,2021,85.0
neighbourhoodDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,85.9
neighbourhoodNight,AgeRange,35-44 years,2021,65.0
neighbourhoodNight,AgeRange,45-54 years,2021,63.9
neighbourhoodNight,Gender,Female,2021,50.6
