Date,day,monthly_index,Covid Restrictions,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
26-11-2015,4,11,No restriction,Not a public holiday,0,10.8,17.4,23.3,628438
27-11-2015,5,11,No restriction,Not a public holiday,0.6,9,18.2,16.8,775820
28-11-2015,6,11,No restriction,Not a public holiday,0,12,20.1,27.1,651564
29-11-2015,7,11,No restriction,Not a public holiday,0,12.6,20.3,23.4,527324
30-11-2015,1,11,No restriction,Not a public holiday,0,10,32.2,26.6,615659
01-12-2015,2,12,No restriction,Not a public holiday,1.8,14.5,24.6,24.4,625150
02-12-2015,3,12,No restriction,Not a public holiday,0,9.2,17.5,32.4,649315
03-12-2015,4,12,No restriction,Not a public holiday,0,12.2,21.3,30.1,668547
04-12-2015,5,12,No restriction,Not a public holiday,0,11.3,30.8,32.2,776975
05-12-2015,6,12,No restriction,Not a public holiday,0,15.5,25.3,27.9,665767
06-12-2015,7,12,No restriction,Not a public holiday,0,15.3,29.8,13.5,619551
07-12-2015,1,12,No restriction,Not a public holiday,0,18.1,27.3,8.7,639904
08-12-2015,2,12,No restriction,Not a public holiday,1,20.3,35.4,19.8,659590
09-12-2015,3,12,No restriction,Not a public holiday,0,15.4,24.6,27,706915
10-12-2015,4,12,No restriction,Not a public holiday,0,13.1,26,32,739517
11-12-2015,5,12,No restriction,Not a public holiday,0,14.2,19.2,13,744363
12-12-2015,6,12,No restriction,Not a public holiday,2.4,10.1,18.3,27.9,643844
13-12-2015,7,12,No restriction,Not a public holiday,0,10.3,28.3,28.6,554435
14-12-2015,1,12,No restriction,Not a public holiday,0,11.9,22.7,31.6,673310
15-12-2015,2,12,No restriction,Not a public holiday,0,14.4,24.6,30.3,690976
16-12-2015,3,12,No restriction,Not a public holiday,0,15.6,27.5,32.5,734011
17-12-2015,4,12,No restriction,Not a public holiday,0,16.9,37.2,33.1,687276
18-12-2015,5,12,No restriction,Not a public holiday,0,19.4,35.4,31.2,729509
19-12-2015,6,12,No restriction,Not a public holiday,0,19.2,41.2,20.5,483554
20-12-2015,7,12,No restriction,Not a public holiday,0,25.9,37.8,10.4,432209
21-12-2015,1,12,No restriction,Not a public holiday,,15,20.2,25.4,702929
22-12-2015,2,12,No restriction,Not a public holiday,0,12,22.8,32.9,744859
23-12-2015,3,12,No restriction,Not a public holiday,0,15.1,26,32.4,755818
24-12-2015,4,12,No restriction,Not a public holiday,0,16.7,34.6,32.8,601562
25-12-2015,5,12,No restriction,Public Holiday,0,21.7,34.1,33.3,354165
26-12-2015,6,12,No restriction,Public Holiday,28.6,12.7,20,19.2,598849
27-12-2015,7,12,No restriction,Public Holiday,4,11.9,19.4,27.6,577904
28-12-2015,1,12,No restriction,Not a public holiday,0,12.8,20.8,33.2,578703
29-12-2015,2,12,No restriction,Not a public holiday,0,12.4,23.9,33,564212
30-12-2015,3,12,No restriction,Not a public holiday,0,13.9,34.7,32.8,490025
31-12-2015,4,12,No restriction,Not a public holiday,0,19.7,39.7,29.6,540633
01-01-2016,5,1,No restriction,Public Holiday,0,19.8,24.2,22,518947
02-01-2016,6,1,No restriction,Not a public holiday,0,17.1,27.6,25.1,509571
03-01-2016,7,1,No restriction,Not a public holiday,0,17.5,27.1,25.7,451123
04-01-2016,1,1,No restriction,Not a public holiday,0,16.3,26,15.3,547916
05-01-2016,2,1,No restriction,Not a public holiday,0,17.1,25.7,25.8,592005
06-01-2016,3,1,No restriction,Not a public holiday,0,17.3,25.7,18.1,621087
07-01-2016,4,1,No restriction,Not a public holiday,0,16.3,21.3,30.4,631680
08-01-2016,5,1,No restriction,Not a public holiday,0,16.2,20.6,25.4,655083
09-01-2016,6,1,No restriction,Not a public holiday,0,16.8,21.4,21.3,559456
10-01-2016,7,1,No restriction,Not a public holiday,0,15.7,31.5,31.3,443611
11-01-2016,1,1,No restriction,Not a public holiday,0,17.2,36.4,15.8,545443
12-01-2016,2,1,No restriction,Not a public holiday,1,17.1,24.8,29.1,634227
13-01-2016,3,1,No restriction,Not a public holiday,0,16.8,42.2,25,526676
14-01-2016,4,1,No restriction,Not a public holiday,0,16.1,18.1,3.9,612574
15-01-2016,5,1,No restriction,Not a public holiday,1,13.6,19.2,19.7,724970
16-01-2016,6,1,No restriction,Not a public holiday,0,11.9,22.3,32.6,589346
17-01-2016,7,1,No restriction,Not a public holiday,0,14.9,32.7,31.5,550697
18-01-2016,1,1,No restriction,Not a public holiday,0,18.6,35.3,30.4,629602
19-01-2016,2,1,No restriction,Not a public holiday,0,17.9,30.9,27.2,653133
20-01-2016,3,1,No restriction,Not a public holiday,1.4,19.3,29.1,18.6,698114
21-01-2016,4,1,No restriction,Not a public holiday,0.4,19,26.7,14.9,720653
22-01-2016,5,1,No restriction,Not a public holiday,1,17.5,22.8,6.5,702372
23-01-2016,6,1,No restriction,Not a public holiday,12,17.3,21.9,23.2,613211
24-01-2016,7,1,No restriction,Not a public holiday,5.6,16.2,22.2,23.4,560510
25-01-2016,1,1,No restriction,Not a public holiday,0.4,16.7,20.9,25.7,675173
26-01-2016,2,1,No restriction,Public Holiday,0,16.5,29.4,28.7,705826
27-01-2016,3,1,No restriction,Not a public holiday,0,19.3,29.5,22.2,627095
28-01-2016,4,1,No restriction,Not a public holiday,5.6,20.3,27.5,19,632468
29-01-2016,5,1,No restriction,Not a public holiday,13,14.4,18.3,14.3,680938
30-01-2016,6,1,No restriction,Not a public holiday,1.2,12.3,22.4,24,594194
31-01-2016,7,1,No restriction,Not a public holiday,10.8,13.9,21.8,26.3,494393
01-02-2016,1,2,No restriction,Not a public holiday,0,12.5,23.6,29.4,625500
02-02-2016,2,2,No restriction,Not a public holiday,0,15.4,31.5,25.5,605189
03-02-2016,3,2,No restriction,Not a public holiday,1.2,18.1,21,11,601768
04-02-2016,4,2,No restriction,Not a public holiday,2.8,17.3,20.9,21.7,662164
05-02-2016,5,2,No restriction,Not a public holiday,0,15.3,29.4,29,735889
06-02-2016,6,2,No restriction,Not a public holiday,0,16.5,32.6,28.8,648512
07-02-2016,7,2,No restriction,Not a public holiday,0,19.1,27.7,28.5,543115
08-02-2016,1,2,No restriction,Not a public holiday,0,19.2,22.9,23.3,665405
09-02-2016,2,2,No restriction,Not a public holiday,0,17.4,22.7,27.7,664340
10-02-2016,3,2,No restriction,Not a public holiday,0,17.4,23.3,25.3,686251
11-02-2016,4,2,No restriction,Not a public holiday,0,18,23.8,27.6,698865
12-02-2016,5,2,No restriction,Not a public holiday,0,16.7,24.9,27.9,790800
13-02-2016,6,2,No restriction,Not a public holiday,0,17.7,30.3,23.4,669691
14-02-2016,7,2,No restriction,Not a public holiday,0,16.4,24.5,22.9,682517
15-02-2016,1,2,No restriction,Not a public holiday,0,14,26.1,25.4,659351
16-02-2016,2,2,No restriction,Not a public holiday,2.6,13.7,18.4,14.5,640697
17-02-2016,3,2,No restriction,Not a public holiday,2.2,12.7,21.1,16.2,682152
18-02-2016,4,2,No restriction,Not a public holiday,2.2,15.5,22.6,20.6,707372
19-02-2016,5,2,No restriction,Not a public holiday,2.2,15.8,22,11.2,736845
20-02-2016,6,2,No restriction,Not a public holiday,0,15.8,20.8,23.8,885831
21-02-2016,7,2,No restriction,Not a public holiday,0,12.6,24.7,26.5,721722
22-02-2016,1,2,No restriction,Not a public holiday,0,15.6,29.5,8.4,633825
23-02-2016,2,2,No restriction,Not a public holiday,0,18.1,39.4,19.4,625435
24-02-2016,3,2,No restriction,Not a public holiday,0,22.4,25.6,15.8,670560
25-02-2016,4,2,No restriction,Not a public holiday,0.4,19.6,26.4,13.8,691181
26-02-2016,5,2,No restriction,Not a public holiday,0,15.5,23.5,19.3,770028
27-02-2016,6,2,No restriction,Not a public holiday,0,17.7,22.2,17.7,641641
28-02-2016,7,2,No restriction,Not a public holiday,0,17.7,22.7,21.5,591838
29-02-2016,1,2,No restriction,Not a public holiday,0,15,23.7,18.2,676451
01-03-2016,2,3,No restriction,Not a public holiday,0,17.3,33.7,23.4,679965
02-03-2016,3,3,No restriction,Not a public holiday,0,17.6,34.7,22.6,693302
03-03-2016,4,3,No restriction,Not a public holiday,0,17.4,23.9,21.8,708544
04-03-2016,5,3,No restriction,Not a public holiday,0,16.5,33,21.2,764925
05-03-2016,6,3,No restriction,Not a public holiday,1.6,20.4,23.7,11.4,610640
06-03-2016,7,3,No restriction,Not a public holiday,0,17.4,25.2,21.3,518443
07-03-2016,1,3,No restriction,Not a public holiday,2.8,18.6,24.9,7.9,672423
08-03-2016,2,3,No restriction,Not a public holiday,0.2,19.9,38.9,20.8,651878
09-03-2016,3,3,No restriction,Not a public holiday,9.6,20.8,28.5,10.8,659926
10-03-2016,4,3,No restriction,Not a public holiday,9.6,18.1,22.1,3.9,669617
11-03-2016,5,3,No restriction,Not a public holiday,9.6,18.8,26.1,19.6,827051
12-03-2016,6,3,No restriction,Not a public holiday,0,18.7,22.3,7,730844
13-03-2016,7,3,No restriction,Not a public holiday,0,17.7,23.2,13.8,746962
14-03-2016,1,3,No restriction,Public Holiday,0,18.4,21.3,10.6,650464
15-03-2016,2,3,No restriction,Not a public holiday,0,15.1,26.8,20.7,671662
16-03-2016,3,3,No restriction,Not a public holiday,0,15.3,31.4,18.9,703152
17-03-2016,4,3,No restriction,Not a public holiday,0,18.3,32.5,19.6,724483
18-03-2016,5,3,No restriction,Not a public holiday,16.2,15.2,19.5,6.7,730517
19-03-2016,6,3,No restriction,Not a public holiday,6,12,18.8,10.7,625400
20-03-2016,7,3,No restriction,Not a public holiday,0,10.1,23.3,19,646783
21-03-2016,1,3,No restriction,Not a public holiday,0,11.2,23.5,19.7,712722
22-03-2016,2,3,No restriction,Not a public holiday,0,11.4,24.3,21.1,695215
23-03-2016,3,3,No restriction,Not a public holiday,0,13.7,28.8,12.7,698421
24-03-2016,4,3,No restriction,Not a public holiday,0,16.3,21.2,10.4,743790
25-03-2016,5,3,No restriction,Public Holiday,0,15.9,20.4,14.4,579290
26-03-2016,6,3,No restriction,Public Holiday,0.4,14.1,20.2,8.2,624207
27-03-2016,7,3,No restriction,Public Holiday,1.4,14.3,19.9,14,558092
28-03-2016,1,3,No restriction,Public Holiday,0,9.4,19.2,13,481791
29-03-2016,2,3,No restriction,Not a public holiday,0,14.5,17.9,5.7,641119
30-03-2016,3,3,No restriction,Not a public holiday,0,15.5,18.7,8.5,683511
31-03-2016,4,3,No restriction,Not a public holiday,0,11.3,22.7,17.1,724658
01-04-2016,5,4,No restriction,Not a public holiday,0,13.1,26.5,16.7,826348
02-04-2016,6,4,No restriction,Not a public holiday,0,15.5,19.5,8.3,643351
03-04-2016,7,4,No restriction,Not a public holiday,0,11.3,18.8,15.4,555798
04-04-2016,1,4,No restriction,Not a public holiday,0,9.7,21.2,18.4,682296
05-04-2016,2,4,No restriction,Not a public holiday,0,12.3,29,17.1,710886
06-04-2016,3,4,No restriction,Not a public holiday,12.8,13.6,15.6,3.9,645838
07-04-2016,4,4,No restriction,Not a public holiday,7,8.3,18.4,13.1,750392
08-04-2016,5,4,No restriction,Not a public holiday,0,11.9,20,9.6,808149
09-04-2016,6,4,No restriction,Not a public holiday,0,10.4,22.3,13,649474
10-04-2016,7,4,No restriction,Not a public holiday,0,13.6,23.5,9.6,514709
11-04-2016,1,4,No restriction,Not a public holiday,0.2,14.5,20.1,14.1,634527
12-04-2016,2,4,No restriction,Not a public holiday,0,14,18.7,13.5,718101
13-04-2016,3,4,No restriction,Not a public holiday,0,11.3,20,12.6,723817
14-04-2016,4,4,No restriction,Not a public holiday,0,11.6,27,12.7,745662
15-04-2016,5,4,No restriction,Not a public holiday,0,13.4,27,15.9,881389
16-04-2016,6,4,No restriction,Not a public holiday,0,14,20.3,8.3,668218
17-04-2016,7,4,No restriction,Not a public holiday,0,13.1,19.8,14.7,570963
18-04-2016,1,4,No restriction,Not a public holiday,0,9.8,25,15,677515
19-04-2016,2,4,No restriction,Not a public holiday,0,13.6,27.4,14.5,699771
20-04-2016,3,4,No restriction,Not a public holiday,0,15.3,28,14,718849
21-04-2016,4,4,No restriction,Not a public holiday,0,17.1,24.2,5.6,661643
22-04-2016,5,4,No restriction,Not a public holiday,21,14.6,16.7,7.9,792029
23-04-2016,6,4,No restriction,Not a public holiday,0,12.3,18.6,8.5,654288
24-04-2016,7,4,No restriction,Not a public holiday,0,9.1,20,14.8,620641
25-04-2016,1,4,No restriction,Public Holiday,0,9.9,25,14.8,593911
26-04-2016,2,4,No restriction,Not a public holiday,0,11.3,25.6,14.6,655080
27-04-2016,3,4,No restriction,Not a public holiday,0,13,25.4,13.5,672944
28-04-2016,4,4,No restriction,Not a public holiday,0,19.8,24.9,5.3,706881
29-04-2016,5,4,No restriction,Not a public holiday,0.2,16.9,20.6,3.7,742317
30-04-2016,6,4,No restriction,Not a public holiday,8.5,16.4,24.1,12.7,641027
01-05-2016,7,5,No restriction,Not a public holiday,9.8,14.4,17,9,426266
02-05-2016,1,5,No restriction,Not a public holiday,0.4,9,18.4,12.3,639079
03-05-2016,2,5,No restriction,Not a public holiday,0.6,12.3,20.1,8.8,615311
04-05-2016,3,5,No restriction,Not a public holiday,0.6,9.8,18.2,11.8,691508
05-05-2016,4,5,No restriction,Not a public holiday,0.6,12.6,20.5,12.3,725166
06-05-2016,5,5,No restriction,Not a public holiday,0.6,15.9,24.7,13.2,837827
07-05-2016,6,5,No restriction,Not a public holiday,0.6,11.4,25.7,12.6,667976
08-05-2016,7,5,No restriction,Not a public holiday,6.8,15.5,20.4,3.5,468801
09-05-2016,1,5,No restriction,Not a public holiday,0.8,15.4,22.2,6.7,577666
10-05-2016,2,5,No restriction,Not a public holiday,12.2,13.7,17.2,7.6,641085
11-05-2016,3,5,No restriction,Not a public holiday,0.6,12.2,17.4,6.3,652510
12-05-2016,4,5,No restriction,Not a public holiday,0.4,14.1,21.4,6.1,688501
13-05-2016,5,5,No restriction,Not a public holiday,0.6,15.9,21.6,9.9,793290
14-05-2016,6,5,No restriction,Not a public holiday,0.2,14.5,21.7,12.6,674512
15-05-2016,7,5,No restriction,Not a public holiday,0,15,22,6.7,527120
16-05-2016,1,5,No restriction,Not a public holiday,0,7.7,19.6,8.9,644614
17-05-2016,2,5,No restriction,Not a public holiday,0,11.4,17.1,5.4,661532
18-05-2016,3,5,No restriction,Not a public holiday,0,13,19.3,7.2,694125
19-05-2016,4,5,No restriction,Not a public holiday,0,14.6,18.4,2.2,667355
20-05-2016,5,5,No restriction,Not a public holiday,1.2,11.6,17.4,8.3,821240
21-05-2016,6,5,No restriction,Not a public holiday,0,8.1,18.5,8.9,676442
22-05-2016,7,5,No restriction,Not a public holiday,0,9.2,22.2,8.5,472177
23-05-2016,1,5,No restriction,Not a public holiday,3.6,12.8,17.2,7.1,611441
24-05-2016,2,5,No restriction,Not a public holiday,3.6,10.7,15.8,7.3,662503
25-05-2016,3,5,No restriction,Not a public holiday,0,7.6,15.6,4.9,618063
26-05-2016,4,5,No restriction,Not a public holiday,13.6,10.3,12.5,3.1,615087
27-05-2016,5,5,No restriction,Not a public holiday,5.2,9.2,14.4,8,764344
28-05-2016,6,5,No restriction,Not a public holiday,0.6,5.7,13.2,6.2,565827
29-05-2016,7,5,No restriction,Not a public holiday,3.4,8.7,13.9,6.5,498899
30-05-2016,1,5,No restriction,Not a public holiday,0,7.2,15.4,9.5,609693
31-05-2016,2,5,No restriction,Not a public holiday,0.2,3.6,17.4,9.5,626519
01-06-2016,3,6,No restriction,Not a public holiday,0,4.8,17,8.2,646611
02-06-2016,4,6,No restriction,Not a public holiday,0,4.8,12.8,9.2,650569
03-06-2016,5,6,No restriction,Not a public holiday,0,6.8,14.1,8.5,713045
04-06-2016,6,6,No restriction,Not a public holiday,7,9.8,13.4,3.7,524250
05-06-2016,7,6,No restriction,Not a public holiday,4.4,10.5,14.1,3.3,433985
06-06-2016,1,6,No restriction,Not a public holiday,1.6,8.9,14.5,7.1,622563
07-06-2016,2,6,No restriction,Not a public holiday,0,10.5,15.3,4.7,607044
08-06-2016,3,6,No restriction,Not a public holiday,1.8,9.7,14.7,4.7,619490
09-06-2016,4,6,No restriction,Not a public holiday,1.8,10.8,17.5,6,627753
10-06-2016,5,6,No restriction,Not a public holiday,0.4,10.4,15.8,6.6,695730
11-06-2016,6,6,No restriction,Not a public holiday,2.6,9,13.5,6.5,568372
12-06-2016,7,6,No restriction,Not a public holiday,0.8,5,13.8,7.3,585804
13-06-2016,1,6,No restriction,Public Holiday,0.2,3.8,13.4,9,443408
14-06-2016,2,6,No restriction,Not a public holiday,0,8.6,15.6,8.3,579709
15-06-2016,3,6,No restriction,Not a public holiday,0,6,17.9,9.2,618458
16-06-2016,4,6,No restriction,Not a public holiday,0,7.8,14.3,5.1,584295
17-06-2016,5,6,No restriction,Not a public holiday,5.4,9.3,15.1,3.5,661837
18-06-2016,6,6,No restriction,Not a public holiday,9.7,10,12.7,5.3,558896
19-06-2016,7,6,No restriction,Not a public holiday,0,7.3,13.5,7.2,447823
20-06-2016,1,6,No restriction,Not a public holiday,8,9.1,13.2,3.4,522406
21-06-2016,2,6,No restriction,Not a public holiday,4.6,10.4,14.7,7,592111
22-06-2016,3,6,No restriction,Not a public holiday,0,11.2,15.4,6.6,616462
23-06-2016,4,6,No restriction,Not a public holiday,0,10.4,14.8,7.2,567242
24-06-2016,5,6,No restriction,Not a public holiday,16.8,6.9,10.7,5.8,649802
25-06-2016,6,6,No restriction,Not a public holiday,3,5.6,12.7,8.8,581475
26-06-2016,7,6,No restriction,Not a public holiday,2,3,11.1,7.7,471132
27-06-2016,1,6,No restriction,Not a public holiday,0.4,4.8,10.6,4.7,569997
28-06-2016,2,6,No restriction,Not a public holiday,0,5,17,7.8,647604
29-06-2016,3,6,No restriction,Not a public holiday,0.8,8.9,15.8,8.9,684755
30-06-2016,4,6,No restriction,Not a public holiday,0,10.3,11.7,5.6,596083
01-07-2016,5,7,No restriction,Not a public holiday,7.8,7.3,14.1,7.1,740660
02-07-2016,6,7,No restriction,Not a public holiday,0.8,9.9,16.5,6.7,607997
03-07-2016,7,7,No restriction,Not a public holiday,0,10.9,16.7,7.8,529165
04-07-2016,1,7,No restriction,Not a public holiday,0,10.4,12.7,3.6,627915
05-07-2016,2,7,No restriction,Not a public holiday,28,8.2,12.8,1.8,540622
06-07-2016,3,7,No restriction,Not a public holiday,28,9.8,13,4.6,637720
07-07-2016,4,7,No restriction,Not a public holiday,28,10.5,13.7,4.1,671555
08-07-2016,5,7,No restriction,Not a public holiday,1.2,9.7,15.3,7.4,826329
09-07-2016,6,7,No restriction,Not a public holiday,0.2,5.3,15.2,9.5,659317
10-07-2016,7,7,No restriction,Not a public holiday,0.2,6.5,14.2,3.6,445675
11-07-2016,1,7,No restriction,Not a public holiday,4.6,8.3,16,7.6,611912
12-07-2016,2,7,No restriction,Not a public holiday,0,10.7,13.7,8.1,593788
13-07-2016,3,7,No restriction,Not a public holiday,0.6,4.5,12,9,616785
14-07-2016,4,7,No restriction,Not a public holiday,0,6.6,14,7.8,675597
15-07-2016,5,7,No restriction,Not a public holiday,0,8.8,14.1,7.2,786006
16-07-2016,6,7,No restriction,Not a public holiday,0,7.8,13.7,10.2,694441
17-07-2016,7,7,No restriction,Not a public holiday,0,3.1,16.1,10.3,555681
18-07-2016,1,7,No restriction,Not a public holiday,0,9.6,17.7,8.8,635296
19-07-2016,2,7,No restriction,Not a public holiday,0,12.6,16,5.7,625272
20-07-2016,3,7,No restriction,Not a public holiday,1.8,9.8,16.1,9.2,683684
21-07-2016,4,7,No restriction,Not a public holiday,0,6.9,18.1,7.4,678339
22-07-2016,5,7,No restriction,Not a public holiday,8.2,9.2,18.3,5.1,726369
23-07-2016,6,7,No restriction,Not a public holiday,4,7.5,11.6,9,589744
24-07-2016,7,7,No restriction,Not a public holiday,1.2,4.7,11.4,10.3,571103
25-07-2016,1,7,No restriction,Not a public holiday,0.2,6.3,14.3,7.5,601066
26-07-2016,2,7,No restriction,Not a public holiday,5.4,6.5,11,7.2,630216
27-07-2016,3,7,No restriction,Not a public holiday,0,7.5,12.9,6.9,662617
28-07-2016,4,7,No restriction,Not a public holiday,0,6.9,15.2,6.3,689170
29-07-2016,5,7,No restriction,Not a public holiday,0,10.2,15.3,5,780026
30-07-2016,6,7,No restriction,Not a public holiday,2.2,9.1,13.8,8.5,705653
31-07-2016,7,7,No restriction,Not a public holiday,2.2,10.3,17,11.3,572172
01-08-2016,1,8,No restriction,Not a public holiday,2.8,11.2,14.4,5.2,565804
02-08-2016,2,8,No restriction,Not a public holiday,16,8.5,13.4,11.2,641344
03-08-2016,3,8,No restriction,Not a public holiday,2.8,8.7,12.8,8.4,623707
04-08-2016,4,8,No restriction,Not a public holiday,1,4.9,14.6,11.1,697515
05-08-2016,5,8,No restriction,Not a public holiday,0,3.4,14.6,8.7,826425
06-08-2016,6,8,No restriction,Not a public holiday,0,5.8,14.4,7,638545
07-08-2016,7,8,No restriction,Not a public holiday,0,7.6,16.6,10.4,539168
08-08-2016,1,8,No restriction,Not a public holiday,0,5,14.2,8,624989
09-08-2016,2,8,No restriction,Not a public holiday,0,9.7,18.9,7.8,641444
10-08-2016,3,8,No restriction,Not a public holiday,0,9.6,15.3,11.3,632576
11-08-2016,4,8,No restriction,Not a public holiday,8.4,6.8,15.7,10.3,668770
12-08-2016,5,8,No restriction,Not a public holiday,0,7.7,14.1,11.7,744288
13-08-2016,6,8,No restriction,Not a public holiday,2.2,7.9,15.1,9.5,629893
14-08-2016,7,8,No restriction,Not a public holiday,0.6,8.5,18.7,11.6,568123
15-08-2016,1,8,No restriction,Not a public holiday,0,10.2,18.1,13.4,632880
16-08-2016,2,8,No restriction,Not a public holiday,0,10,18.2,13.5,646232
17-08-2016,3,8,No restriction,Not a public holiday,0,12.5,15.6,9.6,633978
18-08-2016,4,8,No restriction,Not a public holiday,0,7.1,21.6,13.1,685000
19-08-2016,5,8,No restriction,Not a public holiday,0,15.3,16.4,2.7,637766
20-08-2016,6,8,No restriction,Not a public holiday,13,6.9,13.6,9.7,582975
21-08-2016,7,8,No restriction,Not a public holiday,2,9.5,14.8,7,462621
22-08-2016,1,8,No restriction,Not a public holiday,6.4,7.8,16,8.7,542477
23-08-2016,2,8,No restriction,Not a public holiday,10.8,7,13.4,14.2,654375
24-08-2016,3,8,No restriction,Not a public holiday,0,3.7,12.7,14,626727
25-08-2016,4,8,No restriction,Not a public holiday,1.2,6.5,13,13.5,638187
26-08-2016,5,8,No restriction,Not a public holiday,0.6,7.2,14.4,8.8,766552
27-08-2016,6,8,No restriction,Not a public holiday,0.2,9.3,16.3,11.7,627006
28-08-2016,7,8,No restriction,Not a public holiday,0,10.5,19,12.2,511846
29-08-2016,1,8,No restriction,Not a public holiday,0,8.7,20.4,14.2,610634
30-08-2016,2,8,No restriction,Not a public holiday,0,10.2,16.8,5.2,564418
31-08-2016,3,8,No restriction,Not a public holiday,1.4,12.8,20.2,10.1,645301
01-09-2016,4,9,No restriction,Not a public holiday,0,11.6,15.5,8.8,617364
02-09-2016,5,9,No restriction,Not a public holiday,0.4,9.6,15,9.6,724798
03-09-2016,6,9,No restriction,Not a public holiday,0.2,10,15.7,12.9,597883
04-09-2016,7,9,No restriction,Not a public holiday,0.2,10.1,16.9,10,471979
05-09-2016,1,9,No restriction,Not a public holiday,0,12.8,18.4,11.7,604882
06-09-2016,2,9,No restriction,Not a public holiday,0,9.2,21.5,15.8,635962
07-09-2016,3,9,No restriction,Not a public holiday,0,9.6,21,16.7,673933
08-09-2016,4,9,No restriction,Not a public holiday,0,13.1,23.3,16,668405
09-09-2016,5,9,No restriction,Not a public holiday,0.6,16,16.7,5.9,707459
10-09-2016,6,9,No restriction,Not a public holiday,12.6,11.5,14.3,7.9,559170
11-09-2016,7,9,No restriction,Not a public holiday,2.6,7.3,17,11.8,486926
12-09-2016,1,9,No restriction,Not a public holiday,2.6,9.9,13.6,7,590649
13-09-2016,2,9,No restriction,Not a public holiday,10.2,9.6,14.6,2.8,578316
14-09-2016,3,9,No restriction,Not a public holiday,22,10.5,16.1,13.2,622864
15-09-2016,4,9,No restriction,Not a public holiday,2.8,8.7,14.6,6.9,611888
16-09-2016,5,9,No restriction,Not a public holiday,15.2,9,15.7,12.5,785093
17-09-2016,6,9,No restriction,Not a public holiday,0.2,11.1,19.8,18.8,627683
18-09-2016,7,9,No restriction,Not a public holiday,0.8,10.8,12.5,5.5,446666
19-09-2016,1,9,No restriction,Not a public holiday,0.2,8.5,16.3,16.2,655191
20-09-2016,2,9,No restriction,Not a public holiday,0.2,9.1,18.8,18.5,683102
21-09-2016,3,9,No restriction,Not a public holiday,2,10.9,15.2,8.8,643293
22-09-2016,4,9,No restriction,Not a public holiday,1.8,9.6,13.4,9.9,660788
23-09-2016,5,9,No restriction,Not a public holiday,0.6,9.8,16.5,16.5,816853
24-09-2016,6,9,No restriction,Not a public holiday,0.2,10,20.1,18.4,607646
25-09-2016,7,9,No restriction,Not a public holiday,7.2,9.5,14.7,17.1,499081
26-09-2016,1,9,No restriction,Not a public holiday,1.2,8.1,16.9,13.6,618782
27-09-2016,2,9,No restriction,Not a public holiday,15.6,7.4,14.8,13.4,658744
28-09-2016,3,9,No restriction,Not a public holiday,1.2,7.5,19.3,19.6,731979
29-09-2016,4,9,No restriction,Not a public holiday,2.2,12.5,16.7,16.2,719781
30-09-2016,5,9,No restriction,Public Holiday,1.8,9.3,16.4,16.6,655850
01-10-2016,6,10,No restriction,Not a public holiday,0,11.6,18.6,11.9,541152
02-10-2016,7,10,No restriction,Not a public holiday,11,12.1,24,18.7,406619
03-10-2016,1,10,No restriction,Not a public holiday,11,11.1,15.9,13.7,528461
04-10-2016,2,10,No restriction,Not a public holiday,5.6,10.6,17.1,13.2,516578
05-10-2016,3,10,No restriction,Not a public holiday,5.6,8,17.1,7.5,582804
06-10-2016,4,10,No restriction,Not a public holiday,0,9.7,27.2,22.6,661015
07-10-2016,5,10,No restriction,Not a public holiday,0,14.1,22.5,7.8,651828
08-10-2016,6,10,No restriction,Not a public holiday,0,9.7,16.9,23,573688
09-10-2016,7,10,No restriction,Not a public holiday,0,9.5,22,14.1,375432
10-10-2016,1,10,No restriction,Not a public holiday,1.4,13,16.8,18.4,521080
11-10-2016,2,10,No restriction,Not a public holiday,1.2,7.5,15.1,16.7,564163
12-10-2016,3,10,No restriction,Not a public holiday,0,10.2,15.4,12.9,553275
13-10-2016,4,10,No restriction,Not a public holiday,3.6,6.8,14.6,22.8,610406
14-10-2016,5,10,No restriction,Not a public holiday,0,5.2,22.7,24.5,713823
15-10-2016,6,10,No restriction,Not a public holiday,0,9.4,24.8,21.8,542013
16-10-2016,7,10,No restriction,Not a public holiday,0,17.4,23.1,8,444736
17-10-2016,1,10,No restriction,Not a public holiday,10.8,9.8,18.9,14.8,543250
18-10-2016,2,10,No restriction,Not a public holiday,1,9.6,16.6,16.5,519380
19-10-2016,3,10,No restriction,Not a public holiday,3.6,7.5,16.5,22.1,583126
20-10-2016,4,10,No restriction,Not a public holiday,0,6.8,21.8,25.6,620526
21-10-2016,5,10,No restriction,Not a public holiday,0,14.8,17.6,1.9,578488
22-10-2016,6,10,No restriction,Not a public holiday,19.2,6.9,13.2,16.9,448476
23-10-2016,7,10,No restriction,Not a public holiday,10.8,7.9,14.1,18.7,423038
24-10-2016,1,10,No restriction,Not a public holiday,0,9.4,17.1,20.3,570076
25-10-2016,2,10,No restriction,Not a public holiday,0,9.6,25.7,23.1,604235
26-10-2016,3,10,No restriction,Not a public holiday,0,16.5,18.5,9,556234
27-10-2016,4,10,No restriction,Not a public holiday,0.4,10.1,15.4,25.8,603235
28-10-2016,5,10,No restriction,Not a public holiday,0,6.3,16.6,26.5,684156
