Date	Total_Pedestrian_Count_per_day
2015-11-15	540609
2015-11-16	652123
2015-11-17	649510
2015-11-18	686578
2015-11-19	696855
2015-11-20	692160
2015-11-21	566248
2015-11-22	499809
2015-11-23	641411
2015-11-24	653772
2015-11-25	652086
2015-11-26	628438
2015-11-27	775820
2015-11-28	651564
2015-11-29	527324
2015-11-30	615659
2015-12-01	625150
2015-12-02	649315
2015-12-03	668547
2015-12-04	776975
2015-12-05	665767
2015-12-06	619551
2015-12-07	639904
2015-12-08	659590
2015-12-09	706915
2015-12-10	739517
2015-12-11	744363
2015-12-12	643844
2015-12-13	554435
2015-12-14	673310
2015-12-15	690976
2015-12-16	734011
2015-12-17	687276
2015-12-18	729509
2015-12-19	483554
2015-12-20	432209
2015-12-21	702929
2015-12-22	744859
2015-12-23	755818
2015-12-24	601562
2015-12-25	354165
2015-12-26	598849
2015-12-27	577904
2015-12-28	578703
2015-12-29	564212
2015-12-30	490025
2015-12-31	540633
2016-01-01	518947
2016-01-02	509571
2016-01-03	451123
2016-01-04	547916
2016-01-05	592005
2016-01-06	621087
2016-01-07	631680
2016-01-08	655083
2016-01-09	559456
2016-01-10	443611
2016-01-11	545443
2016-01-12	634227
2016-01-13	526676
2016-01-14	612574
2016-01-15	724970
2016-01-16	589346
2016-01-17	550697
2016-01-18	629602
2016-01-19	653133
2016-01-20	698114
2016-01-21	720653
2016-01-22	702372
2016-01-23	613211
2016-01-24	560510
2016-01-25	675173
2016-01-26	705826
2016-01-27	627095
2016-01-28	632468
2016-01-29	680938
2016-01-30	594194
2016-01-31	494393
2016-02-01	625500
2016-02-02	605189
2016-02-03	601768
2016-02-04	662164
2016-02-05	735889
2016-02-06	648512
2016-02-07	543115
2016-02-08	665405
2016-02-09	664340
2016-02-10	686251
2016-02-11	698865
2016-02-12	790800
2016-02-13	669691
2016-02-14	682517
2016-02-15	659351
2016-02-16	640697
2016-02-17	682152
2016-02-18	707372
2016-02-19	736845
2016-02-20	885831
2016-02-21	721722
2016-02-22	633825
2016-02-23	625435
2016-02-24	670560
2016-02-25	691181
2016-02-26	770028
2016-02-27	641641
2016-02-28	591838
2016-02-29	676451
2016-03-01	679965
2016-03-02	693302
2016-03-03	708544
2016-03-04	764925
2016-03-05	610640
2016-03-06	518443
2016-03-07	672423
2016-03-08	651878
2016-03-09	659926
2016-03-10	669617
2016-03-11	827051
2016-03-12	730844
2016-03-13	746962
2016-03-14	650464
2016-03-15	671662
2016-03-16	703152
2016-03-17	724483
2016-03-18	730517
2016-03-19	625400
2016-03-20	646783
2016-03-21	712722
2016-03-22	695215
2016-03-23	698421
2016-03-24	743790
2016-03-25	579290
2016-03-26	624207
2016-03-27	558092
2016-03-28	481791
2016-03-29	641119
2016-03-30	683511
2016-03-31	724658
2016-04-01	826348
2016-04-02	643351
2016-04-03	555798
2016-04-04	682296
2016-04-05	710886
2016-04-06	645838
2016-04-07	750392
2016-04-08	808149
2016-04-09	649474
2016-04-10	514709
2016-04-11	634527
2016-04-12	718101
2016-04-13	723817
2016-04-14	745662
2016-04-15	881389
2016-04-16	668218
2016-04-17	570963
2016-04-18	677515
2016-04-19	699771
2016-04-20	718849
2016-04-21	661643
2016-04-22	792029
2016-04-23	654288
2016-04-24	620641
2016-04-25	593911
2016-04-26	655080
2016-04-27	672944
2016-04-28	706881
2016-04-29	742317
2016-04-30	641027
2016-05-01	426266
2016-05-02	639079
2016-05-03	615311
2016-05-04	691508
2016-05-05	725166
2016-05-06	837827
2016-05-07	667976
2016-05-08	468801
2016-05-09	577666
2016-05-10	641085
2016-05-11	652510
2016-05-12	688501
2016-05-13	793290
2016-05-14	674512
2016-05-15	527120
2016-05-16	644614
2016-05-17	661532
2016-05-18	694125
2016-05-19	667355
2016-05-20	821240
2016-05-21	676442
2016-05-22	472177
2016-05-23	611441
2016-05-24	662503
2016-05-25	618063
2016-05-26	615087
2016-05-27	764344
2016-05-28	565827
2016-05-29	498899
2016-05-30	609693
2016-05-31	626519
2016-06-01	646611
2016-06-02	650569
2016-06-03	713045
2016-06-04	524250
2016-06-05	433985
2016-06-06	622563
2016-06-07	607044
2016-06-08	619490
2016-06-09	627753
2016-06-10	695730
2016-06-11	568372
2016-06-12	585804
2016-06-13	443408
2016-06-14	579709
2016-06-15	618458
2016-06-16	584295
2016-06-17	661837
2016-06-18	558896
2016-06-19	447823
2016-06-20	522406
2016-06-21	592111
2016-06-22	616462
2016-06-23	567242
2016-06-24	649802
2016-06-25	581475
2016-06-26	471132
2016-06-27	569997
2016-06-28	647604
2016-06-29	684755
2016-06-30	596083
2016-07-01	740660
2016-07-02	607997
2016-07-03	529165
2016-07-04	627915
2016-07-05	540622
2016-07-06	637720
2016-07-07	671555
2016-07-08	826329
2016-07-09	659317
2016-07-10	445675
2016-07-11	611912
2016-07-12	593788
2016-07-13	616785
2016-07-14	675597
2016-07-15	786006
2016-07-16	694441
2016-07-17	555681
2016-07-18	635296
2016-07-19	625272
2016-07-20	683684
2016-07-21	678339
2016-07-22	726369
2016-07-23	589744
2016-07-24	571103
2016-07-25	601066
2016-07-26	630216
2016-07-27	662617
2016-07-28	689170
2016-07-29	780026
2016-07-30	705653
2016-07-31	572172
2016-08-01	565804
2016-08-02	641344
2016-08-03	623707
2016-08-04	697515
2016-08-05	826425
2016-08-06	638545
2016-08-07	539168
2016-08-08	624989
2016-08-09	641444
2016-08-10	632576
2016-08-11	668770
2016-08-12	744288
2016-08-13	629893
2016-08-14	568123
2016-08-15	632880
2016-08-16	646232
2016-08-17	633978
2016-08-18	685000
2016-08-19	637766
2016-08-20	582975
2016-08-21	462621
2016-08-22	542477
2016-08-23	654375
2016-08-24	626727
2016-08-25	638187
2016-08-26	766552
2016-08-27	627006
2016-08-28	511846
2016-08-29	610634
2016-08-30	564418
2016-08-31	645301
2016-09-01	617364
2016-09-02	724798
2016-09-03	597883
2016-09-04	471979
2016-09-05	604882
2016-09-06	635962
2016-09-07	673933
2016-09-08	668405
2016-09-09	707459
2016-09-10	559170
2016-09-11	486926
2016-09-12	590649
2016-09-13	578316
2016-09-14	622864
2016-09-15	611888
2016-09-16	785093
2016-09-17	627683
2016-09-18	446666
2016-09-19	655191
2016-09-20	683102
2016-09-21	643293
2016-09-22	660788
2016-09-23	816853
2016-09-24	607646
2016-09-25	499081
2016-09-26	618782
2016-09-27	658744
2016-09-28	731979
2016-09-29	719781
2016-09-30	655850
2016-10-01	541152
2016-10-02	406619
2016-10-03	528461
2016-10-04	516578
2016-10-05	582804
2016-10-06	661015
2016-10-07	651828
2016-10-08	573688
2016-10-09	375432
2016-10-10	521080
2016-10-11	564163
2016-10-12	553275
2016-10-13	610406
2016-10-14	713823
2016-10-15	542013
2016-10-16	444736
2016-10-17	543250
2016-10-18	519380
2016-10-19	583126
2016-10-20	620526
2016-10-21	578488
2016-10-22	448476
2016-10-23	423038
2016-10-24	570076
2016-10-25	604235
2016-10-26	556234
2016-10-27	603235
2016-10-28	684156
2016-10-29	538461
2016-10-30	402352
2016-10-31	613210
2016-11-01	350967
2016-11-02	576381
2016-11-03	624483
2016-11-04	686466
2016-11-05	470935
2016-11-06	436948
2016-11-07	542015
2016-11-08	592874
2016-11-09	576560
2016-11-10	632071
2016-11-11	730145
2016-11-12	552046
2016-11-13	401012
2016-11-14	540300
2016-11-15	595708
2016-11-16	634224
2016-11-17	695865
2016-11-18	698643
2016-11-19	603565
2016-11-20	489189
2016-11-21	526122
2016-11-22	525429
2016-11-23	591795
2016-11-24	628981
2016-11-25	703727
2016-11-26	596664
2016-11-27	472314
2016-11-28	641418
2016-11-29	625369
2016-11-30	616452
2016-12-01	646101
2016-12-02	719944
2016-12-03	602893
2016-12-04	420349
2016-12-05	590254
2016-12-06	631488
2016-12-07	704094
2016-12-08	679139
2016-12-09	768011
2016-12-10	643880
2016-12-11	545013
2016-12-12	647059
2016-12-13	615701
2016-12-14	655230
2016-12-15	691219
2016-12-16	761279
2016-12-17	578366
2016-12-18	504656
2016-12-19	641861
2016-12-20	658083
2016-12-21	716383
2016-12-22	730382
2016-12-23	688455
2016-12-24	444984
2016-12-25	308541
2016-12-26	499610
2016-12-27	459541
2016-12-28	505524
2016-12-29	423814
2016-12-30	529935
2016-12-31	626809
2017-01-01	492152
2017-01-02	355156
2017-01-03	529411
2017-01-04	539839
2017-01-05	530787
2017-01-06	483188
2017-01-07	347200
2017-01-08	326441
2017-01-09	497620
2017-01-10	503211
2017-01-11	527067
2017-01-12	564571
2017-01-13	532048
2017-01-14	456663
2017-01-15	465708
2017-01-16	543821
2017-01-17	526535
2017-01-18	600457
2017-01-19	620063
2017-01-20	642266
2017-01-21	539631
2017-01-22	445390
2017-01-23	514257
2017-01-24	567696
2017-01-25	632096
2017-01-26	512310
2017-01-27	587002
2017-01-28	533550
2017-01-29	482085
2017-01-30	478125
2017-01-31	530324
2017-02-01	528084
2017-02-02	554782
2017-02-03	616024
2017-02-04	446105
2017-02-05	327077
2017-02-06	467318
2017-02-07	535170
2017-02-08	523366
2017-02-09	493460
2017-02-10	603611
2017-02-11	475673
2017-02-12	370499
2017-02-13	514714
2017-02-14	594850
2017-02-15	574688
2017-02-16	565850
2017-02-17	640067
2017-02-18	634328
2017-02-19	451979
2017-02-20	543044
2017-02-21	587453
2017-02-22	586389
2017-02-23	609664
2017-02-24	632265
2017-02-25	533816
2017-02-26	482188
2017-02-27	565819
2017-02-28	585790
2017-03-01	589251
2017-03-02	607676
2017-03-03	656703
2017-03-04	500791
2017-03-05	389513
2017-03-06	577509
2017-03-07	602277
2017-03-08	610525
2017-03-09	609418
2017-03-10	724976
2017-03-11	620789
2017-03-12	629251
2017-03-13	566090
2017-03-14	558199
2017-03-15	536590
2017-03-16	552435
2017-03-17	665697
2017-03-18	534489
2017-03-19	425861
2017-03-20	511016
2017-03-21	506996
2017-03-22	528266
2017-03-23	606242
2017-03-24	678432
2017-03-25	538991
2017-03-26	422543
2017-03-27	491361
2017-03-28	555793
2017-03-29	546584
2017-03-30	568509
2017-03-31	676940
2017-04-01	542796
2017-04-02	486547
2017-04-03	601181
2017-04-04	662872
2017-04-05	670232
2017-04-06	695848
2017-04-07	760918
2017-04-08	505220
2017-04-09	424488
2017-04-10	511858
2017-04-11	623054
2017-04-12	656443
2017-04-13	699563
2017-04-14	471177
2017-04-15	539783
2017-04-16	472596
2017-04-17	401430
2017-04-18	563015
2017-04-19	580933
2017-04-20	622035
2017-04-21	611644
2017-04-22	556652
2017-04-23	490646
2017-04-24	584798
2017-04-25	416005
2017-04-26	518284
2017-04-27	534711
2017-04-28	636174
2017-04-29	507620
2017-04-30	427828
2017-05-01	500172
2017-05-02	521670
2017-05-03	559569
2017-05-04	600993
2017-05-05	668528
2017-05-06	491693
2017-05-07	402430
2017-05-08	492725
2017-05-09	538218
2017-05-10	568189
2017-05-11	567444
2017-05-12	642942
2017-05-13	532369
2017-05-14	454015
2017-05-15	510207
2017-05-16	540831
2017-05-17	572565
2017-05-18	577407
2017-05-19	616429
2017-05-20	550704
2017-05-21	425269
2017-05-22	530489
2017-05-23	532285
2017-05-24	553415
2017-05-25	558028
2017-05-26	639163
2017-05-27	511893
2017-05-28	361337
2017-05-29	494117
2017-05-30	490358
2017-05-31	474685
2017-06-01	509074
2017-06-02	625069
2017-06-03	515674
2017-06-04	409450
2017-06-05	510095
2017-06-06	518925
2017-06-07	570696
2017-06-08	553586
2017-06-09	720789
2017-06-10	575576
2017-06-11	518019
2017-06-12	387743
2017-06-13	530279
2017-06-14	548934
2017-06-15	558423
2017-06-16	658843
2017-06-17	519084
2017-06-18	396715
2017-06-19	508138
2017-06-20	542160
2017-06-21	531468
2017-06-22	559088
2017-06-23	623355
2017-06-24	502193
2017-06-25	385792
2017-06-26	496982
2017-06-27	507611
2017-06-28	519149
2017-06-29	464468
2017-06-30	590486
2017-07-01	616019
2017-07-02	537761
2017-07-03	579373
2017-07-04	626490
2017-07-05	658694
2017-07-06	686601
2017-07-07	784079
2017-07-08	586585
2017-07-09	507736
2017-07-10	604159
2017-07-11	644573
2017-07-12	659620
2017-07-13	629153
2017-07-14	679518
2017-07-15	574596
2017-07-16	406334
2017-07-17	523005
2017-07-18	540192
2017-07-19	555027
2017-07-20	547041
2017-07-21	681935
2017-07-22	495025
2017-07-23	405805
2017-07-24	577529
2017-07-25	575038
2017-07-26	596492
2017-07-27	608917
2017-07-28	757744
2017-07-29	558579
2017-07-30	539554
2017-07-31	538126
2017-08-01	567873
2017-08-02	581568
2017-08-03	541575
2017-08-04	678298
2017-08-05	566359
2017-08-06	407353
2017-08-07	536863
2017-08-08	596215
2017-08-09	611458
2017-08-10	613531
2017-08-11	693400
2017-08-12	539856
2017-08-13	505625
2017-08-14	586612
2017-08-15	565622
2017-08-16	600683
2017-08-17	575320
2017-08-18	617533
2017-08-19	559997
2017-08-20	515892
2017-08-21	524362
2017-08-22	588137
2017-08-23	559107
2017-08-24	599851
2017-08-25	723943
2017-08-26	633871
2017-08-27	437941
2017-08-28	588781
2017-08-29	584852
2017-08-30	604017
2017-08-31	639756
2017-09-01	705140
2017-09-02	536908
2017-09-03	413123
2017-09-04	504647
2017-09-05	516970
2017-09-06	529974
2017-09-07	545018
2017-09-08	665810
2017-09-09	540443
2017-09-10	455550
2017-09-11	548230
2017-09-12	569329
2017-09-13	585817
2017-09-14	610491
2017-09-15	667928
2017-09-16	542549
2017-09-17	520078
2017-09-18	603385
2017-09-19	645505
2017-09-20	682738
2017-09-21	693047
2017-09-22	811585
2017-09-23	674681
2017-09-24	510931
2017-09-25	633979
2017-09-26	722429
2017-09-27	749021
2017-09-28	741544
2017-09-29	629526
2017-09-30	591288
2017-10-01	491805
2017-10-02	650927
2017-10-03	700162
2017-10-04	743727
2017-10-05	673736
2017-10-06	763346
2017-10-07	637972
2017-10-08	499737
2017-10-09	586012
2017-10-10	660856
2017-10-11	614791
2017-10-12	677026
2017-10-13	746482
2017-10-14	684670
2017-10-15	609065
2017-10-16	645915
2017-10-17	684129
2017-10-18	677324
2017-10-19	631220
2017-10-20	781822
2017-10-21	562875
2017-10-22	505697
