stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
"12163","Mount Waverley Station","-37.87521995","145.12810207","","Parentvic:rail:MWY","2"
"12164","Lilydale Station","-37.75541252","145.34791690","","Parentvic:rail:LIL","1"
"12165","Lilydale Station","-37.75542831","145.34775764","","Parentvic:rail:LIL","2"
"12166","Mooroolbark Station","-37.78470413","145.31368659","","Parentvic:rail:MLK","1"
"12167","Mooroolbark Station","-37.78465024","145.31369917","","Parentvic:rail:MLK","2"
"12168","Croydon Station","-37.79536639","145.28070162","","Parentvic:rail:CDN","1"
"12169","Croydon Station","-37.79536357","145.28050862","","Parentvic:rail:CDN","2"
"12170","Ringwood East Station","-37.81171674","145.25086705","","Parentvic:rail:RWE","1"
"12171","Ringwood East Station","-37.81166285","145.25087968","","Parentvic:rail:RWE","2"
"12172","Pakenham Station","-38.08050747","145.48650669","","Parentvic:rail:PKM","1"
"12173","Pakenham Station","-38.08044499","145.48655358","","Parentvic:rail:PKM","2"
"12174","Officer Station","-38.06631620","145.41159909","","Parentvic:rail:OFC","1"
"12175","Officer Station","-38.06624567","145.41171461","","Parentvic:rail:OFC","2"
"12176","Beaconsfield Station","-38.05112566","145.36650027","","Parentvic:rail:BFD","1"
"12177","Beaconsfield Station","-38.05107192","145.36652426","","Parentvic:rail:BFD","2"
"12178","Berwick Station","-38.04022282","145.34535423","","Parentvic:rail:BEW","1"
"12179","Berwick Station","-38.04014222","145.34539022","","Parentvic:rail:BEW","2"
"12180","Narre Warren Station","-38.02766369","145.30387021","","Parentvic:rail:NWA","1"
"12181","Narre Warren Station","-38.02753839","145.30393006","","Parentvic:rail:NWA","2"
"12182","Hallam Station","-38.01794675","145.26971499","","Parentvic:rail:HLM","1"
"12183","Hallam Station","-38.01782079","145.26972934","","Parentvic:rail:HLM","2"
"12184","Cranbourne Station","-38.09958952","145.28047231","","Parentvic:rail:CBE","1"
"12185","Cranbourne Station","-38.09998724","145.28117004","","Parentvic:rail:CBE","2"
"12186","Merinda Park Station","-38.07904333","145.26336215","","Parentvic:rail:MPK","1"
"12187","Dandenong Station","-37.99003808","145.20959841","","Parentvic:rail:DNG","1"
"12188","Dandenong Station","-37.99016056","145.20994842","","Parentvic:rail:DNG","2"
"12189","Dandenong Station","-37.99010859","145.21008633","","Parentvic:rail:DNG","3"
"12190","Yarraman Station","-37.97773178","145.19100970","","Parentvic:rail:YMN","1"
"12191","Yarraman Station","-37.97769627","145.19104473","","Parentvic:rail:YMN","2"
"12192","Noble Park Station","-37.96622266","145.17577684","","Parentvic:rail:NPK","1"
"12193","Noble Park Station","-37.96619634","145.17582303","","Parentvic:rail:NPK","2"
"12194","Sandown Park Station","-37.95649396","145.16272372","","Parentvic:rail:SNP","1"
"12195","Flagstaff Station","-37.81193456","144.95607534","","Parentvic:rail:FGS","3"
"12196","Flagstaff Station","-37.81175303","144.95600083","","Parentvic:rail:FGS","4"
"12197","Melbourne Central Station","-37.81002865","144.96257971","","Parentvic:rail:MCE","3"
"12198","Melbourne Central Station","-37.80990097","144.96249234","","Parentvic:rail:MCE","4"
"12199","Parliament Station","-37.81097201","144.97285637","","Parentvic:rail:PAR","3"
"12200","Parliament Station","-37.81092148","144.97306221","","Parentvic:rail:PAR","4"
"12201","Flinders Street Station","-37.81845378","144.96826668","","Parentvic:rail:FSS","13"
"12202","Flinders Street Station","-37.81840717","144.96817708","","Parentvic:rail:FSS","12"
"12203","Flinders Street Station","-37.81891371","144.96619788","","Parentvic:rail:FSS","10"
"12204","Flinders Street Station","-37.81860101","144.96687671","","Parentvic:rail:FSS","9"
