grid_id,mean_thermal,canopy_cover_pct,priority_cell,hotspot_score,hotspot_score_v2,cluster,cluster_improved,cluster_label
80,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
81,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
82,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
83,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
84,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
85,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
86,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
87,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
88,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
89,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
90,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
91,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
92,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
93,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
94,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
95,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
96,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
97,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
98,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
99,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
100,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
101,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
102,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
103,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
104,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
105,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
106,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
107,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
108,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
109,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
110,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
111,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
112,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
113,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
114,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
115,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
116,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
117,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
118,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
119,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
120,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
121,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
122,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
123,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
124,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
125,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
126,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
127,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
128,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
129,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
130,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
131,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
132,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
133,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
134,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
135,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
136,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
137,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
138,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
139,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
140,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
141,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
142,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
143,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
144,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
145,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
146,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
147,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
148,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
149,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
150,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
151,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
152,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
153,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
154,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
155,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
156,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
157,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
158,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
159,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
