Transfer_Year,Small_Area,Type,Median_Price,Transaction_Count
2000,North Melbourne,House/Townhouse,285000,73
2000,North Melbourne,Residential Apartment,170000,149
2000,South Yarra,House/Townhouse,825500,28
2001,Carlton,House/Townhouse,375890,101
2001,Melbourne (CBD),House/Townhouse,,4
2001,South Yarra,Residential Apartment,249000,145
2001,West Melbourne (Residential),Residential Apartment,280000,71
2002,Kensington,Residential Apartment,270000,43
2002,North Melbourne,House/Townhouse,343500,126
2002,South Yarra,Residential Apartment,356000,182
2003,Carlton,House/Townhouse,503250,96
2003,Docklands,Residential Apartment,514700,614
2003,East Melbourne,House/Townhouse,649950,33
2003,East Melbourne,Residential Apartment,40,168
2003,Melbourne (CBD),House/Townhouse,0,27
2003,North Melbourne,House/Townhouse,385500,118
2003,North Melbourne,Residential Apartment,278425,260
2003,Parkville,House/Townhouse,780000,33
2003,Southbank,Residential Apartment,395500,923
2003,West Melbourne (Residential),House/Townhouse,400000,50
2004,Docklands,Residential Apartment,540000,582
2004,Kensington,Residential Apartment,315000,122
2004,Melbourne (CBD),House/Townhouse,,2
2004,Melbourne (Remainder),Residential Apartment,400000,35
2004,North Melbourne,House/Townhouse,376250,97
2004,South Yarra,House/Townhouse,970000,35
2004,West Melbourne (Residential),Residential Apartment,351750,89
2005,Carlton,House/Townhouse,440000,85
2005,Melbourne (CBD),House/Townhouse,,2
2005,Melbourne (Remainder),Residential Apartment,357500,44
2005,North Melbourne,Residential Apartment,340850,303
2005,Parkville,Residential Apartment,297500,64
2005,West Melbourne (Residential),Residential Apartment,405000,177
2006,Docklands,Residential Apartment,395000,1191
2006,Kensington,Residential Apartment,305250,146
2006,Melbourne (CBD),House/Townhouse,,2
2006,North Melbourne,Residential Apartment,300000,162
2006,Southbank,Residential Apartment,421750,605
2006,West Melbourne (Residential),House/Townhouse,504000,27
2007,Carlton,Residential Apartment,340000,227
2007,Docklands,Residential Apartment,532800,623
2007,East Melbourne,House/Townhouse,1340000,43
2007,East Melbourne,Residential Apartment,377000,181
2007,Melbourne (Remainder),Residential Apartment,465000,145
2007,South Yarra,House/Townhouse,1637500,46
2007,West Melbourne (Residential),House/Townhouse,602500,52
2008,Docklands,Residential Apartment,575000,493
2008,East Melbourne,House/Townhouse,2500000,33
2008,Kensington,House/Townhouse,505500,214
2008,Kensington,Residential Apartment,359000,186
2008,Melbourne (CBD),House/Townhouse,,5
2008,Melbourne (CBD),Residential Apartment,379250,1320
2008,Southbank,Residential Apartment,465000,523
2008,West Melbourne (Residential),House/Townhouse,659000,30
2009,Carlton,Residential Apartment,400000,214
2009,East Melbourne,House/Townhouse,1900000,57
2009,East Melbourne,Residential Apartment,60,325
2009,Kensington,House/Townhouse,540000,193
2009,Kensington,Residential Apartment,362457,219
2009,Melbourne (CBD),Residential Apartment,353000,1672
2009,North Melbourne,Residential Apartment,385000,186
2009,Parkville,Residential Apartment,400000,59
2009,West Melbourne (Residential),House/Townhouse,727750,16
2010,Carlton,Residential Apartment,410550,133
2010,Docklands,House/Townhouse,1677700,47
2010,East Melbourne,Residential Apartment,605000,204
2010,Melbourne (CBD),House/Townhouse,,5
2010,North Melbourne,House/Townhouse,710000,120
2010,West Melbourne (Residential),House/Townhouse,792500,43
2010,West Melbourne (Residential),Residential Apartment,51,95
2011,Carlton,House/Townhouse,880000,64
2011,East Melbourne,House/Townhouse,100,25
2011,Kensington,House/Townhouse,640000,233
2011,Kensington,Residential Apartment,405000,126
2011,Melbourne (CBD),Residential Apartment,409200,1143
2011,South Yarra,House/Townhouse,1750000,29
2011,Southbank,House/Townhouse,,2
2011,Southbank,Residential Apartment,536250,936
2012,Carlton,Residential Apartment,482500,248
2012,East Melbourne,House/Townhouse,1815000,36
2012,East Melbourne,Residential Apartment,530000,139
2012,North Melbourne,House/Townhouse,700000,115
2012,North Melbourne,Residential Apartment,417500,165
2012,West Melbourne (Residential),House/Townhouse,690000,41
2013,Carlton,House/Townhouse,850000,69
2013,Docklands,House/Townhouse,,6
2013,Kensington,Residential Apartment,40,147
2013,Melbourne (CBD),House/Townhouse,,8
2013,Melbourne (Remainder),Residential Apartment,630500,65
2013,North Melbourne,House/Townhouse,685000,125
2013,Parkville,Residential Apartment,425000,458
2013,South Yarra,House/Townhouse,1925000,23
2013,Southbank,House/Townhouse,,2
2013,Southbank,Residential Apartment,50,1725
2014,Docklands,House/Townhouse,,6
2014,East Melbourne,Residential Apartment,65,167
2014,Kensington,House/Townhouse,690000,175
2014,Melbourne (CBD),Residential Apartment,503000,3483
2014,Melbourne (Remainder),Residential Apartment,685500,71
2014,Parkville,Residential Apartment,372500,166
2014,South Yarra,House/Townhouse,3000000,26
2014,Southbank,House/Townhouse,,3
2014,Southbank,Residential Apartment,600000,1848
2014,West Melbourne (Residential),Residential Apartment,469250,277
2015,Docklands,House/Townhouse,1252500,14
2015,Kensington,Residential Apartment,440000,101
2015,North Melbourne,House/Townhouse,880000,85
2015,Parkville,Residential Apartment,505000,140
2016,Carlton,House/Townhouse,1200500,62
2016,Carlton,Residential Apartment,516500,424
2016,Kensington,Residential Apartment,435000,133
2016,South Yarra,Residential Apartment,592500,90
2016,Southbank,Residential Apartment,573500,1244
2016,West Melbourne (Residential),Residential Apartment,450000,404
2016,NA,Residential Apartment,502107,108
2000,Carlton,House/Townhouse,30,87
2000,East Melbourne,Residential Apartment,280000,93
2000,Kensington,House/Townhouse,200000,168
2000,Parkville,House/Townhouse,388750,28
2000,South Yarra,Residential Apartment,210000,118
2000,West Melbourne (Residential),Residential Apartment,240600,59
2001,Docklands,Residential Apartment,293750,18
2001,East Melbourne,Residential Apartment,315000,168
2001,Melbourne (CBD),Residential Apartment,270000,1047
2001,Parkville,Residential Apartment,265000,97
2001,South Yarra,House/Townhouse,877000,32
2001,Southbank,Residential Apartment,336500,443
2001,NA,House/Townhouse,,3
