Category,Start_date,End_date,Latitude,Longitude,Location
Filming - Other,2015-09-10,2015-09-11,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Other,2015-10-05,2015-10-05,-37.821949700000005,144.9564064292606,"Batman Park, Melbourne, Australia"
Filming - Other,2017-01-19,2017-01-19,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Other,2017-04-04,2017-04-04,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Other,2017-04-04,2017-04-04,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Other,2017-11-12,2017-11-12,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Other,2017-09-18,2017-09-18,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - Other,2017-10-18,2017-10-18,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Other,2014-05-25,2014-05-25,-37.818185650000004,144.9664771839778,"Flinders St Station, Melbourne, Australia"
Filming - Other,2014-09-03,2014-09-03,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Other,2016-10-01,2016-10-03,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - Other,2017-07-01,2017-07-01,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Other,2017-07-01,2017-07-01,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Other,2017-10-18,2017-10-18,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - Other,2017-10-17,2017-10-17,-37.8162521,144.969026,"Hosier Lane, Melbourne, Australia"
Filming - Photo shoot,2014-01-08,2014-01-09,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,2014-01-08,2014-01-09,-37.8212116,144.9619189982564,"Queensbridge Square, Melbourne, Australia"
Filming - Photo shoot,2014-03-07,2014-03-07,-37.8139832,144.9645678,"Union Lane, Melbourne, Australia"
Filming - Photo shoot,2014-03-29,2014-03-30,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,2014-03-29,2014-03-30,-37.7101875,144.7547456,"Bank Place, Melbourne, Australia"
Filming - Photo shoot,2014-05-12,2014-05-14,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - Photo shoot,2014-10-02,2014-10-02,-37.8140483,144.9666575,"Rainbow Alley, Melbourne, Australia"
Filming - Photo shoot,2014-10-02,2014-10-02,-37.8133165,144.9667147,"Royal Lane, Melbourne, Australia"
Filming - Photo shoot,2014-10-09,2014-10-09,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Photo shoot,2015-01-31,2015-02-01,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,2015-01-31,2015-02-01,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
Filming - Photo shoot,2015-01-31,2015-02-01,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Photo shoot,2015-01-31,2015-02-01,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,2015-02-17,2015-02-17,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Photo shoot,2015-04-14,2015-04-14,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2015-05-14,2015-05-15,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - Photo shoot,2015-07-23,2015-07-23,-37.8155405,144.9705723,"ACDC Lane, Melbourne, Australia"
Filming - Photo shoot,2015-08-26,2015-08-26,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,2015-08-26,2015-08-26,-37.816914,144.9655977,"Degraves Street, Melbourne, Australia"
Filming - Photo shoot,2015-08-31,2015-08-31,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Photo shoot,2015-11-23,2015-11-24,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-02-08,2016-02-12,-37.8565869,144.9831917,"St Kilda Road, Melbourne, Australia"
Filming - Photo shoot,2016-02-08,2016-02-12,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,2016-02-08,2016-02-12,-37.809521131914906,144.97168456715806,"Meyers Place (Green Laneway), Melbourne, Australia"
Filming - Photo shoot,2016-03-31,2016-03-31,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-04-14,2016-04-15,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-06-15,2016-06-16,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-06-15,2016-06-16,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2016-09-15,2016-09-15,-37.8212116,144.9619189982564,"Queensbridge Square, Melbourne, Australia"
Filming - Photo shoot,2016-11-29,2016-11-30,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,2016-11-29,2016-11-30,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Photo shoot,2016-11-29,2016-11-30,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2016-11-29,2016-11-30,-37.8129136,144.9723712,"Ridgway Place, Melbourne, Australia"
Filming - Photo shoot,2016-12-04,2016-12-14,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,2016-12-04,2016-12-14,-37.811425719556375,144.9642798285428,"Bourke St Mall - next to Tourism booth, Melbourne, Australia"
Filming - Photo shoot,2017-02-11,2017-02-12,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,2017-02-11,2017-02-12,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - Photo shoot,2017-03-15,2017-03-15,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,2017-03-15,2017-03-15,-37.8071333,144.9581598,"Queen Street, Melbourne, Australia"
Filming - Photo shoot,2017-03-15,2017-03-15,-37.8398952,144.9931559,"William Street, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8155405,144.9705723,"ACDC Lane, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8119389,144.966298,"Celestial Avenue, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8116587,144.9689601,"Croft Alley, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8156698,144.9714399,"Duckboard Place, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8135022,144.9620365,"Rankins Lane, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8119444,144.9653562,"Stevenson Lane, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8118954,144.9655785,"Tattersalls Lane, Melbourne, Australia"
Filming - Photo shoot,2017-04-19,2017-04-21,-37.8135633,144.9618171,"Warburton Lane, Melbourne, Australia"
Filming - Photo shoot,2014-12-11,2014-12-11,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
