Category,Latitude,Longitude,Location
Filming - Photo shoot,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Photo shoot,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - Photo shoot,-37.8155405,144.9705723,"ACDC Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,-37.816914,144.9655977,"Degraves Street, Melbourne, Australia"
Filming - Photo shoot,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.8565869,144.9831917,"St Kilda Road, Melbourne, Australia"
Filming - Photo shoot,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.8212116,144.9619189982564,"Queensbridge Square, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Photo shoot,-37.8129136,144.9723712,"Ridgway Place, Melbourne, Australia"
Filming - Photo shoot,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8071333,144.9581598,"Queen Street, Melbourne, Australia"
Filming - Photo shoot,-37.8398952,144.9931559,"William Street, Melbourne, Australia"
Filming - Photo shoot,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Photo shoot,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,-37.8155405,144.9705723,"ACDC Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8119389,144.966298,"Celestial Avenue, Melbourne, Australia"
Filming - Photo shoot,-37.8116587,144.9689601,"Croft Alley, Melbourne, Australia"
Filming - Photo shoot,-37.8156698,144.9714399,"Duckboard Place, Melbourne, Australia"
Filming - Photo shoot,-37.8135022,144.9620365,"Rankins Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8119444,144.9653562,"Stevenson Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8118954,144.9655785,"Tattersalls Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8135633,144.9618171,"Warburton Lane, Melbourne, Australia"
Filming - Photo shoot,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
Filming - Photo shoot,-37.818185650000004,144.9664771839778,"Flinders St Station, Melbourne, Australia"
Filming - Photo shoot,-37.8143075,144.9701809,"Alfred Place, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Photo shoot,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,-37.8117601,144.9712728,"Crossley Street, Melbourne, Australia"
Filming - Photo shoot,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8081167,144.9688226,"Exhibition Street, Melbourne, Australia"
Filming - Photo shoot,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Photo shoot,-37.8196329,144.9651295751562,"Evan Walker Bridge, Melbourne, Australia"
Filming - Photo shoot,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
Filming - Photo shoot,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - Photo shoot,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Photo shoot,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Photo shoot,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,-37.8117601,144.9712728,"Crossley Street, Melbourne, Australia"
Filming - Photo shoot,-37.8099054,144.9705513,"Punch Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8129136,144.9723712,"Ridgway Place, Melbourne, Australia"
Filming - Photo shoot,-37.6720257,144.5540174,"Windsor Place, Melbourne, Australia"
Filming - Photo shoot,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - Photo shoot,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.8155405,144.9705723,"ACDC Lane, Melbourne, Australia"
Filming - Photo shoot,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,-37.9384073,145.0535534,"Franklin Street, Melbourne, Australia"
Filming - Photo shoot,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - Photo shoot,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.7977858,144.9330243,"Elizabeth Street, Melbourne, Australia"
Filming - Photo shoot,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
