,date,sensor_id,sensor_name,daily_count
30,2015-01-01,34,Flinders St-Spark La,4086
64,2015-01-02,34,Flinders St-Spark La,1952
97,2015-01-03,34,Flinders St-Spark La,1628
130,2015-01-04,34,Flinders St-Spark La,2063
163,2015-01-05,34,Flinders St-Spark La,2921
196,2015-01-06,34,Flinders St-Spark La,3062
229,2015-01-07,34,Flinders St-Spark La,2461
262,2015-01-08,34,Flinders St-Spark La,2891
295,2015-01-09,34,Flinders St-Spark La,2936
328,2015-01-10,34,Flinders St-Spark La,2664
361,2015-01-11,34,Flinders St-Spark La,2376
394,2015-01-12,34,Flinders St-Spark La,3121
427,2015-01-13,34,Flinders St-Spark La,2800
459,2015-01-14,34,Flinders St-Spark La,3149
491,2015-01-15,34,Flinders St-Spark La,3193
523,2015-01-16,34,Flinders St-Spark La,3929
554,2015-01-17,34,Flinders St-Spark La,3311
585,2015-01-18,34,Flinders St-Spark La,3153
617,2015-01-19,34,Flinders St-Spark La,4235
650,2015-01-20,34,Flinders St-Spark La,4608
684,2015-01-21,34,Flinders St-Spark La,5078
719,2015-01-22,34,Flinders St-Spark La,4596
754,2015-01-23,34,Flinders St-Spark La,4894
789,2015-01-24,34,Flinders St-Spark La,5200
824,2015-01-25,34,Flinders St-Spark La,3691
859,2015-01-26,34,Flinders St-Spark La,4179
894,2015-01-27,34,Flinders St-Spark La,3646
929,2015-01-28,34,Flinders St-Spark La,3998
964,2015-01-29,34,Flinders St-Spark La,4135
999,2015-01-30,34,Flinders St-Spark La,4284
1034,2015-01-31,34,Flinders St-Spark La,3023
1069,2015-02-01,34,Flinders St-Spark La,2298
1105,2015-02-02,34,Flinders St-Spark La,3355
1141,2015-02-03,34,Flinders St-Spark La,3631
1177,2015-02-04,34,Flinders St-Spark La,3327
1213,2015-02-05,34,Flinders St-Spark La,3560
1249,2015-02-06,34,Flinders St-Spark La,3807
1285,2015-02-07,34,Flinders St-Spark La,2615
1321,2015-02-08,34,Flinders St-Spark La,2195
1357,2015-02-09,34,Flinders St-Spark La,3552
1393,2015-02-10,34,Flinders St-Spark La,3920
1429,2015-02-11,34,Flinders St-Spark La,3542
1465,2015-02-12,34,Flinders St-Spark La,3818
1501,2015-02-13,34,Flinders St-Spark La,3951
1537,2015-02-14,34,Flinders St-Spark La,4813
1573,2015-02-15,34,Flinders St-Spark La,3476
1609,2015-02-16,34,Flinders St-Spark La,4025
1646,2015-02-17,34,Flinders St-Spark La,3485
1683,2015-02-18,34,Flinders St-Spark La,4111
1720,2015-02-19,34,Flinders St-Spark La,3882
1757,2015-02-20,34,Flinders St-Spark La,4780
1793,2015-02-21,34,Flinders St-Spark La,7111
1829,2015-02-22,34,Flinders St-Spark La,7949
1866,2015-02-23,34,Flinders St-Spark La,3185
1903,2015-02-24,34,Flinders St-Spark La,4128
1940,2015-02-25,34,Flinders St-Spark La,4068
1977,2015-02-26,34,Flinders St-Spark La,4566
2013,2015-02-27,34,Flinders St-Spark La,4640
2049,2015-02-28,34,Flinders St-Spark La,3625
2085,2015-03-01,34,Flinders St-Spark La,2568
2121,2015-03-02,34,Flinders St-Spark La,3491
2157,2015-03-03,34,Flinders St-Spark La,3686
2194,2015-03-04,34,Flinders St-Spark La,3867
2231,2015-03-05,34,Flinders St-Spark La,3467
2268,2015-03-06,34,Flinders St-Spark La,3298
2305,2015-03-07,34,Flinders St-Spark La,3723
2342,2015-03-08,34,Flinders St-Spark La,5257
2379,2015-03-09,34,Flinders St-Spark La,3603
2416,2015-03-10,34,Flinders St-Spark La,3667
2453,2015-03-11,34,Flinders St-Spark La,3711
2490,2015-03-12,34,Flinders St-Spark La,3876
2527,2015-03-13,34,Flinders St-Spark La,4194
2564,2015-03-14,34,Flinders St-Spark La,2951
2601,2015-03-15,34,Flinders St-Spark La,2616
2638,2015-03-16,34,Flinders St-Spark La,3477
2675,2015-03-17,34,Flinders St-Spark La,3757
2712,2015-03-18,34,Flinders St-Spark La,3941
2749,2015-03-19,34,Flinders St-Spark La,4553
2786,2015-03-20,34,Flinders St-Spark La,3891
2823,2015-03-21,34,Flinders St-Spark La,3047
2860,2015-03-22,34,Flinders St-Spark La,3168
2897,2015-03-23,34,Flinders St-Spark La,3127
2934,2015-03-24,34,Flinders St-Spark La,3506
2971,2015-03-25,34,Flinders St-Spark La,3935
3008,2015-03-26,34,Flinders St-Spark La,3683
3045,2015-03-27,34,Flinders St-Spark La,4201
