Education_Sector,Entity_Type,SCHOOL_NO,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,4853,Guthridge Primary School,Primary,O,Dawson Street,,Sale,VIC,3850,DAWSON STREET,,SALE,VIC,3850,03 5144 3633,681,Wellington (S),147.083829,-38.095698
Government,1,4854,Park Orchards Primary School,Primary,O,1-3 Bowmore Avenue,,Park Orchards,VIC,3114,P O Box 59,,PARK ORCHARDS,VIC,3114,03 9876 1249,421,Manningham (C),145.215918,-37.779519
Government,1,4855,Albion North Primary School,Primary,O,67-73 Furlong Road,,Sunshine North,VIC,3020,67-73 Furlong Road,,SUNSHINE NORTH,VIC,3020,03 9312 5900,118,Brimbank (C),144.823039,-37.762121
Government,1,4860,Blackburn Lake Primary School,Primary,O,12 - 14 Florence Street,,Blackburn,VIC,3130,12 - 14 Florence Street,,BLACKBURN,VIC,3130,03 9894 2855,698,Whitehorse (C),145.166097,-37.827601
Government,1,4863,Laburnum Primary School,Primary,O,Janet Street,,Blackburn,VIC,3130,Janet Street,,Blackburn,VIC,3130,03 9898 5811,698,Whitehorse (C),145.139208,-37.827098
Government,1,4867,Rollins Primary School,Primary,O,Wolseley Grove,,Bell Post Hill,VIC,3215,Wolseley Grove,,Bell Post Hill,VIC,3215,03 5278 3022,275,Greater Geelong (C),144.326464,-38.10121
Government,1,4871,Heatherwood School,Special,O,370-380 Springvale Road,,Donvale,VIC,3111,370-380 Springvale Road,,DONVALE,VIC,3111,03 9842 8319,421,Manningham (C),145.1780362,-37.80033733
Government,1,4873,Bellaire Primary School,Primary,O,59-71 Larcombe Street,,Highton,VIC,3216,P O Box 6092,,HIGHTON,VIC,3216,03 5243 5203,275,Greater Geelong (C),144.319773,-38.179586
Government,1,4874,Pinewood Primary School,Primary,O,27-35 Pinewood Drive,,Mount Waverley,VIC,3149,P.O. Box 5360,,Pinewood,VIC,3149,03 8847 3200,497,Monash (C),145.142339,-37.890118
Government,1,4875,Broadmeadows Primary School,Primary,O,62-70 Blair Street,,Broadmeadows,VIC,3047,P O Box 132,,DALLAS,VIC,3047,03 9302 6060,327,Hume (C),144.928493,-37.680191
Government,1,4876,Moomba Park Primary School,Primary,O,111 Anderson Road,,Fawkner,VIC,3060,P O Box 85,,FAWKNER,VIC,3060,03 9359 2028,525,Moreland (C),144.967219,-37.69576
Government,1,4877,Keilor Heights Primary School,Primary,O,Ronald Grove,,Keilor East,VIC,3033,Ronald Grove,,KEILOR EAST,VIC,3033,03 9336 1739,506,Moonee Valley (C),144.866495,-37.737516
