School_Name,School_Type,LGA_Name,nearest_stop_name,nearest_stop_distance_m
Balwyn North Primary School,Primary,Boroondara (C),Buchanan Ave/Doncaster Rd #49,311.9031874897734
Solway Primary School,Primary,Boroondara (C),Winton Rd/Solway St,131.81548918589493
Newlands Primary School,Primary,Darebin (C),Newlands PS/Elizabeth St,133.05876490274053
Somers School Camp,Primary,Mornington Peninsula (S),Coolart Wetlands/Lord Somers Rd,76.80660625755897
Tootgarook Primary School,Primary,Mornington Peninsula (S),Darvall St/Yolland St,123.34087089582431
Newport Gardens Primary School,Primary,Hobsons Bay (C),Woods St/Maddox Rd,17.60201127404421
Malvern Valley Primary School,Primary,Stonnington (C),Abbotsford Ave/Chadstone Rd,178.62059774149643
Belmore School,Special,Boroondara (C),Balwyn Rd/Belmore Rd,147.3122486941373
Croxton Special School,Special,Darebin (C),Gladstone Ave/St Georges Rd #30,426.10284466890437
Frankston East Primary School,Primary,Frankston (C),Frankston East PS/Ashleigh Ave,123.43765657433376
Selby Primary School,Primary,Yarra Ranges (S),Greenwell Rd/Belgrave-Gembrook Rd,93.45132335592773
Reservoir East Primary School,Primary,Darebin (C),Yarra Ave/Boldrewood Pde,49.720451719208846
Tucker Road Bentleigh Primary School,Primary,Glen Eira (C),Tucker Rd/South Rd,230.28707439662452
Greythorn Primary School,Primary,Boroondara (C),Yeneda St/Greythorn Rd,146.02576387332954
Eastwood Primary School,Primary,Maroondah (C),Shasta Ave/Dublin Rd,474.4669380349752
Pascoe Vale South Primary School,Primary,Moreland (C),Mitchell Pde/Reynard St,26.974483957771454
Lalor Primary School,Primary,Whittlesea (C),Ruthven Cres/Burton St,412.54073370020006
Reservoir West Primary School,Primary,Darebin (C),Locksley Ave/Gilbert Rd,219.47747083758026
Coatesville Primary School,Primary,Glen Eira (C),Garvey St/Mackie Rd,26.998325433395447
Old Orchard Primary School,Primary,Whitehorse (C),Merle St/Koonung Rd,26.800760990437826
Huntingdale Primary School,Primary,Monash (C),Stradbroke St/Haughton Rd,192.63046908121194
Box Hill North Primary School,Primary,Whitehorse (C),St Philips Pl/Station St,317.1184985973032
Ferntree Gully North Primary School,Primary,Knox (C),Doysal Ave/Forest Rd,182.56107152714543
Oak Park Primary School,Primary,Moreland (C),Summit Ave/Devereaux St,224.40625098922928
Dandenong North Primary School,Primary,Greater Dandenong (C),Dandenong Hospital/Cleeland St,148.51738693639973
Harrisfield Primary School,Primary,Greater Dandenong (C),Callander Rd/Princes Hwy,101.42764582200492
Pascoe Vale North Primary School,Primary,Moreland (C),Pascoe Vale North Primary School/187 Derby St,114.66744713049886
Belle Vue Primary School,Primary,Boroondara (C),Belle Vue Primary School/Bulleen Rd,34.40285948500218
St Albans East Primary School,Primary,Brimbank (C),Lester Ave/Main Rd East,367.8388105686141
Sunshine Heights Primary School,Primary,Brimbank (C),Fairbairn Rd/Mayne St,200.4149382941019
Sunshine North Primary School,Primary,Brimbank (C),Sussex St/Northumberland Rd,383.566819589575
Banyule Primary School,Primary,Banyule (C),Banyule Primary School/Banyule Rd,159.79678549655844
Rosanna Golf Links Primary School,Primary,Banyule (C),Cantala Ave/Lower Plenty Rd,253.12358071464823
Cheltenham East Primary School,Primary,Kingston (C),Coolac St/Centre Dandenong Rd,206.13583153991507
Cranbourne South Primary School,Primary,Casey (C),Browns Rd/Pearcedale Rd,129.16228664317265
Preston North East Primary School,Primary,Darebin (C),Crevelli St/Tyler St,49.87203988034925
Craigieburn Primary School,Primary,Hume (C),Craigieburn PS/Grand Bvd,84.14634285679689
Valkstone Primary School,Primary,Glen Eira (C),Glen Eira Sports and Aquatic Centre/East Boundary Rd,297.2673574350207
Overport Primary School,Primary,Frankston (C),Frankston High School/Foot St,200.7324241550279
Wembley Primary School,Primary,Maribyrnong (C),Wembley Ave/Benbow St,112.36025678999118
Rosamond Special School,Special,Maribyrnong (C),Errol St/Ballarat Rd,36.168088550689895
Bonbeach Primary School,Primary,Kingston (C),Haldane St/Patterson St,292.46911991942795
Heatherhill Primary School,Primary,Greater Dandenong (C),Heatherhill Primary School/Heatherton Rd,128.16088257326066
Beaumaris North Primary School,Primary,Bayside (C),Beaumaris North Primary School/Reserve Rd ,109.86538406921035
Yarraman Oaks Primary School,Primary,Greater Dandenong (C),South Eastern Private Hospital/Heatherton Rd,357.1864766745974
Mount Pleasant Road Nunawading Primary School,Primary,Whitehorse (C),Mount Pleasant Rd/Heather Gr,389.93726402211286
Glenroy West Primary School,Primary,Moreland (C),33 Belair Ave,184.35685717324185
Dandenong South Primary School,Primary,Greater Dandenong (C),Dandenong South PS/Kirkham Rd,85.22924411887746
St Albans North Primary School,Primary,Brimbank (C),Conrad St/Arthur St,389.49829895575033
Avondale Primary School,Primary,Moonee Valley (C),Alexander St/Military Rd,234.50355093546534
Beverley Hills Primary School,Primary,Manningham (C),Avocet St/Blackburn Rd,88.99829504476106
Frankston Heights Primary School,Primary,Frankston (C),Frankston Heights PS/Heatherhill Rd,114.24695324915113
Kerrimuir Primary School,Primary,Whitehorse (C),Woodhouse Gr/Dorking Rd,153.52120582069975
Heathmont East Primary School,Primary,Maroondah (C),Grayview Ave/Canterbury Rd,410.82825592138374
Strathmore North Primary School,Primary,Moonee Valley (C),Amar St/Lebanon St,238.00294282444625
Oakleigh South Primary School,Primary,Monash (C),Farm Rd/Centre Rd,357.94461784092096
Thomastown East Primary School,Primary,Whittlesea (C),Acacia St/Alexander Ave,178.604341171876
Mount Waverley Heights Primary School,Primary,Monash (C),Churchill Ave/Huntingdale Rd,363.5885903543066
East Bentleigh Primary School,Primary,Glen Eira (C),Moorleigh Community Village/Bignell Rd,198.3377755107101
Watsonia Primary School,Primary,Banyule (C),Weatherlake St/Watsonia Rd,319.2696452073513
Parktone Primary School,Primary,Kingston (C),McSwain St/Lower Dandenong Rd,327.9881658857895
Antonio Park Primary School,Primary,Whitehorse (C),Deep Creek Rd/Whitehorse Rd,24.796887747666773
Kingsbury Primary School,Primary,Darebin (C),Maryborough Ave/Dunne St,241.56415789653374
Katandra School,Special,Glen Eira (C),Ormond Railway Station,161.5312985847077
Ardeer Primary School,Primary,Brimbank (C),Ukrainian Catholic Church/Forrest St ,183.00359339421473
Westall Primary School,Primary,Kingston (C),Westall PS/Fairbank Rd,113.55149645049426
Tullamarine Primary School,Primary,Hume (C),Tullamarine PS/Broadmeadows Rd,132.02924926902344
Park Orchards Primary School,Primary,Manningham (C),Hopetoun Rd/Park Rd,166.54858593105757
Albion North Primary School,Primary,Brimbank (C),Albion North PS/Furlong Rd,43.762787645857465
Blackburn Lake Primary School,Primary,Whitehorse (C),Blackburn Lake PS/Milton St,46.32431641663245
Laburnum Primary School,Primary,Whitehorse (C),RHL Sparks Reserve/Middleborough Rd,250.9428500826661
Heatherwood School,Special,Manningham (C),Heatherwood School/Springvale Rd,42.193864036594384
Pinewood Primary School,Primary,Monash (C),Pinewood SC/Blackburn Rd,233.70248880852452
Broadmeadows Primary School,Primary,Hume (C),Hume Central Secondary College/Blair St ,19.97366459907281
Moomba Park Primary School,Primary,Moreland (C),Selola Ct/Anderson Rd,19.998044543920535
Keilor Heights Primary School,Primary,Moonee Valley (C),Clarks Rd/Milleara Rd,188.85614522282762
Ainslie Parklands Primary School,Primary,Maroondah (C),Hinkley Ave/Maroondah Hwy,257.58828971164075
Parkmore Primary School,Primary,Whitehorse (C),Michael Ct/Hampshire Rd,166.93046534552053
Lara Primary School,Primary,Greater Geelong (C),Flinders Ave/Curletts Rd,570.3751064977095
Mullum Primary School,Primary,Maroondah (C),Panfield Ave/Wonga Rd,161.71242344634257
Cranbourne Park Primary School,Primary,Casey (C),Alexander St/High St,362.27299542249415
Viewbank Primary School,Primary,Banyule (C),Martins Lane/Winston Rd,190.20222131166565
Greenhills Primary School,Primary,Banyule (C),Allumba Dr/Beales Rd,444.9638291176742
Upwey South Primary School,Primary,Yarra Ranges (S),Upwey South PS/Griffiths Rd,207.93973322213742
Eltham East Primary School,Primary,Nillumbik (S),Fairdale Ct/Wycliffe Cres,400.52956225302506
Belvedere Park Primary School,Primary,Frankston (C),Belvedere Park Primary School/Seaford Rd,180.32559254253232
Essex Heights Primary School,Primary,Monash (C),Essex Rd/Huntingdale Rd,261.8961223846585
Mountain Gate Primary School,Primary,Knox (C),Aitken Ct/Ferntree Gully Rd,273.8835170258955
Fairhills Primary School,Primary,Knox (C),Fairhills PS/Manuka Dr,55.9622595016409
Boronia West Primary School,Primary,Knox (C),Tormore Rd/Boronia Rd,344.66844251753594
Southmoor Primary School,Primary,Kingston (C),Cochranes Rd/Chesterville Rd,284.44561108541916
Ringwood Heights Primary School,Primary,Maroondah (C),Lookover Rd/Glenvale Rd,196.38439427210525
Glenroy Specialist School,Special,Moreland (C),Hilton St/Widford St,334.2623131559724
Ruskin Park Primary School,Primary,Maroondah (C),Ruskin Ave/Mt Dandenong Rd,163.32396276096785
Emerson School,Special,Greater Dandenong (C),Emerson School/Heatherton Rd,87.1952635266443
Karingal Primary School,Primary,Frankston (C),Flam St/Ashleigh Ave,88.81621459061736
Mount View Primary School,Primary,Monash (C),Mount View PS/Gallaghers Rd,144.65468023033313
Syndal South Primary School,Primary,Monash (C),Savige Ave/Blackburn Rd,335.8366895938672
Montmorency South Primary School,Primary,Banyule (C),Rangeview Rd/Main Rd,464.3377054857468
Berendale School,Special,Bayside (C),Dane Rd/Spring Rd,207.50082873198014
Altona North Primary School,Primary,Hobsons Bay (C),McArthurs Rd/Millers Rd,203.59555094627478
Burwood Heights Primary School,Primary,Whitehorse (C),Burwood Heights PS/Hawthorn Rd,43.57204117183146
Watsonia Heights Primary School,Primary,Banyule (C),Glenice St/Henry St,76.52622757011851
Pembroke Primary School,Primary,Yarra Ranges (S),Balmoral St/Durham Rd,414.17445104992123
Mahogany Rise Primary School,Primary,Frankston (C),Mahogany Rise Primary School/Monterey Bvd,206.18118981727224
Bundoora Primary School,Primary,Banyule (C),Maple Gr/Greenwood Dr,220.30445046732424
University Park Primary School,Primary,Brimbank (C),Kingsley St/Willaton St,311.9063424920473
St Albans Heights Primary School,Primary,Brimbank (C),Lester Ave/Main Rd East,350.1675176077465
Hume Valley School,Special,Hume (C),Cobram St/Pascoe Vale Rd,326.8158689165517
Mentone Park Primary School,Primary,Kingston (C),Coolabah St/Lower Dandenong Rd,373.1871311472593
Donvale Primary School,Primary,Manningham (C),Heatherwood School/Springvale Rd,400.9102474085168
Boronia Heights Primary School,Primary,Knox (C),Landscape Dr/Mountain Hwy,279.03535242312427
Glenallen School,Special,Monash (C),Central Reserve/Waverley Rd,147.17165089533026
Bayswater South Primary School,Primary,Knox (C),Tracey St/Sasses Ave,208.6676331853428
Seaford North Primary School,Primary,Frankston (C),Ireland St/Railway Pde,472.0339989266073
Lalor East Primary School,Primary,Whittlesea (C),McKimmies Rd/Darebin Dr,76.28356941683732
Jackson School,Special,Brimbank (C),Jackson School/Mulhall Dr,6.8217663682462675
Carlton Primary School,Primary,Melbourne (C),Pitt St/Rathdowne St,49.882783561215874
Templestowe Valley Primary School,Primary,Manningham (C),Birchwood Ave/Thompsons Rd,207.7785841117746
Highvale Primary School,Primary,Monash (C),Foxley St/Springvale Rd,504.3296998226573
Watsonia North Primary School,Primary,Banyule (C),Loyola College/Grimshaw St,221.2763891591202
Wooranna Park Primary School,Primary,Greater Dandenong (C),Wooranna Park Primary School/Carlton Rd,20.980188126131033
Knox Park Primary School,Primary,Knox (C),Cambden Park Pde/Scoresby Rd,553.5555296184358
Birralee Primary School,Primary,Manningham (C),Katrina St/Elgar Rd,565.7603505860608
Derinya Primary School,Primary,Frankston (C),Derinya Dr/Overport Rd,97.37090527220187
Thomastown West Primary School,Primary,Whittlesea (C),Simpson St/Main St,87.58038922224337
Rowville Primary School,Primary,Knox (C),Turramurra Dr/Stud Rd,267.6919452313841
Mossfiel Primary School,Primary,Wyndham (C),Dean St/Mossfiel Dr,272.9048045022054
Templestowe Heights Primary School,Primary,Manningham (C),Conifer Pl/Lynnwood Pde,156.32568669678926
Ballam Park Primary School,Primary,Frankston (C),Bogong Ct/Karingal Dr,457.9756640986866
Sunbury West Primary School,Primary,Hume (C),Sunbury West PS/Elizabeth Dr,59.896880260765684
Gladstone Park Primary School,Primary,Hume (C),South Circular Rd/Gladstone Park Dr,261.27248184634345
Manchester Primary School,Primary,Yarra Ranges (S),Monomeith St/Bellara Dr,97.81150006517738
Glendal Primary School,Primary,Monash (C),Willow Ave SC/Willow Ave,232.15169729253446
Bimbadeen Heights Primary School,Primary,Yarra Ranges (S),Shadowplay Rd/Manchester Rd,671.6599521572117
Wattle View Primary School,Primary,Knox (C),Wattletree Rd/Commercial Rd,385.8432137610132
Sherbourne Primary School,Primary,Banyule (C),Calrossie Ave/Sherbourne Rd,265.0907087590853
Donburn Primary School,Primary,Manningham (C),Pine Way/Doncaster Rd,226.19411832299477
Royal Childrens Hospital Education Institute,Special,Melbourne (C),Gatehouse St/Flemington Rd,203.94944344070913
Vermont South Special School,Special,Whitehorse (C),Pelham Dr/Hanover Rd,421.01014796772654
Concord School,Special,Banyule (C),Gleeson Dr/Grimshaw St,95.98816436334685
Deer Park West Primary School,Primary,Brimbank (C),Hogan St/Ballarat Rd,492.3991874636283
Campbellfield Heights Primary School,Primary,Hume (C),Mason St/Mont Albert Dr,118.52410708622517
Lalor North Primary School,Primary,Whittlesea (C),Ruthven Cres/Burton St,301.360312595966
Melton West Primary School,Primary,Melton (C),Melton West Primary School/Westmelton Dr ,39.62644396195719
Diamond Creek East Primary School,Primary,Nillumbik (S),Diamond Valley College/Main Hurstbridge Rd,39.233824775420985
Brandon Park Primary School,Primary,Monash (C),Tudawali Cres/Brandon Park Dr,307.2099628243444
Bayswater West Primary School,Primary,Knox (C),Karalee Ct/Pindari Dr,266.33887284009677
Mornington Park Primary School,Primary,Mornington Peninsula (S),Mornington Park PS/Robertson Dr,98.28524604498102
Aldercourt Primary School,Primary,Frankston (C),Telopea Ct/Excelsior Dr,313.7300154490412
Richmond West Primary School,Primary,Yarra (C),Tweedie Pl/Church St #63,372.97142622795633
Marlborough Primary School,Primary,Maroondah (C),Clarke Dr/Wantirna Rd,485.0989155689579
Stevensville Primary School,Primary,Brimbank (C),Westvale Community Centre/Kings Rd,150.9984550687213
Birmingham Primary School,Primary,Yarra Ranges (S),Birmingham Rd/Swansea Rd,403.8103674104023
Woodville Primary School,Primary,Wyndham (C),Woodville Park SC/Warringa Cres,265.2401163718873
Glengala Primary School,Primary,Brimbank (C),Talintyre Rd/Fairbairn Rd,360.762412975149
Karingal Heights Primary School,Primary,Frankston (C),Havana Cres/Inglenook Cres,178.00218980487506
Wallarano Primary School,Primary,Greater Dandenong (C),Rutherglen St/Buckley St,188.08911768483435
Victoria Road Primary School,Primary,Yarra Ranges (S),John St/Maroondah Hwy,484.94838101778595
Mooroolbark East Primary School,Primary,Yarra Ranges (S),Mark St/Hull Rd,1144.9822090008154
Ardeer South Primary School,Primary,Brimbank (C),Lorna Cres/Glengala Rd,126.22586568138847
Gladesville Primary School,Primary,Yarra Ranges (S),Geoffrey Dr/Mt Dandenong Rd,490.38145536230377
Debney Meadows Primary School,Primary,Moonee Valley (C),24-Mooltan St/Mt Alexander Rd,265.0698865195682
Fountain Gate Primary School,Primary,Casey (C),Fountain Gate Primary School/Victoria Rd ,88.27848405450078
Tinternvale Primary School,Primary,Maroondah (C),Central Ave/Bayswater Rd,333.5997176026358
Naranga Special School,Special,Frankston (C),Lucerne Cres/Karingal Dr,188.42839735116158
Kent Park Primary School,Primary,Knox (C),Aitken Ct/Ferntree Gully Rd,437.99098474444935
Deer Park North Primary School,Primary,Brimbank (C),Robert Bruce Reserve/Station Rd,302.6374042766698
Rosewood Downs Primary School,Primary,Greater Dandenong (C),Murray Rd/Gladstone Rd,326.68959048640073
Coburn Primary School,Primary,Melton (C),Richard Rd/Station Rd,336.70921407586127
Manorvale Primary School,Primary,Wyndham (C),Manorvale Primary School/Greaves St ,25.714960654716073
Gladstone Views Primary School,Primary,Hume (C),Pyke Dr/Carrick Dr,59.881863313661874
Wheelers Hill Primary School,Primary,Monash (C),Threadbow Cres/Ferntree Gully Rd,566.44932192021
Ashwood School,Special,Monash (C),Arthur St/Huntingdale Rd,523.0390746311147
Broadmeadows Valley Primary School,Primary,Hume (C),Broadmeadows Basketball Association/Dimboola Rd,89.88585106586996
Bulleen Heights School,Special,Manningham (C),Lonsdale St/Pleasant Rd,80.62313289522702
Kingston Heath Primary School,Primary,Kingston (C),Farm Rd/Warrigal Rd,362.50704908260997
Andersons Creek Primary School,Primary,Manningham (C),Warrandyte Reserve/Heidelberg-Warrandyte Rd,147.99386567024692
Waverley Meadows Primary School,Primary,Monash (C),Waverley Meadows Primary School/Columbia Dr ,18.225524513565954
Kingswood Primary School,Primary,Kingston (C),Plaza Cres/Howard Rd,252.1693275118858
Ascot Vale Heights School,Special,Moonee Valley (C),28-Middle St/Mt Alexander Rd,233.11942362905327
Camelot Rise Primary School,Primary,Monash (C),Kalara Pl/Highmont Dr,535.9073420231593
Livingstone Primary School,Primary,Whitehorse (C),Pelham Dr/Hanover Rd,316.98863585449953
St Albans Meadows Primary School,Primary,Brimbank (C),Pine St/Mulhall Dr,205.85253063490742
Silverton Primary School,Primary,Greater Dandenong (C),Silverton Primary School/Jacksons Rd,107.50189589234787
Kalinda Primary School,Primary,Maroondah (C),Kalinda Rd/Mundara Dr,70.71571905498936
Coldstream Primary School,Primary,Yarra Ranges (S),Bede Ave/Lauriston Dr,194.6858744377629
Templestowe Park Primary School,Primary,Manningham (C),Church Rd/Porter St,304.9861532873369
River Gum Primary School,Primary,Casey (C),Hampton Park SC/Fordholm Rd,362.52149197365685
Regency Park Primary School,Primary,Knox (C),Amesbury Ave/Boronia Rd,455.73354283353365
Dorset Primary School,Primary,Maroondah (C),Prospect Hill Rd/Dorset Rd,220.61943415369444
Eastbourne Primary School,Primary,Mornington Peninsula (S),Mornington Peninsula Fwy/Boneo Rd,517.9873082847553
Thomastown Meadows Primary School,Primary,Whittlesea (C),The Close/Victoria Dr,194.7584902025882
Kingsley Park Primary School,Primary,Frankston (C),Kingsley Park PS/Gattinara Dr,158.29460141800126
James Cook Primary School,Primary,Casey (C),James Cook PS/James Cook Dr,108.12417238771339
Movelle Primary School,Primary,Brimbank (C),Jacinta Way/Main Rd West,418.8976592035088
Mount Eliza North Primary School,Primary,Mornington Peninsula (S),Mount Eliza Secondary College,661.7601872316823
Yarrabah School,Special,Kingston (C),Pine Cres/Station St,294.5104610915016
Frankston Special Developmental School,Special,Frankston (C),Escabon Gr/Havana Cres,151.0860897319645
Waratah Special Developmental School,Special,Banyule (C),Perkins Ave/Oriel Rd,232.48183435391863
Port Phillip Specialist School,Special,Port Phillip (C),Princes St/Bridge St,107.65697663256147
Monash Special Developmental School,Special,Monash (C),Good Shepherd School/Academy Ave,91.83006527938547
Iramoo Primary School,Primary,Wyndham (C),Iramoo Primary School/McGrath Rd ,43.487159584552344
Weeden Heights Primary School,Primary,Whitehorse (C),Fankhauser Dr/Burwood Hwy,416.7647976180342
Mill Park Primary School,Primary,Whittlesea (C),Mayfield Dr/Plenty Rd,412.05300512425305
Diamond Valley Special Developmental School,Special,Nillumbik (S),Civic Dr/Diamond Creek Rd,281.6617269166175
Melton Specialist School,Special,Melton (C),Melton Secondary College/Coburns Rd ,120.60146979637697
Springvale Park Special Developmental School,Special,Greater Dandenong (C),Springvale Railway Station,77.51171004974316
Warringa Park School,Special,Wyndham (C),Warringa Park School/Warringa Cres,43.57255255803464
Serpell Primary School,Primary,Manningham (C),Serpell PS/Tuckers Rd,21.577411221679387
Mount Martha Primary School,Primary,Mornington Peninsula (S),Kinross St/Somerset Dr,691.6171823565289
Altona Meadows Primary School,Primary,Hobsons Bay (C),Merton St/Alma Ave,99.73105856136596
The Patch Primary School,Primary,Yarra Ranges (S),Kallista-Emerald Rd/The Patch Rd,174.8511906512076
Jells Park Primary School,Primary,Monash (C),Petronella Ave/Jells Rd,270.59026582291193
Albanvale Primary School,Primary,Brimbank (C),Rialto St/Main Rd West,304.5553333575672
Kismet Park Primary School,Primary,Hume (C),Kismet Park PS/McEwen Dr,42.49158755483048
Kunyung Primary School,Primary,Mornington Peninsula (S),Wimborne Ave/Mount Eliza Way,1164.7281621217485
Apollo Parkways Primary School,Primary,Nillumbik (S),Crana Gr/Plenty River Dr,384.71317945286074
Bethal Primary School,Primary,Hume (C),Midas Ct/Malmsbury Dr,276.7733459722892
Cranbourne West Primary School,Primary,Casey (C),Sandhurst Centre/Duff St,243.46734637470038
Patterson Lakes Primary School,Primary,Kingston (C),Patterson Lakes PS/Gladesville Bvd,100.18663469287168
Seaford Park Primary School,Primary,Frankston (C),Bambra Ct/Henry Cres,387.2359502214342
Billanook Primary School,Primary,Yarra Ranges (S),Mount Dandenong Observatory/Observatory Rd,1249.7384711606212
Chirnside Park Primary School,Primary,Yarra Ranges (S),Vista Dr/Edward Rd,550.9887182938993
Templeton Primary School,Primary,Knox (C),Marlo St/Templeton St,442.9709840150691
Sunbury Heights Primary School,Primary,Hume (C),Charter Rd East/Elizabeth Dr,141.12809583994303
Darley Primary School,Primary,Moorabool (S),Darley Primary School/Nelson St,61.865224329172285
Wallaroo Primary School,Primary,Mornington Peninsula (S),Kimbla Ct/Stalwart Ave,115.6197480268294
Mossgiel Park Primary School,Primary,Casey (C),Mossgiel Park Primary School/Scotsburn Way,21.23654981646085
Wedge Park Primary School,Primary,Melton (C),Cambrian Way Preschool/54 Cambrian Way,49.293509863379775
Croydon Special Developmental School,Special,Maroondah (C),Paris Ave/Eastfield Rd,488.9577856337287
Milgate Primary School,Primary,Manningham (C),Landscape Dr/Fullwood Pde,172.3241879658214
Berwick Lodge Primary School,Primary,Casey (C),Berwick Lodge PS/Mansfield St,15.424263765894187
Furlong Park School For Deaf Children,Special,Brimbank (C),Cooke Ave/Furlong Rd,74.73709029722991
Jennings Street School,Special,Hobsons Bay (C),Laverton College/Bladin St,94.16469425999274
Sunbury And Macedon Ranges Specialist School,Special,Hume (C),Sunbury PS/Circular Dr,54.01356765246833
Northern School For Autism,Special,Darebin (C),Teresa Ct/Gertz Ave,11.496272557053153
Botanic Ridge Primary School,Primary,Casey (C),Saddleback Rd/Craig Rd,447.628292577063
Burwood East Special Developmental School,Special,Whitehorse (C),Tiller St/Burwood Hwy,620.6982202548963
Meadow Heights Primary School,Primary,Hume (C),Meadow Heights SC/Hudson Cct,209.4112193222344
Peninsula Specialist College,Special,Mornington Peninsula (S),Don Bosco Camp/Dromana Pde,3031.6015735444726
Chalcot Lodge Primary School,Primary,Casey (C),Finchley Ct/Kennington Park Dr,271.5039199023711
Rangebank Primary School,Primary,Casey (C),Lesdon Ave/South Gippsland Hwy,189.59583669372395
Knox Gardens Primary School,Primary,Knox (C),Harcrest Bvd/Stud Rd,290.22598149367394
Southern Cross Primary School,Primary,Casey (C),Southern Cross PS/David Collins Dr,70.95588444034856
Kings Park Primary School,Primary,Brimbank (C),Allandale Rd/Gillespie Rd,39.890343281293305
Dandenong Valley Special Developmental School,Special,Casey (C),Fountain Gate Sec Col/Victoria Rd,157.49012643399647
Mornington Special Developmental School,Special,Mornington Peninsula (S),Mornington Park PS/Robertson Dr,47.47454757809588
Bayside Special Developmental School,Special,Kingston (C),Genoa St/Chesterville Rd,261.67096656821565
Rolling Hills Primary School,Primary,Yarra Ranges (S),Landscape Dr/Maroondah Hwy,689.963541554273
Craigieburn South Primary School,Primary,Hume (C),Hothlyn Drive Reserve/Hothlyn Dr,130.7056069533349
Findon Primary School,Primary,Whittlesea (C),Cuthbert Dr/Roycroft Ave,101.75656754722777
Yarra Ranges Special Developmental School,Special,Yarra Ranges (S),Fernhill Rd/Hereford Rd,278.627029447869
Goonawarra Primary School,Primary,Hume (C),Goonawarra PS/Carnoustie Dr,164.9232496198459
Southern Autistic School,Special,Glen Eira (C),Highview Rd/Chesterville Rd,347.82696876191125
Bellbridge Primary School,Primary,Wyndham (C),Bellbridge PS/Bellbridge Dr,78.83037676543348
Croydon Hills Primary School,Primary,Maroondah (C),James Milne Dr/Yarra Rd,335.91545247384266
Kurunjang Primary School,Primary,Melton (C),Kurunjang Dr/Centenary Ave,457.3020456772967
Langwarrin Park Primary School,Primary,Frankston (C),Hornsby Dr/Southgateway,282.1047775222733
Taylors Lakes Primary School,Primary,Brimbank (C),Cocoparra Cres/Chichester Dr,23.60657513558663
Glen Katherine Primary School,Primary,Banyule (C),Parry Rd/Ryans Rd,267.2166778031455
Coburg Special Developmental School,Special,Moreland (C),Bishop St/Gaffney St,43.111276106328035
Broadmeadows Special Developmental School,Special,Hume (C),Hume Central Sec Col/Dimboola Rd,116.23512949626932
Sunshine Special Developmental School,Special,Brimbank (C),112 Fairbairn Rd,145.75608110779513
Richmond Primary School,Primary,Yarra (C),Gibbons St/Church St #55,167.87394823473798
Yarra Primary School,Primary,Yarra (C),Leslie St/Victoria St #23,369.34981384812124
Yarraville Special Developmental School,Special,Maribyrnong (C),Blackwood St/Williamstown Rd,104.9286153151406
Clifton Springs Primary School,Primary,Greater Geelong (C),Clifton Springs Primary School/Jetty Rd,67.39109095087672
Park Ridge Primary School,Primary,Knox (C),Kedleston Way/Wentworth Ave,42.45453951691163
Merriang Special Developmental School,Special,Whittlesea (C),Lalor Station/Kingsway Dr,210.81856786113227
Orchard Grove Primary School,Primary,Whitehorse (C),Samuel Rd/Fulton Rd,294.7087632412806
Meadowglen Primary School,Primary,Whittlesea (C),St Leger Pl/Meadow Glen Dr,170.85905330314222
Altona Green Primary School,Primary,Hobsons Bay (C),Tatman Dr/Victoria St,112.33974147311463
Boroondara Park Primary School,Primary,Boroondara (C),Korean Presbyterian Church/Walnut Rd,219.50001942585314
Western Autistic School,Special,Hobsons Bay (C),Chirnside Cres/Bladin St,234.53623582262512
Coral Park Primary School,Primary,Casey (C),Coral Park PS/Coral Dr,51.20084562153596
Maramba Primary School,Primary,Casey (C),Maramba PS/Maramba Dr,20.001782045369325
Thomas Mitchell Primary School,Primary,Casey (C),Thomas Mitchell Dr/Conran Ave,226.9566551392223
Karoo Primary School,Primary,Knox (C),Karoo PS/Karoo Rd,22.19867289649066
Mackellar Primary School,Primary,Brimbank (C),Goldsmith Ave/Kings Rd,305.35014341845795
Aspendale Gardens Primary School,Primary,Kingston (C),Narelle Dr/Wells Rd,398.63843507887935
Berwick Fields Primary School,Primary,Casey (C),Bellevue Dr/Centre Rd,257.9835757529062
Brentwood Park Primary School,Primary,Casey (C),Brentwood Park PS/Chirnside Rd,150.51758447815754
Eastern Ranges School,Special,Knox (C),Ferntree Gully College/Commercial Rd,107.92014429841969
Edgars Creek Primary School,Primary,Whittlesea (C),Edgars Creek Secondary College/Edgars Rd,327.9097790760386
Eynesbury Primary School,Primary,Melton (C),St Arnoud Rd/Eynesbury Rd ,155.45742116139695
Cambridge Primary School,Primary,Wyndham (C),Carruthers Dr/Dowling Ave,263.5424586272994
Rowellyn Park Primary School,Primary,Frankston (C),Rowellyn Park Primary School/Rowellyn Ave,45.37163049537278
Baden Powell P-9 College,Pri/Sec,Wyndham (C),Bronson Cct/Derrimut Rd,426.72720149421207
Woodlands Primary School,Primary,Frankston (C),Woodlands PS/Gum Nut Dr,55.94153131095982
Mill Park Heights Primary School,Primary,Whittlesea (C),Mill Park Leisure Centre/Morang Dr,410.9529986055213
Monmia Primary School,Primary,Brimbank (C),Roseberry Ave/Copernicus Way,60.26476641593799
Seabrook Primary School,Primary,Hobsons Bay (C),Seabrook PS/Point Cook Rd,25.204868122453224
Willmott Park Primary School,Primary,Hume (C),Rokeby Dr/Cimberwood Dr,422.08874003419777
Thomas Chirnside Primary School,Primary,Wyndham (C),Thomas Chirnside Primary School/Walls Rd ,96.133304834611
