,Sensor Name,Date,Total Pedestrian Count (Day Sum)
122,Monash Rd-Swanston St (West),2009-05-02,
123,New Quay,2009-05-02,8808.0
124,Pelham St (S),2009-05-02,
125,Pelham St (South),2009-05-02,
126,Princes Bridge,2009-05-02,26182.0
127,QV Market-Elizabeth St (West),2009-05-02,
128,QV Market-Peel St,2009-05-02,
129,QVM-Franklin St (North),2009-05-02,
130,QVM-Queen St (East),2009-05-02,
131,QVM-Therry St (South),2009-05-02,
132,Queen St (West),2009-05-02,
133,Royal Pde-Grattan St,2009-05-02,
134,Sandridge Bridge,2009-05-02,7874.0
135,Southbank,2009-05-02,
136,Southern Cross Station,2009-05-02,1577.0
137,Spencer St-Collins St (North),2009-05-02,
138,Spencer St-Collins St (South),2009-05-02,
139,St Kilda Rd-Alexandra Gardens,2009-05-02,
140,State Library,2009-05-02,17875.0
141,State Library-New,2009-05-02,
142,Swanston St - City Square,2009-05-02,
143,Swanston St - RMIT Building 14,2009-05-02,
144,Swanston St - RMIT Building 80,2009-05-02,
145,The Arts Centre,2009-05-02,
146,Tin Alley-Swanston St (West),2009-05-02,
147,Town Hall (West),2009-05-02,38856.0
148,Victoria Point,2009-05-02,2293.0
149,Waterfront City,2009-05-02,5913.0
150,Webb Bridge,2009-05-02,
151,Westwood Place,2009-05-02,
152,sensor_name,2009-05-03,
153,231 Bourke St,2009-05-03,
154,Alfred Place,2009-05-03,
155,Australia on Collins,2009-05-03,10281.0
156,Birrarung Marr,2009-05-03,
157,Bourke St - Spencer St (North),2009-05-03,
158,Bourke St - Spencer St (South),2009-05-03,
159,Bourke St Bridge,2009-05-03,
160,Bourke St-Russell St (West),2009-05-03,
161,Bourke Street Mall (North),2009-05-03,22327.0
162,Bourke Street Mall (South),2009-05-03,16333.0
163,Chinatown-Lt Bourke St (South),2009-05-03,
164,Chinatown-Swanston St (North),2009-05-03,
165,City Square,2009-05-03,
166,Collins Place (North),2009-05-03,1732.0
167,Collins Place (South),2009-05-03,3208.0
168,Collins St (North),2009-05-03,
169,Elizabeth St-La Trobe St (East),2009-05-03,
170,Elizabeth St-Lonsdale St (South),2009-05-03,
171,Errol Street (East),2009-05-03,
172,Faraday St-Lygon St (West),2009-05-03,
173,Flagstaff Station,2009-05-03,819.0
174,Flinders La - Swanston St (West) Temp,2009-05-03,
175,Flinders La-Swanston St (West),2009-05-03,
176,Flinders Ln -Degraves St (Crossing),2009-05-03,
177,Flinders Ln -Degraves St (North),2009-05-03,
178,Flinders Ln -Degraves St (South),2009-05-03,
179,Flinders St-Elizabeth St (East),2009-05-03,
180,Flinders St-Spark La,2009-05-03,
181,Flinders St-Spring St (West),2009-05-03,
182,Flinders St-Swanston St (West),2009-05-03,
183,Flinders Street Station Underpass,2009-05-03,17143.0
184,Flinders la - Swanston St (West) Temp,2009-05-03,
185,Grattan St-Swanston St (West),2009-05-03,
186,La Trobe St (North),2009-05-03,
187,Lincoln-Swanston (West),2009-05-03,
188,Lincoln-Swanston(West),2009-05-03,
189,Little Collins St-Swanston St (East),2009-05-03,
190,Lonsdale St (South),2009-05-03,
191,Lonsdale St - Elizabeth St (North),2009-05-03,
192,Lonsdale St-Spring St (West),2009-05-03,
193,Lygon St (East),2009-05-03,
194,Lygon St (West),2009-05-03,
195,Melbourne Central,2009-05-03,
196,Melbourne Central-Elizabeth St (East),2009-05-03,
197,Melbourne Convention Exhibition Centre,2009-05-03,
198,Monash Rd-Swanston St (West),2009-05-03,
199,New Quay,2009-05-03,11322.0
200,Pelham St (S),2009-05-03,
201,Pelham St (South),2009-05-03,
202,Princes Bridge,2009-05-03,21142.0
203,QV Market-Elizabeth St (West),2009-05-03,
204,QV Market-Peel St,2009-05-03,
205,QVM-Franklin St (North),2009-05-03,
206,QVM-Queen St (East),2009-05-03,
207,QVM-Therry St (South),2009-05-03,
208,Queen St (West),2009-05-03,
209,Royal Pde-Grattan St,2009-05-03,
210,Sandridge Bridge,2009-05-03,6892.0
211,Southbank,2009-05-03,
212,Southern Cross Station,2009-05-03,1170.0
213,Spencer St-Collins St (North),2009-05-03,
214,Spencer St-Collins St (South),2009-05-03,
215,St Kilda Rd-Alexandra Gardens,2009-05-03,
216,State Library,2009-05-03,13396.0
217,State Library-New,2009-05-03,
218,Swanston St - City Square,2009-05-03,
219,Swanston St - RMIT Building 14,2009-05-03,
220,Swanston St - RMIT Building 80,2009-05-03,
221,The Arts Centre,2009-05-03,
222,Tin Alley-Swanston St (West),2009-05-03,
223,Town Hall (West),2009-05-03,31812.0
224,Victoria Point,2009-05-03,2018.0
225,Waterfront City,2009-05-03,11457.0
226,Webb Bridge,2009-05-03,
227,Westwood Place,2009-05-03,
228,sensor_name,2009-05-04,
229,231 Bourke St,2009-05-04,
230,Alfred Place,2009-05-04,
231,Australia on Collins,2009-05-04,18044.0
232,Birrarung Marr,2009-05-04,
233,Bourke St - Spencer St (North),2009-05-04,
234,Bourke St - Spencer St (South),2009-05-04,
235,Bourke St Bridge,2009-05-04,
236,Bourke St-Russell St (West),2009-05-04,
237,Bourke Street Mall (North),2009-05-04,26481.0
238,Bourke Street Mall (South),2009-05-04,19452.0
239,Chinatown-Lt Bourke St (South),2009-05-04,
240,Chinatown-Swanston St (North),2009-05-04,
241,City Square,2009-05-04,
242,Collins Place (North),2009-05-04,11656.0
243,Collins Place (South),2009-05-04,13657.0
244,Collins St (North),2009-05-04,
245,Elizabeth St-La Trobe St (East),2009-05-04,
246,Elizabeth St-Lonsdale St (South),2009-05-04,
247,Errol Street (East),2009-05-04,
248,Faraday St-Lygon St (West),2009-05-04,
249,Flagstaff Station,2009-05-04,25829.0
250,Flinders La - Swanston St (West) Temp,2009-05-04,
251,Flinders La-Swanston St (West),2009-05-04,
252,Flinders Ln -Degraves St (Crossing),2009-05-04,
253,Flinders Ln -Degraves St (North),2009-05-04,
254,Flinders Ln -Degraves St (South),2009-05-04,
255,Flinders St-Elizabeth St (East),2009-05-04,
256,Flinders St-Spark La,2009-05-04,
257,Flinders St-Spring St (West),2009-05-04,
258,Flinders St-Swanston St (West),2009-05-04,
259,Flinders Street Station Underpass,2009-05-04,25887.0
260,Flinders la - Swanston St (West) Temp,2009-05-04,
261,Grattan St-Swanston St (West),2009-05-04,
262,La Trobe St (North),2009-05-04,
263,Lincoln-Swanston (West),2009-05-04,
264,Lincoln-Swanston(West),2009-05-04,
265,Little Collins St-Swanston St (East),2009-05-04,
266,Lonsdale St (South),2009-05-04,
267,Lonsdale St - Elizabeth St (North),2009-05-04,
268,Lonsdale St-Spring St (West),2009-05-04,
269,Lygon St (East),2009-05-04,
270,Lygon St (West),2009-05-04,
271,Melbourne Central,2009-05-04,
272,Melbourne Central-Elizabeth St (East),2009-05-04,
273,Melbourne Convention Exhibition Centre,2009-05-04,
274,Monash Rd-Swanston St (West),2009-05-04,
275,New Quay,2009-05-04,2712.0
276,Pelham St (S),2009-05-04,
277,Pelham St (South),2009-05-04,
278,Princes Bridge,2009-05-04,19720.0
279,QV Market-Elizabeth St (West),2009-05-04,
280,QV Market-Peel St,2009-05-04,
281,QVM-Franklin St (North),2009-05-04,
282,QVM-Queen St (East),2009-05-04,
283,QVM-Therry St (South),2009-05-04,
284,Queen St (West),2009-05-04,
285,Royal Pde-Grattan St,2009-05-04,
286,Sandridge Bridge,2009-05-04,8252.0
287,Southbank,2009-05-04,
288,Southern Cross Station,2009-05-04,8712.0
289,Spencer St-Collins St (North),2009-05-04,
290,Spencer St-Collins St (South),2009-05-04,
291,St Kilda Rd-Alexandra Gardens,2009-05-04,
292,State Library,2009-05-04,18130.0
293,State Library-New,2009-05-04,
294,Swanston St - City Square,2009-05-04,
295,Swanston St - RMIT Building 14,2009-05-04,
296,Swanston St - RMIT Building 80,2009-05-04,
297,The Arts Centre,2009-05-04,
298,Tin Alley-Swanston St (West),2009-05-04,
299,Town Hall (West),2009-05-04,34983.0
300,Victoria Point,2009-05-04,6530.0
301,Waterfront City,2009-05-04,1063.0
302,Webb Bridge,2009-05-04,
303,Westwood Place,2009-05-04,
304,sensor_name,2009-05-05,
305,231 Bourke St,2009-05-05,
306,Alfred Place,2009-05-05,
307,Australia on Collins,2009-05-05,18376.0
308,Birrarung Marr,2009-05-05,
309,Bourke St - Spencer St (North),2009-05-05,
310,Bourke St - Spencer St (South),2009-05-05,
311,Bourke St Bridge,2009-05-05,
312,Bourke St-Russell St (West),2009-05-05,
313,Bourke Street Mall (North),2009-05-05,26671.0
314,Bourke Street Mall (South),2009-05-05,19797.0
315,Chinatown-Lt Bourke St (South),2009-05-05,
316,Chinatown-Swanston St (North),2009-05-05,
317,City Square,2009-05-05,
318,Collins Place (North),2009-05-05,12171.0
319,Collins Place (South),2009-05-05,14623.0
320,Collins St (North),2009-05-05,
321,Elizabeth St-La Trobe St (East),2009-05-05,
322,Elizabeth St-Lonsdale St (South),2009-05-05,
323,Errol Street (East),2009-05-05,
324,Faraday St-Lygon St (West),2009-05-05,
325,Flagstaff Station,2009-05-05,26097.0
326,Flinders La - Swanston St (West) Temp,2009-05-05,
327,Flinders La-Swanston St (West),2009-05-05,
328,Flinders Ln -Degraves St (Crossing),2009-05-05,
329,Flinders Ln -Degraves St (North),2009-05-05,
330,Flinders Ln -Degraves St (South),2009-05-05,
331,Flinders St-Elizabeth St (East),2009-05-05,
332,Flinders St-Spark La,2009-05-05,
333,Flinders St-Spring St (West),2009-05-05,
334,Flinders St-Swanston St (West),2009-05-05,
335,Flinders Street Station Underpass,2009-05-05,26109.0
336,Flinders la - Swanston St (West) Temp,2009-05-05,
337,Grattan St-Swanston St (West),2009-05-05,
338,La Trobe St (North),2009-05-05,
339,Lincoln-Swanston (West),2009-05-05,
340,Lincoln-Swanston(West),2009-05-05,
341,Little Collins St-Swanston St (East),2009-05-05,
342,Lonsdale St (South),2009-05-05,
343,Lonsdale St - Elizabeth St (North),2009-05-05,
344,Lonsdale St-Spring St (West),2009-05-05,
345,Lygon St (East),2009-05-05,
346,Lygon St (West),2009-05-05,
347,Melbourne Central,2009-05-05,
348,Melbourne Central-Elizabeth St (East),2009-05-05,
349,Melbourne Convention Exhibition Centre,2009-05-05,
350,Monash Rd-Swanston St (West),2009-05-05,
351,New Quay,2009-05-05,3390.0
352,Pelham St (S),2009-05-05,
353,Pelham St (South),2009-05-05,
354,Princes Bridge,2009-05-05,27453.0
355,QV Market-Elizabeth St (West),2009-05-05,
356,QV Market-Peel St,2009-05-05,
357,QVM-Franklin St (North),2009-05-05,
358,QVM-Queen St (East),2009-05-05,
359,QVM-Therry St (South),2009-05-05,
360,Queen St (West),2009-05-05,
361,Royal Pde-Grattan St,2009-05-05,
362,Sandridge Bridge,2009-05-05,8672.0
363,Southbank,2009-05-05,
364,Southern Cross Station,2009-05-05,9140.0
365,Spencer St-Collins St (North),2009-05-05,
366,Spencer St-Collins St (South),2009-05-05,
367,St Kilda Rd-Alexandra Gardens,2009-05-05,
368,State Library,2009-05-05,19545.0
369,State Library-New,2009-05-05,
370,Swanston St - City Square,2009-05-05,
371,Swanston St - RMIT Building 14,2009-05-05,
372,Swanston St - RMIT Building 80,2009-05-05,
373,The Arts Centre,2009-05-05,
374,Tin Alley-Swanston St (West),2009-05-05,
375,Town Hall (West),2009-05-05,34359.0
376,Victoria Point,2009-05-05,6509.0
377,Waterfront City,2009-05-05,1756.0
378,Webb Bridge,2009-05-05,
379,Westwood Place,2009-05-05,
380,sensor_name,2009-05-06,
381,231 Bourke St,2009-05-06,
382,Alfred Place,2009-05-06,
383,Australia on Collins,2009-05-06,18558.0
384,Birrarung Marr,2009-05-06,
385,Bourke St - Spencer St (North),2009-05-06,
386,Bourke St - Spencer St (South),2009-05-06,
387,Bourke St Bridge,2009-05-06,
388,Bourke St-Russell St (West),2009-05-06,
389,Bourke Street Mall (North),2009-05-06,27234.0
390,Bourke Street Mall (South),2009-05-06,20198.0
391,Chinatown-Lt Bourke St (South),2009-05-06,
392,Chinatown-Swanston St (North),2009-05-06,
393,City Square,2009-05-06,
394,Collins Place (North),2009-05-06,12351.0
395,Collins Place (South),2009-05-06,14453.0
396,Collins St (North),2009-05-06,
397,Elizabeth St-La Trobe St (East),2009-05-06,
398,Elizabeth St-Lonsdale St (South),2009-05-06,
399,Errol Street (East),2009-05-06,
400,Faraday St-Lygon St (West),2009-05-06,
401,Flagstaff Station,2009-05-06,25183.0
402,Flinders La - Swanston St (West) Temp,2009-05-06,
403,Flinders La-Swanston St (West),2009-05-06,
404,Flinders Ln -Degraves St (Crossing),2009-05-06,
405,Flinders Ln -Degraves St (North),2009-05-06,
406,Flinders Ln -Degraves St (South),2009-05-06,
407,Flinders St-Elizabeth St (East),2009-05-06,
408,Flinders St-Spark La,2009-05-06,
409,Flinders St-Spring St (West),2009-05-06,
410,Flinders St-Swanston St (West),2009-05-06,
411,Flinders Street Station Underpass,2009-05-06,26510.0
412,Flinders la - Swanston St (West) Temp,2009-05-06,
413,Grattan St-Swanston St (West),2009-05-06,
414,La Trobe St (North),2009-05-06,
415,Lincoln-Swanston (West),2009-05-06,
416,Lincoln-Swanston(West),2009-05-06,
417,Little Collins St-Swanston St (East),2009-05-06,
418,Lonsdale St (South),2009-05-06,
419,Lonsdale St - Elizabeth St (North),2009-05-06,
420,Lonsdale St-Spring St (West),2009-05-06,
421,Lygon St (East),2009-05-06,
422,Lygon St (West),2009-05-06,
423,Melbourne Central,2009-05-06,
424,Melbourne Central-Elizabeth St (East),2009-05-06,
425,Melbourne Convention Exhibition Centre,2009-05-06,
426,Monash Rd-Swanston St (West),2009-05-06,
427,New Quay,2009-05-06,4340.0
428,Pelham St (S),2009-05-06,
429,Pelham St (South),2009-05-06,
430,Princes Bridge,2009-05-06,27041.0
431,QV Market-Elizabeth St (West),2009-05-06,
432,QV Market-Peel St,2009-05-06,
433,QVM-Franklin St (North),2009-05-06,
434,QVM-Queen St (East),2009-05-06,
435,QVM-Therry St (South),2009-05-06,
436,Queen St (West),2009-05-06,
437,Royal Pde-Grattan St,2009-05-06,
438,Sandridge Bridge,2009-05-06,8251.0
439,Southbank,2009-05-06,
440,Southern Cross Station,2009-05-06,8912.0
441,Spencer St-Collins St (North),2009-05-06,
442,Spencer St-Collins St (South),2009-05-06,
443,St Kilda Rd-Alexandra Gardens,2009-05-06,
444,State Library,2009-05-06,18967.0
445,State Library-New,2009-05-06,
446,Swanston St - City Square,2009-05-06,
447,Swanston St - RMIT Building 14,2009-05-06,
448,Swanston St - RMIT Building 80,2009-05-06,
449,The Arts Centre,2009-05-06,
450,Tin Alley-Swanston St (West),2009-05-06,
451,Town Hall (West),2009-05-06,35649.0
452,Victoria Point,2009-05-06,6757.0
453,Waterfront City,2009-05-06,2325.0
454,Webb Bridge,2009-05-06,
455,Westwood Place,2009-05-06,
456,sensor_name,2009-05-07,
457,231 Bourke St,2009-05-07,
458,Alfred Place,2009-05-07,
459,Australia on Collins,2009-05-07,18993.0
460,Birrarung Marr,2009-05-07,
461,Bourke St - Spencer St (North),2009-05-07,
462,Bourke St - Spencer St (South),2009-05-07,
463,Bourke St Bridge,2009-05-07,
464,Bourke St-Russell St (West),2009-05-07,
465,Bourke Street Mall (North),2009-05-07,29064.0
466,Bourke Street Mall (South),2009-05-07,21889.0
467,Chinatown-Lt Bourke St (South),2009-05-07,
468,Chinatown-Swanston St (North),2009-05-07,
469,City Square,2009-05-07,
470,Collins Place (North),2009-05-07,12008.0
471,Collins Place (South),2009-05-07,14014.0
472,Collins St (North),2009-05-07,
473,Elizabeth St-La Trobe St (East),2009-05-07,
474,Elizabeth St-Lonsdale St (South),2009-05-07,
475,Errol Street (East),2009-05-07,
476,Faraday St-Lygon St (West),2009-05-07,
477,Flagstaff Station,2009-05-07,25095.0
478,Flinders La - Swanston St (West) Temp,2009-05-07,
479,Flinders La-Swanston St (West),2009-05-07,
480,Flinders Ln -Degraves St (Crossing),2009-05-07,
481,Flinders Ln -Degraves St (North),2009-05-07,
482,Flinders Ln -Degraves St (South),2009-05-07,
483,Flinders St-Elizabeth St (East),2009-05-07,
484,Flinders St-Spark La,2009-05-07,
485,Flinders St-Spring St (West),2009-05-07,
486,Flinders St-Swanston St (West),2009-05-07,
487,Flinders Street Station Underpass,2009-05-07,26131.0
488,Flinders la - Swanston St (West) Temp,2009-05-07,
489,Grattan St-Swanston St (West),2009-05-07,
490,La Trobe St (North),2009-05-07,
491,Lincoln-Swanston (West),2009-05-07,
492,Lincoln-Swanston(West),2009-05-07,
493,Little Collins St-Swanston St (East),2009-05-07,
494,Lonsdale St (South),2009-05-07,
495,Lonsdale St - Elizabeth St (North),2009-05-07,
496,Lonsdale St-Spring St (West),2009-05-07,
497,Lygon St (East),2009-05-07,
