,Sensor Name,Date,Total Pedestrian Count (Day Sum)
88167,Bourke St Bridge,2012-07-04,
88168,Bourke St-Russell St (West),2012-07-04,
88169,Bourke Street Mall (North),2012-07-04,26491.0
88170,Bourke Street Mall (South),2012-07-04,30428.0
88171,Chinatown-Lt Bourke St (South),2012-07-04,
88172,Chinatown-Swanston St (North),2012-07-04,
88173,City Square,2012-07-04,
88174,Collins Place (North),2012-07-04,10960.0
88175,Collins Place (South),2012-07-04,13714.0
88176,Collins St (North),2012-07-04,
88177,Elizabeth St-La Trobe St (East),2012-07-04,
88178,Elizabeth St-Lonsdale St (South),2012-07-04,
88179,Errol Street (East),2012-07-04,
88180,Faraday St-Lygon St (West),2012-07-04,
88181,Flagstaff Station,2012-07-04,23449.0
88182,Flinders La - Swanston St (West) Temp,2012-07-04,
88183,Flinders La-Swanston St (West),2012-07-04,
88184,Flinders Ln -Degraves St (Crossing),2012-07-04,
88185,Flinders Ln -Degraves St (North),2012-07-04,
88186,Flinders Ln -Degraves St (South),2012-07-04,
88187,Flinders St-Elizabeth St (East),2012-07-04,
88188,Flinders St-Spark La,2012-07-04,
88189,Flinders St-Spring St (West),2012-07-04,
88190,Flinders St-Swanston St (West),2012-07-04,
88191,Flinders Street Station Underpass,2012-07-04,31114.0
88192,Flinders la - Swanston St (West) Temp,2012-07-04,
88193,Grattan St-Swanston St (West),2012-07-04,
88194,La Trobe St (North),2012-07-04,
88195,Lincoln-Swanston (West),2012-07-04,
88196,Lincoln-Swanston(West),2012-07-04,
88197,Little Collins St-Swanston St (East),2012-07-04,
88198,Lonsdale St (South),2012-07-04,
88199,Lonsdale St - Elizabeth St (North),2012-07-04,
88200,Lonsdale St-Spring St (West),2012-07-04,
88201,Lygon St (East),2012-07-04,
88202,Lygon St (West),2012-07-04,
88203,Melbourne Central,2012-07-04,29994.0
88204,Melbourne Central-Elizabeth St (East),2012-07-04,
88205,Melbourne Convention Exhibition Centre,2012-07-04,
88206,Monash Rd-Swanston St (West),2012-07-04,
88207,New Quay,2012-07-04,3096.0
88208,Pelham St (S),2012-07-04,
88209,Pelham St (South),2012-07-04,
88210,Princes Bridge,2012-07-04,21619.0
88211,QV Market-Elizabeth St (West),2012-07-04,
88212,QV Market-Peel St,2012-07-04,
88213,QVM-Franklin St (North),2012-07-04,
88214,QVM-Queen St (East),2012-07-04,
88215,QVM-Therry St (South),2012-07-04,
88216,Queen St (West),2012-07-04,
88217,Royal Pde-Grattan St,2012-07-04,
88218,Sandridge Bridge,2012-07-04,8889.0
88219,Southbank,2012-07-04,
88220,Southern Cross Station,2012-07-04,15172.0
88221,Spencer St-Collins St (North),2012-07-04,
88222,Spencer St-Collins St (South),2012-07-04,
88223,St Kilda Rd-Alexandra Gardens,2012-07-04,
88224,State Library,2012-07-04,19652.0
88225,State Library-New,2012-07-04,
88226,Swanston St - City Square,2012-07-04,
88227,Swanston St - RMIT Building 14,2012-07-04,
88228,Swanston St - RMIT Building 80,2012-07-04,
88229,The Arts Centre,2012-07-04,
88230,Tin Alley-Swanston St (West),2012-07-04,
88231,Town Hall (West),2012-07-04,41470.0
88232,Victoria Point,2012-07-04,6205.0
88233,Waterfront City,2012-07-04,1423.0
88234,Webb Bridge,2012-07-04,3826.0
88235,Westwood Place,2012-07-04,
88236,sensor_name,2012-07-05,
88237,231 Bourke St,2012-07-05,
88238,Alfred Place,2012-07-05,
88239,Australia on Collins,2012-07-05,20265.0
88240,Birrarung Marr,2012-07-05,5817.0
88241,Bourke St - Spencer St (North),2012-07-05,
88242,Bourke St - Spencer St (South),2012-07-05,
88243,Bourke St Bridge,2012-07-05,
88244,Bourke St-Russell St (West),2012-07-05,
88245,Bourke Street Mall (North),2012-07-05,28412.0
88246,Bourke Street Mall (South),2012-07-05,30219.0
88247,Chinatown-Lt Bourke St (South),2012-07-05,
88248,Chinatown-Swanston St (North),2012-07-05,
88249,City Square,2012-07-05,
88250,Collins Place (North),2012-07-05,11237.0
88251,Collins Place (South),2012-07-05,13940.0
88252,Collins St (North),2012-07-05,
88253,Elizabeth St-La Trobe St (East),2012-07-05,
88254,Elizabeth St-Lonsdale St (South),2012-07-05,
88255,Errol Street (East),2012-07-05,
88256,Faraday St-Lygon St (West),2012-07-05,
88257,Flagstaff Station,2012-07-05,22465.0
88258,Flinders La - Swanston St (West) Temp,2012-07-05,
88259,Flinders La-Swanston St (West),2012-07-05,
88260,Flinders Ln -Degraves St (Crossing),2012-07-05,
88261,Flinders Ln -Degraves St (North),2012-07-05,
88262,Flinders Ln -Degraves St (South),2012-07-05,
88263,Flinders St-Elizabeth St (East),2012-07-05,
88264,Flinders St-Spark La,2012-07-05,
88265,Flinders St-Spring St (West),2012-07-05,
88266,Flinders St-Swanston St (West),2012-07-05,
88267,Flinders Street Station Underpass,2012-07-05,31941.0
88268,Flinders la - Swanston St (West) Temp,2012-07-05,
88269,Grattan St-Swanston St (West),2012-07-05,
88270,La Trobe St (North),2012-07-05,
88271,Lincoln-Swanston (West),2012-07-05,
88272,Lincoln-Swanston(West),2012-07-05,
88273,Little Collins St-Swanston St (East),2012-07-05,
88274,Lonsdale St (South),2012-07-05,
88275,Lonsdale St - Elizabeth St (North),2012-07-05,
88276,Lonsdale St-Spring St (West),2012-07-05,
88277,Lygon St (East),2012-07-05,
88278,Lygon St (West),2012-07-05,
88279,Melbourne Central,2012-07-05,30420.0
88280,Melbourne Central-Elizabeth St (East),2012-07-05,
88281,Melbourne Convention Exhibition Centre,2012-07-05,
88282,Monash Rd-Swanston St (West),2012-07-05,
88283,New Quay,2012-07-05,3573.0
88284,Pelham St (S),2012-07-05,
88285,Pelham St (South),2012-07-05,
88286,Princes Bridge,2012-07-05,20888.0
88287,QV Market-Elizabeth St (West),2012-07-05,
88288,QV Market-Peel St,2012-07-05,
88289,QVM-Franklin St (North),2012-07-05,
88290,QVM-Queen St (East),2012-07-05,
88291,QVM-Therry St (South),2012-07-05,
88292,Queen St (West),2012-07-05,
88293,Royal Pde-Grattan St,2012-07-05,
88294,Sandridge Bridge,2012-07-05,9232.0
88295,Southbank,2012-07-05,
88296,Southern Cross Station,2012-07-05,15546.0
88297,Spencer St-Collins St (North),2012-07-05,
88298,Spencer St-Collins St (South),2012-07-05,
88299,St Kilda Rd-Alexandra Gardens,2012-07-05,
88300,State Library,2012-07-05,19713.0
88301,State Library-New,2012-07-05,
88302,Swanston St - City Square,2012-07-05,
88303,Swanston St - RMIT Building 14,2012-07-05,
88304,Swanston St - RMIT Building 80,2012-07-05,
88305,The Arts Centre,2012-07-05,
88306,Tin Alley-Swanston St (West),2012-07-05,
88307,Town Hall (West),2012-07-05,42780.0
88308,Victoria Point,2012-07-05,5961.0
88309,Waterfront City,2012-07-05,1531.0
88310,Webb Bridge,2012-07-05,3947.0
88311,Westwood Place,2012-07-05,
88312,sensor_name,2012-07-06,
88313,231 Bourke St,2012-07-06,
88314,Alfred Place,2012-07-06,
88315,Australia on Collins,2012-07-06,23478.0
88316,Birrarung Marr,2012-07-06,18126.0
88317,Bourke St - Spencer St (North),2012-07-06,
88318,Bourke St - Spencer St (South),2012-07-06,
88319,Bourke St Bridge,2012-07-06,
88320,Bourke St-Russell St (West),2012-07-06,
88321,Bourke Street Mall (North),2012-07-06,33700.0
88322,Bourke Street Mall (South),2012-07-06,36062.0
88323,Chinatown-Lt Bourke St (South),2012-07-06,
88324,Chinatown-Swanston St (North),2012-07-06,
88325,City Square,2012-07-06,
88326,Collins Place (North),2012-07-06,10950.0
88327,Collins Place (South),2012-07-06,14828.0
88328,Collins St (North),2012-07-06,
88329,Elizabeth St-La Trobe St (East),2012-07-06,
88330,Elizabeth St-Lonsdale St (South),2012-07-06,
88331,Errol Street (East),2012-07-06,
88332,Faraday St-Lygon St (West),2012-07-06,
88333,Flagstaff Station,2012-07-06,20808.0
88334,Flinders La - Swanston St (West) Temp,2012-07-06,
88335,Flinders La-Swanston St (West),2012-07-06,
88336,Flinders Ln -Degraves St (Crossing),2012-07-06,
88337,Flinders Ln -Degraves St (North),2012-07-06,
88338,Flinders Ln -Degraves St (South),2012-07-06,
88339,Flinders St-Elizabeth St (East),2012-07-06,
88340,Flinders St-Spark La,2012-07-06,
88341,Flinders St-Spring St (West),2012-07-06,
88342,Flinders St-Swanston St (West),2012-07-06,
88343,Flinders Street Station Underpass,2012-07-06,35072.0
88344,Flinders la - Swanston St (West) Temp,2012-07-06,
88345,Grattan St-Swanston St (West),2012-07-06,
88346,La Trobe St (North),2012-07-06,
88347,Lincoln-Swanston (West),2012-07-06,
88348,Lincoln-Swanston(West),2012-07-06,
88349,Little Collins St-Swanston St (East),2012-07-06,
88350,Lonsdale St (South),2012-07-06,
88351,Lonsdale St - Elizabeth St (North),2012-07-06,
88352,Lonsdale St-Spring St (West),2012-07-06,
88353,Lygon St (East),2012-07-06,
88354,Lygon St (West),2012-07-06,
88355,Melbourne Central,2012-07-06,34782.0
88356,Melbourne Central-Elizabeth St (East),2012-07-06,
88357,Melbourne Convention Exhibition Centre,2012-07-06,
88358,Monash Rd-Swanston St (West),2012-07-06,
88359,New Quay,2012-07-06,7446.0
88360,Pelham St (S),2012-07-06,
88361,Pelham St (South),2012-07-06,
88362,Princes Bridge,2012-07-06,23881.0
88363,QV Market-Elizabeth St (West),2012-07-06,
88364,QV Market-Peel St,2012-07-06,
88365,QVM-Franklin St (North),2012-07-06,
88366,QVM-Queen St (East),2012-07-06,
88367,QVM-Therry St (South),2012-07-06,
88368,Queen St (West),2012-07-06,
88369,Royal Pde-Grattan St,2012-07-06,
88370,Sandridge Bridge,2012-07-06,10430.0
88371,Southbank,2012-07-06,
88372,Southern Cross Station,2012-07-06,15224.0
88373,Spencer St-Collins St (North),2012-07-06,
88374,Spencer St-Collins St (South),2012-07-06,
88375,St Kilda Rd-Alexandra Gardens,2012-07-06,
88376,State Library,2012-07-06,21151.0
88377,State Library-New,2012-07-06,
88378,Swanston St - City Square,2012-07-06,
88379,Swanston St - RMIT Building 14,2012-07-06,
88380,Swanston St - RMIT Building 80,2012-07-06,
88381,The Arts Centre,2012-07-06,
88382,Tin Alley-Swanston St (West),2012-07-06,
88383,Town Hall (West),2012-07-06,50788.0
88384,Victoria Point,2012-07-06,6288.0
88385,Waterfront City,2012-07-06,4887.0
88386,Webb Bridge,2012-07-06,4197.0
88387,Westwood Place,2012-07-06,
88388,sensor_name,2012-07-07,
88389,231 Bourke St,2012-07-07,
88390,Alfred Place,2012-07-07,
88391,Australia on Collins,2012-07-07,17065.0
88392,Birrarung Marr,2012-07-07,14418.0
88393,Bourke St - Spencer St (North),2012-07-07,
88394,Bourke St - Spencer St (South),2012-07-07,
88395,Bourke St Bridge,2012-07-07,
88396,Bourke St-Russell St (West),2012-07-07,
88397,Bourke Street Mall (North),2012-07-07,28665.0
88398,Bourke Street Mall (South),2012-07-07,29966.0
88399,Chinatown-Lt Bourke St (South),2012-07-07,
88400,Chinatown-Swanston St (North),2012-07-07,
88401,City Square,2012-07-07,
88402,Collins Place (North),2012-07-07,2356.0
88403,Collins Place (South),2012-07-07,5802.0
88404,Collins St (North),2012-07-07,
88405,Elizabeth St-La Trobe St (East),2012-07-07,
88406,Elizabeth St-Lonsdale St (South),2012-07-07,
88407,Errol Street (East),2012-07-07,
88408,Faraday St-Lygon St (West),2012-07-07,
88409,Flagstaff Station,2012-07-07,1814.0
88410,Flinders La - Swanston St (West) Temp,2012-07-07,
88411,Flinders La-Swanston St (West),2012-07-07,
88412,Flinders Ln -Degraves St (Crossing),2012-07-07,
88413,Flinders Ln -Degraves St (North),2012-07-07,
88414,Flinders Ln -Degraves St (South),2012-07-07,
88415,Flinders St-Elizabeth St (East),2012-07-07,
88416,Flinders St-Spark La,2012-07-07,
88417,Flinders St-Spring St (West),2012-07-07,
88418,Flinders St-Swanston St (West),2012-07-07,
88419,Flinders Street Station Underpass,2012-07-07,25606.0
88420,Flinders la - Swanston St (West) Temp,2012-07-07,
88421,Grattan St-Swanston St (West),2012-07-07,
88422,La Trobe St (North),2012-07-07,
88423,Lincoln-Swanston (West),2012-07-07,
88424,Lincoln-Swanston(West),2012-07-07,
88425,Little Collins St-Swanston St (East),2012-07-07,
88426,Lonsdale St (South),2012-07-07,
88427,Lonsdale St - Elizabeth St (North),2012-07-07,
88428,Lonsdale St-Spring St (West),2012-07-07,
88429,Lygon St (East),2012-07-07,
88430,Lygon St (West),2012-07-07,
88431,Melbourne Central,2012-07-07,31454.0
88432,Melbourne Central-Elizabeth St (East),2012-07-07,
88433,Melbourne Convention Exhibition Centre,2012-07-07,
88434,Monash Rd-Swanston St (West),2012-07-07,
88435,New Quay,2012-07-07,8142.0
88436,Pelham St (S),2012-07-07,
88437,Pelham St (South),2012-07-07,
88438,Princes Bridge,2012-07-07,21510.0
88439,QV Market-Elizabeth St (West),2012-07-07,
88440,QV Market-Peel St,2012-07-07,
88441,QVM-Franklin St (North),2012-07-07,
88442,QVM-Queen St (East),2012-07-07,
88443,QVM-Therry St (South),2012-07-07,
88444,Queen St (West),2012-07-07,
88445,Royal Pde-Grattan St,2012-07-07,
88446,Sandridge Bridge,2012-07-07,8277.0
88447,Southbank,2012-07-07,
88448,Southern Cross Station,2012-07-07,2557.0
88449,Spencer St-Collins St (North),2012-07-07,
88450,Spencer St-Collins St (South),2012-07-07,
88451,St Kilda Rd-Alexandra Gardens,2012-07-07,
88452,State Library,2012-07-07,17496.0
88453,State Library-New,2012-07-07,
88454,Swanston St - City Square,2012-07-07,
88455,Swanston St - RMIT Building 14,2012-07-07,
88456,Swanston St - RMIT Building 80,2012-07-07,
88457,The Arts Centre,2012-07-07,
88458,Tin Alley-Swanston St (West),2012-07-07,
88459,Town Hall (West),2012-07-07,44185.0
88460,Victoria Point,2012-07-07,3053.0
88461,Waterfront City,2012-07-07,3437.0
88462,Webb Bridge,2012-07-07,2566.0
88463,Westwood Place,2012-07-07,
88464,sensor_name,2012-07-08,
88465,231 Bourke St,2012-07-08,
88466,Alfred Place,2012-07-08,
88467,Australia on Collins,2012-07-08,12112.0
88468,Birrarung Marr,2012-07-08,8950.0
88469,Bourke St - Spencer St (North),2012-07-08,
88470,Bourke St - Spencer St (South),2012-07-08,
88471,Bourke St Bridge,2012-07-08,
88472,Bourke St-Russell St (West),2012-07-08,
88473,Bourke Street Mall (North),2012-07-08,21945.0
88474,Bourke Street Mall (South),2012-07-08,22696.0
88475,Chinatown-Lt Bourke St (South),2012-07-08,
88476,Chinatown-Swanston St (North),2012-07-08,
88477,City Square,2012-07-08,
88478,Collins Place (North),2012-07-08,1604.0
88479,Collins Place (South),2012-07-08,3444.0
88480,Collins St (North),2012-07-08,
88481,Elizabeth St-La Trobe St (East),2012-07-08,
88482,Elizabeth St-Lonsdale St (South),2012-07-08,
88483,Errol Street (East),2012-07-08,
88484,Faraday St-Lygon St (West),2012-07-08,
88485,Flagstaff Station,2012-07-08,1422.0
88486,Flinders La - Swanston St (West) Temp,2012-07-08,
88487,Flinders La-Swanston St (West),2012-07-08,
88488,Flinders Ln -Degraves St (Crossing),2012-07-08,
88489,Flinders Ln -Degraves St (North),2012-07-08,
88490,Flinders Ln -Degraves St (South),2012-07-08,
88491,Flinders St-Elizabeth St (East),2012-07-08,
88492,Flinders St-Spark La,2012-07-08,
88493,Flinders St-Spring St (West),2012-07-08,
88494,Flinders St-Swanston St (West),2012-07-08,
88495,Flinders Street Station Underpass,2012-07-08,19645.0
88496,Flinders la - Swanston St (West) Temp,2012-07-08,
88497,Grattan St-Swanston St (West),2012-07-08,
88498,La Trobe St (North),2012-07-08,
88499,Lincoln-Swanston (West),2012-07-08,
88500,Lincoln-Swanston(West),2012-07-08,
88501,Little Collins St-Swanston St (East),2012-07-08,
88502,Lonsdale St (South),2012-07-08,
88503,Lonsdale St - Elizabeth St (North),2012-07-08,
88504,Lonsdale St-Spring St (West),2012-07-08,
88505,Lygon St (East),2012-07-08,
88506,Lygon St (West),2012-07-08,
88507,Melbourne Central,2012-07-08,26029.0
88508,Melbourne Central-Elizabeth St (East),2012-07-08,
88509,Melbourne Convention Exhibition Centre,2012-07-08,
88510,Monash Rd-Swanston St (West),2012-07-08,
88511,New Quay,2012-07-08,4828.0
88512,Pelham St (S),2012-07-08,
88513,Pelham St (South),2012-07-08,
88514,Princes Bridge,2012-07-08,18849.0
88515,QV Market-Elizabeth St (West),2012-07-08,
88516,QV Market-Peel St,2012-07-08,
88517,QVM-Franklin St (North),2012-07-08,
88518,QVM-Queen St (East),2012-07-08,
88519,QVM-Therry St (South),2012-07-08,
88520,Queen St (West),2012-07-08,
88521,Royal Pde-Grattan St,2012-07-08,
88522,Sandridge Bridge,2012-07-08,6764.0
88523,Southbank,2012-07-08,
88524,Southern Cross Station,2012-07-08,1290.0
88525,Spencer St-Collins St (North),2012-07-08,
88526,Spencer St-Collins St (South),2012-07-08,
88527,St Kilda Rd-Alexandra Gardens,2012-07-08,
88528,State Library,2012-07-08,14392.0
88529,State Library-New,2012-07-08,
88530,Swanston St - City Square,2012-07-08,
88531,Swanston St - RMIT Building 14,2012-07-08,
88532,Swanston St - RMIT Building 80,2012-07-08,
88533,The Arts Centre,2012-07-08,
88534,Tin Alley-Swanston St (West),2012-07-08,
88535,Town Hall (West),2012-07-08,34192.0
88536,Victoria Point,2012-07-08,1578.0
88537,Waterfront City,2012-07-08,6606.0
88538,Webb Bridge,2012-07-08,1790.0
88539,Westwood Place,2012-07-08,
88540,sensor_name,2012-07-09,
88541,231 Bourke St,2012-07-09,
88542,Alfred Place,2012-07-09,
88543,Australia on Collins,2012-07-09,19256.0
88544,Birrarung Marr,2012-07-09,4104.0
88545,Bourke St - Spencer St (North),2012-07-09,
88546,Bourke St - Spencer St (South),2012-07-09,
88547,Bourke St Bridge,2012-07-09,
88548,Bourke St-Russell St (West),2012-07-09,
88549,Bourke Street Mall (North),2012-07-09,25106.0
88550,Bourke Street Mall (South),2012-07-09,27148.0
88551,Chinatown-Lt Bourke St (South),2012-07-09,
88552,Chinatown-Swanston St (North),2012-07-09,
88553,City Square,2012-07-09,
88554,Collins Place (North),2012-07-09,10200.0
88555,Collins Place (South),2012-07-09,12731.0
88556,Collins St (North),2012-07-09,
88557,Elizabeth St-La Trobe St (East),2012-07-09,
88558,Elizabeth St-Lonsdale St (South),2012-07-09,
88559,Errol Street (East),2012-07-09,
88560,Faraday St-Lygon St (West),2012-07-09,
88561,Flagstaff Station,2012-07-09,21909.0
88562,Flinders La - Swanston St (West) Temp,2012-07-09,
88563,Flinders La-Swanston St (West),2012-07-09,
88564,Flinders Ln -Degraves St (Crossing),2012-07-09,
88565,Flinders Ln -Degraves St (North),2012-07-09,
88566,Flinders Ln -Degraves St (South),2012-07-09,
88567,Flinders St-Elizabeth St (East),2012-07-09,
88568,Flinders St-Spark La,2012-07-09,
88569,Flinders St-Spring St (West),2012-07-09,
88570,Flinders St-Swanston St (West),2012-07-09,
88571,Flinders Street Station Underpass,2012-07-09,29736.0
88572,Flinders la - Swanston St (West) Temp,2012-07-09,
88573,Grattan St-Swanston St (West),2012-07-09,
88574,La Trobe St (North),2012-07-09,
88575,Lincoln-Swanston (West),2012-07-09,
88576,Lincoln-Swanston(West),2012-07-09,
88577,Little Collins St-Swanston St (East),2012-07-09,
88578,Lonsdale St (South),2012-07-09,
88579,Lonsdale St - Elizabeth St (North),2012-07-09,
88580,Lonsdale St-Spring St (West),2012-07-09,
88581,Lygon St (East),2012-07-09,
88582,Lygon St (West),2012-07-09,
88583,Melbourne Central,2012-07-09,28496.0
88584,Melbourne Central-Elizabeth St (East),2012-07-09,
88585,Melbourne Convention Exhibition Centre,2012-07-09,
88586,Monash Rd-Swanston St (West),2012-07-09,
88587,New Quay,2012-07-09,3253.0
88588,Pelham St (S),2012-07-09,
88589,Pelham St (South),2012-07-09,
88590,Princes Bridge,2012-07-09,18997.0
88591,QV Market-Elizabeth St (West),2012-07-09,
88592,QV Market-Peel St,2012-07-09,
88593,QVM-Franklin St (North),2012-07-09,
88594,QVM-Queen St (East),2012-07-09,
88595,QVM-Therry St (South),2012-07-09,
88596,Queen St (West),2012-07-09,
88597,Royal Pde-Grattan St,2012-07-09,
88598,Sandridge Bridge,2012-07-09,8835.0
88599,Southbank,2012-07-09,
88600,Southern Cross Station,2012-07-09,14014.0
88601,Spencer St-Collins St (North),2012-07-09,
88602,Spencer St-Collins St (South),2012-07-09,
88603,St Kilda Rd-Alexandra Gardens,2012-07-09,
88604,State Library,2012-07-09,19372.0
88605,State Library-New,2012-07-09,
88606,Swanston St - City Square,2012-07-09,
88607,Swanston St - RMIT Building 14,2012-07-09,
88608,Swanston St - RMIT Building 80,2012-07-09,
88609,The Arts Centre,2012-07-09,
88610,Tin Alley-Swanston St (West),2012-07-09,
88611,Town Hall (West),2012-07-09,38874.0
88612,Victoria Point,2012-07-09,5454.0
88613,Waterfront City,2012-07-09,1598.0
88614,Webb Bridge,2012-07-09,3772.0
88615,Westwood Place,2012-07-09,
88616,sensor_name,2012-07-10,
88617,231 Bourke St,2012-07-10,
88618,Alfred Place,2012-07-10,
88619,Australia on Collins,2012-07-10,19322.0
88620,Birrarung Marr,2012-07-10,2522.0
88621,Bourke St - Spencer St (North),2012-07-10,
88622,Bourke St - Spencer St (South),2012-07-10,
88623,Bourke St Bridge,2012-07-10,
88624,Bourke St-Russell St (West),2012-07-10,
88625,Bourke Street Mall (North),2012-07-10,23770.0
88626,Bourke Street Mall (South),2012-07-10,25432.0
88627,Chinatown-Lt Bourke St (South),2012-07-10,
88628,Chinatown-Swanston St (North),2012-07-10,
88629,City Square,2012-07-10,
88630,Collins Place (North),2012-07-10,10992.0
88631,Collins Place (South),2012-07-10,12972.0
88632,Collins St (North),2012-07-10,
88633,Elizabeth St-La Trobe St (East),2012-07-10,
88634,Elizabeth St-Lonsdale St (South),2012-07-10,
88635,Errol Street (East),2012-07-10,
88636,Faraday St-Lygon St (West),2012-07-10,
88637,Flagstaff Station,2012-07-10,22757.0
88638,Flinders La - Swanston St (West) Temp,2012-07-10,
88639,Flinders La-Swanston St (West),2012-07-10,
88640,Flinders Ln -Degraves St (Crossing),2012-07-10,
88641,Flinders Ln -Degraves St (North),2012-07-10,
88642,Flinders Ln -Degraves St (South),2012-07-10,
88643,Flinders St-Elizabeth St (East),2012-07-10,
88644,Flinders St-Spark La,2012-07-10,
88645,Flinders St-Spring St (West),2012-07-10,
88646,Flinders St-Swanston St (West),2012-07-10,
88647,Flinders Street Station Underpass,2012-07-10,28630.0
88648,Flinders la - Swanston St (West) Temp,2012-07-10,
88649,Grattan St-Swanston St (West),2012-07-10,
88650,La Trobe St (North),2012-07-10,
88651,Lincoln-Swanston (West),2012-07-10,
88652,Lincoln-Swanston(West),2012-07-10,
88653,Little Collins St-Swanston St (East),2012-07-10,
88654,Lonsdale St (South),2012-07-10,
88655,Lonsdale St - Elizabeth St (North),2012-07-10,
88656,Lonsdale St-Spring St (West),2012-07-10,
88657,Lygon St (East),2012-07-10,
88658,Lygon St (West),2012-07-10,
88659,Melbourne Central,2012-07-10,29276.0
88660,Melbourne Central-Elizabeth St (East),2012-07-10,
88661,Melbourne Convention Exhibition Centre,2012-07-10,
88662,Monash Rd-Swanston St (West),2012-07-10,
88663,New Quay,2012-07-10,2504.0
88664,Pelham St (S),2012-07-10,
88665,Pelham St (South),2012-07-10,
88666,Princes Bridge,2012-07-10,17516.0
88667,QV Market-Elizabeth St (West),2012-07-10,
88668,QV Market-Peel St,2012-07-10,
88669,QVM-Franklin St (North),2012-07-10,
88670,QVM-Queen St (East),2012-07-10,
88671,QVM-Therry St (South),2012-07-10,
88672,Queen St (West),2012-07-10,
88673,Royal Pde-Grattan St,2012-07-10,
88674,Sandridge Bridge,2012-07-10,8366.0
88675,Southbank,2012-07-10,
88676,Southern Cross Station,2012-07-10,14595.0
88677,Spencer St-Collins St (North),2012-07-10,
88678,Spencer St-Collins St (South),2012-07-10,
88679,St Kilda Rd-Alexandra Gardens,2012-07-10,
88680,State Library,2012-07-10,19267.0
88681,State Library-New,2012-07-10,
88682,Swanston St - City Square,2012-07-10,
88683,Swanston St - RMIT Building 14,2012-07-10,
88684,Swanston St - RMIT Building 80,2012-07-10,
88685,The Arts Centre,2012-07-10,
88686,Tin Alley-Swanston St (West),2012-07-10,
88687,Town Hall (West),2012-07-10,38398.0
88688,Victoria Point,2012-07-10,5702.0
88689,Waterfront City,2012-07-10,1048.0
88690,Webb Bridge,2012-07-10,3485.0
88691,Westwood Place,2012-07-10,
88692,sensor_name,2012-07-11,
88693,231 Bourke St,2012-07-11,
88694,Alfred Place,2012-07-11,
88695,Australia on Collins,2012-07-11,19657.0
88696,Birrarung Marr,2012-07-11,5774.0
88697,Bourke St - Spencer St (North),2012-07-11,
88698,Bourke St - Spencer St (South),2012-07-11,
88699,Bourke St Bridge,2012-07-11,
88700,Bourke St-Russell St (West),2012-07-11,
88701,Bourke Street Mall (North),2012-07-11,26461.0
88702,Bourke Street Mall (South),2012-07-11,28664.0
88703,Chinatown-Lt Bourke St (South),2012-07-11,
88704,Chinatown-Swanston St (North),2012-07-11,
88705,City Square,2012-07-11,
88706,Collins Place (North),2012-07-11,10751.0
88707,Collins Place (South),2012-07-11,13826.0
88708,Collins St (North),2012-07-11,
88709,Elizabeth St-La Trobe St (East),2012-07-11,
88710,Elizabeth St-Lonsdale St (South),2012-07-11,
88711,Errol Street (East),2012-07-11,
88712,Faraday St-Lygon St (West),2012-07-11,
88713,Flagstaff Station,2012-07-11,22521.0
88714,Flinders La - Swanston St (West) Temp,2012-07-11,
88715,Flinders La-Swanston St (West),2012-07-11,
88716,Flinders Ln -Degraves St (Crossing),2012-07-11,
88717,Flinders Ln -Degraves St (North),2012-07-11,
88718,Flinders Ln -Degraves St (South),2012-07-11,
88719,Flinders St-Elizabeth St (East),2012-07-11,
88720,Flinders St-Spark La,2012-07-11,
88721,Flinders St-Spring St (West),2012-07-11,
88722,Flinders St-Swanston St (West),2012-07-11,
88723,Flinders Street Station Underpass,2012-07-11,31289.0
88724,Flinders la - Swanston St (West) Temp,2012-07-11,
88725,Grattan St-Swanston St (West),2012-07-11,
88726,La Trobe St (North),2012-07-11,
88727,Lincoln-Swanston (West),2012-07-11,
88728,Lincoln-Swanston(West),2012-07-11,
88729,Little Collins St-Swanston St (East),2012-07-11,
88730,Lonsdale St (South),2012-07-11,
88731,Lonsdale St - Elizabeth St (North),2012-07-11,
88732,Lonsdale St-Spring St (West),2012-07-11,
88733,Lygon St (East),2012-07-11,
88734,Lygon St (West),2012-07-11,
88735,Melbourne Central,2012-07-11,30397.0
88736,Melbourne Central-Elizabeth St (East),2012-07-11,
88737,Melbourne Convention Exhibition Centre,2012-07-11,
88738,Monash Rd-Swanston St (West),2012-07-11,
88739,New Quay,2012-07-11,3255.0
88740,Pelham St (S),2012-07-11,
88741,Pelham St (South),2012-07-11,
88742,Princes Bridge,2012-07-11,21786.0
88743,QV Market-Elizabeth St (West),2012-07-11,
88744,QV Market-Peel St,2012-07-11,
88745,QVM-Franklin St (North),2012-07-11,
88746,QVM-Queen St (East),2012-07-11,
88747,QVM-Therry St (South),2012-07-11,
88748,Queen St (West),2012-07-11,
88749,Royal Pde-Grattan St,2012-07-11,
88750,Sandridge Bridge,2012-07-11,8900.0
88751,Southbank,2012-07-11,
88752,Southern Cross Station,2012-07-11,14913.0
88753,Spencer St-Collins St (North),2012-07-11,
88754,Spencer St-Collins St (South),2012-07-11,
88755,St Kilda Rd-Alexandra Gardens,2012-07-11,
88756,State Library,2012-07-11,19825.0
88757,State Library-New,2012-07-11,
88758,Swanston St - City Square,2012-07-11,
88759,Swanston St - RMIT Building 14,2012-07-11,
88760,Swanston St - RMIT Building 80,2012-07-11,
88761,The Arts Centre,2012-07-11,
