Date,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,year
2019-11-01,Friday,159,2887679,1,November,27,QV Market-Peel St,2019
2019-11-01,Friday,1565,2887680,1,November,28,The Arts Centre,2019
2019-11-01,Friday,418,2887681,1,November,31,Lygon St (West),2019
2019-11-01,Friday,1129,2887682,1,November,30,Lonsdale St (South),2019
2019-11-01,Friday,240,2887683,1,November,34,Flinders St-Spark La,2019
2019-11-01,Friday,384,2887684,1,November,39,Alfred Place,2019
2019-11-01,Friday,210,2887685,1,November,37,Lygon St (East),2019
2019-11-01,Friday,387,2887686,1,November,40,Lonsdale St-Spring St (West),2019
2019-11-01,Friday,496,2887687,1,November,36,Queen St (West),2019
2019-11-01,Friday,754,2887688,1,November,29,St Kilda Rd-Alexandra Gardens,2019
2019-11-01,Friday,447,2887689,1,November,42,Grattan St-Swanston St (West),2019
2019-11-01,Friday,145,2887690,1,November,43,Monash Rd-Swanston St (West),2019
2019-11-01,Friday,25,2887691,1,November,44,Tin Alley-Swanston St (West),2019
2019-11-01,Friday,2292,2887692,1,November,35,Southbank,2019
2019-11-01,Friday,1927,2887693,1,November,45,Little Collins St-Swanston St (East),2019
2019-11-01,Friday,201,2887694,1,November,46,Pelham St (S),2019
2019-11-01,Friday,1933,2887695,1,November,47,Melbourne Central-Elizabeth St (East),2019
2019-11-01,Friday,273,2887696,1,November,48,QVM-Queen St (East),2019
2019-11-01,Friday,150,2887697,1,November,49,QVM-Therry St (South),2019
2019-11-01,Friday,624,2887698,1,November,50,Faraday St-Lygon St (West),2019
2019-11-01,Friday,181,2887699,1,November,51,QVM-Franklin St (North),2019
2019-11-01,Friday,806,2887700,1,November,52,Elizabeth St-Lonsdale St (South),2019
2019-11-01,Friday,178,2887701,1,November,54,Lincoln-Swanston(West),2019
2019-11-01,Friday,1972,2887702,1,November,55,Elizabeth St-La Trobe St (East),2019
2019-11-01,Friday,598,2887703,1,November,56,Lonsdale St - Elizabeth St (North),2019
2019-11-01,Friday,870,2887704,1,November,57,Bourke St Bridge,2019
2019-11-01,Friday,1499,2887705,1,November,58,Bourke St - Spencer St (North),2019
2019-11-01,Friday,396,2887706,1,November,59,Swanston St - RMIT Building 80,2019
2019-11-01,Friday,1080,2887707,1,November,61,Swanston St - RMIT Building 14,2019
2019-11-01,Friday,262,2887708,1,November,62,La Trobe St (North),2019
2019-11-01,Friday,2345,2887709,1,November,4,Town Hall (West),2019
2019-11-01,Friday,367,2887710,1,November,17,Collins Place (South),2019
2019-11-01,Friday,294,2887711,1,November,18,Collins Place (North),2019
2019-11-01,Friday,784,2887712,1,November,53,Collins St (North),2019
2019-11-01,Friday,1639,2887713,1,November,2,Bourke Street Mall (South),2019
