asset_number,asset_description,construct_material_lupvalue,inspection_frequency,maintained_by,object_type_lupvalue,lat,lon,location
1378132,"SWD Litter Trap - Eighteen Pence Lane from Lorimer St, Yarras Edge, Docklands",Concrete,Quarterly,City of Melbourne,In Line GPT,-37.824759122761115,144.94547420070305,"-37.824759122761115, 144.94547420070305"
1126519,"SWD Litter Trap - Bruton Ave, Yarra Park",Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.81963580757498,144.9805427203652,"-37.81963580757498, 144.9805427203652"
1126514,SWD Litter Trap - Hobsons Rd,Concrete,Half Yearly,City of Melbourne,Trash Rack,-37.795732493949785,144.9156480544508,"-37.795732493949785, 144.9156480544508"
1378104,SWD Litter Trap - Docklands 2 -Navigation Drive North,Concrete,Quarterly,City of Melbourne,In Line GPT,-37.81988561516313,144.94601320871234,"-37.81988561516313, 144.94601320871234"
1126524,SWD Litter Trap - Spencer St inside Southern Cross Station,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.81627240632214,144.95261296657267,"-37.81627240632214, 144.95261296657267"
1126531,"SWD Litter Trap - NE cnr intersection Wurundjeri/Bourke, Docklands",Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.81751025857746,144.9503649364136,"-37.81751025857746, 144.9503649364136"
1379345,"SWD Litter Trap-Navigation Dr South, ANZ Bld, Docklands",Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.82240402546013,144.94684985734642,"-37.82240402546013, 144.94684985734642"
1378103,SWD Litter Trap - Roden St at King St,Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.8060308336655,144.95001315854526,"-37.8060308336655, 144.95001315854526"
1379353,SWD Litter Trap- Millers/Laurens St,Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.80490257737072,144.9408048478149,"-37.80490257737072, 144.9408048478149"
1126529,"SWD Litter Trap-South east side Bourke St at Habour Esp, Docklands",Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.81891982191636,144.9471703182558,"-37.81891982191636, 144.9471703182558"
1378102,SWD Litter Trap - MP13B - Bayles St,Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.79385095713805,144.9554336599639,"-37.79385095713805, 144.9554336599639"
1126528,"SWD Litter Trap - Galada Ave, west pipe",Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.7816423151755,144.9409221603282,"-37.7816423151755, 144.9409221603282"
1126507,SWD Litter Trap - Cardigan St,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.806129321325805,144.96462630105236,"-37.806129321325805, 144.96462630105236"
1126513,"SWD Litter Trap - Footscray Rd, south outlet",Plastic,Quarterly,City of Melbourne,Interceptor Net,-37.80874496328293,144.9348335544736,"-37.80874496328293, 144.9348335544736"
