date,demand,RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,
1/01/2015,99635.03,25.63369643,13.3,5.186520992,0,0,N,Y,
2/01/2015,129606.01,33.13898756,15.4,6.228964601,0.880597015,0,N,N,
3/01/2015,142300.54,34.56485483,20,6.180614856,1.011320755,0,N,N,
4/01/2015,104330.715,25.00556024,16.3,4.626013402,1.051587302,4.2,N,N,
5/01/2015,118132.2,26.72417628,15,4.69041576,0.820846906,0,N,N,
6/01/2015,130672.485,31.28231073,17.7,5.099019514,0.971518987,0,N,N,
7/01/2015,153514.82,48.31230938,18.9,6.115553941,1.526570048,0,N,N,
8/01/2015,142015.655,49.1172803,23.1,5.310367219,1.533333333,19.4,N,N,
9/01/2015,121801.155,34.49067545,16.5,4.242640687,4.35483871,1.2,N,N,
10/01/2015,103043.66,20.2298249,13.6,4.65832588,0.553571429,5.2,N,N,
11/01/2015,99865.755,18.23476806,15.6,5.244044241,0.18729097,0,N,N,
12/01/2015,131261.125,33.69481017,16.1,5.594640292,0.946202532,0,N,N,
13/01/2015,126527.36,27.53786427,20.2,5.059644256,7.523809524,0,N,N,
14/01/2015,119741.62,29.01851661,18.3,4.7644517,0.276315789,15.8,N,N,
15/01/2015,118411.22,30.93653879,15.8,4.472135955,1.04109589,0,N,N,
16/01/2015,116690.765,23.01519088,13.1,5.224940191,0.481848185,0,N,N,
17/01/2015,99371.31,18.99492729,15.9,5,1.101818182,0,N,N,
18/01/2015,97728.75,17.00868088,15.3,4.415880433,1.175213675,0,N,N,
19/01/2015,116883.15,26.92787619,13.5,4.857983121,0.806896552,0,N,N,
20/01/2015,128968.125,23.07807414,13,5.513619501,1.479591837,0,N,N,
21/01/2015,148702.505,34.44341546,19.7,5.753259945,0.759689922,0,N,N,
22/01/2015,153232.1,35.2307614,18.7,5.983310121,1.116883117,0,N,N,
23/01/2015,138095.2,40.60420022,20.2,5,0.807692308,0,N,N,
24/01/2015,116310.59,20.92200015,15.8,5.128352562,0.943894389,0,N,N,
25/01/2015,97959.46,16.5414177,14.7,4.69041576,1.192913386,0,N,N,
26/01/2015,103769.48,16.9360128,11.6,4.449719092,1.27638191,1,N,Y,
27/01/2015,118393.31,21.2062886,11.7,4.370354677,1.124293785,0.6,N,N,
28/01/2015,116763.725,17.02383824,13.3,5.039841267,0.655555556,0,N,N,
29/01/2015,119313.73,19.62482736,12.8,4.711687596,0.934256055,0,Y,N,
30/01/2015,121018.15,21.02935608,13.1,4.582575695,1.047101449,0,Y,N,
31/01/2015,103822.97,16.53884673,14.3,4.494441011,1.053435115,0,Y,N,
1/02/2015,100178.84,14.57884442,13.2,4.358898944,1.514450867,9.2,Y,N,
2/02/2015,118694.16,22.27003219,13.5,4.593473631,0.723849372,3.8,Y,N,
3/02/2015,122880.13,27.00383233,16.1,4.472135955,1.052863436,0,Y,N,
