dates,Year,Month,Day of the Year,Max,Min,Class
3/01/2021,6,3,60,22.4,14.7,Predict
3/02/2021,6,3,61,32.1,13.2,Predict
3/03/2021,6,3,62,18.4,14.2,Predict
3/04/2021,6,3,63,19.5,14.7,Predict
3/05/2021,6,3,64,23.5,13.6,Predict
3/06/2021,6,3,65,20.3,15.4,Predict
3/07/2021,6,3,66,19,15.9,Predict
3/08/2021,6,3,67,20,15.4,Predict
3/09/2021,6,3,68,22.4,13.9,Predict
3/10/2021,6,3,69,21,12.3,Predict
3/11/2021,6,3,70,22.3,10.3,Predict
3/12/2021,6,3,71,29.5,12.6,Predict
3/13/2021,6,3,72,29.5,16.6,Predict
3/14/2021,6,3,73,26.8,19.1,Predict
3/15/2021,6,3,74,17.9,13.1,Predict
3/16/2021,6,3,75,18.8,12.7,Predict
3/17/2021,6,3,76,26.5,9.3,Predict
3/18/2021,6,3,77,28.2,11.6,Predict
3/19/2021,6,3,78,28.3,17.7,Predict
3/20/2021,6,3,79,30.4,18.7,Predict
3/21/2021,6,3,80,22.7,16.1,Predict
3/22/2021,6,3,81,18.4,14.6,Predict
3/23/2021,6,3,82,18.3,12.1,Predict
3/24/2021,6,3,83,17.1,12.7,Predict
3/25/2021,6,3,84,17.9,8.5,Predict
3/26/2021,6,3,85,17.5,10.8,Predict
3/27/2021,6,3,86,19.8,13.7,Predict
3/28/2021,6,3,87,27.6,13.6,Predict
3/29/2021,6,3,88,27.5,14.8,Predict
3/30/2021,6,3,89,26.4,16.5,Predict
3/31/2021,6,3,90,21.7,15.9,Predict
4/01/2021,6,4,91,21.4,12.2,Predict
4/02/2021,6,4,92,23.1,11,Predict
4/03/2021,6,4,93,20.7,12.4,Predict
4/04/2021,6,4,94,23.2,13.7,Predict
4/05/2021,6,4,95,16.6,12.8,Predict
4/06/2021,6,4,96,16.9,9.5,Predict
4/07/2021,6,4,97,16.5,10.7,Predict
4/08/2021,6,4,98,16.4,11.9,Predict
4/09/2021,6,4,99,18.6,11.7,Predict
4/10/2021,6,4,100,21.2,8.9,Predict
4/11/2021,6,4,101,22,12.7,Predict
4/12/2021,6,4,102,15.7,13,Predict
4/13/2021,6,4,103,15.3,11,Predict
4/14/2021,6,4,104,18.3,12.2,Predict
4/15/2021,6,4,105,23.4,12.1,Predict
4/16/2021,6,4,106,23.5,15.6,Predict
4/17/2021,6,4,107,21.5,15.4,Predict
4/18/2021,6,4,108,18.4,11.4,Predict
4/19/2021,6,4,109,16.4,12.9,Predict
4/20/2021,6,4,110,19.4,11.2,Predict
4/21/2021,6,4,111,20.8,12,Predict
4/22/2021,6,4,112,19.6,8.5,Predict
4/23/2021,6,4,113,18.2,12.8,Predict
4/24/2021,6,4,114,19.7,9.6,Predict
4/25/2021,6,4,115,22.3,15.1,Predict
4/26/2021,6,4,116,21.7,10.5,Predict
4/27/2021,6,4,117,17.7,15.4,Predict
4/28/2021,6,4,118,18.1,8.1,Predict
4/29/2021,6,4,119,18.9,7.1,Predict
4/30/2021,6,4,120,19.8,11.2,Predict
5/01/2021,6,5,121,22.8,7.6,Predict
5/02/2021,6,5,122,13,7.6,Predict
5/03/2021,6,5,123,14.2,8.3,Predict
5/04/2021,6,5,124,15,9.8,Predict
5/05/2021,6,5,125,14.8,9.4,Predict
5/06/2021,6,5,126,19.5,8,Predict
5/07/2021,6,5,127,20.1,10.2,Predict
5/08/2021,6,5,128,21.1,15.1,Predict
5/09/2021,6,5,129,19.6,12.6,Predict
5/10/2021,6,5,130,14,12.6,Predict
5/11/2021,6,5,131,14.5,7.2,Predict
5/12/2021,6,5,132,17.1,7.8,Predict
5/13/2021,6,5,133,14.8,10.3,Predict
5/14/2021,6,5,134,14.5,10.4,Predict
5/15/2021,6,5,135,14.7,6.6,Predict
5/16/2021,6,5,136,15.3,4.5,Predict
5/17/2021,6,5,137,18,4.5,Predict
5/18/2021,6,5,138,18.5,5.1,Predict
5/19/2021,6,5,139,19.4,5.5,Predict
5/20/2021,6,5,140,17.7,8.1,Predict
5/21/2021,6,5,141,15.8,10.3,Predict
5/22/2021,6,5,142,13.7,9.4,Predict
5/23/2021,6,5,143,13.6,9.1,Predict
5/24/2021,6,5,144,13.5,9.4,Predict
5/25/2021,6,5,145,13.8,10.9,Predict
5/26/2021,6,5,146,16,5.5,Predict
5/27/2021,6,5,147,18.5,5.4,Predict
5/28/2021,6,5,148,17.1,5.9,Predict
5/29/2021,6,5,149,17.6,12.1,Predict
5/30/2021,6,5,150,17.1,7.2,Predict
5/31/2021,6,5,151,17.1,8.1,Predict
6/01/2021,6,6,152,14.6,12.4,Predict
6/02/2021,6,6,153,11.2,9.3,Predict
6/03/2021,6,6,154,15.6,8.4,Predict
6/04/2021,6,6,155,14.1,10.5,Predict
6/05/2021,6,6,156,13.8,9.3,Predict
6/06/2021,6,6,157,14.6,4.1,Predict
6/07/2021,6,6,158,13.3,6,Predict
6/08/2021,6,6,159,11.8,7.9,Predict
6/09/2021,6,6,160,12.6,4.5,Predict
6/10/2021,6,6,161,15.3,2,Predict
6/11/2021,6,6,162,16.7,3.9,Predict
6/12/2021,6,6,163,16.9,4.5,Predict
6/13/2021,6,6,164,15.3,4.2,Predict
6/14/2021,6,6,165,16.4,5.7,Predict
6/15/2021,6,6,166,15.2,10.4,Predict
6/16/2021,6,6,167,18.4,11.6,Predict
6/17/2021,6,6,168,17.9,13,Predict
6/18/2021,6,6,169,14.6,10.2,Predict
6/19/2021,6,6,170,16.9,4.6,Predict
6/20/2021,6,6,171,17.8,6.4,Predict
6/21/2021,6,6,172,16.9,12.8,Predict
6/22/2021,6,6,173,12,6.9,Predict
6/23/2021,6,6,174,13,8.1,Predict
6/24/2021,6,6,175,14.4,9,Predict
6/25/2021,6,6,176,14.9,10.1,Predict
6/26/2021,6,6,177,15.9,10.2,Predict
6/27/2021,6,6,178,13.8,7.9,Predict
6/28/2021,6,6,179,13.1,6.2,Predict
6/29/2021,6,6,180,12.5,1.7,Predict
6/30/2021,6,6,181,15.4,2.2,Predict
7/01/2021,6,7,182,15.2,9.8,Predict
7/02/2021,6,7,183,17.4,9.8,Predict
7/03/2021,6,7,184,15.1,10.2,Predict
7/04/2021,6,7,185,10.3,7.7,Predict
7/05/2021,6,7,186,14.5,6.5,Predict
7/06/2021,6,7,187,12.5,8.9,Predict
7/07/2021,6,7,188,13.1,8.1,Predict
7/08/2021,6,7,189,11.8,8.9,Predict
7/09/2021,6,7,190,15.7,4.9,Predict
7/10/2021,6,7,191,17.2,5.7,Predict
7/11/2021,6,7,192,16.9,6.4,Predict
7/12/2021,6,7,193,11.4,7.3,Predict
7/13/2021,6,7,194,14.2,9,Predict
7/14/2021,6,7,195,15.1,8.7,Predict
7/15/2021,6,7,196,14.2,7.7,Predict
7/16/2021,6,7,197,14.7,6.2,Predict
7/17/2021,6,7,198,11.5,4.2,Predict
7/18/2021,6,7,199,12.8,3.1,Predict
7/19/2021,6,7,200,12.5,4,Predict
7/20/2021,6,7,201,15.3,8.2,Predict
7/21/2021,6,7,202,13.8,7.6,Predict
7/22/2021,6,7,203,12.9,7.2,Predict
7/23/2021,6,7,204,13.3,8.1,Predict
7/24/2021,6,7,205,12,8.1,Predict
7/25/2021,6,7,206,13.5,6.1,Predict
7/26/2021,6,7,207,12.2,4.3,Predict
7/27/2021,6,7,208,12.8,5,Predict
7/28/2021,6,7,209,13.5,7.4,Predict
7/29/2021,6,7,210,15.6,9.6,Predict
7/30/2021,6,7,211,16.3,8.6,Predict
7/31/2021,6,7,212,14.2,8,Predict
8/01/2021,6,8,213,16.4,3.4,Predict
8/02/2021,6,8,214,16.4,5.7,Predict
8/03/2021,6,8,215,18.2,9,Predict
8/04/2021,6,8,216,16,7.5,Predict
8/05/2021,6,8,217,10.5,5.1,Predict
8/06/2021,6,8,218,11.3,4.7,Predict
8/07/2021,6,8,219,12.8,5.5,Predict
8/08/2021,6,8,220,12.7,3.3,Predict
8/09/2021,6,8,221,14.9,4.7,Predict
8/10/2021,6,8,222,15.8,8.9,Predict
8/11/2021,6,8,223,14.8,5.7,Predict
8/12/2021,6,8,224,15.8,4.3,Predict
8/13/2021,6,8,225,15.9,9.4,Predict
8/14/2021,6,8,226,18.1,11.4,Predict
8/15/2021,6,8,227,18.1,10.7,Predict
8/16/2021,6,8,228,14.9,7.4,Predict
8/17/2021,6,8,229,15,10.7,Predict
8/18/2021,6,8,230,16.3,9.5,Predict
8/19/2021,6,8,231,17.2,10,Predict
8/20/2021,6,8,232,12.7,9.7,Predict
8/21/2021,6,8,233,15.7,9.6,Predict
8/22/2021,6,8,234,14.1,8.5,Predict
8/23/2021,6,8,235,11.1,5.8,Predict
8/24/2021,6,8,236,11.5,6.8,Predict
8/25/2021,6,8,237,12.4,6.3,Predict
8/26/2021,6,8,238,13,3.6,Predict
8/27/2021,6,8,239,14.5,6.1,Predict
8/28/2021,6,8,240,20.7,8.8,Predict
8/29/2021,6,8,241,17.6,8.5,Predict
8/30/2021,6,8,242,19.3,9.2,Predict
8/31/2021,6,8,243,19.8,12,Predict
