ActivityType,Response,Year,RespondentGroup,SampleSize,Percentage,AgeRange,Gender,Suburb
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2023,South Yarra 3141 / Melbourne/St Kilda Road 3004,132,61.9,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities,"yes, in the last 3 months",2023,Carlton 3053,192,63.4,,,Carlton 3053
participate in sports and exercise activities,"yes, in the last 3 months",2023,North Melbourne 3051 / West Melbourne 3003,207,65.9,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities,"yes, in the last 3 months",2023,Parkville 3052,77,70.1,,,Parkville 3052
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,45-54 years,128,49.6,45-54 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,55-64 years,115,45.5,55-64 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Carlton 3053,192,50.3,,,Carlton 3053
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,City of Melbourne,1376,55.5,,,City of Melbourne
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Parkville 3052,77,60.9,,,Parkville 3052
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2023,18-24 years,237,42.3,18-24 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2023,35-44 years,219,53.2,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2023,65+ years,197,52.3,65+ years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2023,Carlton 3053,172,44.5,,,Carlton 3053
participate in sports and exercise activities,"yes, in the last 3 months",2023,25-34 years,421,65.5,25-34 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2023,35-44 years,229,66.2,35-44 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2023,45-54 years,128,55.1,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2023,55-64 years,115,50.8,55-64 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2023,65+ years,203,50.2,65+ years,,
participate in sports and exercise activities,"yes, in the last 3 months",2023,Female,761,61.9,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2023,Docklands 3008,113,61.9,,,Docklands 3008
participate in sports and exercise activities,"yes, in the last 3 months",2023,Kensington / Flemington 3031,89,61.4,,,Kensington / Flemington 3031
participate in sports and exercise activities,"yes, in the last 3 months",2023,South Wharf / Southbank 3006,147,67.6,,,South Wharf / Southbank 3006
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,18-24 years,274,59.5,18-24 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Female,761,54.2,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Male,573,56.8,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Docklands 3008,113,59.7,,,Docklands 3008
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Kensington / Flemington 3031,89,52.3,,,Kensington / Flemington 3031
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Melbourne 3000,344,52.2,,,Melbourne 3000
