stop_id,stop_name,stop_lat,stop_lon
"10311","45-Glenferrie Rd/Wattletree Rd (Malvern)","-37.86245520","145.02850849"
"10371","44-Duncraig Ave/Wattletree Rd (Armadale)","-37.86206934","145.02538150"
"1083","42-Clyde St/Raleigh Rd (Maribyrnong)","-37.76969864","144.89884126"
"11285","43-Egerton Rd/Wattletree Rd (Armadale)","-37.86170982","145.02275399"
"1185","50-Vincent St/Wattletree Rd (Malvern East)","-37.86422627","145.04337516"
"12599","42-Kooyong Rd/Wattletree Rd (Armadale)","-37.86134642","145.01989926"
"1291","51-Erica Ave/Wattletree Rd (Malvern East)","-37.86461278","145.04657053"
"1292","38-Renown St/Sydney Rd (Coburg)","-37.73161894","144.96426570"
"13401","28-Punt Rd/High St (Prahran)","-37.85056356","144.98404671"
"13995","44-Barb St/Raleigh Rd (Maribyrnong)","-37.76889124","144.89198456"
"14033","29-Perth St/High St (Prahran)","-37.85105009","144.98772713"
"14614","30-Prahran Station/High St (Prahran)","-37.85131864","144.98973147"
"14728","31-Chapel St/High St (Prahran)","-37.85175647","144.99320872"
"15559","45-Randall St/Raleigh Rd (Maribyrnong)","-37.76862941","144.88893821"
"15699","32-Hornby St/High St (Prahran)","-37.85219895","144.99643585"
"1575","52-Burke Rd/Wattletree Rd (Malvern East)","-37.86507635","145.05007082"
"16610","33-Prahran RSL/High St (Prahran)","-37.85243434","144.99808883"
"16713","34-Bell St/Sydney Rd (Coburg)","-37.74147092","144.96646974"
"16714","33-Coburg Market/Sydney Rd (Coburg)","-37.74325874","144.96614844"
"16715","32-Munro St/Sydney Rd (Coburg)","-37.74506476","144.96583797"
"16716","31-Reynard St/Sydney Rd (Coburg)","-37.74873966","144.96520392"
"16717","30-The Avenue/Sydney Rd (Coburg)","-37.75207324","144.96463590"
"16718","34-Lewisham Rd/High St (Prahran)","-37.85265073","144.99968550"
"16719","28-Moreland Rd/Sydney Rd (Brunswick)","-37.75564023","144.96401602"
"16720","27-Brunswick Tram Depot/Sydney Rd (Brunswick)","-37.75781457","144.96363858"
"16721","26-Albion St/Sydney Rd (Brunswick)","-37.76095918","144.96308694"
"16722","25-Stewart St/Sydney Rd (Brunswick)","-37.76323240","144.96269537"
"16723","24-Brunswick Baptist Church/Sydney Rd (Brunswick)","-37.76557768","144.96230180"
"16724","23-Victoria St/Sydney Rd (Brunswick)","-37.76714106","144.96203185"
"16725","22-Albert St/Sydney Rd (Brunswick)","-37.76894706","144.96172115"
"16726","21-Brunswick Town Hall/Sydney Rd (Brunswick)","-37.77164265","144.96126113"
"16727","20-Barkly Square/115 Sydney Rd (Brunswick)","-37.77484186","144.96074181"
"16728","19-Brunswick Rd/Sydney Rd (Brunswick)","-37.77759128","144.96026887"
"16730","17-Ievers St/Royal Pde (Parkville)","-37.78188803","144.95963980"
"16731","16-Visy Park/Royal Pde (Parkville)","-37.78485559","144.95927431"
"16732","15-Leonard St/Royal Pde (Parkville)","-37.78793104","144.95889446"
"16733","14-Macarthur Rd/Royal Pde (Parkville)","-37.79001743","144.95864400"
"16734","13-Gatehouse St/Royal Pde (Parkville)","-37.79267912","144.95830955"
"16735","12-Morrah St/Royal Pde (Parkville)","-37.79565568","144.95794368"
"16738","35-Williams Rd/High St (Prahran)","-37.85301095","145.00232392"
"16739","36-Chatsworth Rd/High St (Prahran)","-37.85355558","145.00627581"
"16740","37-Airlie Ave/High St (Prahran)","-37.85386619","145.00865422"
"16741","38-Orrong Rd/High St (Prahran)","-37.85421989","145.01145203"
"16742","39-Auburn Gr/High St (Armadale)","-37.85468487","145.01497429"
"16743","40-Armadale Station/High St (Armadale)","-37.85511852","145.01824739"
"16744","41-Kooyong Rd/High St (Armadale)","-37.85541912","145.02058071"
"16745","42-Huntingtower Rd/High St (Armadale)","-37.85583154","145.02367259"
"16746","43-Mercer Rd/High St (Armadale)","-37.85612189","145.02593803"
"16747","44-Glenferrie Rd/High St (Malvern)","-37.85653646","145.02916631"
"16748","45-De La Salle College/High St (Malvern)","-37.85694174","145.03238350"
"16749","46-Fraser St/High St (Malvern)","-37.85738316","145.03561113"
"16750","47-Dixon St/High St (Malvern)","-37.85769356","145.03801254"
"16751","48-Tooronga Rd/High St (Glen Iris)","-37.85807757","145.04104854"
"16752","49-Harold Holt Swim Centre/High St (Glen Iris)","-37.85845437","145.04419842"
"16753","50-Belmont Ave/High St (Glen Iris)","-37.85894526","145.04825465"
"16754","51-Burke Rd/High St (Glen Iris)","-37.85930967","145.05121170"
"16755","52-Boyanda Rd/High St (Glen Iris)","-37.85961375","145.05379528"
"16757","53-Malvern Rd/High St (Glen Iris)","-37.85999811","145.05633130"
"16758","52-Boyanda Rd/High St (Glen Iris)","-37.85978247","145.05418867"
"16759","51-Burke Rd/High St (Glen Iris)","-37.85948571","145.05150260"
"16760","50-Belmont Ave/High St (Glen Iris)","-37.85911004","145.04840943"
"16761","49-Harold Holt Swim Centre/High St (Glen Iris)","-37.85867005","145.04470421"
"16762","48-Tooronga Rd/High St (Glen Iris)","-37.85827203","145.04136165"
"16764","47-Dixon St/High St (Malvern)","-37.85781967","145.03800920"
"16765","46-Fraser St/High St (Malvern)","-37.85755753","145.03579973"
"16766","45-De La Salle College/High St (Malvern)","-37.85715747","145.03288924"
"16767","44-Glenferrie Rd/High St (Malvern)","-37.85671426","145.02955939"
"16768","43-Mercer Rd/High St (Armadale)","-37.85628898","145.02622909"
"16769","42-Huntingtower Rd/High St (Armadale)","-37.85599635","145.02382731"
"16770","41-Kooyong Rd/High St (Armadale)","-37.85558508","145.02080359"
"16771","40-Armadale Station/High St (Armadale)","-37.85527432","145.01840234"
"16772","39-Auburn Gr/High St (Armadale)","-37.85487154","145.01535572"
"16773","38-Orrong Rd/High St (Armadale)","-37.85438644","145.01170897"
"16774","37-Airlie Ave/High St (Prahran)","-37.85399287","145.00868491"
"16775","36-Chatsworth Rd/High St (Prahran)","-37.85376394","145.00687257"
"16776","35-Williams Rd/High St (Prahran)","-37.85316909","145.00261516"
"16777","34-Lewisham Rd/High St (Prahran)","-37.85282921","145.00011256"
"16778","33-Prahran RSL/High St (Prahran)","-37.85262338","144.99860652"
"1696","51-Nott St/Wattletree Rd (Malvern East)","-37.86478209","145.04699802"
"17306","40-North Coburg Terminus/Sydney Rd (Coburg North)","-37.72758000","144.96365015"
"17307","39-Mercy College/Sydney Rd (Coburg North)","-37.72989065","144.96385917"
"17308","38-Carr St/Sydney Rd (Coburg North)","-37.73211182","144.96462665"
"17309","37-Gaffney St/Sydney Rd (Coburg North)","-37.73385558","144.96540724"
"17310","36-Rogers St/Sydney Rd (Coburg)","-37.73553432","144.96607617"
"17311","35-St Pauls Catholic Church/Sydney Rd (Coburg)","-37.73750463","144.96693006"
"17312","34-Bell St/Sydney Rd (Coburg)","-37.74115879","144.96665985"
"17313","33-Coburg Market/Sydney Rd (Coburg)","-37.74313615","144.96635607"
"17314","32-Harding St/Sydney Rd (Coburg)","-37.74488833","144.96605843"
"17315","31-Edward St/Sydney Rd (Coburg)","-37.74847354","144.96544955"
"17316","30-The Avenue/Sydney Rd (Coburg)","-37.75186059","144.96484602"
"17317","29-Moore St/Sydney Rd (Coburg)","-37.75350466","144.96455127"
"17318","28-Moreland Rd/Sydney Rd (Coburg)","-37.75528248","144.96417338"
"17319","27-Brunswick Tram Depot/Sydney Rd (Brunswick)","-37.75742216","144.96387636"
"17320","26-Albion St/Sydney Rd (Brunswick)","-37.76073771","144.96330869"
"17321","25-Stewart St/Sydney Rd (Brunswick)","-37.76308280","144.96290381"
"17322","24-Blyth St/Sydney Rd (Brunswick)","-37.76535602","144.96251222"
"17323","23-Victoria St/Sydney Rd (Brunswick)","-37.76698226","144.96222919"
"17324","22-Albert St/Sydney Rd (Brunswick)","-37.76876124","144.96191925"
"17325","21-Glenlyon Rd/Sydney Rd (Brunswick)","-37.77136695","144.96147305"
"17327","19-Brunswick Rd/Sydney Rd (Brunswick)","-37.77764749","144.96039222"
"17329","17-Ievers St/Royal Pde (Parkville)","-37.78168420","144.95983843"
"17330","16-Walker St/Royal Pde (Parkville)","-37.78458930","144.95950873"
"17331","15-Leonard St/Royal Pde (Parkville)","-37.78767376","144.95912865"
"17332","14-Cemetery Road West/Royal Pde (Parkville)","-37.78971511","144.95887943"
"17333","13-Gatehouse St/Royal Pde (Parkville)","-37.79242184","144.95854375"
"17334","12-Morrah St/Royal Pde (Parkville)","-37.79556053","144.95817343"
"17591","7-Russell St/Bourke St (Melbourne City)","-37.81276887","144.96835439"
"17593","6-Swanston St/Bourke St (Melbourne City)","-37.81348355","144.96590389"
"17594","5-Elizabeth St/Bourke St (Melbourne City)","-37.81421718","144.96350963"
"17596","4-Queen St/Bourke St (Melbourne City)","-37.81525299","144.95983472"
"17597","3-William St/Bourke St (Melbourne City)","-37.81588156","144.95762499"
"17602","32-Hornby St/High St (Prahran)","-37.85235382","144.99653395"
"17603","31-Chapel St/High St (Prahran)","-37.85195124","144.99353304"
"17604","30-Prahran Station/High St (Windsor)","-37.85139234","144.98929759"
"17605","29-Perth St/High St (Windsor)","-37.85120671","144.98792745"
"17606","28-Punt Rd/High St (Windsor)","-37.85075836","144.98437099"
