bay_id,timestamp,latitude,longitude,occupancy
51614,2025-03-25 00:09:20+00:00,-37.81620493158199,144.96978894261684,0
17954,2025-03-24 23:56:53+00:00,-37.81019990197624,144.97294577505386,1
62710,2025-03-25 00:06:47+00:00,-37.813134438674666,144.97067212855254,0
51613,2025-03-24 23:16:22+00:00,-37.816253179061405,144.96981112082523,1
61835,2025-01-14 22:21:10+00:00,-37.81424148169654,144.97109066970916,1
18076,2025-03-12 06:42:04+00:00,-37.80799792682947,144.97267761034158,0
17956,2025-03-25 00:40:57+00:00,-37.81031982893538,144.97293976160455,1
69979,2025-04-14 00:32:21+00:00,-37.82256066811671,144.95253120774296,1
10286,2025-01-21 01:37:41+00:00,-37.79493418293051,144.97155131195117,0
10288,2025-01-20 10:25:07+00:00,-37.79508290762313,144.9712217164565,1
24423,2025-01-20 04:35:08+00:00,-37.79522276647609,144.97252655504798,1
9340,2024-08-17 04:23:15+00:00,-37.804743069707,144.9590686672812,0
9354,2024-08-21 00:38:04+00:00,-37.804888632324605,144.95861698154164,0
61147,2025-03-25 04:51:04+00:00,-37.81700892305928,144.96522141737893,0
56622,2025-01-29 00:45:01+00:00,-37.81987428737151,144.95720707765776,1
21741,2025-05-22 00:21:15+00:00,-37.84797495698779,144.98226205564055,1
9338,2024-08-21 00:34:50+00:00,-37.80457312730523,144.95899052123454,1
9341,2024-08-21 00:34:08+00:00,-37.804791726138646,144.95909104692146,0
9358,2024-08-21 00:37:20+00:00,-37.805089616110834,144.95870953227987,0
9357,2023-09-12 21:37:24+00:00,-37.8050409570784,144.95868712534042,0
9372,2024-08-18 03:01:19+00:00,-37.8033414895023,144.95838681632023,0
10282,2025-01-21 02:19:06+00:00,-37.794993762404346,144.97209994853773,1
66022,2024-10-01 22:58:33+00:00,-37.8101677069083,144.96557568924243,1
66024,2024-10-01 23:36:17+00:00,-37.81020639361004,144.96544349972828,1
66034,2024-10-11 05:43:59+00:00,-37.81040230075237,144.96477289718422,0
66067,2024-10-01 22:54:24+00:00,-37.81028218639029,144.96537084871932,1
22773,2024-05-03 04:23:17+00:00,-37.82340795747085,144.9668141300637,0
66057,2024-10-11 03:34:19+00:00,-37.81008577190786,144.96603938825643,1
66236,2024-10-11 04:15:11+00:00,-37.81189789522004,144.95973698122117,0
8741,2024-11-28 02:06:51+00:00,-37.8022649761665,144.96149743252016,0
8747,2024-11-27 06:31:45+00:00,-37.80229720947396,144.96179210870582,0
66011,2024-10-11 05:44:02+00:00,-37.80995878175639,144.9662913211307,0
66017,2024-10-01 23:19:47+00:00,-37.810072372731454,144.9659027709308,1
51615,2025-03-25 00:14:41+00:00,-37.816135024219605,144.96975660668517,1
17960,2025-03-24 07:16:15+00:00,-37.810684451948006,144.97295146327076,0
17950,2025-03-25 00:39:19+00:00,-37.80997391735848,144.972973110736,1
24507,2024-03-22 10:06:00+00:00,-37.79745524941144,144.95761259978124,1
24509,2024-03-31 00:44:47+00:00,-37.79733033174037,144.95762865154998,1
9371,2024-08-21 04:43:19+00:00,-37.80339224519884,144.95841026319147,0
51833,2025-06-03 05:44:03+00:00,-37.81436063653405,144.96881309882076,1
52127,2025-06-04 23:04:48+00:00,-37.81142548616736,144.96746628848203,0
52136,2025-01-22 05:45:55+00:00,-37.81118718768919,144.9673575748426,1
52130,2025-06-03 05:16:10+00:00,-37.811353469691866,144.96743345892386,1
52125,2025-06-03 04:48:35+00:00,-37.81157057130334,144.9675323437682,1
52126,2025-06-03 04:27:19+00:00,-37.81147461798077,144.96748890010622,1
51861,2025-06-03 04:56:48+00:00,-37.8141078113969,144.968573043307,0
51858,2025-06-07 23:44:59+00:00,-37.81425734115078,144.9686424943515,0
51855,2025-06-03 04:28:45+00:00,-37.81441288536085,144.96871471911504,1
63638,2025-05-27 04:25:51+00:00,-37.81308624975232,144.96731523005406,1
52150,2025-06-03 05:23:50+00:00,-37.81122603637375,144.96725057400243,0
10279,2025-01-20 20:40:01+00:00,-37.79506794595409,144.97277440018868,0
63235,2025-01-22 06:47:39+00:00,-37.81686204609285,144.9580346617822,0
57940,2025-04-14 03:01:40+00:00,-37.82027020009988,144.95458322910957,0
23372,2024-03-06 20:13:57+00:00,-37.818697732486505,144.95573756544826,1
69943,2025-04-13 20:29:07+00:00,-37.82250487011976,144.95216400545675,1
69946,2025-04-14 02:56:13+00:00,-37.82253375737386,144.95206800770742,1
18077,2025-03-26 03:21:27+00:00,-37.8080063791453,144.97275295153628,1
18167,2025-03-25 19:48:33+00:00,-37.80794728201681,144.97222616163592,1
17952,2025-03-25 00:14:32+00:00,-37.81008064330046,144.97295945855475,1
10292,2025-01-21 02:05:42+00:00,-37.79518653207636,144.9721837897584,0
10289,2025-01-21 01:13:40+00:00,-37.79509907800954,144.97137500175876,1
9377,2024-08-21 04:06:16+00:00,-37.80307925691528,144.9582656822943,0
9378,2024-08-21 02:21:15+00:00,-37.80302851664349,144.95824222807,0
9385,2024-12-16 09:26:37+00:00,-37.80254631917579,144.95801948528828,0
66012,2024-10-01 23:19:46+00:00,-37.80997748265579,144.96622767038411,1
66015,2024-10-01 23:13:32+00:00,-37.81003389356151,144.96603423975398,1
66235,2024-10-11 03:47:33+00:00,-37.81187757962572,144.9598062312323,1
8733,2024-11-28 02:31:34+00:00,-37.80222694998491,144.9611463167968,1
8734,2024-11-28 01:08:40+00:00,-37.80223015354606,144.96117556264676,1
9337,2024-08-18 04:18:56+00:00,-37.80451636413345,144.95896440445114,0
9342,2024-08-21 00:54:44+00:00,-37.804842508920245,144.95911440077234,1
9343,2024-08-21 00:57:37+00:00,-37.80489329212841,144.9591379098078,1
9350,2024-03-31 05:05:44+00:00,-37.80565351681687,144.95948789411494,1
9346,2024-08-21 00:05:59+00:00,-37.8050455821287,144.95920805754236,1
9375,2024-08-18 07:45:59+00:00,-37.803180763794366,144.95831256720936,0
9379,2024-08-17 12:54:54+00:00,-37.80297774274466,144.95821878140055,0
9384,2024-08-21 04:12:54+00:00,-37.8025970744775,144.95804292882846,0
8394,2025-04-07 05:26:25+00:00,-37.8069450486633,144.97323522855623,1
8396,2024-06-16 21:36:41+00:00,-37.80684173874762,144.97325296739342,0
9608,2024-04-20 19:15:00+00:00,-37.803720972893885,144.94941015492924,0
64142,2024-12-16 22:35:55+00:00,-37.81672833513052,144.95487856504462,1
9344,2024-08-18 08:23:46+00:00,-37.80494402936792,144.95916129121264,0
9373,2024-08-14 09:22:05+00:00,-37.80329074425858,144.95836336946644,0
8735,2024-11-28 02:30:57+00:00,-37.80223335664963,144.96120480793184,1
8749,2024-11-27 23:23:40+00:00,-37.80230361629087,144.9618505999636,0
9383,2024-08-21 20:30:09+00:00,-37.8026478302254,144.95806637584144,0
66019,2024-10-01 23:28:05+00:00,-37.81010741367011,144.96578340582943,1
66238,2024-10-11 05:45:34+00:00,-37.81193846853491,144.95959884908208,1
9355,2024-08-21 04:04:29+00:00,-37.80493940709657,144.95864036316067,0
24506,2024-03-31 01:19:05+00:00,-37.7975061237471,144.9576060625771,1
51862,2025-06-03 04:37:29+00:00,-37.81403788673833,144.96854058670203,0
51830,2025-06-03 04:35:39+00:00,-37.81443007116168,144.9688443057432,1
52143,2025-06-03 22:41:19+00:00,-37.81160724067987,144.96742623305315,1
52148,2025-06-04 23:04:48+00:00,-37.81133180085283,144.96729931159854,0
52026,2025-06-03 04:09:16+00:00,-37.81233250018402,144.96775809792723,1
63634,2025-05-27 03:50:19+00:00,-37.81300650474007,144.9675879095477,0
63636,2025-01-22 06:42:55+00:00,-37.813046053715205,144.96745269047844,0
11250,2025-06-03 19:23:44+00:00,-37.80742665704876,144.95455583716316,0
11253,2025-06-03 10:30:02+00:00,-37.807030788089975,144.95437489033912,0
13133,2025-06-10 00:57:05+00:00,-37.80836714126259,144.95310736733308,1
13137,2025-06-12 19:31:02+00:00,-37.80843941201357,144.95285675557932,0
11237,2025-06-12 08:02:21+00:00,-37.80638580862451,144.95382971200894,0
11261,2025-06-12 09:24:13+00:00,-37.80657634053621,144.95416798458052,1
11266,2025-06-12 22:39:51+00:00,-37.80628774259184,144.95403606699995,1
11269,2025-06-12 10:29:47+00:00,-37.8061385514563,144.95396800725834,0
24505,2023-08-21 00:09:03+00:00,-37.79756250415984,144.95759881813447,1
11242,2025-06-12 23:19:39+00:00,-37.80664398045288,144.95394738906856,0
13132,2025-06-12 23:38:06+00:00,-37.80834899622329,144.9531702875403,1
57943,2025-04-14 00:01:23+00:00,-37.82011429509811,144.95451180212012,1
5691,2023-10-25 22:25:42+00:00,-37.81409629462509,144.9563297765231,0
22774,2024-05-03 02:55:43+00:00,-37.8233950937474,144.96674793778274,0
66222,2024-10-11 04:06:49+00:00,-37.81164001991529,144.96061716652716,0
61148,2025-05-01 01:09:52+00:00,-37.81702553819633,144.96516473711768,1
66010,2024-10-01 23:22:55+00:00,-37.8099402111704,144.96635508204457,1
66032,2024-10-01 22:50:25+00:00,-37.81036492957013,144.96490200828873,0
66063,2024-10-01 22:48:56+00:00,-37.81020592601129,144.96563071540535,0
66026,2024-10-01 22:53:36+00:00,-37.810245537194746,144.9653118312001,0
66074,2024-10-01 22:33:54+00:00,-37.81040728241008,144.96494093126182,1
66237,2024-10-11 02:41:57+00:00,-37.8119181725674,144.9596677505574,1
9382,2024-12-16 20:23:55+00:00,-37.80269858597897,144.95808982173668,0
9386,2024-08-21 21:30:55+00:00,-37.80249768155137,144.95799701463113,0
24510,2024-03-22 09:43:24+00:00,-37.79727881702856,144.9576354188943,1
10803,2025-06-01 00:13:00+00:00,-37.80625739731009,144.95519868633625,1
10826,2025-02-07 00:58:38+00:00,-37.80721481710096,144.95491085937306,1
10843,2025-02-06 10:18:21+00:00,-37.80671676209982,144.95499987480218,0
10855,2025-06-01 02:10:51+00:00,-37.80634503506558,144.9550663085025,1
10859,2025-02-06 22:42:58+00:00,-37.806244147527366,144.95508434871226,1
54551,2025-06-16 03:31:11+00:00,-37.81242203861288,144.95939783747593,1
54536,2025-06-16 03:32:03+00:00,-37.81229716390683,144.9594658637529,1
11247,2025-06-03 11:12:46+00:00,-37.80725798395935,144.95447866610417,0
10290,2025-01-18 23:01:01+00:00,-37.79511384563001,144.97151325560708,0
11144,2025-06-03 23:33:42+00:00,-37.808281031290136,144.95469843594896,0
8738,2024-11-28 02:57:41+00:00,-37.80224848587544,144.961350677226,1
8742,2024-11-27 22:25:48+00:00,-37.80226817919086,144.96152667783582,0
8752,2024-11-28 02:22:55+00:00,-37.80225168938629,144.9613799225275,1
8754,2024-11-28 02:50:49+00:00,-37.802216688584906,144.9610582939215,1
57937,2025-04-14 02:43:29+00:00,-37.820423666254094,144.95465361283914,0
6369,2024-03-07 02:08:19+00:00,-37.81867994915778,144.95579934684184,0
57935,2025-04-14 02:59:41+00:00,-37.82053114138522,144.95470260915596,0
10801,2025-02-28 00:25:04+00:00,-37.80612280412348,144.9552223687313,1
10848,2025-02-06 11:45:55+00:00,-37.80656731001003,144.95502658651594,0
51826,2025-06-07 23:47:02+00:00,-37.81452552939284,144.96888722038625,1
61329,2025-06-25 05:04:34+00:00,-37.8182163616712,144.96106306478598,1
56623,2025-02-12 22:59:26+00:00,-37.8198237617609,144.95718394732322,1
13131,2025-06-12 13:26:46+00:00,-37.80831470559232,144.95328919450915,0
13140,2023-01-15 17:01:33+00:00,-37.80851645356166,144.9525896143832,0
9729,2025-07-01 03:46:17+00:00,-37.81063959801361,144.9489331896371,0
9733,2025-07-01 02:13:46+00:00,-37.81054201993924,144.9491897644944,0
11119,2023-06-07 22:06:02+00:00,-37.80598064198605,144.95211845047334,0
54552,2025-06-16 02:24:45+00:00,-37.81237112920085,144.95937491992544,1
54549,2025-06-16 03:46:43+00:00,-37.81253584741609,144.9594489033752,1
54540,2025-06-18 21:42:46+00:00,-37.81217897491937,144.95941197530533,0
54533,2025-06-16 02:46:20+00:00,-37.812367060737046,144.95949773385078,1
9737,2025-07-01 00:14:29+00:00,-37.81032697555239,144.94975449627862,1
11421,2025-07-07 00:46:18+00:00,-37.8121665853318,144.95051937945937,0
9728,2025-07-01 04:33:52+00:00,-37.81066100459809,144.9488768305477,1
11422,2025-07-07 01:25:49+00:00,-37.81214783966169,144.95058571399068,0
24527,2025-07-06 21:47:33+00:00,-37.81221182156042,144.9507336003042,1
9609,2024-12-16 22:11:12+00:00,-37.803775427031525,144.94940056402066,1
18078,2025-03-25 19:39:30+00:00,-37.80801480988396,144.9728282657369,1
18170,2025-03-26 00:55:47+00:00,-37.8079726365175,144.9724521673065,1
18642,2025-03-18 10:02:40+00:00,-37.80884023488097,144.97292082569246,0
17949,2025-03-24 23:48:37+00:00,-37.80991962745114,144.97298012356163,1
66016,2024-10-01 23:28:21+00:00,-37.81005359443116,144.96596691247518,1
57939,2025-04-17 21:36:34+00:00,-37.820322263929086,144.9546071199171,1
69945,2025-04-14 01:29:31+00:00,-37.82252392929789,144.9521005255906,1
69944,2025-04-13 23:03:29+00:00,-37.82251358088368,144.95213374857926,1
69965,2025-04-14 02:53:52+00:00,-37.82230254427385,144.9534210170546,1
69968,2025-04-14 01:45:44+00:00,-37.822359539262656,144.9532235093248,1
57916,2025-04-14 02:32:10+00:00,-37.82032671735453,144.95485898659769,1
57936,2025-04-14 02:56:45+00:00,-37.82047607788187,144.95467759457046,1
18074,2025-03-26 03:31:13+00:00,-37.80798108806593,144.97252750218678,1
10802,2025-05-19 03:08:47+00:00,-37.80619677105507,144.95520948468825,1
10827,2025-02-06 23:56:20+00:00,-37.80718919017354,144.95491544565937,1
10840,2023-11-14 02:53:26+00:00,-37.806793863932285,144.95498609473293,0
10845,2025-02-07 00:58:43+00:00,-37.80664245604533,144.95501315634544,1
10850,2025-02-06 11:13:54+00:00,-37.80649615504858,144.955039304026,0
10856,2025-06-01 01:52:10+00:00,-37.80631954692586,144.955070868407,1
10860,2025-06-01 02:45:41+00:00,-37.80614034694966,144.95510289712604,1
10824,2025-02-06 23:08:47+00:00,-37.80726545064695,144.95490180860912,1
9736,2025-06-30 23:43:41+00:00,-37.81034854531248,144.94969754553497,1
11113,2023-06-07 20:34:08+00:00,-37.8057341335427,144.9521626699863,0
66021,2024-10-01 23:26:43+00:00,-37.81014835868348,144.9656417510855,1
66075,2024-10-11 03:57:28+00:00,-37.81042604580227,144.96487703053606,1
10831,2025-02-28 03:48:11+00:00,-37.807064001548014,144.95493798507198,0
10853,2025-02-06 20:53:01+00:00,-37.80642003693526,144.95505290859828,0
10858,2025-05-31 23:00:36+00:00,-37.806269869690986,144.9550797465717,1
8397,2024-04-25 15:56:07+00:00,-37.80679009928165,144.97326183494033,0
57938,2025-04-14 02:23:15+00:00,-37.82037346768652,144.95463055373497,1
69975,2025-04-14 01:50:21+00:00,-37.82248932751718,144.95277816994894,1
17697,2025-03-11 18:58:00+00:00,-37.82079972059559,144.94085212969856,1
11258,2025-06-11 10:54:02+00:00,-37.806773694429936,144.95425777658258,0
11268,2025-06-11 04:25:36+00:00,-37.80618678855514,144.95399001619174,1
13138,2025-06-12 22:58:23+00:00,-37.80845894053995,144.952789037199,0
11239,2025-06-12 07:45:52+00:00,-37.80648908388493,144.95387619148622,1
13122,2025-06-12 02:35:18+00:00,-37.80838886003194,144.9526230069885,0
54547,2025-06-16 02:55:00+00:00,-37.812636087207736,144.9594936414532,1
8395,2025-04-07 00:47:07+00:00,-37.80689361854845,144.97324406030737,0
8731,2024-11-28 03:03:02+00:00,-37.80221348499492,144.96102904863818,1
8736,2024-11-28 02:53:41+00:00,-37.802242080448615,144.96129218606376,0
8737,2024-11-28 02:57:26+00:00,-37.80224528235741,144.9613214313597,0
8739,2024-11-27 10:09:44+00:00,-37.80225856919544,144.9614389418973,0
8740,2024-11-27 08:40:20+00:00,-37.80226177268457,144.96146818720734,0
8751,2024-10-19 13:31:48+00:00,-37.80228717056752,144.96170212543996,0
8743,2024-11-28 01:15:59+00:00,-37.802277599315886,144.96161438831626,0
8750,2024-11-28 03:14:47+00:00,-37.8022713826584,144.96155592654753,1
9347,2024-08-21 03:58:04+00:00,-37.805096352997225,144.95923156155152,1
9356,2024-07-05 11:02:23+00:00,-37.804990182314754,144.9586637442418,0
9367,2024-01-18 02:58:11+00:00,-37.80568474625133,144.9589842734913,0
9345,2024-08-11 11:07:54+00:00,-37.80499480404235,144.9591846617755,0
9351,2024-03-31 12:33:16+00:00,-37.80570432547628,144.95951121701592,1
9366,2024-08-20 07:55:24+00:00,-37.80563393922076,144.95896100249817,0
24426,2025-01-20 07:00:34+00:00,-37.795172433212144,144.97205152453165,1
8748,2024-10-19 13:31:32+00:00,-37.80230041287619,144.96182135461714,0
8753,2024-11-28 02:40:31+00:00,-37.80223656015707,144.9612340509617,0
56625,2025-02-13 05:19:25+00:00,-37.81972470958111,144.95713757986294,0
6934,2023-11-28 23:35:32+00:00,-37.82008789716498,144.95730555908776,1
56624,2025-02-13 05:31:41+00:00,-37.8197729040899,144.95716028645603,0
10287,2025-01-21 02:13:44+00:00,-37.79491926425749,144.97141229186371,0
10295,2025-01-20 23:53:13+00:00,-37.795245956927744,144.9727365528309,0
10294,2025-01-20 20:40:40+00:00,-37.79522903952584,144.97258333501773,0
10296,2025-01-21 00:17:55+00:00,-37.79525835643487,144.97284901920167,1
24425,2025-01-21 03:10:07+00:00,-37.79517932433332,144.9721162023573,0
66025,2024-10-11 03:47:55+00:00,-37.81022571352348,144.9653774046867,1
66061,2024-10-01 23:17:12+00:00,-37.8101691211248,144.9657566431519,0
22776,2024-05-03 03:56:57+00:00,-37.82337001046017,144.96661886495528,0
66033,2024-10-11 05:10:42+00:00,-37.810383455394586,144.96483799782146,0
66056,2024-10-11 03:43:14+00:00,-37.8100665768745,144.9661034598762,1
51819,2024-12-16 22:41:49+00:00,-37.814010865674746,144.96877776293968,0
63234,2025-01-22 06:57:20+00:00,-37.816841097323454,144.95810753535793,1
66062,2024-10-11 04:00:46+00:00,-37.81018811964185,144.96569164078795,1
22772,2024-05-03 04:21:09+00:00,-37.823420177807634,144.9668770118377,0
8393,2025-04-04 23:56:52+00:00,-37.80699579542375,144.97322651483523,0
62713,2025-03-06 22:35:37+00:00,-37.81319239221083,144.9704750954116,1
51834,2025-06-07 23:44:32+00:00,-37.81433784981002,144.968802858015,1
51824,2025-06-03 03:36:50+00:00,-37.8145733924308,144.9689087192393,1
63641,2025-05-29 03:38:35+00:00,-37.8131679070188,144.96703581279206,0
63639,2025-05-26 05:52:26+00:00,-37.81310634815438,144.9672464995096,0
10283,2025-01-16 04:56:56+00:00,-37.79497966524963,144.9719705034874,1
24369,2025-01-18 04:03:08+00:00,-37.79506182972317,144.97271754964473,1
24366,2025-01-10 07:20:16+00:00,-37.79494701546585,144.97167049003838,1
24367,2025-01-17 20:39:32+00:00,-37.7949123189659,144.97134759145723,1
11115,2023-06-07 01:06:40+00:00,-37.8058611196018,144.952139906509,1
9727,2025-07-01 02:14:03+00:00,-37.81068435233683,144.94881538112529,1
11121,2023-06-07 00:41:04+00:00,-37.80602702350672,144.95211012372965,0
11122,2023-06-07 21:56:09+00:00,-37.80605009231655,144.952105960915,0
11246,2025-06-03 12:28:13+00:00,-37.80720039499499,144.95445233270416,0
10804,2025-02-28 02:17:36+00:00,-37.806343223584506,144.9551838594689,0
