,trip_id,start_time,start_date,lat,lon,bearing,timestamp,vehicle_id,occupancy_stat,,
31,3211.UJ.2-HBG-B-mjp-1.23.R,16:01:00,15/05/2022,-37.70381927,145.0904541,25.44312286,2022-05-15 15:43:16+10:00,1320T-1646T-39M-40M-891M-892M,1,,
32,3218.UJ.2-HBG-B-mjp-1.19.R,16:00:00,15/05/2022,-37.67313004,145.159668,77.17559814,2022-05-15 15:43:07+10:00,1302T-1443T-285M-286M-3M-4M,1,,
33,3225.UJ.2-HBG-B-mjp-1.23.R,16:41:00,15/05/2022,-37.81568909,144.9763336,96.71962738,2022-05-15 15:43:19+10:00,1303T-1379T-157M-158M-5M-6M,1,,
34,3232.UJ.2-HBG-B-mjp-1.19.R,16:40:00,15/05/2022,-37.77917099,145.0120087,88.63848114,2022-05-15 15:43:06+10:00,1349T-1392T-183M-184M-97M-98M,1,,
35,4354.UJ.2-GLW-B-mjp-1.11.R,15:25:00,15/05/2022,-37.84988022,145.0424347,-52.23921204,2022-05-15 15:43:10+10:00,1370T-139M-140M-1682T-963M-964M,1,,
36,4366.UJ.2-GLW-B-mjp-1.11.R,16:05:00,15/05/2022,-37.87627792,145.1500549,98.98425293,2022-05-15 15:40:14+10:00,129M-1307T-130M-1365T-13M-14M,1,,
37,4371.UJ.2-GLW-B-mjp-1.12.R,16:25:00,15/05/2022,-37.83968353,145.0325012,98.96681976,2022-05-15 15:42:54+10:00,1404T-1672T-207M-208M-943M-944M,1,,
38,4866.UJ.2-ALM-B-mjp-1.1.H,15:29:00,15/05/2022,-37.8630867,145.0808411,17.83671951,2022-05-15 15:41:11+10:00,1441T-281M-282M,1,,
39,4870.UJ.2-ALM-B-mjp-1.8.R,15:47:00,15/05/2022,-37.8630867,145.0808411,17.83671951,2022-05-15 15:41:11+10:00,1441T-281M-282M,1,,
40,4874.UJ.2-ALM-B-mjp-1.1.H,15:49:00,15/05/2022,-37.82505417,145.0540466,-38.61381149,2022-05-15 15:41:45+10:00,1321T-41M-42M,1,,
41,4882.UJ.2-ALM-B-mjp-1.1.H,16:09:00,15/05/2022,-37.8630867,145.0808411,17.83671951,2022-05-15 15:41:11+10:00,1441T-281M-282M,1,,
42,499.UJ.2-WBE-B-mjp-1.10.R,15:05:00,15/05/2022,-37.79958725,144.9254456,99.26116943,2022-05-15 15:43:17+10:00,100M-111M-112M-1350T-1356T-99M,2,,
43,507.UJ.2-WBE-B-mjp-1.10.R,15:25:00,15/05/2022,-37.86667633,144.8249207,95.87256622,2022-05-15 15:43:15+10:00,1029T-1068T-357M-358M-435M-436M,1,,
44,511.UJ.2-WBE-B-mjp-1.2.H,15:26:00,15/05/2022,-37.81639099,144.8896942,196.2956848,2022-05-15 15:42:24+10:00,1330T-1665T-59M-60M-929M-930M,2,,
45,5112.UJ.2-GLW-B-mjp-1.2.H,14:59:00,15/05/2022,-37.87627792,145.1500549,98.98425293,2022-05-15 15:40:14+10:00,129M-1307T-130M-1365T-13M-14M,1,,
46,5114.UJ.2-GLW-B-mjp-1.2.H,15:19:00,15/05/2022,-37.83968353,145.0325012,98.96681976,2022-05-15 15:42:54+10:00,1404T-1672T-207M-208M-943M-944M,2,,
47,5118.UJ.2-GLW-B-mjp-1.2.H,15:39:00,15/05/2022,-37.81806946,144.9517212,-29.35775375,2022-05-15 15:42:53+10:00,1311T-1416T-21M-22M-231M-232M,1,,
