,date,sensor_description,latitude,longitude,Total_Pedestrian_Count,day
1484,2019-03-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,30265,Wednesday
1485,2019-03-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,36386,Thursday
1486,2019-03-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,44178,Friday
1487,2019-03-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,38674,Saturday
1488,2019-03-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,29266,Sunday
1489,2019-03-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,32814,Monday
1490,2019-03-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,30130,Tuesday
1491,2019-03-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,28494,Wednesday
1492,2019-03-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,33876,Thursday
1493,2019-03-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,40734,Friday
1494,2019-03-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,35469,Saturday
1495,2019-03-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,30142,Sunday
1496,2019-03-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,26991,Monday
1497,2019-03-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,30953,Tuesday
1498,2019-03-27,Bourke Street Mall (North),-37.813494399999996,144.96515324,32998,Wednesday
1499,2019-03-28,Bourke Street Mall (North),-37.813494399999996,144.96515324,36399,Thursday
1500,2019-03-29,Bourke Street Mall (North),-37.813494399999996,144.96515324,36007,Friday
1501,2019-03-30,Bourke Street Mall (North),-37.813494399999996,144.96515324,32647,Saturday
1502,2019-03-31,Bourke Street Mall (North),-37.813494399999996,144.96515324,27911,Sunday
1503,2019-04-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,28289,Monday
1504,2019-04-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,31825,Tuesday
1505,2019-04-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,30582,Wednesday
1506,2019-04-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,34392,Thursday
1507,2019-04-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,40150,Friday
1508,2019-04-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,36743,Saturday
1509,2019-04-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,32763,Sunday
1510,2019-04-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,30541,Monday
1511,2019-04-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,32529,Tuesday
1512,2019-04-10,Bourke Street Mall (North),-37.813494399999996,144.96515324,33377,Wednesday
1513,2019-04-11,Bourke Street Mall (North),-37.813494399999996,144.96515324,37895,Thursday
1514,2019-04-12,Bourke Street Mall (North),-37.813494399999996,144.96515324,43643,Friday
1515,2019-04-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,38780,Saturday
1516,2019-04-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,32239,Sunday
1517,2019-04-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,33831,Monday
1518,2019-04-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,35932,Tuesday
1519,2019-04-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,34990,Wednesday
1520,2019-04-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,41266,Thursday
1521,2019-04-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,24378,Friday
1522,2019-04-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,42746,Saturday
1523,2019-04-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,32676,Sunday
1524,2019-04-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,28478,Monday
1525,2019-04-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,31072,Tuesday
1526,2019-04-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,34958,Wednesday
1527,2019-04-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,30718,Thursday
1528,2019-04-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,34410,Friday
1529,2019-04-27,Bourke Street Mall (North),-37.813494399999996,144.96515324,33101,Saturday
1530,2019-04-28,Bourke Street Mall (North),-37.813494399999996,144.96515324,24761,Sunday
1531,2019-04-29,Bourke Street Mall (North),-37.813494399999996,144.96515324,28406,Monday
1532,2019-04-30,Bourke Street Mall (North),-37.813494399999996,144.96515324,30383,Tuesday
1533,2019-05-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,33235,Wednesday
1534,2019-05-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,32155,Thursday
1535,2019-05-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,40089,Friday
1536,2019-05-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,33568,Saturday
1537,2019-05-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,28696,Sunday
1538,2019-05-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,28929,Monday
1539,2019-05-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,30622,Tuesday
1540,2019-05-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,30070,Wednesday
1541,2019-05-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,32752,Thursday
1542,2019-05-10,Bourke Street Mall (North),-37.813494399999996,144.96515324,32110,Friday
1543,2019-05-11,Bourke Street Mall (North),-37.813494399999996,144.96515324,33713,Saturday
1544,2019-05-12,Bourke Street Mall (North),-37.813494399999996,144.96515324,26560,Sunday
1545,2019-05-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,28526,Monday
1546,2019-05-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,29307,Tuesday
1547,2019-05-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,29580,Wednesday
1548,2019-05-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,32567,Thursday
1549,2019-05-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,40253,Friday
1550,2019-05-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,36811,Saturday
1551,2019-05-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,28851,Sunday
1552,2019-05-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,28610,Monday
1553,2019-05-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,29230,Tuesday
1554,2019-05-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,31738,Wednesday
1555,2019-05-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,34002,Thursday
1556,2019-05-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,38394,Friday
1557,2019-05-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,32174,Saturday
1558,2019-05-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,27107,Sunday
