name,type,latitude,longitude,operator
Oakleigh Police Station,police,-37.8979681,145.08798887376327,
Mill Park Police Station,police,-37.65760975,145.07538801014573,Victoria Police
Boroondara Police Station,police,-37.799745,145.05184496533766,Victoria Police
Attwood Police Complex,police,-37.6609075,144.88180726798967,Victoria Police
Craigieburn Police Station,police,-37.598677,144.9331765625174,
Unnamed Police Facility,police,-38.22122185,145.1552861652713,
Chelsea Police Station,police,-38.05123775,145.1163609731704,
Bayside Police Station,police,-37.9483186,145.00389039157525,Victoria Police
Camberwell Police Station,police,-37.83314795,145.05931276796417,Victoria Police
Mooroolbark Police Station,police,-37.7894693,145.31082816013515,Victoria Police
Unnamed Police Facility,police,-37.845766600000005,145.17161264209756,
Unnamed Police Facility,police,-37.676404399999996,144.85063441512568,
Australian Department of Home Affairs / Agriculture,police,-37.6760052,144.85157578805754,
Rosebud Police Station,police,-38.3698081,144.88991529502601,Victoria Police
Mount Evelyn Police Station,police,-37.787155150000004,145.38055368967423,Victoria Police
Werribee Police Station,police,-37.894397299999994,144.6814544841182,Victoria Police
Altona Police Station,police,-37.86322235,144.8100769568906,Victoria Police
Warrandyte Police Station,police,-37.74060265,145.21275357145979,Victoria Police
Box Hill Police Station,police,-37.817864400000005,145.12730660837144,Victoria Police
Brunswick Police Station,police,-37.7628428,144.96318523087376,Victoria Police
Clayton,police,-37.920105649999996,145.12034458500506,Victoria Police
Moorabbin Police Complex,police,-37.93697985,145.0383604001561,
Narre Warren Police Station,police,-38.025703199999995,145.31116067889775,Victoria Police
Knox Police Station,police,-37.8699735,145.23665519779362,
Melton Police Station,police,-37.68557105,144.5775180420453,Victoria Police
Doncaster Police Station,police,-37.78822275,145.15789062776133,Victoria Police
