date,Year,Month,day of week,Rainfall amount (millimetres)
2015-01-01,2015,Jan,Thursday,0.0
2015-01-02,2015,Jan,Friday,0.0
2015-01-03,2015,Jan,Saturday,0.0
2015-01-04,2015,Jan,Sunday,4.2
2015-01-05,2015,Jan,Monday,0.0
2015-01-06,2015,Jan,Tuesday,0.0
2015-01-07,2015,Jan,Wednesday,0.0
2015-01-08,2015,Jan,Thursday,19.4
2015-01-09,2015,Jan,Friday,1.2
2015-01-10,2015,Jan,Saturday,5.2
2015-01-11,2015,Jan,Sunday,0.0
2015-01-12,2015,Jan,Monday,0.0
2015-01-13,2015,Jan,Tuesday,0.0
2015-01-14,2015,Jan,Wednesday,15.8
2015-01-15,2015,Jan,Thursday,0.0
2015-01-16,2015,Jan,Friday,0.0
2015-01-17,2015,Jan,Saturday,0.0
2015-01-18,2015,Jan,Sunday,0.0
2015-01-19,2015,Jan,Monday,0.0
2015-01-20,2015,Jan,Tuesday,0.0
2015-01-21,2015,Jan,Wednesday,0.0
2015-01-22,2015,Jan,Thursday,0.0
2015-01-23,2015,Jan,Friday,0.0
2015-01-24,2015,Jan,Saturday,0.0
2015-01-25,2015,Jan,Sunday,0.0
2015-01-26,2015,Jan,Monday,1.0
2015-01-27,2015,Jan,Tuesday,0.6
2015-01-28,2015,Jan,Wednesday,0.0
2015-01-29,2015,Jan,Thursday,0.0
2015-01-30,2015,Jan,Friday,0.0
2015-01-31,2015,Jan,Saturday,0.0
2015-02-01,2015,Feb,Sunday,9.2
2015-02-02,2015,Feb,Monday,3.8
2015-02-03,2015,Feb,Tuesday,0.0
2015-02-04,2015,Feb,Wednesday,0.0
2015-02-05,2015,Feb,Thursday,0.0
2015-02-06,2015,Feb,Friday,0.0
2015-02-07,2015,Feb,Saturday,0.0
2015-02-08,2015,Feb,Sunday,0.0
2015-02-09,2015,Feb,Monday,0.0
2015-02-10,2015,Feb,Tuesday,0.0
2015-02-11,2015,Feb,Wednesday,0.0
2015-02-12,2015,Feb,Thursday,0.0
2015-02-13,2015,Feb,Friday,0.0
2015-02-14,2015,Feb,Saturday,19.6
2015-02-15,2015,Feb,Sunday,0.4
2015-02-16,2015,Feb,Monday,0.0
2015-02-17,2015,Feb,Tuesday,0.0
2015-02-18,2015,Feb,Wednesday,0.0
2015-02-19,2015,Feb,Thursday,0.0
2015-02-20,2015,Feb,Friday,0.0
2015-02-21,2015,Feb,Saturday,0.0
2015-02-22,2015,Feb,Sunday,1.6
2015-02-23,2015,Feb,Monday,0.0
2015-02-24,2015,Feb,Tuesday,3.2
2015-02-25,2015,Feb,Wednesday,0.0
2015-02-26,2015,Feb,Thursday,0.0
2015-02-27,2015,Feb,Friday,0.0
2015-02-28,2015,Feb,Saturday,0.0
