service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF10-13-462-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-13-469-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-501-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-528-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-529-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-530-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-531-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-532-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-533-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-537-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-16-544-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF10-18-901-aus","0","0","0","1","0","0","0","20250328","20250629"
"MF10-18-902-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-18-903-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-22-695-F-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-32-600-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-32-603-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-32-604-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-32-922-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-32-923-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF10-38-406-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF10-38-410-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF10-42-357-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF10-42-386-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF10-82-400-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF10-82-414-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF10-82-439-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF11-17-200-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-202-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-207-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-234-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-235-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-236-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-237-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-246-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-250-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-251-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-270-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-279-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-284-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-285-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-293-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-302-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-304-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-305-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-309-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-350-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-510-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-512-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-903-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-905-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-906-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-907-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-17-908-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF1-13-460-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF1-13-462-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF1-13-463-aus","1","1","1","1","0","0","0","20250328","20250629"
"MF1-13-469-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF1-13-476-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-35-215-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-216-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-220-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-223-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-232-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-234-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-235-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-236-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-237-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-426-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-429-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF11-35-903-aus","0","1","0","0","0","0","0","20250328","20250629"
"MF1-14-200-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-207-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF11-42-357-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-42-386-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF1-14-270-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-271-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-273-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-279-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-280-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-281-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-282-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-284-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-285-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-293-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-295-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-302-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-303-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-304-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-305-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-309-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-318-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-364-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-370-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-668-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-669-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-901-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF1-14-903-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-905-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-906-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-907-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-14-908-aus","1","0","0","0","0","0","0","20250328","20250629"
"MF1-16-524-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF11-82-150-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-151-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-152-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-153-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-160-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-161-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-166-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-167-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-170-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-180-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-181-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-182-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-190-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-191-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-192-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-400-aus","1","1","1","1","1","0","0","20250328","20250629"
"MF11-82-411-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-412-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-415-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-417-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-441-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-443-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-494-aus","0","0","0","0","1","0","0","20250328","20250629"
"MF11-82-495-aus","0","0","0","0","1","0","0","20250328","20250629"
