zone,MAE,RMSE
0,5.97222900390625,8.21532667684168
1,3.7219552993774414,4.9163450146651275
2,4.131579875946045,5.69474113539159
3,5.595373153686523,8.027654533217502
4,3.878453493118286,5.224329358734493
5,5.660752296447754,7.792941582424449
6,5.141541481018066,7.33465922535931
7,4.250248908996582,5.524728324735415
8,4.018728256225586,5.547927627619498
9,3.527092933654785,4.556877120282647
