zone,MAE,RMSE
0,6.432287693023682,8.408737778805737
1,5.442478656768799,7.762889357183639
2,4.017805576324463,5.162270839675886
3,3.252484083175659,4.4267322834927345
4,6.042684078216553,8.540250732171707
5,5.914261817932129,7.862539454423315
6,4.146184921264648,5.787360843443802
7,3.850163698196411,4.964166026226107
8,4.685365676879883,5.773577243213224
9,4.590017318725586,5.6743205869544555
