zone,MAE,RMSE,R2
0,5.458169534172811,7.18541815026228,-0.0075176697829562045
1,3.398399272435148,4.315791960016869,-0.03821368982793971
2,3.9927704770800094,5.205944391619478,-0.008954132551440841
3,4.781616318393761,6.655177461181543,-0.002797583955654881
4,3.835002899169922,4.972321740287772,-0.0407642525196954
5,4.788164568618989,6.286309557294799,0.009493608465999004
6,4.585632592859403,6.272160390440409,-0.0361393114357027
7,4.102980492820202,5.168722544322878,-0.019468343426334966
8,3.4035117458289776,4.6603528753115775,0.004610162030476372
9,3.3899871933628134,4.240045160360593,0.027690626223884296
