zone,MAE,RMSE
0,4.396953582763672,6.452135356545125
1,6.203239917755127,8.377586307018447
2,4.068955898284912,5.330675158081874
3,5.814975261688232,8.077087926055675
4,4.1067795753479,5.413617885107613
5,5.592458724975586,7.561493357347667
6,3.655073404312134,4.990624602526205
7,3.9162745475769043,5.181442584794459
8,4.769176483154297,6.339943631760952
9,3.729477882385254,5.007509885979129
