census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_Cafe
2003,Kensington,8,6.0,0.8,0.0,36.0,0.4,1.8,1.2,1.6,9.0,0.8,19.8,0.0,1.6,4.800000000000001,2.4000000000000004,1.2,7.0,3.0,11.5,84.5,1332.0,3
2003,Melbourne (CBD),1072,496.5,391.20000000000005,1.4000000000000001,55.199999999999996,13.600000000000001,128.70000000000002,15.899999999999999,496.0,332.0,172.8,260.1,3.1,121.0,1074.4,128.8,88.8,1317.0,77.39999999999999,64.0,3582.0,493.0,150
2003,Melbourne (Remainder),37,12.0,19.200000000000003,0.2,21.599999999999998,1.0,7.2,1.2,31.200000000000003,54.0,8.8,6.3,0.30000000000000004,5.4,75.2,3.2,3.0,17.0,4.2,4.0,189.0,0.0,9
2003,North Melbourne,99,45.0,26.400000000000002,0.2,18.599999999999998,3.8000000000000003,13.5,6.3,18.400000000000002,37.0,24.0,70.2,0.1,25.400000000000002,113.60000000000001,3.2,11.4,95.0,22.8,31.5,433.5,171.0,0
2003,Parkville,33,25.0,2.4000000000000004,0.2,12.0,0.0,9.9,2.4,4.800000000000001,45.0,1.6,3.6,0.0,4.800000000000001,10.4,3.2,0.6,18.0,2.4,1.0,108.0,0.0,0
2003,Port Melbourne,3,2.0,4.800000000000001,0.0,5.3999999999999995,2.2,1.8,1.5,1.6,0.0,6.4,33.300000000000004,0.1,0.4,16.8,4.0,1.7999999999999998,8.0,12.6,17.5,90.0,0.0,8
2003,South Yarra,10,7.5,0.8,0.0,2.4,0.0,10.8,1.7999999999999998,0.0,5.0,0.8,0.0,0.0,2.2,1.6,1.6,0.0,10.0,0.0,0.0,34.5,24.0,3
2003,Southbank,100,45.5,15.200000000000001,0.4,22.8,1.6,9.0,6.3,18.400000000000002,12.0,31.200000000000003,12.6,0.5,9.600000000000001,72.8,8.0,10.2,96.0,9.6,10.5,290.5,182.0,7
2003,West Melbourne (Industrial),13,5.0,4.0,0.2,4.2,1.0,0.0,2.6999999999999997,0.8,0.0,1.6,17.1,0.0,1.4000000000000001,2.4000000000000004,1.6,9.0,7.0,52.199999999999996,109.0,199.0,0.0,0
2003,West Melbourne (Residential),55,24.0,20.8,0.0,12.6,1.8,7.2,2.4,15.200000000000001,18.0,14.4,35.1,0.1,13.8,71.2,7.2,4.2,52.0,13.799999999999999,22.5,254.5,95.0,0
2004,Carlton,274,101.0,30.400000000000002,0.0,21.599999999999998,2.4000000000000004,61.2,4.5,35.2,96.0,23.200000000000003,27.0,0.0,33.2,126.4,13.600000000000001,13.2,168.0,6.6,14.0,570.0,58.0,26
2004,Docklands,50,18.0,4.0,0.2,5.3999999999999995,0.8,1.8,1.7999999999999998,2.4000000000000004,6.0,4.0,2.7,0.0,2.6,4.800000000000001,5.6000000000000005,1.2,16.0,10.799999999999999,1.5,72.5,183.0,58
2004,East Melbourne,44,27.5,16.0,0.2,24.599999999999998,0.8,11.700000000000001,2.1,12.0,104.0,6.4,5.4,0.0,9.4,58.400000000000006,13.600000000000001,4.2,16.0,1.7999999999999998,3.0,221.5,41.0,16
2004,Kensington,11,5.5,1.6,0.0,36.0,0.6000000000000001,0.9,1.5,1.6,11.0,0.0,22.5,0.0,2.6,7.2,2.4000000000000004,1.2,7.0,3.0,9.5,89.0,111.0,0
2004,Melbourne (CBD),1222,553.0,408.0,1.8,68.39999999999999,14.0,140.4,18.0,472.8,331.0,170.4,258.3,2.7,116.60000000000001,1112.8,132.0,88.8,1409.0,72.0,66.0,3711.0,1085.0,76
2004,Melbourne (Remainder),46,14.5,17.6,0.2,22.2,1.2000000000000002,6.3,0.8999999999999999,24.8,49.0,8.8,5.4,0.30000000000000004,6.6000000000000005,58.400000000000006,4.0,4.2,19.0,5.3999999999999995,3.5,179.0,0.0,0
2004,North Melbourne,99,45.0,26.400000000000002,0.2,18.599999999999998,3.8000000000000003,13.5,6.3,18.400000000000002,37.0,24.0,70.2,0.1,25.400000000000002,113.60000000000001,3.2,11.4,95.0,22.8,31.5,433.5,168.0,17
2004,Parkville,33,25.0,2.4000000000000004,0.2,12.0,0.0,9.9,2.4,4.800000000000001,45.0,1.6,3.6,0.0,4.800000000000001,10.4,3.2,0.6,18.0,2.4,1.0,108.0,0.0,0
