date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),CollinsPlaceNorth
2015-04-02,0,12.8,17.2,17.5,0.2,11780.0
2015-04-03,1,8.0,20.9,17.4,0.0,2136.0
2015-04-04,1,8.5,23.5,16.2,0.0,2946.0
2015-04-05,0,10.2,18.5,9.8,0.0,2134.0
2015-04-06,1,11.2,18.4,13.0,0.0,1586.0
2015-04-07,0,12.4,17.3,3.9,0.0,9628.0
2015-04-08,0,13.3,17.7,12.6,5.6,10422.0
2015-04-09,0,8.7,19.1,10.9,0.0,10921.0
2015-04-10,0,8.6,18.7,15.9,0.0,10931.0
2015-04-11,0,11.6,23.7,14.9,0.0,2747.0
2015-04-12,0,12.1,18.3,13.4,0.0,1976.0
2015-04-13,0,7.3,19.1,14.9,0.0,10747.0
2015-04-14,0,10.5,24.7,8.4,1.6,11313.0
2015-04-15,0,13.9,27.6,12.8,2.4,11416.0
2015-04-16,0,15.6,17.8,10.9,0.0,11346.0
2015-04-17,0,10.1,17.1,7.5,0.0,11090.0
2015-04-18,0,13.5,21.9,9.9,3.6,2867.0
2015-04-19,0,9.7,14.7,11.0,6.4,1858.0
2015-04-20,0,7.0,16.2,12.7,1.4,10329.0
2015-04-21,0,6.5,17.7,13.8,0.0,11118.0
2015-04-22,0,9.1,19.5,7.1,0.0,10883.0
2015-04-23,0,12.2,19.2,7.5,0.0,11018.0
2015-04-24,0,14.4,21.1,7.8,0.0,10886.0
2015-04-25,1,11.6,15.0,3.5,3.0,2709.0
2015-04-26,0,10.4,15.4,5.9,7.0,1579.0
2015-04-27,0,10.5,15.1,8.3,4.0,10208.0
2015-04-28,0,10.1,16.0,8.9,1.6,10842.0
2015-04-29,0,7.4,17.1,12.6,0.0,10906.0
2015-04-30,0,6.4,19.6,12.3,0.0,10980.0
2015-05-01,0,7.9,23.1,12.1,0.0,11593.0
2015-05-02,0,11.6,22.2,6.1,0.0,2294.0
2015-05-03,0,9.7,18.2,11.2,0.0,1585.0
2015-05-04,0,7.5,22.3,11.6,0.0,10688.0
2015-05-05,0,9.2,18.1,7.1,0.6,10713.0
2015-05-06,0,9.5,16.2,7.6,1.4,10564.0
2015-05-07,0,10.3,15.6,6.9,2.2,10703.0
2015-05-08,0,10.5,15.9,5.9,0.2,10777.0
2015-05-09,0,12.8,18.7,7.3,0.0,2240.0
2015-05-10,0,12.8,16.6,5.9,8.6,1220.0
2015-05-11,0,12.4,15.9,7.9,2.6,10579.0
2015-05-12,0,12.8,17.4,5.9,0.0,10917.0
2015-05-13,0,6.3,12.8,8.7,6.8,10626.0
2015-05-14,0,7.3,14.6,6.7,4.4,10950.0
2015-05-15,0,11.5,14.5,6.2,1.8,10459.0
2015-05-16,0,11.3,16.2,10.4,0.0,2520.0
2015-05-17,0,7.4,20.5,10.3,0.0,1839.0
2015-05-18,0,7.2,20.4,10.2,0.0,10413.0
2015-05-19,0,9.9,16.2,3.2,0.0,10707.0
2015-05-20,0,13.6,18.1,6.0,2.4,10818.0
2015-05-21,0,10.3,13.6,3.5,6.2,10793.0
2015-05-22,0,9.1,14.1,6.7,0.4,10380.0
2015-05-23,0,10.4,13.3,7.7,0.0,2348.0
2015-05-24,0,6.0,15.6,8.6,0.0,1434.0
2015-05-25,0,7.4,17.1,8.1,0.0,10351.0
2015-05-26,0,5.4,15.6,6.8,0.0,10896.0
2015-05-27,0,7.9,18.7,7.4,0.0,10576.0
2015-05-28,0,13.1,19.7,8.4,0.0,11160.0
2015-05-29,0,9.5,15.8,6.6,0.0,10652.0
2015-05-30,0,11.0,17.3,8.0,0.0,2872.0
2015-05-31,0,12.3,16.8,4.9,0.0,1524.0
2015-06-01,0,5.2,12.2,8.1,8.2,9956.0
2015-06-02,0,7.1,11.4,4.6,4.2,10690.0
2015-06-03,0,8.1,13.6,8.2,0.8,10625.0
2015-06-04,0,4.4,11.3,5.5,0.0,10364.0
2015-06-05,0,7.0,15.0,7.0,4.2,9960.0
2015-06-06,0,9.2,16.6,6.4,0.2,2731.0
2015-06-07,0,11.2,14.5,6.9,0.0,2083.0
2015-06-08,1,11.1,18.5,8.2,0.0,1400.0
2015-06-09,0,10.3,13.5,8.6,4.0,10289.0
2015-06-10,0,7.5,13.4,7.1,0.0,10698.0
2015-06-11,0,5.7,14.0,8.3,1.332207488,10917.0
2015-06-12,0,5.2,13.1,6.9,0.0,10304.0
2015-06-13,0,6.0,18.2,8.0,0.0,2270.0
2015-06-14,0,5.8,17.4,8.0,0.0,1456.0
2015-06-15,0,7.1,16.9,6.6,0.0,10583.0
2015-06-16,0,9.5,16.1,3.3,5.0,10882.0
2015-06-17,0,11.7,13.8,4.7,0.0,10801.0
2015-06-18,0,10.7,12.7,4.2,1.0,10803.0
2015-06-19,0,7.0,12.4,7.9,0.2,10445.0
2015-06-20,0,4.1,11.6,7.1,0.0,2341.0
2015-06-21,0,2.2,12.9,8.6,0.0,1906.0
2015-06-22,0,3.6,14.1,6.2,0.0,9898.0
2015-06-23,0,9.6,17.6,5.8,0.0,10728.0
2015-06-24,0,12.2,16.0,7.7,0.0,10868.0
2015-06-25,0,9.6,14.0,6.3,0.0,11127.0
2015-06-26,0,10.5,16.9,7.1,0.0,10935.0
2015-06-27,0,8.0,14.1,5.0,0.0,3051.0
2015-06-28,0,9.6,14.5,4.1,0.0,1433.0
2015-06-29,0,6.9,12.3,5.6,0.0,10353.0
2015-06-30,0,5.0,14.2,7.9,0.0,10628.0
2015-07-01,0,7.4,15.0,6.9,0.0,10661.0
2015-07-02,0,10.3,11.9,7.0,0.6,10619.0
2015-07-03,0,5.9,12.0,5.0,2.6,10384.0
2015-07-04,0,7.3,10.6,2.8,0.0,2388.0
