,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
231 Bourke St,32.333333333333336,16.416666666666668,14.333333333333334,8.583333333333334,6.75,7.75,13.333333333333334,37.666666666666664,55.333333333333336,70.08333333333333,138.25,202.83333333333334,266.0833333333333,329.8333333333333,322.5,309.25,270.5833333333333,209.33333333333334,143.58333333333334,113.08333333333333,101.83333333333333,77.5,61.583333333333336,40.083333333333336,"(-37.81333081, 144.96675572)",144.96675572,-37.81333081
Alfred Place,9.36111111111111,6.111111111111111,5.75,4.000000000000001,4.861111111111111,5.638888888888889,17.11111111111111,12.722222222222223,17.75,24.833333333333332,32.666666666666664,32.97222222222222,40.611111111111114,45.861111111111114,38.13888888888889,38.916666666666664,33.97222222222222,36.583333333333336,31.0,22.222222222222225,15.138888888888891,18.166666666666668,11.0,10.361111111111112,"(-37.81379749, 144.96995745)",144.96995745,-37.81379749
Birrarung Marr,12.25,8.166666666666666,9.083333333333334,11.75,8.166666666666666,5.0,17.583333333333332,46.166666666666664,104.33333333333333,173.41666666666666,220.91666666666666,286.1666666666667,260.9166666666667,251.08333333333334,239.41666666666666,226.0,205.33333333333334,118.08333333333333,56.25,38.083333333333336,29.75,23.916666666666668,10.416666666666666,11.75,"(-37.81862929, 144.97169395)",144.97169395,-37.81862929
Bourke St - Spencer St (North),31.333333333333332,27.75,19.083333333333332,11.083333333333334,11.5,14.833333333333334,33.583333333333336,46.916666666666664,72.33333333333333,107.75,150.16666666666666,178.33333333333334,215.0,228.25,244.16666666666666,238.41666666666666,227.25,192.58333333333334,150.5,112.16666666666667,90.91666666666667,76.25,60.666666666666664,36.833333333333336,"(-37.81686074, 144.95358075)",144.95358075,-37.81686074
Bourke St Bridge,11.333333333333334,5.5,3.25,2.4166666666666665,2.3333333333333335,3.4166666666666665,9.75,15.75,34.333333333333336,44.916666666666664,62.916666666666664,79.25,89.25,93.0,105.25,96.16666666666667,85.83333333333333,77.66666666666667,50.833333333333336,39.583333333333336,30.583333333333332,25.583333333333332,21.333333333333332,12.75,"(-37.8176735, 144.95025595)",144.95025595,-37.8176735
Bourke St-Russell St (West),81.5,87.5,41.0,27.0,26.0,26.0,38.5,26.5,42.5,79.0,186.5,286.5,377.5,517.0,536.0,535.0,526.5,454.0,507.0,401.0,368.5,279.0,173.5,117.5,"(-37.81244703, 144.96778757)",144.96778757,-37.81244703
Bourke Street Mall (North),29.916666666666668,17.166666666666668,17.416666666666668,13.5,6.75,10.083333333333334,18.083333333333332,35.583333333333336,90.75,225.16666666666666,429.6666666666667,735.0,1019.1666666666666,1239.25,1364.5833333333333,1429.0833333333333,1287.6666666666667,964.6666666666666,533.0833333333334,288.6666666666667,147.25,96.16666666666667,64.66666666666667,43.25,"(-37.8134944, 144.96515324)",144.96515324,-37.813494399999996
Bourke Street Mall (South),19.0,12.333333333333334,8.333333333333334,6.0,4.333333333333333,6.416666666666667,18.666666666666668,27.166666666666668,53.416666666666664,123.91666666666667,266.8333333333333,457.5833333333333,635.75,749.9166666666666,863.5,824.75,691.75,395.5,190.83333333333334,112.75,76.0,50.0,37.166666666666664,23.583333333333332,"(-37.81380667, 144.96516719)",144.96516719,-37.81380667
Building 80 RMIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9166666666666665,11.083333333333334,22.916666666666668,41.333333333333336,57.833333333333336,73.66666666666667,83.16666666666667,94.16666666666667,82.25,65.16666666666667,14.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-37.80825648, 144.96304859)",144.96304859,-37.80825648
Chinatown-Lt Bourke St (South),27.916666666666668,20.833333333333332,8.416666666666666,7.666666666666667,6.666666666666667,4.833333333333333,6.5,11.25,12.333333333333334,29.5,66.58333333333333,111.5,160.16666666666666,186.83333333333334,162.58333333333334,156.91666666666666,133.08333333333334,145.75,150.16666666666666,154.66666666666666,132.66666666666666,88.25,71.75,35.666666666666664,"(-37.81172913, 144.9682466)",144.96824660000001,-37.81172913
Chinatown-Swanston St (North),42.083333333333336,24.916666666666668,17.0,13.083333333333334,9.083333333333334,6.333333333333333,8.0,11.583333333333334,17.333333333333332,41.416666666666664,96.25,195.83333333333334,321.5,396.9166666666667,409.0,409.0,355.25,363.4166666666667,332.0,293.6666666666667,226.5,145.83333333333334,92.91666666666667,53.166666666666664,"(-37.81237202, 144.96550671)",144.96550671,-37.81237202
Collins Place (North),4.25,1.25,3.0,1.0,1.0833333333333333,4.833333333333333,7.083333333333333,11.25,20.833333333333332,33.25,35.75,51.5,54.583333333333336,52.25,56.25,55.416666666666664,46.166666666666664,35.5,21.833333333333332,17.75,15.416666666666666,8.5,8.5,6.166666666666667,"(-37.81344861, 144.97305354)",144.97305354,-37.81344861
Collins Place (South),6.166666666666667,3.6666666666666665,2.25,3.8333333333333335,2.25,11.75,26.416666666666668,29.916666666666668,47.916666666666664,73.33333333333333,102.0,129.08333333333334,132.5,129.75,118.25,109.5,87.08333333333333,62.333333333333336,44.833333333333336,46.083333333333336,24.666666666666668,20.583333333333332,19.5,8.583333333333334,"(-37.81362542, 144.97323592)",144.97323592,-37.81362542
Collins Street (North),13.5,9.5,7.416666666666667,5.416666666666667,9.583333333333334,23.083333333333332,23.916666666666668,25.666666666666668,51.75,123.0,197.5,305.6666666666667,394.0,421.3333333333333,432.25,395.5,290.0,186.58333333333334,104.0,74.75,60.333333333333336,38.416666666666664,31.583333333333332,20.916666666666668,"(-37.8156419, 144.965499)",144.965499,-37.8156419
Elizabeth St-La Trobe St (East),129.58333333333334,95.83333333333333,70.83333333333333,55.166666666666664,37.916666666666664,37.75,71.75,92.16666666666667,137.08333333333334,261.25,410.5833333333333,605.25,747.9166666666666,897.9166666666666,1013.75,1024.0833333333333,974.25,875.8333333333334,712.5,613.5833333333334,498.8333333333333,408.5833333333333,306.4166666666667,174.66666666666666,"(-37.80988941, 144.96134331)",144.96134331,-37.80988941
Elizabeth St-Lonsdale St (South),16.333333333333332,11.75,9.333333333333334,5.666666666666667,3.0833333333333335,3.75,8.75,13.0,25.166666666666668,43.916666666666664,100.83333333333333,168.91666666666666,205.75,229.75,241.33333333333334,244.16666666666666,217.91666666666666,162.16666666666666,134.91666666666666,111.16666666666667,89.83333333333333,53.833333333333336,32.333333333333336,22.333333333333332,"(-37.81252157, 144.9619401)",144.9619401,-37.81252157
Faraday St-Lygon St (West),13.583333333333334,6.75,3.3333333333333335,2.25,6.083333333333333,6.583333333333333,6.75,14.583333333333334,47.833333333333336,109.25,223.0,292.5833333333333,321.4166666666667,325.4166666666667,317.3333333333333,308.25,250.91666666666666,183.58333333333334,140.58333333333334,133.5,124.83333333333333,91.66666666666667,45.916666666666664,17.666666666666668,"(-37.79808191, 144.96721014)",144.96721014,-37.79808191
Flinders La-Swanston St (West),130.91666666666666,78.58333333333333,51.333333333333336,42.166666666666664,39.833333333333336,74.75,130.25,130.75,208.33333333333334,360.0,545.5833333333334,776.8333333333334,944.9166666666666,1091.75,1091.5,1057.6666666666667,936.1666666666666,773.5833333333334,550.0,401.3333333333333,317.0833333333333,239.5,193.66666666666666,132.83333333333334,"(-37.81668633, 144.96689733)",144.96689733,-37.81668633
Flinders St-Elizabeth St (East),151.0,113.91666666666667,85.58333333333333,61.583333333333336,55.0,80.83333333333333,99.66666666666667,165.08333333333334,261.4166666666667,416.4166666666667,584.1666666666666,777.4166666666666,957.5833333333334,1093.9166666666667,1185.0833333333333,1230.9166666666667,1222.5833333333333,1123.6666666666667,921.5,731.5833333333334,655.4166666666666,560.0,313.8333333333333,187.41666666666666,"(-37.81786445, 144.96506823)",144.96506823,-37.81786445
Flinders St-Spark La,5.5,3.1666666666666665,1.9166666666666667,1.3333333333333333,2.0,4.916666666666667,14.166666666666666,9.416666666666666,20.916666666666668,36.916666666666664,49.916666666666664,59.25,52.25,57.75,66.75,56.666666666666664,51.666666666666664,40.25,28.25,19.166666666666668,16.416666666666668,9.0,10.5,7.0,"(-37.81537985, 144.9741505)",144.97415049999998,-37.81537985
Flinders Street Station Underpass,60.25,30.583333333333332,22.25,11.833333333333334,10.0,28.916666666666668,61.0,86.16666666666667,120.0,190.0,249.33333333333334,326.8333333333333,398.0,414.6666666666667,467.25,449.9166666666667,416.6666666666667,390.8333333333333,279.4166666666667,220.91666666666666,185.91666666666666,151.5,107.91666666666667,75.33333333333333,"(-37.81911704, 144.96558256)",144.96558256,-37.81911704
Grattan St-Swanston St (West),7.666666666666667,4.083333333333333,3.8333333333333335,2.5833333333333335,1.5833333333333333,2.8333333333333335,12.083333333333334,14.083333333333334,18.083333333333332,21.5,38.0,49.416666666666664,55.583333333333336,56.25,59.583333333333336,51.166666666666664,47.416666666666664,47.5,38.333333333333336,26.0,24.333333333333332,25.166666666666668,15.083333333333334,10.833333333333334,"(-37.80008565, 144.96386412)",144.96386412,-37.80008565
La Trobe St (North),44.75,28.75,29.5,15.0,13.25,12.25,37.0,15.75,23.75,35.25,60.75,99.0,115.0,124.5,138.25,120.75,134.75,124.25,116.25,118.5,74.75,74.5,57.5,48.0,"(-37.80996494, 144.96216521)",144.96216521,-37.80996494
Lincoln-Swanston (West),0.4166666666666667,0.6666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.5,0.5,1.3333333333333333,2.4166666666666665,4.166666666666667,3.0833333333333335,1.3333333333333333,1.5,2.3333333333333335,2.6666666666666665,2.25,2.0,3.0833333333333335,2.4166666666666665,1.9166666666666667,1.25,1.1666666666666667,0.8333333333333334,"(-37.804024, 144.963084)",144.963084,-37.804024
Little Collins St-Swanston St (East),30.25,22.916666666666668,16.666666666666668,13.666666666666666,10.25,19.75,29.416666666666668,34.25,62.166666666666664,98.33333333333333,165.16666666666666,250.91666666666666,349.3333333333333,445.0833333333333,460.5,480.4166666666667,432.4166666666667,340.0833333333333,227.16666666666666,175.83333333333334,136.41666666666666,111.83333333333333,72.41666666666667,49.166666666666664,"(-37.81414074, 144.9660938)",144.9660938,-37.81414074
Lonsdale St (South),63.75,38.416666666666664,20.5,17.75,10.333333333333334,15.833333333333334,20.75,16.0,25.0,54.916666666666664,93.83333333333333,163.16666666666666,230.08333333333334,272.0,298.9166666666667,290.8333333333333,280.3333333333333,265.0,239.91666666666666,208.16666666666666,181.66666666666666,147.08333333333334,107.58333333333333,76.75,"(-37.81121849, 144.96656807)",144.96656807,-37.81121849
Lonsdale St - Elizabeth St (North),19.25,11.5,5.666666666666667,3.0833333333333335,2.8333333333333335,2.75,15.5,22.083333333333332,27.916666666666668,49.75,100.41666666666667,152.33333333333334,188.5,208.75,215.16666666666666,202.66666666666666,182.08333333333334,179.5,152.41666666666666,128.08333333333334,111.16666666666667,70.75,44.5,23.666666666666668,"(-37.81234775, 144.96153311)",144.96153311,-37.81234775
Lonsdale St-Spring St (West),10.666666666666666,5.0,4.166666666666667,4.5,2.0833333333333335,4.75,7.166666666666667,13.416666666666666,22.25,42.25,65.08333333333333,76.5,86.25,89.33333333333333,89.16666666666667,70.83333333333333,73.41666666666667,59.5,45.166666666666664,43.75,38.833333333333336,25.916666666666668,20.666666666666668,13.5,"(-37.80999341, 144.97227588)",144.97227588,-37.80999341
