Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,"Prep Total""""","Year 1 Total""""","Year 2 Total""""","Year 3 Total""""","Year 4 Total""""","Year 5 Total""""","Year 6 Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Total""""","Year 8 Total""""","Year 9 Total""""","Year 10 Total""""","Year 11 Total""""","Year 12 Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total""""",Year,CENSUS_TYPE
Catholic,2,1289,St Gabriel's School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,38,10,21,15,11,16,15,0,126,0,0,0,0,0,0,0,0,126,2024,F
Catholic,2,1291,St Paul's School,Primary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,49,52,50,48,50,48,51,0,348,0,0,0,0,0,0,0,0,348,2024,F
Catholic,2,1299,Salesian College Sunbury,Secondary,O,NORTH-WESTERN VICTORIA,Hume (C),Hume Merri-bek,0,0,0,0,0,0,0,0,0,326,311,299,262,255,198,0,1651,1651,2024,F
Catholic,2,1301,St Patrick's School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,25,20,27,23,15,22,22,0,154,0,0,0,0,0,0,0,0,154,2024,F
Catholic,2,1309,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Baw Baw (S),Inner Gippsland,16,12,17,16,19,13,10,0,103,0,0,0,0,0,0,0,0,103,2024,F
Catholic,2,1310,St Patrick's School,Primary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,36,25,44,32,47,38,40,0,262,0,0,0,0,0,0,0,0,262,2024,F
Catholic,2,1311,St Roch's School,Primary,O,SOUTH-EASTERN VICTORIA,Stonnington (C),Bayside Peninsula,17,23,19,22,20,17,19,0,137,0,0,0,0,0,0,0,0,137,2024,F
Catholic,2,1328,St Anne's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,9,12,12,6,15,9,10,0,73,0,0,0,0,0,0,0,0,73,2024,F
Catholic,2,1342,Our Lady of Perpetual Help School,Primary,O,NORTH-EASTERN VICTORIA,Maroondah (C),Outer Eastern Melbourne,28,46,23,31,38,35,49,0,250,0,0,0,0,0,0,0,0,250,2024,F
Catholic,2,1343,St Francis Xavier Primary School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,53,49,49,47,49,49,34,0,330,0,0,0,0,0,0,0,0,330,2024,F
Catholic,2,1347,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),Bayside Peninsula,25,23,12,23,19,18,21,0,141,0,0,0,0,0,0,0,0,141,2024,F
Catholic,2,1354,St Cecilia's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,45,40,49,36,40,21.4,33,0,264.4,0,0,0,0,0,0,0,0,264.4,2024,F
Catholic,2,1368,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,47,50,50,47,54,50,45,0,343,0,0,0,0,0,0,0,0,343,2024,F
Catholic,2,1373,St Joseph's School,Primary,O,NORTH-WESTERN VICTORIA,Mildura (RC),Mallee,17,16,16,9,14,12,12,0,96,0,0,0,0,0,0,0,0,96,2024,F
Catholic,2,1383,St Peter's School,Primary,O,NORTH-WESTERN VICTORIA,Whittlesea (C),North Eastern Melbourne,47,45,45,63,51,41,60,0,352,0,0,0,0,0,0,0,0,352,2024,F
Catholic,2,1386,Santa Maria College,Secondary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,0,0,0,0,0,0,0,0,0,124,133,120,139,140,124,0,780,780,2024,F
