Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,"Prep Total""""","Year 1 Total""""","Year 2 Total""""","Year 3 Total""""","Year 4 Total""""","Year 5 Total""""","Year 6 Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Total""""","Year 8 Total""""","Year 9 Total""""","Year 10 Total""""","Year 11 Total""""","Year 12 Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total""""",Year,CENSUS_TYPE
Government,1,4,Avoca Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Pyrenees (S),Central Highlands,13,13,16,16,11,14,20,0,103,0,0,0,0,0,0,0,0,103,2024,F
Government,1,8,Avenel Primary School,Primary,O,NORTH-EASTERN VICTORIA,Strathbogie (S),Goulburn,17,24,21,16,14,16,22,0,130,0,0,0,0,0,0,0,0,130,2024,F
Government,1,12,Warrandyte Primary School,Primary,O,NORTH-EASTERN VICTORIA,Manningham (C),Inner Eastern Melbourne,38,27,25,33,24,20,35,0,202,0,0,0,0,0,0,0,0,202,2024,F
Government,1,26,Belmont Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,37,47,29,44,53,40,43,0,293,0,0,0,0,0,0,0,0,293,2024,F
Government,1,28,Bacchus Marsh Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,110,96,106,99,129,113,136,0,789,0,0,0,0,0,0,0,0,789,2024,F
Government,1,33,Ballarat Primary School (Dana Street),Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,25,31,39,33,50,32,38,0,248,0,0,0,0,0,0,0,0,248,2024,F
Government,1,37,Wodonga Primary School,Primary,O,NORTH-EASTERN VICTORIA,Wodonga (C),Ovens Murray,125,125,115,127,114,136,131,0,873,0,0,0,0,0,0,0,0,873,2024,F
Government,1,40,Berwick Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Casey (C),Southern Melbourne,120,120,132,148,175,110,139,0,944,0,0,0,0,0,0,0,0,944,2024,F
Government,1,60,Beaufort Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Pyrenees (S),Central Highlands,17,14,17,21,22,27,23,0,141,0,0,0,0,0,0,0,0,141,2024,F
Government,1,84,Cheltenham Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,49,61,52,62,57,62,58,0,401,0,0,0,0,0,0,0,0,401,2024,F
Government,1,105,Cudgee Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moyne (S),Wimmera South West,5,2,2,4,1,7,5,0,26,0,0,0,0,0,0,0,0,26,2024,F
Government,1,113,Newport Lakes Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,94,94,86,73,67,75,59,0,548,0,0,0,0,0,0,0,0,548,2024,F
Government,1,116,Cavendish Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Southern Grampians (S),Wimmera South West,2,9,6,5,0,9,1,0,32,0,0,0,0,0,0,0,0,32,2024,F
Government,1,117,Colac Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Colac-Otway (S),Barwon,29,24,23,29,25,29,24,0,183,0,0,0,0,0,0,0,0,183,2024,F
Government,1,119,Castlemaine Primary School,Primary,O,NORTH-WESTERN VICTORIA,Mount Alexander (S),Loddon Campaspe,25,19,41,21,23,33,17,0,179,0,0,0,0,0,0,0,0,179,2024,F
Government,1,120,Campbells Creek Primary School,Primary,O,NORTH-WESTERN VICTORIA,Mount Alexander (S),Loddon Campaspe,31,21.6,31,17,22,24,26,0,172.6,0,0,0,0,0,0,0,0,172.6,2024,F
Government,1,122,Creswick Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Hepburn (S),Central Highlands,19,19,22,26,29,21,20,0,156,0,0,0,0,0,0,0,0,156,2024,F
Government,1,123,California Gully Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,31,24,23,25,24,24,21,0,172,0,0,0,0,0,0,0,0,172,2024,F
Government,1,128,St Andrews Primary School,Primary,O,NORTH-WESTERN VICTORIA,Nillumbik (S),North Eastern Melbourne,1,5,4,7,4,7,3,0,31,0,0,0,0,0,0,0,0,31,2024,F
Government,1,182,Warrnambool West Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Warrnambool (C),Wimmera South West,20,16,18,17,24,23,18,0,136,0,0,0,0,0,0,0,0,136,2024,F
Government,1,184,Dromana Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),Bayside Peninsula,84,72,69,64,65,64,83,0,501,0,0,0,0,0,0,0,0,501,2024,F
Government,1,197,Doncaster Primary School,Primary,O,NORTH-EASTERN VICTORIA,Manningham (C),Inner Eastern Melbourne,66,72,73,86,90,77,79,0,543,0,0,0,0,0,0,0,0,543,2024,F
Government,1,208,Echuca Primary School,Primary,O,NORTH-WESTERN VICTORIA,Campaspe (S),Loddon Campaspe,69,93,59,63,76,75,80,0,515,0,0,0,0,0,0,0,0,515,2024,F
Government,1,209,Eltham Primary School,Primary,O,NORTH-WESTERN VICTORIA,Nillumbik (S),North Eastern Melbourne,40,34,37,40,39,50,44,0,284,0,0,0,0,0,0,0,0,284,2024,F
Government,1,210,Eaglehawk Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,21,25,20,17.6,25,26,29,0,163.6,0,0,0,0,0,0,0,0,163.6,2024,F
Government,1,220,Elphinstone Primary School,Primary,O,NORTH-WESTERN VICTORIA,Mount Alexander (S),Loddon Campaspe,1,4,2,5,6,5,4,0,27,0,0,0,0,0,0,0,0,27,2024,F
Government,1,244,Hallam Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Casey (C),Southern Melbourne,55,61,54,59,52,44,47,0,372,0,0,0,0,0,0,0,0,372,2024,F
Government,1,250,Flemington Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,46,58,55,54,58,35,55,0,361,0,0,0,0,0,0,0,0,361,2024,F
Government,1,253,Footscray Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Maribyrnong (C),Western Melbourne,64,49,35,48,36.6,61,49,0,342.6,0,0,0,0,0,0,0,0,342.6,2024,F
Government,1,262,Gisborne Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,52,61,62,90,89,66,76,0,496,0,0,0,0,0,0,0,0,496,2024,F
Government,1,267,Sandringham Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,80,89,89,68,81,67,48,0,522,0,0,0,0,0,0,0,0,522,2024,F
Government,1,275,Wandiligong Primary School,Primary,O,NORTH-EASTERN VICTORIA,Alpine (S),Ovens Murray,3,4,5,8,8,2,2,0,32,0,0,0,0,0,0,0,0,32,2024,F
Government,1,283,Grovedale Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,58,40,50,34,38,45,51,0,316,0,0,0,0,0,0,0,0,316,2024,F
Government,1,293,Hawthorn West Primary School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,77,62,70,77,62,65,62,0,475,0,0,0,0,0,0,0,0,475,2024,F
Government,1,294,Heidelberg Primary School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,58,79,82,78,78,91,78,0,544,0,0,0,0,0,0,0,0,544,2024,F
Government,1,295,Hamilton (Gray Street) Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Southern Grampians (S),Wimmera South West,43,50,43,37,38,33,33,0,277,0,0,0,0,0,0,0,0,277,2024,F
Government,1,300,Heathcote Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,20,18,23,22,20,23,15,0,141,0,0,0,0,0,0,0,0,141,2024,F
Government,1,304,Highton Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,48,55,58,44,54,55,36,0,350,0,0,0,0,0,0,0,0,350,2024,F
Government,1,306,Huntly Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,54,55,43,49.4,45,36.4,25.4,0,308.2,0,0,0,0,0,0,0,0,308.2,2024,F
Government,1,319,Bellbrae Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Surf Coast (S),Barwon,94,71,58,80,57,61,57,0,478,0,0,0,0,0,0,0,0,478,2024,F
Government,1,327,Chiltern Primary School,Primary,O,NORTH-EASTERN VICTORIA,Indigo (S),Ovens Murray,12,11,7,8,11,5,7,0,61,0,0,0,0,0,0,0,0,61,2024,F
Government,1,343,Kyneton Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,43,44,39,56,47,49,57,0,335,0,0,0,0,0,0,0,0,335,2024,F
Government,1,366,Romsey Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,34,47,58,51,49,44,50,0,333,0,0,0,0,0,0,0,0,333,2024,F
Government,1,379,Shelford Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Golden Plains (S),Central Highlands,4,1,3,2,1,2,3,0,16,0,0,0,0,0,0,0,0,16,2024,F
Government,1,385,Lockwood South Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,4,3,8,2,6,5,8,0,36,0,0,0,0,0,0,0,0,36,2024,F
Government,1,400,Marong Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,31,41,25,40,37,26,31,0,231,0,0,0,0,0,0,0,0,231,2024,F
Government,1,415,Mount Macedon Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,21,17,16,23,22,20,7,0,126,0,0,0,0,0,0,0,0,126,2024,F
Government,1,427,Mount Clear Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,28,26,36,33,40,37,44,0,244,0,0,0,0,0,0,0,0,244,2024,F
Government,1,430,Melton Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Melton (C),Brimbank Melton,69,71,71,77,67,88,90,0,533,0,0,0,0,0,0,0,0,533,2024,F
Government,1,450,Fitzroy Primary School,Primary,O,NORTH-WESTERN VICTORIA,Yarra (C),North Eastern Melbourne,48,46.4,33,27.4,34,17,19,0,224.8,0,0,0,0,0,0,0,0,224.8,2024,F
Government,1,452,Newstead Primary School,Primary,O,NORTH-WESTERN VICTORIA,Mount Alexander (S),Loddon Campaspe,9,10,12,12,3,18,9,0,73,0,0,0,0,0,0,0,0,73,2024,F
Government,1,453,Newlyn Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Hepburn (S),Central Highlands,1,8,3,7,4,6,3,0,32,0,0,0,0,0,0,0,0,32,2024,F
Government,1,454,Burwood East Primary School,Primary,O,NORTH-EASTERN VICTORIA,Whitehorse (C),Inner Eastern Melbourne,64,70,93,89,102,90,93,0,601,0,0,0,0,0,0,0,0,601,2024,F
Government,1,467,New Gisborne Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,73,42,77,60,82,69,77,0,480,0,0,0,0,0,0,0,0,480,2024,F
Government,1,482,Beeac Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Colac-Otway (S),Barwon,4,1,4,6,2,5,8,0,30,0,0,0,0,0,0,0,0,30,2024,F
Government,1,483,Essendon Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,33,73,58,65,73,59,68,0,429,0,0,0,0,0,0,0,0,429,2024,F
Government,1,484,Coburg Primary School,Primary,O,NORTH-WESTERN VICTORIA,Merri-bek (C),Hume Merri-bek,53,48,57,39,46,54,48.4,0,345.4,0,0,0,0,0,0,0,0,345.4,2024,F
Government,1,486,Penshurst Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Southern Grampians (S),Wimmera South West,2,1,3,3,5,2,3,0,19,0,0,0,0,0,0,0,0,19,2024,F
Government,1,487,Myrniong Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,18,23,25,27,24,27,21,0,165,0,0,0,0,0,0,0,0,165,2024,F
Government,1,488,Mernda Primary School,Primary,O,NORTH-WESTERN VICTORIA,Whittlesea (C),North Eastern Melbourne,126,110,146,134,124,146,120,0,906,0,0,0,0,0,0,0,0,906,2024,F
Government,1,489,Portland Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Glenelg (S),Wimmera South West,38,24,31,40,35,33,38,0,239,0,0,0,0,0,0,0,0,239,2024,F
Government,1,502,Stawell Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Northern Grampians (S),Wimmera South West,27.2,37,41,34,37,34,47,0,257.2,0,0,0,0,0,0,0,0,257.2,2024,F
Government,1,522,Rutherglen Primary School,Primary,O,NORTH-EASTERN VICTORIA,Indigo (S),Ovens Murray,28,21,20,26,26,23,33,0,177,0,0,0,0,0,0,0,0,177,2024,F
Government,1,528,Riddells Creek Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,42,39,40,43,38,30,45,0,277,0,0,0,0,0,0,0,0,277,2024,F
Government,1,531,Rokewood Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Golden Plains (S),Central Highlands,7,12,5,6,5,7,5,0,47,0,0,0,0,0,0,0,0,47,2024,F
Government,1,541,Geelong East Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,21,23,25,18,17,24,33,0,161,0,0,0,0,0,0,0,0,161,2024,F
Government,1,545,Sale Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,54,66,82,53,66,71,75,0,467,0,0,0,0,0,0,0,0,467,2024,F
Government,1,582,Skipton Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Corangamite (S),Wimmera South West,10,7,7,13,8,10,9,0,64,0,0,0,0,0,0,0,0,64,2024,F
Government,1,583,South Yarra Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Melbourne (C),Bayside Peninsula,59,69,89,64,66,43,68,0,458,0,0,0,0,0,0,0,0,458,2024,F
Government,1,596,Stratford Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,17,10,14,11,15,12,12,0,91,0,0,0,0,0,0,0,0,91,2024,F
Government,1,614,Taradale Primary School,Primary,O,NORTH-WESTERN VICTORIA,Mount Alexander (S),Loddon Campaspe,10,10,8,12,10,14,10,0,74,0,0,0,0,0,0,0,0,74,2024,F
Government,1,618,Koroit And District Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moyne (S),Wimmera South West,28,25,31,33,16,26,25,0,184,0,0,0,0,0,0,0,0,184,2024,F
Government,1,621,Tylden Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,14,11,21,15,19,15,16,0,111,0,0,0,0,0,0,0,0,111,2024,F
Government,1,631,Thomastown Primary School,Primary,O,NORTH-WESTERN VICTORIA,Whittlesea (C),North Eastern Melbourne,20,20,34,22,21,24,27,0,168,0,0,0,0,0,0,0,0,168,2024,F
Government,1,643,Wangaratta Primary School,Primary,O,NORTH-EASTERN VICTORIA,Wangaratta (RC),Ovens Murray,20,20,19,19,21,17,21,0,137,0,0,0,0,0,0,0,0,137,2024,F
Government,1,644,Wahgunyah Primary School,Primary,O,NORTH-EASTERN VICTORIA,Indigo (S),Ovens Murray,8,15,11,13,15,15,13,0,90,0,0,0,0,0,0,0,0,90,2024,F
Government,1,647,Woodend Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,50,47,62,69,63,36,64,0,391,0,0,0,0,0,0,0,0,391,2024,F
Government,1,648,Woodford Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Warrnambool (C),Wimmera South West,22,16,21,25,23,21,31,0,159,0,0,0,0,0,0,0,0,159,2024,F
Government,1,649,Werribee Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Wyndham (C),Western Melbourne,57,67,72,77,77,86,102,0,538,0,0,0,0,0,0,0,0,538,2024,F
Government,1,652,Winters Flat Primary School,Primary,O,NORTH-WESTERN VICTORIA,Mount Alexander (S),Loddon Campaspe,21,21.3,8,12,10,14,21,0,107.3,0,0,0,0,0,0,0,0,107.3,2024,F
Government,1,653,Wooragee Primary School,Primary,O,NORTH-EASTERN VICTORIA,Indigo (S),Ovens Murray,16,11,11,11,8,8,8,0,73,0,0,0,0,0,0,0,0,73,2024,F
Government,1,664,Wallan Primary School,Primary,O,NORTH-EASTERN VICTORIA,Mitchell (S),Goulburn,113,122,91,115,105,96,100,0,742,0,0,0,0,0,0,0,0,742,2024,F
Government,1,688,Woolsthorpe Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moyne (S),Wimmera South West,18,8,16,16,7,16,12,0,93,0,0,0,0,0,0,0,0,93,2024,F
Government,1,691,Yandoit Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Hepburn (S),Central Highlands,4,0,1.4,3.6,4.2,3,0,0,16.2,0,0,0,0,0,0,0,0,16.2,2024,F
Government,1,693,Yarram Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,14,16,21,27,13,29,22,0,142,0,0,0,0,0,0,0,0,142,2024,F
Government,1,695,Pleasant Street Primary School (Ballarat),Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,45,59,50,52,48,48,45,0,347,0,0,0,0,0,0,0,0,347,2024,F
Government,1,699,Yea Primary School,Primary,O,NORTH-EASTERN VICTORIA,Murrindindi (S),Goulburn,22,15,17,9,25,14,26,0,128,0,0,0,0,0,0,0,0,128,2024,F
Government,1,707,Lancefield Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,27,29,34,31,20,20,31,0,192,0,0,0,0,0,0,0,0,192,2024,F
Government,1,716,Coimadai Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,12,18,13,9,11,7,2,0,72,0,0,0,0,0,0,0,0,72,2024,F
Government,1,723,Birregurra Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Colac-Otway (S),Barwon,16,21,22,13,19,13,9,0,113,0,0,0,0,0,0,0,0,113,2024,F
Government,1,734,Clayton North Primary School,Primary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,36,37,39,27,35,23,24,0,221,0,0,0,0,0,0,0,0,221,2024,F
Government,1,737,Milawa Primary School,Primary,O,NORTH-EASTERN VICTORIA,Wangaratta (RC),Ovens Murray,8,10,7,13,9,5,7,0,59,0,0,0,0,0,0,0,0,59,2024,F
Government,1,744,Lockwood Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,12,13,12,13,19,16,20,0,105,0,0,0,0,0,0,0,0,105,2024,F
Government,1,749,Bealiba Primary School,Primary,O,NORTH-WESTERN VICTORIA,Central Goldfields (S),Loddon Campaspe,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,2024,F
Government,1,754,Bairnsdale Primary School,Primary,O,SOUTH-EASTERN VICTORIA,East Gippsland (S),Outer Gippsland,52,34.6,36,25,32,33,32,0,244.6,0,0,0,0,0,0,0,0,244.6,2024,F
Government,1,755,Gordon Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,23,15,16,22,21,17,19,0,133,0,0,0,0,0,0,0,0,133,2024,F
Government,1,767,Hepburn Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Hepburn (S),Central Highlands,0,3,3,13,7,7,6,0,39,0,0,0,0,0,0,0,0,39,2024,F
Government,1,769,Lara Lake Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,133,115,97,96,118,150,94,0,803,0,0,0,0,0,0,0,0,803,2024,F
Government,1,770,Rosedale Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,21,18,10,11,10,13.6,13,0,96.6,0,0,0,0,0,0,0,0,96.6,2024,F
Government,1,776,Bright P-12 College,Pri/Sec,O,NORTH-EASTERN VICTORIA,Alpine (S),Ovens Murray,24,27,25,32,26,42,42,0,218,35,41,52,43.9,59.1,33.5,0,264.5,482.5,2024,F
Government,1,795,Rochester Primary School,Primary,O,NORTH-WESTERN VICTORIA,Campaspe (S),Loddon Campaspe,12,21,24,22.4,32,22,23.4,0,156.8,0,0,0,0,0,0,0,0,156.8,2024,F
Government,1,800,Ararat Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Ararat (RC),Central Highlands,30,40,34,41,31,30,32,0,238,0,0,0,0,0,0,0,0,238,2024,F
Government,1,814,Jamieson Primary School,Primary,O,NORTH-EASTERN VICTORIA,Mansfield (S),Ovens Murray,2,3,0,0,2,0,1,0,8,0,0,0,0,0,0,0,0,8,2024,F
Government,1,824,Preston South Primary School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,69,52,45,63,43,55,34,0,361,0,0,0,0,0,0,0,0,361,2024,F
Government,1,831,Omeo Primary School,Primary,O,SOUTH-EASTERN VICTORIA,East Gippsland (S),Outer Gippsland,7.5,6,5,6,3,10,5,0,42.5,0,0,0,0,0,0,0,0,42.5,2024,F
Government,1,843,Harrietville Primary School,Primary,O,NORTH-EASTERN VICTORIA,Alpine (S),Ovens Murray,2,3,3,5,3,8,5,0,29,0,0,0,0,0,0,0,0,29,2024,F
Government,1,846,Mordialloc Beach Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Kingston (C),Bayside Peninsula,35,42,29,42,39,30.4,36,0,253.4,0,0,0,0,0,0,0,0,253.4,2024,F
Government,1,849,Healesville Primary School,Primary,O,NORTH-EASTERN VICTORIA,Yarra Ranges (S),Outer Eastern Melbourne,33,24,43,24.3,26,20,34,0,204.3,0,0,0,0,0,0,0,0,204.3,2024,F
Government,1,854,Lake Bolac College,Pri/Sec,O,SOUTH-WESTERN VICTORIA,Ararat (RC),Central Highlands,7,9,6,15,4,12,10,0,63,8,2,10,3,5,0,0,28,91,2024,F
Government,1,856,Toongabbie Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Latrobe (C),Inner Gippsland,6,9,15,6,7,12,12.6,0,67.6,0,0,0,0,0,0,0,0,67.6,2024,F
Government,1,859,Waubra Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Pyrenees (S),Central Highlands,7,10,7,4,10,3,6,0,47,0,0,0,0,0,0,0,0,47,2024,F
Government,1,860,Great Western Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Northern Grampians (S),Wimmera South West,1,3,2,4,3,3,3,0,19,0,0,0,0,0,0,0,0,19,2024,F
Government,1,861,Maffra Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,36,30,34,38,39,19,44,0,240,0,0,0,0,0,0,0,0,240,2024,F
Government,1,862,Broken Creek Primary School,Primary,O,NORTH-EASTERN VICTORIA,Benalla (RC),Ovens Murray,1,1,1,1,3,3,0,0,10,0,0,0,0,0,0,0,0,10,2024,F
Government,1,863,Lal Lal Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,6,3,8.8,5,3.6,6,4.6,0,37,0,0,0,0,0,0,0,0,37,2024,F
Government,1,864,Cobden Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Corangamite (S),Wimmera South West,17,10,19,23,21,22,28,0,140,0,0,0,0,0,0,0,0,140,2024,F
Government,1,866,St Leonards Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,17,20,22,22,18,31,23,0,153,0,0,0,0,0,0,0,0,153,2024,F
Government,1,876,Lilydale Primary School,Primary,O,NORTH-EASTERN VICTORIA,Yarra Ranges (S),Outer Eastern Melbourne,29,27,22,28,22,39,25,0,192,0,0,0,0,0,0,0,0,192,2024,F
Government,1,877,Bendigo Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,25,29,30,36.8,30,31,26,0,207.8,0,0,0,0,0,0,0,0,207.8,2024,F
Government,1,878,Darraweit Guim Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,6,5,11,4,5,5,2,0,38,0,0,0,0,0,0,0,0,38,2024,F
Government,1,880,Linton Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Golden Plains (S),Central Highlands,1,2,3,0,5,3,3,0,17,0,0,0,0,0,0,0,0,17,2024,F
Government,1,882,Invermay Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,7,13,15,7,9,9,9,0,69,0,0,0,0,0,0,0,0,69,2024,F
Government,1,887,Mitta Mitta Primary School,Primary,O,NORTH-EASTERN VICTORIA,Towong (S),Ovens Murray,0,3,1,2,2,1,1,0,10,0,0,0,0,0,0,0,0,10,2024,F
Government,1,888,Camberwell Primary School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,88,79,76,92,76,73,80,0,564,0,0,0,0,0,0,0,0,564,2024,F
Government,1,890,Greenvale Primary School,Primary,O,NORTH-WESTERN VICTORIA,Hume (C),Hume Merri-bek,75,99,79,79,84,93,99,0,608,0,0,0,0,0,0,0,0,608,2024,F
Government,1,912,Alexandra Primary School,Primary,O,NORTH-EASTERN VICTORIA,Murrindindi (S),Goulburn,22,22,20,23,18,29,20,0,154,0,0,0,0,0,0,0,0,154,2024,F
Government,1,919,Rockbank Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Melton (C),Brimbank Melton,93,79,64,67,78,48,50,0,479,0,0,0,0,0,0,0,0,479,2024,F
Government,1,932,Bannockburn P-12 College,Pri/Sec,O,SOUTH-WESTERN VICTORIA,Golden Plains (S),Central Highlands,38,42,64,60,81,49,76,0,410,74,77,87.5,83.5,63.1,63.5,0,448.6,858.6,2024,F
Government,1,945,Doreen Primary School,Primary,O,NORTH-WESTERN VICTORIA,Nillumbik (S),North Eastern Melbourne,24,25,26,24,22,25,19,0,165,0,0,0,0,0,0,0,0,165,2024,F
Government,1,954,Talbot Primary School,Primary,O,NORTH-WESTERN VICTORIA,Central Goldfields (S),Loddon Campaspe,5,1,7,2,8,4,7,0,34,0,0,0,0,0,0,0,0,34,2024,F
Government,1,956,Yarra Glen Primary School,Primary,O,NORTH-EASTERN VICTORIA,Yarra Ranges (S),Outer Eastern Melbourne,28,18,27,25,15,12,19,0,144,0,0,0,0,0,0,0,0,144,2024,F
Government,1,981,Kangaroo Flat Primary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,48,47,50,48,42,46,43,0,324,0,0,0,0,0,0,0,0,324,2024,F
Government,1,982,Westmeadows Primary School,Primary,O,NORTH-WESTERN VICTORIA,Hume (C),Hume Merri-bek,56,73,75,60,77,59,64,0,464,0,0,0,0,0,0,0,0,464,2024,F
Government,1,1002,Sunbury Primary School,Primary,O,NORTH-WESTERN VICTORIA,Hume (C),Hume Merri-bek,57,63,54,51,44,72,37.4,0,378.4,0,0,0,0,0,0,0,0,378.4,2024,F
Government,1,1003,Diamond Creek Primary School,Primary,O,NORTH-WESTERN VICTORIA,Nillumbik (S),North Eastern Melbourne,34,33,43,32,32.8,43,35.6,0,253.4,0,0,0,0,0,0,0,0,253.4,2024,F
Government,1,1004,Hesket Primary School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,10,9,18,11,6,8,6,0,68,0,0,0,0,0,0,0,0,68,2024,F
