name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
"Fairbanks Cancer Care Physicians, P.C.",AK,Healthcare Provider,2426.0,2021-06-28,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Fairbanks Cancer Care Physicians, P.C., reported that its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 2,426 individuals. The ePHI involved included names, Social Security numbers, addresses, dates of birth, diagnoses/conditions, lab results, medications prescribed, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. The BA provided complimentary identity and credit monitoring services. In its mitigation efforts, the BA implemented additional technical safeguards to better protect ePHI.",2021,6,Moderate,0,83,3
"The Recovery Project, LLC",MI,Healthcare Provider,1103.0,2021-06-28,Hacking/IT Incident,Email,No,"The covered entity (CE), The Recovery Project, LLC, reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 1,103 individuals.  The ePHI involved included names, Social Security numbers, dates of birth and drivers’ licenses numbers.  The CE notified HHS, affected individuals, the media, and provided credit monitoring services to affected individuals.  In response to the breach, the CE strengthened its technical safeguards and retrained its staff on email security.",2021,6,Moderate,0,66,3
CVS Caremark,RI,Business Associate,3064.0,2021-06-28,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), CVS Caremark, reported that an employee mailed the electronic protected health information (ePHI) of 3,064 individuals to the wrong recipients. The ePHI involved included names, diagnoses, and health insurance information. The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE retrained its staff and implemented additional administrative safeguards.",2021,6,Moderate,28,94,0
Carle Cancer Institute Normal,IL,Healthcare Provider,8066.0,2021-06-25,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Carle Cancer Institute Normal, reported that its business associate suffered a cyberattack that affected the electronic protected health information (ePHI) of 8,066 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses and conditions, lab results, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.",2021,6,Moderate,0,83,3
Physicians Dialysis ,FL,Healthcare Provider,1998.0,2021-06-25,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Physicians Dialysis, reported that it experienced a ransomware attack that affected the electronic protected health information (ePHI) of 1,998 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, health insurance and claims information, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE reset all passwords, and implemented additional technical safeguards. OCR provided the CE with technical assistance regarding the Breach Notification Rule.",2021,6,Moderate,0,83,3
Northwestern Memorial HealthCare,IL,Healthcare Provider,201197.0,2021-06-25,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Northwestern Memorial HealthCare, reported that its business associate (BA) was the victim of a cyber-attack affecting the protected health information (PHI) of 201,197 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, lab results, medications prescribed, and health insurance and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice on its website. The CE also established a call-center and provided credit monitoring and identity protection services for affected individuals. In response to the breach, the CE terminated its business relationship with its BA.",2021,6,Critical,0,83,3
"Smile Brands, Inc.",CA,Business Associate,2592494.0,2021-06-24,Hacking/IT Incident,Network Server,Yes,"The business associate (BA), Smile Brands, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 2,592,494 individuals. The PHI involved included names, dates of birth, addresses, Social Security numbers, diagnoses, and lab results. The BA notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the BA offered free credit monitoring services and implemented additional technical and administrative safeguards to better protect sensitive data.",2021,6,Critical,0,83,0
John Muir Physician Network,CA,Healthcare Provider,1081.0,2021-06-24,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), John Muir Physician Network, reported that an employee impermissibly provided an individual with access to an Excel file that contained the electronic protected health information (ePHI) of 1,081 individuals.  The ePHI involved included names, diagnoses, and health insurance and treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice on its website.  In response to the breach, the CE sanctioned the responsible employee and implemented additional administrative and technical safeguards to protect its sensitive data.",2021,6,Moderate,28,66,3
MultiPlan,NY,Business Associate,214956.0,2021-06-24,Hacking/IT Incident,Email,Yes,"The business associate (BA), MultiPlan, reported that an employee was the victim of an email phishing attack affecting the protected health information (PHI) of 214,956 individuals. The PHI involved included names, addresses, email addresses, dates of birth, claims and health insurance information, and Social Security numbers. The BA notified HHS, affected individuals,  the media, and provided substitute notice. In response to the breach, the BA sanctioned the responsible employee, revised its policies and procedures, and implemented additional technical safeguards. All staff were retrained on email security.",2021,6,Critical,0,66,0
Aultman Health Foundation,OH,Healthcare Provider,7354.0,2021-06-24,Unauthorized Access/Disclosure,Electronic Medical Record,No,"The covered entity (CE), Aultman Health Foundation, reported that an employee impermissibly accessed the protected health information (PHI) of 7,354 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, lab results, medications, and health insurance information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring and identity theft protection services to affected individuals, sanctioned the responsible employee, and enhanced audit reporting capabilities.",2021,6,Moderate,28,47,3
"Mississippi Center for Advanced Medicine, PC",MS,Healthcare Provider,8908.0,2021-06-23,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Mississippi Center for Advanced Medicine, PC, reported that it experienced a ransomware attack that affected the electronic protected health information (ePHI) of 8,908 individuals. The ePHI involved included names, dates of birth, addresses, telephone numbers, medical record numbers, Social Security numbers,  and clinical and health insurance information. The CE failed to provide timely breach notification to HHS, affected individuals, or the media. In response to the breach, the CE strengthened its technical safeguards, revised its policies and procedures and retrained its entire workforce. OCR provided the CE with technical assistance pertaining to the HIPAA Breach Notification Rule.

",2021,6,Moderate,0,83,3
Abode Services,CA,Healthcare Provider,4905.0,2021-06-22,Hacking/IT Incident,Email,No,"The covered entity (CE), Abode Services, reported that several employees were victims of an email phishing attack affecting the protected health information (PHI) of 4,905 individuals. The PHI involved included names, addresses, treatment information, and financial information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE retrained its workforce members on email security and implemented additional technical safeguards.",2021,6,Moderate,0,66,3
Tiburcio Vasquez Health Center Inc.,CA,Healthcare Provider,2042.0,2021-06-22,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Tiburcio Vasquez Health Center Inc., reported that its business associate (BA) suffered a breach that affected the electronic protected health information (ePHI) of 2,042 individuals. The ePHI involved included names, dates of birth, and medications prescribed. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.",2021,6,Moderate,0,83,3
United Neighborhood Health Services d/b/a Neighborhood Health,TN,Healthcare Provider,1519.0,2021-06-22,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), United Neighborhood Health Services dba Neighborhood Health, reported that its business associate (BA) was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of 1,519 individuals. The ePHI involved included names, dates of birth, and medication information. The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE updated its HIPAA policies and procedures.",2021,6,Moderate,0,83,3
Hawaii Independent Physicians Association,HI,Business Associate,18770.0,2021-06-22,Hacking/IT Incident,Email,Yes,"The business associate (BA), Hawaii Independent Physicians Association, reported that an employee’s email account may have been compromised affecting the electronic protected health information (ePHI) of 18,770 individuals. The ePHI involved included names, dates of birth, addresses, and other treatment information. The BA notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the BA implemented additional administrative, technical, and security safeguards to better protect its ePHI and retrained its workforce members.",2021,6,High,0,66,0
Renown Health,NV,Healthcare Provider,65181.0,2021-06-22,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Renown Health, reported that its business associate (BA) experienced a ransomware attack affecting the electronic protected health information (ePHI) of 65,181 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, and diagnoses/conditions. The CE notified HHS, affected individuals, the media, and provided substitute notice. The BA provided affected individuals with complimentary identity and credit monitoring services. In its mitigation efforts, the BA strengthened its technical and security safeguards to better protect sensitive data.",2021,6,High,0,83,3
Jawonio,NY,Healthcare Provider,13313.0,2021-06-21,Hacking/IT Incident,Email,No,"The covered entity (CE), Jawonio, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 13,313 individuals. The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims and financial information, health insurance information, lab results, medications prescribed, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.",2021,6,High,0,66,3
"Hosparus, Inc. dba Care Guide Partners Inc.",KY,Healthcare Provider,1545.0,2021-06-21,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Hosparus, Inc. dba Care Guide Partners, Inc., reported that a subcontractor of its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 1,545 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, claims information, diagnoses, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. The CE also provided complimentary credit monitoring services.  In its mitigation efforts, the BA implemented additional technical safeguards to better protect its sensitive data.",2021,6,Moderate,0,83,3
"Eye Consultants of Atlanta / Piedmont System Ambulatory Surgery Center, LLC",GA,Healthcare Provider,2662.0,2021-06-19,Improper Disposal,Paper/Films,No,"The covered entity (CE), Eye Consultants of Atlanta / Piedmont System Ambulatory Surgery Center, reported that medical records that were marked and separated for shredding were inadvertently disposed of by janitorial staff. The breach involved the protected health information (PHI) of 2,662 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, and diagnoses. The CE notified HHS, affected individuals, the media, and offered complimentary  credit monitoring services. In its mitigation efforts, the CE retrained its workforce members on the proper procedures for disposal of medical records and other sensitive data.",2021,6,Moderate,7,94,3
Refresh Mental Health d/b/a Springfield Psychological,PA,Healthcare Provider,948.0,2021-06-18,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Refresh Mental Health, dba Springfield Psychological, reported that an employee sent a marketing email to 948 individuals without using the blind carbon copy function.  The electronic protected health information (ePHI) involved included names and email addresses.  In its mitigation efforts, the CE sanctioned the responsible employee and strengthened its administrative safeguards to better protect its ePHI.",2021,6,Low,28,66,3
"Charles E. Jones DDS PC, DBA Jones Family Dental",OR,Healthcare Provider,6493.0,2021-06-18,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Charles E. Jones, DDS dba Jones Family Dental, reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 6,493 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, diagnoses, lab results, medications prescribed, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. The CE also established a call center for questions or concerns and provided complimentary credit monitoring services. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards, and retrained its staff. OCR provided technical assistance regarding the HIPAA Breach Notification Rule.",2021,6,Moderate,0,83,3
University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,4563.0,2021-06-18,Hacking/IT Incident,"Electronic Medical Record, Other",No,"The covered entity (CE), University of Wisconsin Hospitals and Clinics Authority, reported that it experienced a cyber-attack that affected the protected health information (PHI) of 4,563 individuals. The PHI included names, dates of birth, addresses, claims information, diagnoses/conditions, lab results, and medications.  The CE notified HHS, the affected individuals, and the media.  The CE implemented new policies and security awareness training as well as additional administrative, technical, and security safeguards.",2021,6,Moderate,0,62,3
Walmart Inc.,AR,Healthcare Provider,14532.0,2021-06-18,Loss,Paper/Films,No,"The covered entity (CE), Walmart, reported that it lost documents that contained the protected health information (PHI) of 14,532 individuals. The PHI involved included names, dates of birth, addresses, phone numbers, subscriber identification numbers, claim numbers, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI. In addition, the CE retrained its workforce members on records management processes and procedures.",2021,6,High,13,94,3
"JFK Medical Associates, PA ",NJ,Healthcare Provider,1304.0,2021-06-18,Hacking/IT Incident,Network Server,No,"The covered entity (CE), JFK Medical Associates, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 1,304 individuals. The PHI involved included names, addresses, dates of birth, Social Security and drivers’ license numbers, state identification numbers, health insurance information, and diagnoses and other treatment information.  The CE notified HHS, affected individuals, and the media. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2021,6,Moderate,0,83,3
Prominence Health Plan	,NV,Health Plan,45380.0,2021-06-18,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Prominence Health Plan, reported that its business associate (BA) suffered a cyber-attack that affected the electronic protected health information (ePHI) of approximately 45,380 individuals. The ePHI involved included names, addresses, dates of birth, health insurance information, claim codes, and other treatment information. The CE notified HHS, affected individuals, and the media.  The CE also provided affected individuals with a dedicated phone number for questions and concerns. In response to the breach, the BA strengthened its technical and security safeguards.",2021,6,High,0,83,1
Singing River Health System,MS,Healthcare Provider,3543.0,2021-06-17,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Singing River Health System, reported that its business associate experienced a ransomware attack that affected the electronic protected health information (ePHI) of 3,543 individuals.  The ePHI involved included names, dates of birth, and medical record numbers. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.",2021,6,Moderate,0,83,3
"Little Hill Foundation for the Rehabilitation of Alcoholics, Inc. d/b/a Alina Lodge",NJ,Healthcare Provider,2565.0,2021-06-16,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Little Hill Foundation for the Rehabilitation of Alcoholics dba Alina Lodge, reported that its business associate experienced a ransomware attack affecting the electronic protected health information (ePHI) of approximately 2,565 individuals.  The ePHI involved included names, addresses, phone numbers, dates of birth, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.",2021,6,Moderate,0,83,3
"Reproductive Biology Associates, LLC and its affiliate My Egg Bank, LLC",GA,Healthcare Provider,38000.0,2021-06-15,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Reproductive Biology Associates/My Egg Bank, LLC, reported that it was the victim of a ransomware attack that compromised the protected health information (PHI) of 38,000 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, lab results, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice on its website.  The CE also provided affected individuals with complimentary credit monitoring services.  In its mitigation efforts, the CE implemented additional technical safeguards and retrained its employees on the HIPAA security rules.",2021,6,High,0,83,3
Health Care Service Corp,IL,Health Plan,543.0,2021-06-15,Hacking/IT Incident,Network Server,Yes,"Health Care Service Corporation, the covered entity (CE), reported that a vendor of its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 543 individuals. The PHI involved included names, birthdates, diagnoses, claims information, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE and BA implemented additional administrative, technical, and security safeguards to better protect sensitive data. All staff were retrained.",2021,6,Low,0,83,1
Golden Care Pharmacy LLC,NJ,Healthcare Provider,5530.0,2021-06-14,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Network Server",No,"The covered entity (CE), Golden Care Pharmacy, reported that an employee impermissibly accessed and altered the protected health information (PHI) of 5,530 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license numbers, medications, and claims information. Subsequently, the Department of Justice (DOJ) announced that the owner was arrested and charged by indictment with conspiracy to commit heath care fraud and four counts of health care fraud. In light of the DOJ’s pursuit of criminal charges, OCR closed its investigation.",2021,6,Moderate,28,19,3
"St. Charles Health System, Inc.",OR,Healthcare Provider,4687.0,2021-06-14,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), St. Charles Health System, reported that its business associate experienced a ransomware attack that affected the electronic protected health information (ePHI) of 4,687 individuals. The ePHI involved included names, Social Security numbers, addresses, dates of birth, diagnoses, and other treatment information. The CE notified HHS, affected individuals, and the media. Following the breach, the BA provided complimentary identity and credit monitoring services.",2021,6,Moderate,0,83,3
Centura Health,CO,Healthcare Provider,738.0,2021-06-12,Hacking/IT Incident,Email,No,"The covered entity (CE), Centura Health, reported that an employee was the victim of an email phishing scheme that affected the protected health information (PHI) of 738 individuals. The PHI involved included names, dates of birth, diagnoses, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional technical and administrative safeguards to better protect its PHI.",2021,6,Low,0,66,3
Neighborhood Healthcare Inc. d/b/a Neighborhood Family Practice,OH,Healthcare Provider,6156.0,2021-06-11,Hacking/IT Incident,"Network Server, Other",Yes,"The covered entity (CE), Neighborhood Healthcare, Inc. dba Neighborhood Family Practice, reported that its business associate (BA) experienced a cyber-attack that affected the electronic protected health information (ePHI) of 6,156 individuals.  The ePHI involved included names, dates of birth, medication information, and other treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.",2021,6,Moderate,0,84,3
"Care Inns of Texas, Ltd",TX,Business Associate,1300.0,2021-06-11,Hacking/IT Incident,Email,Yes,"The business associate (BA), Care Inns of Texas, reported that it was the victim of an email phishing attack that compromised the protected health information (PHI) of approximately 1,300 individuals. The PHI involved included names, room assignments, addresses, dates of birth, Social Security numbers, and medical information. The BA notified HHS, affected individuals, and the media. In response to the breach, the BA strengthened its technical safeguards and retrained its staff on email security.",2021,6,Moderate,0,66,0
Illinois Attorney General's Office,IL,Business Associate,501.0,2021-06-09,Hacking/IT Incident,Network Server,Yes,No description provided,2021,6,Low,0,83,0
Cancer Care Center,TN,Healthcare Provider,17809.0,2021-06-09,Hacking/IT Incident,Electronic Medical Record,Yes,"The covered entity (CE), Cancer Care Centers, reported that its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 17,809 individuals.  The ePHI involved included names, Social Security numbers, dates of birth, addresses, diagnoses, prescription information, and other treatment information.  The CE notified HHS, affected individuals, and the media.  The CE also provided complimentary credit monitoring services.  In response to the breach, the CE strengthened its security safeguards to better protect its ePHI.",2021,6,High,0,47,3
Epic Care,CA,Healthcare Provider,9000.0,2021-06-09,Hacking/IT Incident,Electronic Medical Record,Yes,"The covered entity (CE), Epic Care, reported that its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 9,000 individuals.  The ePHI involved included Social Security numbers, diagnoses, and treatment information. The CE notified HHS, affected individuals, and the media.  Following the breach, the CE offered complimentary identity and credit monitoring services and terminated its business relationship with the BA.",2021,6,Moderate,0,47,3
Falcon Group International Corp,NY,Healthcare Provider,1900.0,2021-06-09,Unauthorized Access/Disclosure,Electronic Medical Record,No,"The covered entity (CE), Falcon Group International Corp., reported that an employee impermissibly accessed the protected health information (PHI) of 1,900 individuals. The PHI involved included names, addresses, dates of birth, and other identifiers. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE sanctioned the employee involved and implemented additional administrative, technical, and physical safeguards to better protect its PHI.  ",2021,6,Moderate,28,47,3
Minnesota Community Care,MN,Healthcare Provider,64855.0,2021-06-08,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Minnesota Community Care, reported that its business associate (BA) experienced a ransomware attack affecting the protected health information (PHI) of 64,855 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, financial information, diagnoses, lab results, and medications prescribed. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional technical safeguards to better protect its PHI.",2021,6,High,0,83,3
UC San Diego Health,CA,Healthcare Provider,495949.0,2021-06-08,Hacking/IT Incident,Email,No,"The covered entity (CE), UC San Diego Health, reported that an employee was subjected to an email phishing scheme that compromised the protected health information (PHI) of 495,949 individuals. The PHI involved included names, dates of birth, addresses, drivers’ license and Social Security numbers, claims and financial information, lab results, medications, diagnoses, and other treatment information. The CE notified HHS and the affected individuals. In response to the breach, the CE implemented additional administrative, technical, and security safeguards. Staff were retrained on email security. ",2021,6,Critical,0,66,3
Providence Health Plan,OR,Health Plan,5509.0,2021-06-07,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Providence Health Plan, reported that a temporary contract worker sent emails containing the electronic protected health information (ePHI) of 5,509 individuals to a personal email address.  The ePHI involved included names, Social Security numbers, identification numbers, dates of birth, and treatment information.  The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE revised its procedures, retrained its workforce members, and implemented additional technical safeguards.",2021,6,Moderate,28,66,1
South Texas Health System,TX,Healthcare Provider,6761.0,2021-06-07,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), South Texas Health System, reported that a workforce member inadvertently emailed the electronic protected health information (ePHI) of 6,761 individuals to a personal email account.  The CE notified HHS, affect individuals, and the media.  The ePHI involved included names and treatment information.  In its mitigation efforts, the CE strengthened its administrative safeguards and retrained its workforce members.",2021,6,Moderate,28,66,3
Pennsylvania Health & Wellness,PA,Health Plan,1325.0,2021-06-07,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), PA Health & Wellness, reported that its business associate (BA) was the victim of a cyber-attack that affected the electronic protected health information (ePHI) of 1,325 individuals. The ePHI involved included names, addresses, dates of birth, health insurance information, medical conditions, and other treatment information. The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE strengthened its technical safeguards to better protect its ePHI.",2021,6,Moderate,0,83,1
"UofL Health, Inc.",KY,Healthcare Provider,42465.0,2021-06-07,Unauthorized Access/Disclosure,Email,No,No description provided,2021,6,High,28,66,3
Glacier Medical Associates,MT,Healthcare Provider,3007.0,2021-06-07,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Glacier Medical Associates, reported that it experienced a ransomware attack affecting the protected health information (PHI) of 3,007 individuals. The PHI involved included names, dates of birth, addresses, diagnoses, and conditions. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional technical safeguards and revised its policies and procedures. OCR provided technical assistance to the CE regarding the HIPAA Security Rule.  ",2021,6,Moderate,0,83,3
"Discovery Practice Management, Inc.",CA,Business Associate,12859.0,2021-06-05,Hacking/IT Incident,Email,Yes,"Discovery Practice Management, a business associate (BA), reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 12,859 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, drivers’ license numbers, medical record numbers, diagnoses, prescription information, and health insurance and financial information. The BA notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the BA implemented additional administrative and technical safeguards and retrained it staff.",2021,6,High,0,66,0
UW Medicine,WA,Healthcare Provider,18389.0,2021-06-04,Hacking/IT Incident,Network Server,Yes,"UW Medicine, the covered entity (CE), reported that its business associate experienced a ransomware attack that affected the electronic protected health information (ePHI) of 18,389 individuals.  The ePHI involved included names, dates of birth, and medications prescribed. The CE notified HHS, affected individuals, the media, and provided substitute notice.  In response to the breach, the CE implemented additional technical safeguards and retrained its staff.",2021,6,High,0,83,3
San Juan Regional Medical Center,NM,Healthcare Provider,325660.0,2021-06-04,Hacking/IT Incident,Network Server,No,"The covered entity (CE), San Juan Regional Medical Center, reported that it was the victim of a ransomware attack that affected the protected health information (PHI) of 325,660 individuals. The PHI involved included names, dates of birth, Social Security numbers, drivers’ license numbers, financial and health insurance information, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice on its website. In response to the breach, the CE implemented additional technical safeguards, and revised and created new policies and procedures.",2021,6,Critical,0,83,3
Wisconsin Department of Health Services,WI,Health Plan,2868.0,2021-06-04,Hacking/IT Incident,Email,No,"Wisconsin Department of Health Services, the covered entity (CE), reported that an employee was the subject of an email phishing scheme that compromised the protected health information (PHI) of  2,868 individuals. The PHI involved included names, dates of birth, addresses, Social Security numbers, and diagnoses. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE provided complimentary identity protection services and implemented additional administrative, technical, and security safeguards. Staff were retrained on email security precautions.",2021,6,Moderate,0,66,1
East Jordan Family Health Center,MI,Healthcare Provider,1146.0,2021-06-04,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), East Jordan Family Health Center, reported that its business associate (BA) experienced a hacking incident that affected the protected health information (PHI) of 1,146 individuals. The PHI involved included names, dates of birth, medications, and health insurance information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE and BA implemented additional administrative and technical safeguards and provided complimentary credit monitoring services to affected individuals.",2021,6,Moderate,0,83,3
Steward Medical Group,MA,Healthcare Provider,640.0,2021-06-04,Hacking/IT Incident,Email,No,"The covered entity (CE), Steward Medical Group, reported that an employee was the victim of an email phishing attack that affected the protected health information (PHI) of 640 individuals. The PHI involved included names, dates of birth, Social Security numbers, and claims and treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff on email security.",2021,6,Low,0,66,3
"AtriCure, Inc. Group Health Plan",OH,Health Plan,2487.0,2021-06-04,Hacking/IT Incident,Email,No,"The covered entity (CE), AtriCure Group Health Plan, reported than an employee was the subject of an email phishing incident that affected  the protected health information (PHI) of 2,487 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, financial and health insurance information, diagnoses, and other treatment information The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE provided complimentary credit monitoring and identity theft restoration services and established a dedicated call center for questions and concerns. The CE also implemented additional administrative, technical, and security safeguards to better protect its PHI. Staff were retrained on email security.",2021,6,Moderate,0,66,1
"Pediatrix Cardiology of Washington, P.C. d/b/a NorthWest Congenital Heart Care",WA,Healthcare Provider,1166.0,2021-06-04,Theft,Other Portable Electronic Device,No,"The covered entity (CE), NorthWest Congenital Heart Care, reported that an unencrypted external hard drive was stolen from one of its offices. The hard drive contained the electronic protected health information (ePHI) of 1,166 individuals. The ePHI involved included names, dates of birth, diagnoses, and health insurance and treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE strengthened its administrative and technical safeguards and retrained its staff to better protect ePHI.",2021,6,Moderate,26,89,3
"Cancer Centers of Southwest Oklahoma, LLC",OK,Healthcare Provider,8000.0,2021-06-04,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,"The covered entity (CE), Cancer Centers of Southwest Oklahoma, LLC, reported that its business associate (BA) experienced a ransomware attack that compromised the electronic protected health information (ePHI) of 6,253 individuals. The ePHI involved included names, addresses, dates of birth, driver’s license numbers, Social Security numbers, medications prescribed, lab results, and diagnoses/conditions. The CE notified HHS, affected individuals, and the media.",2021,6,Moderate,0,60,3
Absolute Total Care,SC,Health Plan,1286.0,2021-06-04,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Absolute Total Care, reported that its business associate (BA) was the victim of a cyberattack that affected the electronic protected health information (ePHI) of 1,286 individuals. The ePHI involved included names, addresses, telephone numbers, dates of birth, diagnoses, medical conditions, health insurance and other treatment information. The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring services.   In response to the breach, the CE terminated its business relationship with the BA. OCR provided the CE with technical assistance regarding the HIPAA Breach Notification Rule.",2021,6,Moderate,0,83,1
Turning Point Clinic,MD,Healthcare Provider,700.0,2021-06-03,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Turning Point Clinic, reported that it suffered a cyberattack that affected the protected health information (PHI) of 700 individuals. The PHI involved included names, lab results, and medication prescriptions. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI. OCR provided technical assistance to the CE regarding HIPAA Security Rule compliance.",2021,6,Low,0,83,3
Moses Lake Community Health Center,WA,Healthcare Provider,1190.0,2021-06-02,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Moses Lake Community Health Center, reported that its business associate suffered a cyber-attack that affected the electronic protected health information (ePHI) of 1,190 individuals. The ePHI involved included names, dates of birth, medical record numbers, and medications prescribed. The CE notified HHS, affected individuals, and the media.",2021,6,Moderate,0,83,3
