name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
Palmetto Operating LLC d/b/a Palmetto Subacute Care Center (‘Palmetto’),FL,Healthcare Provider,2746.0,2025-02-26,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,No description provided,2025,2,Moderate,28,47,3
"HHH Acquisition, LLC d/b/a The Grove at Valhalla Rehabilitation and Nursing Center",NY,Healthcare Provider,4196.0,2025-02-26,Hacking/IT Incident,Electronic Medical Record,Yes,No description provided,2025,2,Moderate,0,47,3
Bassford Remele P.A.,MN,Business Associate,4435.0,2025-02-25,Hacking/IT Incident,Email,Yes,No description provided,2025,2,Moderate,0,66,0
Lake Washington Vascular,WA,Healthcare Provider,21534.0,2025-02-25,Hacking/IT Incident,Network Server,No,No description provided,2025,2,High,0,83,3
Artistic Family Dental,IN,Healthcare Provider,3915.0,2025-02-25,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Moderate,0,83,3
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,11435.0,2025-02-24,Theft,Other Portable Electronic Device,No,No description provided,2025,2,High,26,89,3
"HealthRev Partners, LLC",MO,Business Associate,1446.0,2025-02-20,Hacking/IT Incident,Email,Yes,No description provided,2025,2,Moderate,0,66,0
Central New York Cardiology ,NY,Healthcare Provider,500.0,2025-02-19,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Low,0,83,3
Consultants in Pain Medicine,TX,Healthcare Provider,1124.0,2025-02-16,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Moderate,0,83,3
"Spring Management OK, LLC",OK,Business Associate,2494.0,2025-02-14,Hacking/IT Incident,Network Server,Yes,No description provided,2025,2,Moderate,0,83,0
"Restorix Health, Inc.",LA,Business Associate,38553.0,2025-02-14,Unauthorized Access/Disclosure,Email,Yes,No description provided,2025,2,High,28,66,0
CDS in Texas,TX,Healthcare Provider,566.0,2025-02-14,Unauthorized Access/Disclosure,Email,No,No description provided,2025,2,Low,28,66,3
Charleston Area Medical Center,WV,Healthcare Provider,67413.0,2025-02-14,Hacking/IT Incident,Email,No,No description provided,2025,2,High,0,66,3
"Children's Dental Center at Preston Trail, P.C. d/b/a Park Place Pediatric Dentistry (Arlington, TX) ",TN,Healthcare Provider,1690.0,2025-02-14,Theft,Laptop,No,No description provided,2025,2,Moderate,26,76,3
"Somnia, Inc.",NY,Business Associate,500.0,2025-02-14,Hacking/IT Incident,Email,Yes,No description provided,2025,2,Low,0,66,0
Fillmore County Hospital,NE,Healthcare Provider,3535.0,2025-02-13,Hacking/IT Incident,Email,No,No description provided,2025,2,Moderate,0,66,3
Precision Orthopedics and Sports Medicine,MD,Healthcare Provider,1903.0,2025-02-13,Hacking/IT Incident,Email,No,No description provided,2025,2,Moderate,0,66,3
Ottawa Family Physicians,KS,Healthcare Provider,501.0,2025-02-13,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Low,0,83,3
UNITED BACKCARE PS dba Pacific Rehabilitation Centers,WA,Healthcare Provider,18900.0,2025-02-11,Hacking/IT Incident,Network Server,No,No description provided,2025,2,High,0,83,3
New Era Life Insurance Companies,TX,Health Plan,335506.0,2025-02-11,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Critical,0,83,1
"Heartland Medical Clinic, Inc. dba Heartland Community Health Center",KS,Healthcare Provider,43768.0,2025-02-10,Hacking/IT Incident,Email,No,No description provided,2025,2,High,0,66,3
Columbus Division of Fire,OH,Healthcare Provider,736.0,2025-02-10,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Low,0,83,3
"CPS Solutions, LLC",OH,Business Associate,500.0,2025-02-10,Hacking/IT Incident,Email,Yes,No description provided,2025,2,Low,0,66,0
