zone,MAE,RMSE
0,6.356210708618164,8.302730469667983
1,4.816816329956055,7.228046986463591
2,4.099862098693848,5.162863264626848
3,3.3108956813812256,4.386118901343605
4,6.075256824493408,8.575094274775587
5,5.65686559677124,7.847008503241931
6,4.066778659820557,5.798285711095996
7,3.8834753036499023,5.0141641265945545
8,4.3139495849609375,5.529492115062387
9,4.336226940155029,5.561122423673479
