zone,MAE,RMSE
0,4.4231672286987305,6.511103609592136
1,6.0478363037109375,8.137514775932246
2,3.954457998275757,5.29558140085174
3,5.889314651489258,8.15992951979773
4,4.094640731811523,5.376394401478923
5,5.719016075134277,7.666185557431842
6,3.5397114753723145,4.940607179709718
7,3.8315935134887695,5.08743250096788
8,4.773602485656738,6.370803648648942
9,3.557006359100342,4.786325590543481
