Year,Month,Month name,Metropolitan train,Metropolitan tram,Metropolitan bus,Regional train,Regional coach,Regional bus
2020,9,September,1931257,1245928,2038847,257723,23051,380397
2020,10,October,3388960,2130346,3769166,365653,36990,848872
2020,11,November,6439402,4511166,5795635,593115,51260,911034
2020,12,December,7868276,5995164,5885341,894120,74068,666297
2021,1,January,7231312,5553277,4805284,738979,60026,484867
2021,2,February,7822660,5882295,5617752,759259,54099,797454
2021,3,March,11852314,8750223,7645169,1182831,75765,1009127
2021,4,April,11632636,9123455,6628991,1199886,75002,697503
2021,5,May,11375712,8761433,6962665,1117254,66206,811685
2021,6,June,6321515,4557256,4452322,624054,46233,693393
2021,7,July,7512489,5093722,4722392,688891,45599,599227
2021,8,August,3954587,2686330,3102190,444102,33264,707880
2021,9,September,2769485,1910362,2405774,257172,23838,451102
2021,10,October,3995863,3102681,3435761,376222,33948,656824
2021,11,November,8341146,7034365,6453897,759913,55165,855704
2021,12,December,9127862,8359146,5912880,994159,67426,688849
2022,1,January,5778986,5372999,4124071,675856,51750,549859
2022,2,February,8382008,7962117,6205045,865020,57210,985731
2022,3,March,13045722,11614262,8476974,1298156,73664,1060923
2022,4,April,11890697,10065400,6870377,1220454,73735,838558
2022,5,May,12833409,10150913,7779324,1288118,71603,1121794
2022,6,June,11842624,9590565,6943793,1239135,70919,926422
2022,7,July,12019600,11129287,7332966,1314106,75239,975473
2022,8,August,13095346,12361088,8338393,1349992,74401,1098964
2022,9,September,12936260,11791504,7472155,1378784,74648,858200
2022,10,October,12909284,12080170,8156542,1388467,68919,1159113
2022,11,November,13072188,12137205,8312554,1366061,74053,1035487
2022,12,December,11867965,10945095,7434002,1372918,85612,863993
2023,1,January,10109375,12245668,7090984,1295225,84946,820221
2023,2,February,12831622,12894448,8608284,1424645,77949,1096006
2023,3,March,16527142,15292063,10301621,1869164,88964,1247122
2023,4,April,13288137,12402173,8124564,1469224,89335,938444
2023,5,May,15312507,12760569,9848630,1743181,95859,1222849
2023,6,June,13115087,11602791,8635816,1693444,94894,1049480
2023,7,July,14020167,12335062,9219892,1846565,99755,1148259
2023,8,August,16437412,13280460,10304037,1807251,98413,1255113
2023,9,September,14847177,12149257,9260131,1775964,100982,1103635
2023,10,October,15199277,12453509,10083249,1849701,106717,1242909
2023,11,November,14653512,12503061,9872183,1808656,104648,1190730
2023,12,December,13516661,12173168,8548817,1759529,111120,1009701
2024,1,January,13254775,11821351,8335210,1758433,113350,841044
2024,2,February,15828610,13427105,10441479,1781717,104337,1115173
2024,3,March,17171572,14840535,10596736,2042080,112283,1116628
2024,4,April,15943432,14241713,9271098,2009412,114813,1056862
2024,5,May,17201139,13914626,10256661,2164662,109868,1247979
2024,6,June,14454677,11656478,8706404,1882061,104351,994915
2024,7,July,15901814,13019738,9829583,2084437,110936,1068435
2024,8,August,17273609,13714916,10737761,2122092,108656,1183307
2024,9,September,15323401,11695377,9188549,1970804,107465,1027230
2024,10,October,16934209,14575255,10555383,2277335,126770,1193762
2024,11,November,14968410,13548253,9323924,2001615,112359,940930
2024,12,December,13603360,13101396,8687979,1977501,121320,921439
2025,1,January,13379440,12523366,8183939,1923083,122422,782149
2025,2,February,14514256,13058985,9179004,1927292,104244,1025310
2025,3,March,17994138,15300456,10650660,2340160,119824,1147175
2025,4,April,15480989,13414808,9353277,2107410,116481,961133
2025,5,May,17588793,14443916,10384586,2334482,111430,1110728
2025,6,June,14442545,11792860,8809813,1995473,110283,962106
2025,7,July,15451503,12651420,9573219,2222082,113079,956183
2025,8,August,16189046,12233414,9969102,2230571,106863,990904
2025,9,September,14998479,11515404,9143531,2136275,105410,940369
2025,10,October,15977164,12402127,10077976,2286247,118470,1117069
2025,11,November,14297664,12265500,8815809,2060472,107793,936233
2025,12,December,14894850,12069311,8281774,2157499,122578,895411
2026,1,January,14263509,11822424,7624940,1604510,110891,771902
