Location,Time,count,Value
Alphington,16:00,18,69.78333333333335
Box Hill,13:00,12,98.40833333333335
Brighton,10:00,10,91.57
Brooklyn,00:00,5,120.08
Campbellfield,12:00,2,49.400000000000006
Coolaroo,01:00,6,118.91666666666667
Dallas,12:00,2,163.5
Footscray,15:00,6,126.01666666666665
Macleod,00:00,4,146.775
Melbourne CBD,13:00,10,90.02999999999999
