,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
231 Bourke St,6.1,4.5,3.3,3.4,4.1,5.1,9.3,15.0,19.3,34.9,54.1,80.8,102.5,103.7,109.2,107.6,90.7,84.4,62.2,41.7,23.9,16.3,15.4,7.9,"(-37.81333081, 144.96675572)",144.96675572,-37.81333081
Alfred Place,1.0,1.3,0.5,0.5,0.2,1.0,3.5,3.5,5.6,6.5,6.3,10.4,10.5,11.1,10.4,10.0,6.0,7.5,5.7,3.2,1.1,0.7,0.8,1.2,"(-37.81379749, 144.96995745)",144.96995745,-37.81379749
Birrarung Marr,5.3,5.8,6.6,9.4,10.1,5.0,14.8,33.8,88.3,143.7,209.0,257.0,272.5,261.8,291.9,289.3,260.3,169.2,70.4,29.3,7.7,4.5,3.6,4.9,"(-37.81862929, 144.97169395)",144.97169395,-37.81862929
Bourke St - Spencer St (North),10.3,7.6,6.4,4.4,9.8,13.4,25.8,38.3,50.4,61.7,92.1,111.4,130.3,136.2,148.5,153.6,144.7,129.9,112.7,79.3,28.7,31.0,21.8,13.0,"(-37.81686074, 144.95358075)",144.95358075,-37.81686074
Bourke St Bridge,1.1,0.9,1.0,0.6,2.6,3.0,8.5,15.5,18.4,31.0,37.0,45.7,57.3,71.3,71.7,76.2,75.5,66.1,44.2,22.6,7.1,7.8,3.7,2.3,"(-37.8176735, 144.95025595)",144.95025595,-37.8176735
Bourke St-Russell St (West),65.7,50.49999999999999,42.13333333333334,37.1,22.133333333333336,28.366666666666667,16.466666666666665,22.6,27.266666666666662,52.06666666666666,113.26666666666668,170.43333333333334,182.13333333333335,243.53333333333336,248.4333333333333,240.3,238.5333333333333,221.83333333333331,195.5,135.53333333333333,88.46666666666667,75.23333333333332,65.23333333333333,54.533333333333324,"(-37.81244703, 144.96778757)",144.96778757,-37.81244703
Bourke Street Mall (North),7.7,8.6,3.7,3.2,3.3,4.9,11.4,25.5,50.8,84.0,134.8,201.1,250.5,296.1,331.8,344.1,306.9,232.7,113.3,61.1,26.2,29.2,18.1,8.0,"(-37.8134944, 144.96515324)",144.96515324,-37.813494399999996
Bourke Street Mall (South),5.3,3.4,5.0,2.3,2.7,7.5,14.6,15.5,29.8,63.0,102.0,168.8,194.2,218.9,240.8,232.3,197.4,128.6,64.9,33.9,17.3,12.2,10.5,4.5,"(-37.81380667, 144.96516719)",144.96516719,-37.81380667
Building 80 RMIT,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.3,8.5,14.6,29.1,42.2,55.0,58.7,62.2,66.8,56.6,33.5,0.3,0.0,0.0,0.0,0.0,0.0,"(-37.80825648, 144.96304859)",144.96304859,-37.80825648
Chinatown-Lt Bourke St (South),4.5,1.5,1.6,2.4,0.5,2.4,2.8,5.9,9.8,15.5,30.5,44.0,58.9,53.7,63.7,61.6,61.1,54.2,41.4,34.6,17.0,14.1,6.3,5.1,"(-37.81172913, 144.9682466)",144.96824660000001,-37.81172913
Chinatown-Swanston St (North),11.2,5.4,4.1,3.8,2.7,5.8,6.8,10.6,10.8,27.3,57.0,96.1,135.0,152.3,162.9,160.2,160.9,137.4,124.6,81.6,43.0,31.1,22.6,18.6,"(-37.81237202, 144.96550671)",144.96550671,-37.81237202
Collins Place (North),0.5,0.0,0.1,0.7,0.2,0.9,3.1,5.5,21.3,19.0,17.9,26.6,19.7,18.4,26.5,22.3,12.4,11.6,6.2,3.4,1.0,1.2,1.0,0.4,"(-37.81344861, 144.97305354)",144.97305354,-37.81344861
Collins Place (South),0.8,1.2,1.5,1.7,1.8,7.4,21.7,32.6,45.6,68.1,84.4,95.4,98.2,100.7,92.0,94.2,78.8,70.0,36.6,18.8,10.4,5.8,3.0,2.9,"(-37.81362542, 144.97323592)",144.97323592,-37.81362542
Collins Street (North),2.7,3.1,3.0,2.3,9.3,10.0,9.9,12.4,27.6,47.9,81.9,101.6,107.6,120.8,123.4,113.6,95.6,70.2,45.4,22.8,10.0,8.6,7.7,5.7,"(-37.8156419, 144.965499)",144.965499,-37.8156419
Elizabeth St-La Trobe St (East),27.6,22.0,18.6,15.3,15.1,30.1,60.4,74.0,104.6,183.7,291.4,392.2,498.5,567.7,653.1,690.9,666.0,601.2,483.3,333.0,103.2,70.3,57.9,31.7,"(-37.80988941, 144.96134331)",144.96134331,-37.80988941
Elizabeth St-Lonsdale St (South),2.6,2.0,2.5,1.5,2.0,4.7,6.2,9.8,21.8,24.3,45.5,70.9,87.5,95.3,99.3,97.5,88.4,74.4,49.4,37.1,16.6,9.4,7.1,3.8,"(-37.81252157, 144.9619401)",144.9619401,-37.81252157
Faraday St-Lygon St (West),1.4,1.6,0.9,0.5,7.1,2.8,4.3,11.9,36.2,75.1,121.9,160.5,155.4,141.4,136.0,142.0,112.3,80.3,49.0,33.6,16.7,9.1,6.6,3.1,"(-37.79808191, 144.96721014)",144.96721014,-37.79808191
Flinders La-Swanston St (West),24.2,16.5,16.1,9.3,19.4,50.8,82.5,88.9,112.8,162.5,240.1,284.9,359.8,399.7,428.4,420.2,382.1,312.7,189.4,114.6,59.7,57.8,47.4,33.4,"(-37.81668633, 144.96689733)",144.96689733,-37.81668633
Flinders St-Elizabeth St (East),49.0,37.2,36.7,19.4,19.2,52.8,74.3,143.7,189.6,248.1,373.9,509.7,605.6,712.3,781.1,798.6,795.9,739.7,616.1,403.8,156.7,129.0,102.2,55.9,"(-37.81786445, 144.96506823)",144.96506823,-37.81786445
Flinders St-Spark La,1.0,0.5,0.2,0.3,0.6,2.1,8.5,9.2,15.8,32.7,42.7,47.2,54.0,54.7,56.4,57.5,47.0,41.8,17.6,11.7,3.0,2.0,2.1,1.3,"(-37.81537985, 144.9741505)",144.97415049999998,-37.81537985
Flinders Street Station Underpass,9.7,4.7,6.6,5.0,3.4,21.3,43.9,63.8,87.7,111.8,156.9,216.4,244.5,273.7,308.2,292.1,292.1,251.6,184.2,122.1,68.1,81.3,22.8,15.6,"(-37.81911704, 144.96558256)",144.96558256,-37.81911704
Grattan St-Swanston St (West),0.8,1.0,0.4,0.5,0.1,2.2,6.9,8.4,11.7,17.2,33.8,34.7,40.7,38.5,46.0,53.1,57.7,48.5,34.6,21.4,6.4,3.8,2.4,1.7,"(-37.80008565, 144.96386412)",144.96386412,-37.80008565
La Trobe St (North),16.5,14.666666666666668,9.133333333333335,7.6,5.5,7.866666666666665,16.46666666666667,10.533333333333335,14.1,25.066666666666666,45.46666666666667,55.5,60.0,75.66666666666666,68.5,65.83333333333334,63.0,63.56666666666666,54.93333333333332,50.56666666666667,34.36666666666666,29.833333333333332,24.633333333333333,18.4,"(-37.80996494, 144.96216521)",144.96216521,-37.80996494
Lincoln-Swanston (West),0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,9.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,"(-37.804024, 144.963084)",144.963084,-37.804024
Little Collins St-Swanston St (East),4.1,4.1,1.8,2.5,6.1,8.7,15.8,22.7,32.3,56.1,86.7,113.6,150.1,168.1,186.0,175.9,164.1,144.3,87.1,40.9,14.6,17.6,15.7,8.1,"(-37.81414074, 144.9660938)",144.9660938,-37.81414074
Lonsdale St (South),8.0,4.4,3.2,1.9,2.5,10.9,16.8,19.8,19.9,30.8,53.3,85.9,101.8,111.9,117.7,124.0,110.7,104.6,97.5,65.7,25.0,18.5,15.5,13.0,"(-37.81121849, 144.96656807)",144.96656807,-37.81121849
Lonsdale St - Elizabeth St (North),4.0,2.0,2.3,1.0,1.1,4.0,12.0,16.1,11.5,22.2,40.3,54.0,61.5,70.2,79.6,91.8,95.4,95.6,74.1,57.0,21.5,14.1,13.0,5.2,"(-37.81234775, 144.96153311)",144.96153311,-37.81234775
Lonsdale St-Spring St (West),1.7,0.5,1.4,1.1,1.4,3.0,7.3,27.6,30.3,53.2,48.6,62.1,65.8,74.9,77.0,77.9,64.6,52.0,34.5,19.5,6.0,4.7,8.4,3.2,"(-37.80999341, 144.97227588)",144.97227588,-37.80999341
Lygon St (East),0.7,1.4,1.1,0.7,2.8,6.6,3.7,5.9,13.4,26.6,40.0,53.0,59.7,60.0,66.9,82.2,65.3,62.6,41.4,27.4,7.2,5.9,2.0,1.5,"(-37.80310271, 144.96671452)",144.96671452,-37.80310271
Lygon St (West),29.3,14.3,4.2,2.2,12.1,7.3,10.0,15.8,24.6,45.6,71.4,91.9,101.9,116.8,109.6,118.2,110.8,115.0,88.5,58.4,54.2,41.6,34.5,28.1,"(-37.8016968, 144.96658911)",144.96658911,-37.8016968
Melbourne Central,27.1,27.2,15.9,16.9,15.6,22.0,32.4,32.3,56.3,83.2,144.0,204.3,272.2,319.6,335.5,353.8,348.4,306.5,246.2,165.8,89.8,74.1,63.0,35.0,"(-37.81101523, 144.96429485)",144.96429485,-37.81101523
Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),36.3,24.2,28.3,20.4,23.2,30.6,46.5,55.9,91.2,127.9,196.7,254.6,297.6,345.1,400.2,384.1,377.5,305.2,216.2,163.0,81.8,70.4,51.8,37.9,"(-37.81160331, 144.96220077)",144.96220077,-37.81160331
Melbourne Convention Exhibition Centre,8.6,12.0,6.4,8.4,8.5,10.8,46.8,74.9,143.6,256.2,353.6,467.2,465.4,521.4,559.1,560.1,514.9,401.2,195.4,104.2,32.9,22.8,21.3,13.7,"(-37.82401776, 144.95604426)",144.95604426,-37.82401776
Monash Rd-Swanston St (West),1.3,1.3,0.5,0.1,0.6,1.0,1.6,4.4,9.0,21.5,32.2,35.5,35.5,34.4,48.8,57.2,59.7,47.5,27.9,15.2,4.0,4.1,2.5,0.7,"(-37.79844525, 144.96411782)",144.96411782,-37.79844525
New Quay,6.8,3.3,3.9,1.3,3.0,3.1,10.6,25.3,60.7,106.9,180.6,243.5,254.0,287.4,318.3,312.4,331.2,308.6,223.9,148.4,22.5,17.8,14.2,5.9,"(-37.81457987, 144.94292398)",144.94292398,-37.81457987
Pelham St (South),0.9,0.5,0.2,0.5,0.8,1.0,3.4,7.9,11.9,12.8,23.4,28.9,25.4,29.6,34.4,30.6,32.9,26.1,22.3,16.1,6.5,5.4,2.7,1.4,"(-37.80240719, 144.96156731)",144.96156731,-37.80240719
Princes Bridge,25.3,17.0,14.6,19.3,17.5,31.8,42.7,51.2,77.6,122.9,192.1,251.0,282.9,311.1,350.3,312.5,310.1,272.2,160.8,80.6,41.9,44.7,38.0,22.1,"(-37.81874249, 144.96787656)",144.96787656,-37.81874249
QV Market-Elizabeth St (West),28.0,18.7,16.8,14.8,18.7,35.7,46.2,86.3,136.6,240.6,373.6,502.0,579.2,606.7,554.7,474.6,261.8,191.9,174.6,136.3,54.1,48.3,33.9,25.5,"(-37.80869542, 144.96049404)",144.96049404,-37.80869542
QV Market-Peel St,4.5,2.2,2.4,0.8,1.9,2.9,12.9,24.3,45.6,96.6,142.1,165.0,177.0,164.7,165.7,140.7,94.3,60.4,53.4,36.1,14.2,12.4,7.8,3.9,"(-37.80606888, 144.95644693)",144.95644693,-37.80606888
QVM-Franklin St (North),11.266666666666667,5.4,5.133333333333334,6.833333333333334,4.1,5.033333333333333,14.066666666666668,25.533333333333335,45.13333333333333,61.93333333333332,90.96666666666667,118.33333333333333,121.1,123.6,136.33333333333331,124.03333333333333,96.2,92.4,66.8,52.23333333333333,26.3,20.533333333333335,13.0,11.8,"(-37.80841814, 144.95906317)",144.95906317,-37.80841814
