,ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
86499,47862,08/28/2009 01:00:00 PM,2009,August,28,Friday,13,1,Bourke Street Mall (North),3093
135562,96883,12/21/2009 01:00:00 PM,2009,December,21,Monday,13,1,Bourke Street Mall (North),4203
66092,27462,07/09/2009 01:00:00 PM,2009,July,9,Thursday,13,1,Bourke Street Mall (North),3659
52213,13590,06/05/2009 01:00:00 PM,2009,June,5,Friday,13,1,Bourke Street Mall (North),4608
41337,2716,05/08/2009 01:00:00 PM,2009,May,8,Friday,13,1,Bourke Street Mall (North),4631
114355,75697,11/02/2009 12:00:00 PM,2009,November,2,Monday,12,1,Bourke Street Mall (North),5178
103113,64465,10/07/2009 12:00:00 PM,2009,October,7,Wednesday,12,1,Bourke Street Mall (North),4656
99671,61027,09/29/2009 01:00:00 PM,2009,September,29,Tuesday,13,1,Bourke Street Mall (North),3255
179204,140497,04/01/2010 12:00:00 PM,2010,April,1,Thursday,12,1,Bourke Street Mall (North),5573
236931,198198,08/13/2010 01:00:00 PM,2010,August,13,Friday,13,1,Bourke Street Mall (North),3394
161500,122803,02/19/2010 01:00:00 PM,2010,February,19,Friday,13,1,Bourke Street Mall (North),3284
150693,112003,01/25/2010 01:00:00 PM,2010,January,25,Monday,13,1,Bourke Street Mall (North),3294
231062,192331,07/30/2010 01:00:00 PM,2010,July,30,Friday,13,1,Bourke Street Mall (North),3616
209884,171163,06/11/2010 01:00:00 PM,2010,June,11,Friday,13,1,Bourke Street Mall (North),3058
178771,140065,03/31/2010 12:00:00 PM,2010,March,31,Wednesday,12,1,Bourke Street Mall (North),5160
194783,156067,05/07/2010 01:00:00 PM,2010,May,7,Friday,13,1,Bourke Street Mall (North),3349
265603,230821,11/01/2010 12:00:00 PM,2010,November,1,Monday,12,1,Bourke Street Mall (North),5161
255883,221114,10/08/2010 05:00:00 PM,2010,October,8,Friday,17,1,Bourke Street Mall (North),5265
250097,215334,09/24/2010 12:00:00 AM,2010,September,24,Friday,0,1,Bourke Street Mall (North),3915
434292,399355,12/22/2011 01:00:00 PM,2011,December,22,Thursday,13,1,Bourke Street Mall (North),5188
713637,444283,04/04/2012 01:00:00 PM,2012,April,4,Wednesday,13,1,Bourke Street Mall (North),4084
