Location,Time,count,Value
Alphington,22:00,202,8.029752475247523
Altona North 1,00:00,4,2.025
Altona North 2,00:00,4,7.6
Box Hill,00:00,190,5.840631578947365
Brighton,00:00,201,5.148805970149255
Brooklyn,22:00,205,9.828780487804881
Campbellfield,00:00,168,5.019107142857139
Coolaroo,06:00,140,5.106285714285712
Dallas,06:00,142,3.2718309859154915
Footscray,00:00,197,9.189187817258883
MRI Campbellfield fire,01:00,3,2.733333333333333
Macleod,02:00,194,7.048969072164947
Melbourne CBD,22:00,193,7.311813471502589
Thomastown East,00:00,2,9.0
